ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0098657,import into cell,15/565,118/10364,0.0018311832745736265,0.010035962953285711,0.006608413113764614,FABP3/ATP1A2/RGS2/AGT/FOLR2/SLC2A3/THBS1/SLC7A5/P2RX1/ITGB3/SLC1A3/RAMP3/CD36/STEAP4/LCN2,15
GO:0008361,regulation of cell size,16/565,130/10364,0.0018421240891681855,0.010082427835634428,0.006639008995721536,CXCL12/KCNMA1/NTN1/SEMA6B/APOE/FN1/SEMA3G/SPP1/IL7R/MAP1B/EDN1/VEGFA/AQP1/SEMA3C/PLXNA4/KCNN4,16
GO:0010656,negative regulation of muscle cell apoptotic process,6/565,25/10364,0.0018583486624727482,0.01013205589041224,0.006671687742099027,MDK/IGF1/HSPB6/HMOX1/SFRP2/EDN1,6
GO:0048841,regulation of axon extension involved in axon guidance,6/565,25/10364,0.0018583486624727482,0.01013205589041224,0.006671687742099027,CXCL12/SEMA6B/SEMA3G/VEGFA/SEMA3C/PLXNA4,6
GO:0003158,endothelium development,13/565,95/10364,0.0018586160170248147,0.01013205589041224,0.006671687742099027,GSTM3/ITGAX/ICAM1/ATOH8/ID1/SOX18/CLDN5/SCUBE1/VEGFA/PTN/S1PR3/COL15A1/LCN2,13
GO:0006979,response to oxidative stress,32/565,342/10364,0.0019370877045038323,0.010545793965742938,0.006944123196016678,JUN/PTGS2/AKR1C3/ALOX5/H19/HBB/CRYAB/FOS/HBA2/HBA1/MMP2/NQO1/COL1A1/KLF2/APOE/CYP1B1/NR4A2/HMOX1/APOD/CD38/PDGFRB/GPX3/DUSP1/EDN1/HSPA1A/HSPA1B/AQP1/HSPB1/CD36/NR4A3/KLF4/LCN2,32
GO:0071695,anatomical structure maturation,15/565,119/10364,0.001993005425873067,0.010821297903868904,0.007125535168747144,C1QA/ZBTB16/CLEC7A/IGF1/MMP2/CX3CL1/C3/KLF2/NR4A2/SOX18/LTF/FGFR3/CDKN1A/VEGFA/CCL21,15
GO:0046942,carboxylic acid transport,16/565,131/10364,0.001995659828755705,0.010821297903868904,0.007125535168747144,PLA2G2A/ATP1A2/RGS2/AGT/FOLR2/CES1/SLC7A5/ABCC3/ACE/SLC16A3/SLC11A1/ABCG2/SLC1A3/EDN1/CD36/NTRK2,16
GO:0048144,fibroblast proliferation,10/565,63/10364,0.0020009092606811823,0.010821297903868904,0.007125535168747144,AGT/IGF1/NGFR/IFI30/FOSL2/FN1/PDGFRB/CDKN1A/AQP1/SFRP1,10
GO:0048145,regulation of fibroblast proliferation,10/565,63/10364,0.0020009092606811823,0.010821297903868904,0.007125535168747144,AGT/IGF1/NGFR/IFI30/FOSL2/FN1/PDGFRB/CDKN1A/AQP1/SFRP1,10
GO:0062014,negative regulation of small molecule metabolic process,10/565,63/10364,0.0020009092606811823,0.010821297903868904,0.007125535168747144,MFSD2A/AKR1C3/DDIT4/H19/DGAT2/SOX9/PLIN5/APOE/APOC1/SIK1,10
GO:0010720,positive regulation of cell development,21/565,194/10364,0.0020377632541356177,0.010998620834063465,0.007242297574380103,CXCL12/EGR2/MDK/CLEC7A/CX3CL1/NTN1/TYROBP/FN1/SERPINE2/TGM2/CLDN5/LIF/MME/SLIT2/MAP1B/VEGFA/GPER1/RELN/PLXNA4/PTN/NTRK2,21
GO:0031103,axon regeneration,7/565,34/10364,0.002044443198515461,0.010998620834063465,0.007242297574380103,CHL1/APOD/SPP1/MAP1B/PTN/KLF4/TNC,7
GO:0046460,neutral lipid biosynthetic process,7/565,34/10364,0.002044443198515461,0.010998620834063465,0.007242297574380103,MFSD2A/DGAT2/PLIN5/C3/LDLR/SIK1/LPL,7
GO:0046463,acylglycerol biosynthetic process,7/565,34/10364,0.002044443198515461,0.010998620834063465,0.007242297574380103,MFSD2A/DGAT2/PLIN5/C3/LDLR/SIK1/LPL,7
GO:0051153,regulation of striated muscle cell differentiation,9/565,53/10364,0.0020541930014400214,0.011036569747894288,0.00726728591889473,RGS2/IGF1/TMEM119/CYP26B1/SIK1/HOPX/EDN1/PI16/CCN3,9
