source,number_of_genes_tissue,number_of_genes_topbottom,total_count,upper_count,lower_count,n_env_responsive,fdr,upper_or,lower_or,phyper_upper,phyper_lower,phyper_upper_bh_adj,phyper_lower_bh_adj
10Jun21_eQTL_SNPs_sharing_EDITED,13139,657,7417,147,418,7417,0.05,0.384181568088033,1.134733533361909,1,5.381051486645695e-5,1,5.381051486645695e-5
23May22_limma_treatment_ACRYL,13139,657,751,33,29,777,0.05,0.8732590529247911,0.7631578947368421,0.8172272575635896,0.9480924154947505,0.8172272575635896,0.9480924154947505
23May22_limma_treatment_BAFF,13139,657,794,48,13,795,0.05,1.222520107238606,0.31626120358514725,0.07408467143330275,0.9999997331099533,0.07408467143330275,0.9999997331099533
23May22_limma_treatment_BPA,13139,657,724,38,24,750,0.05,1.0524781341107874,0.6514285714285715,0.42299190487522653,0.9907443233906419,0.42299190487522653,0.9907443233906419
23May22_limma_treatment_DEX,13139,657,2691,111,70,2695,0.05,0.8174418604651164,0.5074399084318962,0.9905492535552597,0.9999999999957441,0.9905492535552597,0.9999999999957441
23May22_limma_treatment_ETOH,13139,657,706,45,22,707,0.05,1.2934947049924357,0.6111111111111112,0.0397260695683852,0.9918413540240675,0.0397260695683852,0.9918413540240675
23May22_limma_treatment_FSL1,13139,657,350,28,4,361,0.05,1.6521739130434783,0.21965317919075145,0.008070875514203869,0.999948587102135,0.008070875514203869,0.999948587102135
23May22_limma_treatment_GARD,13139,657,1106,68,23,1106,0.05,1.2447013487475915,0.40350877192982454,0.031415042907806945,0.9999998165584756,0.031415042907806945,0.9999998165584756
23May22_limma_treatment_IFNG,13139,657,1099,58,19,1101,0.05,1.058597502401537,0.3342592592592593,0.30458239017051386,0.9999999968516373,0.30458239017051386,0.9999999968516373
23May22_limma_treatment_IGF,13139,657,585,33,10,586,0.05,1.1358695652173914,0.3304347826086957,0.20517104144813855,0.9999813468285952,0.20517104144813855,0.9999813468285952
23May22_limma_treatment_PFOA,13139,657,724,32,21,750,0.05,0.8786127167630058,0.5675675675675675,0.8044430542688956,0.9984251224999197,0.8044430542688956,0.9984251224999197
23May22_limma_treatment_TUNIC,13139,657,799,48,18,799,0.05,1.214380825565912,0.43790012804097317,0.07908605536659472,0.9999607346794486,0.07908605536659472,0.9999607346794486
