ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006397,mRNA processing,49/301,333/5745,1.41454599220252e-11,3.591532274202198e-8,3.528920001599971e-8,TARDBP/PPP1R8/SRSF4/KHDRBS1/SFPQ/SNIP1/PRPF38A/RBMXL1/AHCYL1/RBM8A/HNRNPU/RBM17/HNRNPF/CSTF2T/ECD/CWF19L1/CSTF3/RBM4/RBM4B/BUD13/WBP11/ZC3H10/SART3/SRSF9/SFSWAP/HNRNPC/METTL3/ACIN1/SNW1/NRDE2/HNRNPL/USP39/IWS1/WDR33/POLR2D/FASTKD5/CSTF1/ISY1/FIP1L1/YTHDC1/GRSF1/RBM22/WTAP/VIRMA/SMU1/HNRNPK/RNF20/PRPF4/NONO,49,low
GO:0016071,mRNA metabolic process,57/301,458/5745,2.453876115342464e-10,3.115195728427258e-7,3.0608875754534946e-7,TARDBP/PPP1R8/YTHDF2/SRSF4/KHDRBS1/SFPQ/SNIP1/PRPF38A/RBMXL1/AHCYL1/RBM8A/HNRNPU/RBM17/HNRNPF/CSTF2T/ECD/CWF19L1/CSTF3/RBM4/RBM4B/BUD13/WBP11/ZC3H10/SART3/SRSF9/SFSWAP/HNRNPC/METTL3/ACIN1/SNW1/NRDE2/ELAVL1/HNRNPL/USP39/IWS1/WDR33/POLR2D/CNOT9/FASTKD5/CSTF1/YTHDF1/CNOT10/MLH1/ISY1/FIP1L1/YTHDC1/GRSF1/RBM22/WTAP/VIRMA/SMU1/EXOSC3/HNRNPK/SECISBP2/RNF20/PRPF4/NONO,57,low
GO:0008380,RNA splicing,41/301,287/5745,2.0348041926033155e-9,1.7221226150066062e-6,1.6921003285859153e-6,TARDBP/PPP1R8/SRSF4/KHDRBS1/SFPQ/SNIP1/PRPF38A/RBMXL1/RBM8A/HNRNPU/RBM17/HNRNPF/ECD/CWF19L1/RBM4/RBM4B/BUD13/WBP11/ZC3H10/SART3/SRSF9/SFSWAP/HNRNPC/METTL3/ACIN1/SNW1/NRDE2/HNRNPL/USP39/IWS1/ISY1/YTHDC1/GRSF1/PPP2CA/RBM22/WTAP/VIRMA/SMU1/HNRNPK/PRPF4/NONO,41,low
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",31/301,207/5745,7.460390642750444e-8,3.393560471238607e-5,3.33439950118592e-5,SRSF4/KHDRBS1/SFPQ/SNIP1/PRPF38A/RBMXL1/RBM8A/HNRNPU/RBM17/HNRNPF/CWF19L1/RBM4/RBM4B/BUD13/WBP11/ZC3H10/SART3/SRSF9/SFSWAP/HNRNPC/METTL3/SNW1/HNRNPL/USP39/ISY1/YTHDC1/RBM22/WTAP/SMU1/HNRNPK/PRPF4,31,low
GO:0000398,"mRNA splicing, via spliceosome",31/301,207/5745,7.460390642750444e-8,3.393560471238607e-5,3.33439950118592e-5,SRSF4/KHDRBS1/SFPQ/SNIP1/PRPF38A/RBMXL1/RBM8A/HNRNPU/RBM17/HNRNPF/CWF19L1/RBM4/RBM4B/BUD13/WBP11/ZC3H10/SART3/SRSF9/SFSWAP/HNRNPC/METTL3/SNW1/HNRNPL/USP39/ISY1/YTHDC1/RBM22/WTAP/SMU1/HNRNPK/PRPF4,31,low
GO:1903311,regulation of mRNA metabolic process,30/301,197/5745,8.372882020596509e-8,3.393560471238607e-5,3.33439950118592e-5,TARDBP/YTHDF2/SRSF4/KHDRBS1/RBMXL1/AHCYL1/RBM8A/HNRNPU/RBM4/ZC3H10/SRSF9/SFSWAP/HNRNPC/METTL3/SNW1/ELAVL1/HNRNPL/IWS1/POLR2D/FASTKD5/YTHDF1/MLH1/YTHDC1/WTAP/VIRMA/SMU1/EXOSC3/HNRNPK/SECISBP2/RNF20,30,low
GO:0000375,"RNA splicing, via transesterification reactions",31/301,209/5745,9.356015478011126e-8,3.393560471238607e-5,3.33439950118592e-5,SRSF4/KHDRBS1/SFPQ/SNIP1/PRPF38A/RBMXL1/RBM8A/HNRNPU/RBM17/HNRNPF/CWF19L1/RBM4/RBM4B/BUD13/WBP11/ZC3H10/SART3/SRSF9/SFSWAP/HNRNPC/METTL3/SNW1/HNRNPL/USP39/ISY1/YTHDC1/RBM22/WTAP/SMU1/HNRNPK/PRPF4,31,low
GO:0050684,regulation of mRNA processing,19/301,101/5745,8.536533259359696e-7,2.709282243189283e-4,2.6620505032476946e-4,SRSF4/KHDRBS1/RBMXL1/AHCYL1/RBM8A/HNRNPU/RBM4/ZC3H10/SRSF9/SFSWAP/SNW1/HNRNPL/IWS1/YTHDC1/WTAP/VIRMA/SMU1/HNRNPK/RNF20,19,low
GO:0000380,"alternative mRNA splicing, via spliceosome",13/301,51/5745,1.3593662417564194e-6,3.834923208688387e-4,3.768067828026566e-4,KHDRBS1/SFPQ/RBM8A/HNRNPU/RBM17/RBM4/ZC3H10/SRSF9/SFSWAP/HNRNPL/YTHDC1/WTAP/SMU1,13,low
GO:0048024,"regulation of mRNA splicing, via spliceosome",15/301,73/5745,3.9849824078461836e-6,0.001011787033352146,9.941482427995216e-4,SRSF4/KHDRBS1/RBMXL1/RBM8A/HNRNPU/RBM4/ZC3H10/SRSF9/SFSWAP/SNW1/HNRNPL/YTHDC1/WTAP/SMU1/HNRNPK,15,low
GO:0043484,regulation of RNA splicing,18/301,106/5745,7.676320082288473e-6,0.0017718342444482211,0.00174094532009796,SRSF4/KHDRBS1/RBMXL1/RBM8A/HNRNPU/HNRNPF/RBM4/ZC3H10/SRSF9/SFSWAP/SNW1/HNRNPL/YTHDC1/GRSF1/RBM22/WTAP/SMU1/HNRNPK,18,low
GO:0031124,mRNA 3'-end processing,11/301,47/5745,2.1751354038560074e-5,0.004602223991992002,0.00452199202380591,AHCYL1/CSTF2T/CSTF3/WDR33/POLR2D/CSTF1/FIP1L1/YTHDC1/GRSF1/VIRMA/RNF20,11,low
