ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0045087,innate immune response,55/280,314/5745,9.308012606727976e-18,2.7244552899892784e-14,2.2427411428210882e-14,IFI6/GBP3/GBP1/GBP4/GBP5/MNDA/FCGR2B/CD55/OPTN/IFIT2/IFIT3/IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/IRAK3/OAS1/OAS3/OAS2/LGALS3/IGHG1/IGHM/MSRB1/CCL5/DHX58/IFI35/CEACAM1/RSAD2/EIF2AK2/IGKC/IFIH1/STAT1/SIRPA/MX2/MX1/IGLL5/IGLC2/IGLC3/APOL1/PARP9/PARP14/PLSCR1/TLR1/JCHAIN/HERC5/ALPK1/DDX60/NAIP/AIF1/JAK2/DDX58/SIGLEC10/SLAMF7,55,high
GO:0098542,defense response to other organism,60/280,385/5745,8.211498749898769e-17,1.201752842047685e-13,9.89269507290436e-14,IFI6/IFI44L/GBP3/GBP1/GBP4/GBP5/MNDA/FCGR2B/CD55/OPTN/DDIT4/IFIT2/IFIT3/IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/IRAK3/OAS1/OAS3/OAS2/LGALS3/IGHG1/IGHM/MSRB1/ITGAX/CCL5/DHX58/IFI35/CEACAM1/RSAD2/EIF2AK2/IGKC/IGKV3-20/IFIH1/STAT1/SIRPA/BCL2L1/MX2/MX1/IGLL5/IGLC2/IGLC3/APOL1/PARP9/PARP14/PLSCR1/TLR1/JCHAIN/HERC5/ALPK1/DDX60/NAIP/AIF1/JAK2/DDX58/SIGLEC10/SLAMF7,60,high
GO:0034097,response to cytokine,57/280,363/5745,4.015921004871703e-16,3.918200260419825e-13,3.2254186597022207e-13,GBP3/GBP1/GBP4/GBP5/MNDA/CHI3L1/FAS/IFIT2/IFIT3/IFIT1/IFITM2/IFITM1/IFITM3/CARD16/YBX3/IRAK3/CMKLR1/OAS1/OAS3/OAS2/TNFSF13B/XAF1/CCL5/SOCS3/CDC34/CEACAM1/EIF2AK2/IL1R1/IL18R1/IFIH1/STAT1/SIRPA/BCL2L1/MX2/MX1/CSF2RB/PARP9/PARP14/PLSCR1/CD38/ACSL1/IL6ST/SPARC/DUSP1/AIF1/HSPA1A/HSPA1B/SNX10/JAK2/DDX58/NFIL3/ACSL4/IL13RA1/LEF1/CD24/PADI2/IL2RB,57,high
GO:0050776,regulation of immune response,53/280,357/5745,5.88177568476477e-14,3.549017014900235e-11,2.9215111384412414e-11,PTAFR/GBP1/GBP5/MNDA/FCGR2A/FCGR2B/CD55/IFIT1/PIK3AP1/GAB2/IRAK3/CMKLR1/OAS1/OAS3/TNFSF13B/LGALS3/IGHG1/IGHM/CCL5/DHX58/IFI35/CD79B/ADGRE2/CEACAM1/RSAD2/PELI1/IGKC/IL1R1/IL18R1/IFIH1/STAT1/IGLL5/IGLC2/IGLC3/HMOX1/NFAM1/GPX1/PARP9/PARP14/PLSCR1/CD38/TLR1/HERC5/BANK1/ALPK1/DDX60/IL6ST/HSPA1A/HSPA1B/HLA-DQB1/DDX58/CD22/CD24,53,high
GO:0002684,positive regulation of immune system process,51/280,334/5745,6.062550418346831e-14,3.549017014900235e-11,2.9215111384412414e-11,PTAFR/GBP1/GBP5/MNDA/FCGR2B/CD55/GAB2/LRRK2/IRAK3/CMKLR1/TESC/TNFSF13B/LGALS3/IGHG1/IGHM/DAPK2/FLOT2/CCL5/DHX58/IFI35/CD79B/ADGRE2/CEACAM1/RSAD2/PELI1/IGKC/IL1R1/IL18R1/SIRPA/IGLL5/IGLC2/IGLC3/HMOX1/LGALS1/NFAM1/PARP9/PLSCR1/CD38/BANK1/DDX60/IL6ST/AIF1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/CA2/DDX58/CD22/LEF1/CD24,51,high
GO:0050865,regulation of cell activation,39/280,223/5745,1.0286148131476484e-12,5.017925930138611e-10,4.130700539113978e-10,PTAFR/MNDA/FCGR2B/CD55/GAB2/CD9/LRRK2/TNFSF13B/LGALS3/IGHG1/IGHM/FLOT2/CCL5/ADGRE2/CEACAM1/PELI1/IGKC/SIRPA/IGLL5/IGLC2/IGLC3/FBXO7/HMOX1/LGALS1/NFAM1/PLSCR1/CD38/BANK1/IL6ST/AIF1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/JAK2/CD22/LEF1/CD24/CAMK4,39,high
GO:0071345,cellular response to cytokine stimulus,47/280,316/5745,1.851686108573664e-12,7.742693199707307e-10,6.37369850003777e-10,GBP3/GBP1/GBP4/GBP5/MNDA/CHI3L1/FAS/IFIT2/IFIT3/IFIT1/IFITM2/IFITM1/IFITM3/CARD16/YBX3/IRAK3/CMKLR1/OAS1/OAS3/OAS2/TNFSF13B/CCL5/SOCS3/CDC34/CEACAM1/IL1R1/IL18R1/STAT1/SIRPA/MX1/CSF2RB/PARP9/PARP14/ACSL1/IL6ST/DUSP1/AIF1/HSPA1A/HSPA1B/SNX10/JAK2/NFIL3/IL13RA1/LEF1/CD24/PADI2/IL2RB,47,high
GO:0009617,response to bacterium,35/280,190/5745,3.5494433369594736e-12,1.06912625264364e-9,8.800927812926086e-10,PTAFR/IFI44/GBP4/FCGR2B/CD55/OPTN/ADM/CARD16/IRAK3/OAS1/OAS3/OAS2/IGHG1/IGHM/CCL5/DHX58/CMPK2/PELI1/IGKC/IGKV3-20/SIRPA/IGLL5/IGLC2/IGLC3/CSF2RB/GPX1/TLR1/JCHAIN/BANK1/NAIP/F2R/SPARC/SOD2/JAK2/CD24,35,high
GO:0051607,defense response to virus,30/280,142/5745,3.652634959493133e-12,1.06912625264364e-9,8.800927812926086e-10,IFI6/IFI44L/GBP3/GBP1/DDIT4/IFIT2/IFIT3/IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/OAS1/OAS3/OAS2/ITGAX/DHX58/RSAD2/EIF2AK2/IFIH1/STAT1/BCL2L1/MX2/MX1/PARP9/PLSCR1/HERC5/DDX60/DDX58,30,high
GO:0140546,defense response to symbiont,30/280,142/5745,3.652634959493133e-12,1.06912625264364e-9,8.800927812926086e-10,IFI6/IFI44L/GBP3/GBP1/DDIT4/IFIT2/IFIT3/IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/OAS1/OAS3/OAS2/ITGAX/DHX58/RSAD2/EIF2AK2/IFIH1/STAT1/BCL2L1/MX2/MX1/PARP9/PLSCR1/HERC5/DDX60/DDX58,30,high
