ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006955,immune response,62/260,484/5276,3.893363836031509e-13,1.101432629213314e-9,8.98342476692744e-10,TGFBR3/SEMA4A/CD55/OPTN/FAS/IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/FTH1/GAB2/STAT2/GCH1/LGALS3/RORA/MSRB1/IL4R/KDM6B/GSDMB/GRN/ICAM1/BST2/EIF2AK2/PELI1/NMI/STAT1/SIRPA/BCL2L1/MX2/MX1/HMOX1/LGALS1/GPX1/NFKBIZ/PARP9/PARP14/PLSCR1/HERC5/DDX60/IL6ST/NAIP/TCF7/HSPA1A/HLA-DQB1/HLA-DOA/HLA-DPB1/NT5C3A/TRBC2/BNIP3L/LYN/JAK2/DDX58/ANXA1/DAPK1/NFIL3/NOTCH1/ITM2A/KDM5D/CD24/CAMK4,62,high
GO:0006952,defense response,54/260,415/5276,9.951489458666383e-12,1.4076381839283599e-8,1.148087625968248e-8,CD55/OPTN/IFIT1/LIPA/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/ADM/NEAT1/STAT2/GCH1/LGALS3/RORA/MSRB1/IL4R/KDM6B/GSDMB/GRN/SOCS3/ICAM1/BST2/EIF2AK2/NMI/STAT1/SIRPA/CST3/BCL2L1/MX2/MX1/HMOX1/APOL2/GPX1/NFKBIZ/PARP9/PARP14/PLSCR1/HERC5/DDX60/IL6ST/NAIP/F2R/NDST1/NT5C3A/TRBC2/BNIP3L/LYN/JAK2/DDX58/ANXA1/DAPK1/NOTCH1/CAMK4,54,high
GO:0044419,biological process involved in interspecies interaction between organisms,57/260,482/5276,1.2096100922490565e-10,1.1406623169908603e-7,9.303387095473446e-8,CD55/OPTN/IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/ADM/STAT2/GCH1/LGALS3/MSRB1/LITAF/IL4R/GSDMB/GRN/BSG/ICAM1/BST2/SLC1A5/ODC1/EIF2AK2/PELI1/NMI/STAT1/SIRPA/BCL2L1/MX2/MX1/LGALS1/GPX1/PARP9/PARP14/PLSCR1/HERC5/DDX60/NAIP/F2R/HSPA1A/FKBP5/SOD2/IGF2R/NT5C3A/TRBC2/BNIP3L/ADAM9/LYN/TRIB1/JAK2/DDX58/ANXA1/DAPK1/GSN/STOM/NOTCH1/CD24,57,high
GO:0043207,response to external biotic stimulus,50/260,405/5276,4.700823078826267e-10,2.659725697999902e-7,2.1693061450078271e-7,CD55/OPTN/IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/ADM/STAT2/GCH1/LGALS3/MSRB1/LITAF/IL4R/GSDMB/GRN/ICAM1/BST2/ODC1/EIF2AK2/PELI1/NMI/STAT1/SIRPA/BCL2L1/MX2/MX1/GPX1/PARP9/PARP14/PLSCR1/HERC5/DDX60/NAIP/F2R/FKBP5/SOD2/NT5C3A/TRBC2/BNIP3L/ADAM9/LYN/TRIB1/JAK2/DDX58/ANXA1/DAPK1/NOTCH1/CD24,50,high
GO:0051707,response to other organism,50/260,405/5276,4.700823078826267e-10,2.659725697999902e-7,2.1693061450078271e-7,CD55/OPTN/IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/ADM/STAT2/GCH1/LGALS3/MSRB1/LITAF/IL4R/GSDMB/GRN/ICAM1/BST2/ODC1/EIF2AK2/PELI1/NMI/STAT1/SIRPA/BCL2L1/MX2/MX1/GPX1/PARP9/PARP14/PLSCR1/HERC5/DDX60/NAIP/F2R/FKBP5/SOD2/NT5C3A/TRBC2/BNIP3L/ADAM9/LYN/TRIB1/JAK2/DDX58/ANXA1/DAPK1/NOTCH1/CD24,50,high
GO:0009607,response to biotic stimulus,50/260,422/5276,2.0264445378261225e-9,9.554685995850168e-7,7.792923555990984e-7,CD55/OPTN/IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/ADM/STAT2/GCH1/LGALS3/MSRB1/LITAF/IL4R/GSDMB/GRN/ICAM1/BST2/ODC1/EIF2AK2/PELI1/NMI/STAT1/SIRPA/BCL2L1/MX2/MX1/GPX1/PARP9/PARP14/PLSCR1/HERC5/DDX60/NAIP/F2R/FKBP5/SOD2/NT5C3A/TRBC2/BNIP3L/ADAM9/LYN/TRIB1/JAK2/DDX58/ANXA1/DAPK1/NOTCH1/CD24,50,high
GO:0034097,response to cytokine,40/260,297/5276,2.704349318941145e-9,1.0929434604692142e-6,8.914186025742842e-7,FAS/IFIT1/IFITM2/IFITM1/IFITM3/YBX3/STAT2/GCH1/RORA/IL4R/SOCS3/ICAM1/BST2/EIF2AK2/HK2/NMI/STAT1/SIRPA/BCL2L1/MX2/MX1/PARP9/PARP14/PLSCR1/ACSL1/IL6ST/TCF7/DUSP1/HSPA1A/SNX10/ADAM9/JAK2/DDX58/ANXA1/DAPK1/NFIL3/NOTCH1/ACSL4/IL13RA1/CD24,40,high
GO:0098542,defense response to other organism,38/260,294/5276,2.2621670549786428e-8,7.999588248168225e-6,6.524566032254191e-6,CD55/OPTN/IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/STAT2/GCH1/LGALS3/MSRB1/IL4R/GSDMB/GRN/ICAM1/BST2/EIF2AK2/NMI/STAT1/SIRPA/BCL2L1/MX2/MX1/PARP9/PARP14/PLSCR1/HERC5/DDX60/NAIP/NT5C3A/TRBC2/BNIP3L/LYN/JAK2/DDX58/ANXA1/DAPK1,38,high
GO:0045087,innate immune response,33/260,236/5276,3.0788796678456324e-8,9.677945089261437e-6,7.89345524200892e-6,CD55/OPTN/IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/STAT2/GCH1/LGALS3/MSRB1/GRN/ICAM1/BST2/EIF2AK2/NMI/STAT1/SIRPA/MX2/MX1/PARP9/PARP14/PLSCR1/HERC5/DDX60/NAIP/TRBC2/LYN/JAK2/DDX58/ANXA1/DAPK1,33,high
GO:0042127,regulation of cell population proliferation,47/260,433/5276,1.1134367336444494e-7,3.104253482387896e-5,2.5318686660319873e-5,TGFBR3/S100A11/S100A6/GLUL/CD55/IFITM1/ADM/FTH1/NEAT1/GAB2/CD9/STAT2/TESC/LGALS3/WARS1/CCPG1/IL4R/GRN/BST2/FOSL2/EIF2AK2/CYP1B1/PELI1/TBC1D8/NMI/STAT1/BCL2L1/HMOX1/GPX1/IL6ST/F2R/NQO2/H2AC6/HSPA1A/HLA-DPB1/SGK1/SOD2/SKAP2/NAMPT/LYN/SDCBP/TRIB1/JAK2/ANXA1/NOTCH1/IL13RA1/CD24,47,high
GO:0045071,negative regulation of viral genome replication,10/260,25/5276,1.207026804746089e-7,3.104253482387896e-5,2.5318686660319873e-5,IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/RESF1/BST2/EIF2AK2/MX1/PLSCR1,10,high
GO:0051607,defense response to virus,20/260,107/5276,1.7278807865551294e-7,3.7601344193572774e-5,3.066813509416068e-5,IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/STAT2/BST2/EIF2AK2/STAT1/BCL2L1/MX2/MX1/PARP9/PLSCR1/HERC5/DDX60/NT5C3A/BNIP3L/DDX58,20,high
GO:0140546,defense response to symbiont,20/260,107/5276,1.7278807865551294e-7,3.7601344193572774e-5,3.066813509416068e-5,IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/TRIM22/STAT2/BST2/EIF2AK2/STAT1/BCL2L1/MX2/MX1/PARP9/PLSCR1/HERC5/DDX60/NT5C3A/BNIP3L/DDX58,20,high
GO:0016477,cell migration,42/260,373/5276,2.1435882283700824e-7,4.331579355756402e-5,3.53289127562949e-5,CLIC4/TGFBR3/RHOC/S100A11/SEMA4A/GLUL/IFITM1/SORL1/CD9/OSBPL8/RAP2A/LGALS3/GRN/PSTPIP2/BSG/ICAM1/BST2/MYADM/RHOB/CYP1B1/SIRPA/HMOX1/GPX1/PARP9/F2R/DUSP1/SGK1/SOD2/AFDN/AUTS2/ADAM9/LYN/SDCBP/TRIB1/JAK2/DDX58/ANXA1/MEGF9/NOTCH1/MPP1/USP9Y/CD24,42,high
GO:0034341,response to interferon-gamma,13/260,47/5276,2.3430773846677798e-7,4.419043947483433e-5,3.6042285103100164e-5,IFITM2/IFITM1/IFITM3/GCH1/ICAM1/BST2/NMI/STAT1/SIRPA/PARP9/PARP14/JAK2/DAPK1,13,high
GO:0050865,regulation of cell activation,24/260,153/5276,3.147242339765193e-7,5.564717861997332e-5,4.538654742608753e-5,CD55/GAB2/CD9/LGALS3/RORA/IL4R/GRN/PELI1/SIRPA/HMOX1/LGALS1/NFKBIZ/PLSCR1/IL6ST/TCF7/HLA-DQB1/HLA-DOA/HLA-DPB1/TRBC2/LYN/JAK2/ANXA1/CD24/CAMK4,24,high
GO:0006954,inflammatory response,25/260,165/5276,3.500976279018543e-7,5.826036407849093e-5,4.751789475918667e-5,LIPA/ADM/NEAT1/RORA/IL4R/KDM6B/GRN/SOCS3/ICAM1/NMI/SIRPA/HMOX1/APOL2/GPX1/NFKBIZ/PLSCR1/IL6ST/NAIP/F2R/NDST1/LYN/JAK2/ANXA1/NOTCH1/CAMK4,25,high
GO:0030334,regulation of cell migration,32/260,249/5276,3.764603036522973e-7,5.830380004438991e-5,4.755332168603475e-5,CLIC4/RHOC/S100A11/SEMA4A/GLUL/IFITM1/SORL1/CD9/OSBPL8/RAP2A/LGALS3/GRN/ICAM1/BST2/MYADM/RHOB/CYP1B1/HMOX1/F2R/DUSP1/SGK1/SOD2/AFDN/ADAM9/LYN/SDCBP/TRIB1/JAK2/DDX58/ANXA1/NOTCH1/MPP1,32,high
GO:0045321,leukocyte activation,33/260,262/5276,3.9157730676684633e-7,5.830380004438991e-5,4.755332168603475e-5,SEMA4A/CD55/GAB2/LGALS3/RORA/IL4R/GRN/ICAM1/BST2/PELI1/NMI/SIRPA/HMOX1/LGALS1/NFKBIZ/PLSCR1/IL6ST/TCF7/HLA-DQB1/HLA-DOA/HLA-DPB1/SKAP2/NAMPT/TRBC2/ADAM9/LYN/JAK2/ANXA1/NFIL3/GSN/ITM2A/CD24/CAMK4,33,high
GO:0040012,regulation of locomotion,33/260,269/5276,7.259017093055516e-7,1.0152567554897868e-4,8.280563368248453e-5,CLIC4/RHOC/S100A11/SEMA4A/GLUL/IFITM1/SORL1/CD9/OSBPL8/RAP2A/LGALS3/GRN/ICAM1/BST2/MYADM/RHOB/CYP1B1/HMOX1/F2R/ARRDC3/DUSP1/SGK1/SOD2/AFDN/ADAM9/LYN/SDCBP/TRIB1/JAK2/DDX58/ANXA1/NOTCH1/MPP1,33,high
GO:0009617,response to bacterium,22/260,138/5276,7.536370401302765e-7,1.0152567554897868e-4,8.280563368248453e-5,CD55/OPTN/ADM/GCH1/LITAF/GSDMB/GRN/ICAM1/PELI1/SIRPA/GPX1/NAIP/F2R/FKBP5/SOD2/TRBC2/ADAM9/LYN/TRIB1/JAK2/NOTCH1/CD24,22,high
GO:0048525,negative regulation of viral process,12/260,44/5276,8.181589966947982e-7,1.0520780916589019e-4,8.580882874425827e-5,IFIT1/IFIT5/IFITM2/IFITM1/IFITM3/RESF1/BST2/EIF2AK2/STAT1/MX1/PLSCR1/GSN,12,high
