ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006397,mRNA processing,53/530,421/10344,8.368329834927698e-10,2.566566760372325e-6,2.390699702315134e-6,TARDBP/PPP1R8/KHDRBS1/THRAP3/SF3A3/KIN/PRPF18/ECD/CTR9/CPSF7/RBM4/CLNS1A/BUD13/DDX47/WBP11/DDX23/SRSF9/SNW1/NRDE2/MFAP1/CWC25/CASC3/DHX8/EFTUD2/HNRNPL/USP39/IWS1/WDR33/RPRD1B/DHX35/CSTF1/SCAF4/TFIP11/SF3A1/USP4/ISY1/DBR1/TRA2B/SLBP/FIP1L1/GRSF1/LARP7/PLRG1/CWC27/RBM22/DHX16/CMTR1/LSM8/SMU1/HNRNPK/RNF20/PRPF4/NONO,53,low
GO:0008380,RNA splicing,45/530,364/10344,2.9737879655644105e-8,4.5603038451930235e-5,4.247821336074637e-5,TARDBP/PPP1R8/KHDRBS1/THRAP3/SF3A3/PRPF18/ECD/RBM4/CLNS1A/BUD13/DDX47/WBP11/DDX23/SRSF9/SNW1/NRDE2/MFAP1/PDCD7/CLK3/CWC25/CASC3/DHX8/EFTUD2/HNRNPL/USP39/IWS1/DHX35/TFIP11/SF3A1/RTCB/USP4/ISY1/DBR1/TRA2B/GRSF1/LARP7/PLRG1/CWC27/RBM22/DHX16/LSM8/SMU1/HNRNPK/PRPF4/NONO,45,low
GO:0010498,proteasomal protein catabolic process,48/530,422/10344,1.3900014644081864e-7,1.421044830446636e-4,1.323671569966252e-4,PITHD1/FAF1/COP1/CUL2/DDB1/RNF121/PCBP2/ANAPC7/RNF34/UBAC2/CUL4A/CDC16/KLHDC2/NEMF/PSMC6/PSEN1/PSMC1/PPP2R5C/TRIP4/USP7/N4BP1/PSME3IP1/UBE2G1/DERL2/TMUB2/TLK2/FBXL12/GSK3A/ERLEC1/CUL3/RHBDD1/NSFL1C/RNF185/NGLY1/ARIH2/PSMD6/ANAPC10/CDC23/FBXW11/FAF2/TRIM39/BAG6/RNF216/PLAA/DCAF12/TOR1A/UBQLN2/PSMD10,48,low
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,42/530,359/10344,4.0799414934519754e-7,1.9564554805189338e-4,1.8223946507399264e-4,FAF1/COP1/CUL2/DDB1/RNF121/PCBP2/ANAPC7/RNF34/CUL4A/CDC16/KLHDC2/NEMF/PSMC6/PSEN1/PSMC1/PPP2R5C/TRIP4/USP7/N4BP1/UBE2G1/DERL2/TMUB2/TLK2/FBXL12/GSK3A/ERLEC1/CUL3/NSFL1C/RNF185/ARIH2/PSMD6/ANAPC10/CDC23/FBXW11/FAF2/TRIM39/BAG6/RNF216/PLAA/DCAF12/UBQLN2/PSMD10,42,low
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",34/530,261/10344,4.5411565928735023e-7,1.9564554805189338e-4,1.8223946507399264e-4,KHDRBS1/THRAP3/SF3A3/PRPF18/RBM4/CLNS1A/BUD13/WBP11/DDX23/SRSF9/SNW1/MFAP1/CWC25/CASC3/DHX8/EFTUD2/HNRNPL/USP39/DHX35/TFIP11/SF3A1/USP4/ISY1/DBR1/TRA2B/LARP7/PLRG1/CWC27/RBM22/DHX16/LSM8/SMU1/HNRNPK/PRPF4,34,low
GO:0000398,"mRNA splicing, via spliceosome",34/530,261/10344,4.5411565928735023e-7,1.9564554805189338e-4,1.8223946507399264e-4,KHDRBS1/THRAP3/SF3A3/PRPF18/RBM4/CLNS1A/BUD13/WBP11/DDX23/SRSF9/SNW1/MFAP1/CWC25/CASC3/DHX8/EFTUD2/HNRNPL/USP39/DHX35/TFIP11/SF3A1/USP4/ISY1/DBR1/TRA2B/LARP7/PLRG1/CWC27/RBM22/DHX16/LSM8/SMU1/HNRNPK/PRPF4,34,low
GO:0007059,chromosome segregation,30/530,215/10344,4.997117890420318e-7,1.9564554805189338e-4,1.8223946507399264e-4,NSL1/MMS19/ABRAXAS2/ZW10/NUP37/ANAPC7/KMT5A/PCID2/CDC16/INO80/UBE2I/LCMT1/CTCF/CHTF8/MIS12/BECN1/RAD51C/TLK2/VPS4B/TRAPPC12/CIAO1/CUL3/CSNK2A1/DYNC1LI1/MLH1/CDC23/BAG6/CHMP7/TERF1/HDAC8,30,low
GO:0031123,RNA 3'-end processing,19/530,99/10344,5.103242205461842e-7,1.9564554805189338e-4,1.8223946507399264e-4,EXOSC10/SUPV3L1/CTR9/CPSF7/INTS14/PARN/WDR33/RPRD1B/CSTF1/TRNT1/SLBP/FIP1L1/GRSF1/INTS12/LARP7/EXOSC9/EXOSC3/RNF20/ELAC1,19,low
GO:0000375,"RNA splicing, via transesterification reactions",34/530,265/10344,6.506069829713685e-7,2.2171240186368745e-4,2.065201581034262e-4,KHDRBS1/THRAP3/SF3A3/PRPF18/RBM4/CLNS1A/BUD13/WBP11/DDX23/SRSF9/SNW1/MFAP1/CWC25/CASC3/DHX8/EFTUD2/HNRNPL/USP39/DHX35/TFIP11/SF3A1/USP4/ISY1/DBR1/TRA2B/LARP7/PLRG1/CWC27/RBM22/DHX16/LSM8/SMU1/HNRNPK/PRPF4,34,low
GO:0016973,poly(A)+ mRNA export from nucleus,8/530,17/10344,7.268700823642336e-7,2.229310542611104e-4,2.0765530563542423e-4,NUP133/PCID2/NUP93/DDX19B/DDX19A/IWS1/MCM3AP/GLE1,8,low
