ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006956,complement activation,26/564,44/10344,3.3170888320347086e-22,6.81270736360111e-19,5.074418559708154e-19,C1QA/C1QC/C1QB/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/MFAP4/CFD/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/CFB/C4A/C4B/VSIG4,26,high
GO:0006959,humoral immune response,37/564,98/10344,3.408057710655883e-22,6.81270736360111e-19,5.074418559708154e-19,C1QA/C1QC/C1QB/S100A9/FCGR2B/GATA3/LYZ/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/MFAP4/CCL2/CFD/IGKC/IGKV3-20/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/LTF/JCHAIN/CXCL2/C7/CFB/C4A/C4B/HLA-DQB1/VSIG4,37,high
GO:0006958,"complement activation, classical pathway",22/564,34/10344,3.199153292448215e-20,4.263404954402655e-17,3.1755805839775443e-17,C1QA/C1QC/C1QB/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/C4A/C4B,22,high
GO:0002455,humoral immune response mediated by circulating immunoglobulin,23/564,39/10344,9.39935645192949e-20,9.394656773703525e-17,6.997573526975929e-17,C1QA/C1QC/C1QB/FCGR2B/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/C4A/C4B,23,high
GO:0009617,response to bacterium,65/564,347/10344,4.478116812735973e-19,3.5807022034636844e-16,2.66707209752212e-16,PLA2G2A/ALPL/S100A9/S100A8/FCGR2B/PTGS2/RGS1/MRC1/FGFR2/ADM/MPEG1/PLAAT3/MGST1/NR4A1/LYZ/PYGL/FOS/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/CX3CL1/HP/CD68/CCL2/NR1D1/CFD/ACP5/ZFP36/C5AR1/SSC5D/IGKC/IGKV3-20/SCN7A/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/XBP1/LTF/CCDC80/CLDN1/JCHAIN/CXCL2/BANK1/HPGD/SPARC/C4B/FKBP5/CNR1/AKAP12/CD36/SERPINE1/FABP4/ASS1/CD24/LCN2,65,high
GO:0006910,"phagocytosis, recognition",18/564,26/10344,1.4495979871179502e-17,9.659154587495942e-15,7.19458369395909e-15,IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C4B/CD36,18,high
GO:0001525,angiogenesis,62/564,362/10344,2.9724060342767446e-16,1.5641928371979833e-13,1.1650829457973975e-13,CCN1/VAV3/ECM1/NPR1/GLUL/PTGS2/CHI3L1/AGT/FGFR2/ADM/PDE3B/MDK/APLNR/VEGFB/MCAM/THY1/APOLD1/NR4A1/KLF5/COL4A1/COL4A2/CSPG4/ANPEP/TNFRSF12A/ITGAX/MMP2/CX3CL1/CCL2/ERBB2/NGFR/ANGPTL4/KLF2/HSPB6/HIF3A/C5AR1/HK2/CALCRL/FN1/ACKR3/ID1/PPP1R16B/PTGIS/SOX18/RUNX1/CLDN5/XBP1/HMOX1/PPARG/COL8A1/AGTR1/SFRP2/THBS4/SPARC/CCN2/THBS2/ITGB8/SERPINE1/NRCAM/PTN/EGR3/ANGPT1/SRPX2,62,high
GO:0001568,blood vessel development,73/564,477/10344,3.129950649720827e-16,1.5641928371979833e-13,1.1650829457973975e-13,CCN1/VAV3/ECM1/NPR1/GLUL/PTGS2/CHI3L1/AGT/FGFR2/ADM/PDE3B/MDK/APLNR/VEGFB/PDE2A/FZD4/MCAM/THY1/APOLD1/NR4A1/KLF5/COL4A1/COL4A2/CSPG4/ANPEP/TNFRSF12A/ITGAX/MMP2/CX3CL1/CCL2/ERBB2/NGFR/COL1A1/SOCS3/ANGPTL4/JUNB/KLF2/HSPB6/APOE/HIF3A/C5AR1/HK2/CALCRL/FN1/ACKR3/ID1/PPP1R16B/PTGIS/SOX18/RUNX1/CLDN5/XBP1/HMOX1/PPARG/COL8A1/AGTR1/SFRP2/HPGD/THBS4/EGR1/SPARC/PTK7/CCN2/THBS2/ITGB8/COL1A2/SERPINE1/NRCAM/PTN/EGR3/ANGPT1/SRPX2/SPINT1,73,high
GO:0006911,"phagocytosis, engulfment",23/564,54/10344,1.2494333306936068e-15,5.550260506792267e-13,4.1340899327862153e-13,FCGR2B/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/IGKC/MARCO/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/ITGA2/CD36/MSR1/GSN,23,high
GO:0048514,blood vessel morphogenesis,66/564,418/10344,2.011491965001578e-15,8.041944876076309e-13,5.990011335778383e-13,CCN1/VAV3/ECM1/NPR1/GLUL/PTGS2/CHI3L1/AGT/FGFR2/ADM/PDE3B/MDK/APLNR/VEGFB/FZD4/MCAM/THY1/APOLD1/NR4A1/KLF5/COL4A1/COL4A2/CSPG4/ANPEP/TNFRSF12A/ITGAX/MMP2/CX3CL1/CCL2/ERBB2/NGFR/ANGPTL4/JUNB/KLF2/HSPB6/APOE/HIF3A/C5AR1/HK2/CALCRL/FN1/ACKR3/ID1/PPP1R16B/PTGIS/SOX18/RUNX1/CLDN5/XBP1/HMOX1/PPARG/COL8A1/AGTR1/SFRP2/HPGD/THBS4/SPARC/CCN2/THBS2/ITGB8/SERPINE1/NRCAM/PTN/EGR3/ANGPT1/SRPX2,66,high
