ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006959,humoral immune response,37/565,97/10296,2.7805713761730553e-22,7.823966651271669e-19,5.698517978677166e-19,C1QA/C1QC/C1QB/S100A9/FCGR2B/GATA3/LYZ/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/MFAP4/CCL2/CFD/IGKC/IGKV3-20/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/LTF/JCHAIN/CXCL2/C7/CFB/C4A/C4B/HLA-DQB1/VSIG4,37,high
GO:0006956,complement activation,26/565,44/10296,3.900282478201231e-22,7.823966651271669e-19,5.698517978677166e-19,C1QA/C1QC/C1QB/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/MFAP4/CFD/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/CFB/C4A/C4B/VSIG4,26,high
GO:0006958,"complement activation, classical pathway",22/565,34/10296,3.672571177558637e-20,4.9114518547884165e-17,3.577213189088693e-17,C1QA/C1QC/C1QB/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/C4A/C4B,22,high
GO:0002455,humoral immune response mediated by circulating immunoglobulin,23/565,39/10296,1.0845682431782222e-19,1.0878219479077569e-16,7.923056429112486e-17,C1QA/C1QC/C1QB/FCGR2B/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/C4A/C4B,23,high
GO:0001944,vasculature development,80/565,497/10296,6.3330463591751685e-19,5.081636398602155e-16,3.70116561959374e-16,GJA4/CCN1/VAV3/ECM1/NPR1/GLUL/PTGS2/CHI3L1/AGT/FGFR2/ADM/PDE3B/MDK/APLNR/VEGFB/PDE2A/FZD4/MCAM/THY1/APOLD1/NR4A1/KLF5/COL4A1/COL4A2/CSPG4/ANPEP/TNFRSF12A/ITGAX/MMP2/CX3CL1/CCL2/ERBB2/NGFR/COL1A1/SOCS3/ANGPTL4/LDLR/JUNB/KLF2/HSPB6/APOE/HIF3A/C5AR1/HK2/CALCRL/FN1/ACKR3/ID1/PPP1R16B/PTGIS/SOX18/RUNX1/CLDN5/XBP1/LIF/HMOX1/PPARG/COL8A1/AGTR1/KIT/SFRP2/HPGD/THBS4/EGR1/SPARC/PTK7/ADGRF5/CCN2/THBS2/ITGB8/COL1A2/SERPINE1/NRCAM/CAV1/PTN/EGR3/ANGPT1/SVEP1/SRPX2/SPINT1,80,high
GO:0001568,blood vessel development,77/565,470/10296,1.0848959891381477e-18,7.254337847370414e-16,5.283633799732453e-16,GJA4/CCN1/VAV3/ECM1/NPR1/GLUL/PTGS2/CHI3L1/AGT/FGFR2/ADM/PDE3B/MDK/APLNR/VEGFB/PDE2A/FZD4/MCAM/THY1/APOLD1/NR4A1/KLF5/COL4A1/COL4A2/CSPG4/ANPEP/TNFRSF12A/ITGAX/MMP2/CX3CL1/CCL2/ERBB2/NGFR/COL1A1/SOCS3/ANGPTL4/LDLR/JUNB/KLF2/HSPB6/APOE/HIF3A/C5AR1/HK2/CALCRL/FN1/ACKR3/ID1/PPP1R16B/PTGIS/SOX18/RUNX1/CLDN5/XBP1/HMOX1/PPARG/COL8A1/AGTR1/SFRP2/HPGD/THBS4/EGR1/SPARC/PTK7/ADGRF5/CCN2/THBS2/ITGB8/COL1A2/SERPINE1/NRCAM/CAV1/PTN/EGR3/ANGPT1/SRPX2/SPINT1,77,high
GO:0009617,response to bacterium,63/565,342/10296,5.439227442861432e-18,3.1174543572514376e-15,2.270570734042607e-15,PLA2G2A/ALPL/S100A9/S100A8/FCGR2B/PTGS2/RGS1/MRC1/FGFR2/ADM/MPEG1/PLAAT3/MGST1/NR4A1/LYZ/PYGL/FOS/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/CX3CL1/CD68/CCL2/NR1D1/CFD/ACP5/ZFP36/C5AR1/SSC5D/IGKC/IGKV3-20/SCN7A/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/XBP1/LTF/CCDC80/JCHAIN/CXCL2/BANK1/HPGD/SPARC/BMP6/C4B/FKBP5/AKAP12/CD36/SERPINE1/CAV1/ASS1/CD24/LCN2,63,high
GO:0006910,"phagocytosis, recognition",18/565,26/10296,1.6237004449308026e-17,8.142857731327975e-15,5.930779519905142e-15,IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C4B/CD36,18,high
GO:0048514,blood vessel morphogenesis,69/565,411/10296,2.2041138043351767e-17,9.825449536658587e-15,7.1562806091631e-15,CCN1/VAV3/ECM1/NPR1/GLUL/PTGS2/CHI3L1/AGT/FGFR2/ADM/PDE3B/MDK/APLNR/VEGFB/FZD4/MCAM/THY1/APOLD1/NR4A1/KLF5/COL4A1/COL4A2/CSPG4/ANPEP/TNFRSF12A/ITGAX/MMP2/CX3CL1/CCL2/ERBB2/NGFR/ANGPTL4/LDLR/JUNB/KLF2/HSPB6/APOE/HIF3A/C5AR1/HK2/CALCRL/FN1/ACKR3/ID1/PPP1R16B/PTGIS/SOX18/RUNX1/CLDN5/XBP1/HMOX1/PPARG/COL8A1/AGTR1/SFRP2/HPGD/THBS4/SPARC/ADGRF5/CCN2/THBS2/ITGB8/SERPINE1/NRCAM/CAV1/PTN/EGR3/ANGPT1/SRPX2,69,high
GO:0001525,angiogenesis,63/565,355/10296,3.745928802407564e-17,1.5028666355259145e-14,1.0945998268929892e-14,CCN1/VAV3/ECM1/NPR1/GLUL/PTGS2/CHI3L1/AGT/FGFR2/ADM/PDE3B/MDK/APLNR/VEGFB/MCAM/THY1/APOLD1/NR4A1/KLF5/COL4A1/COL4A2/CSPG4/ANPEP/TNFRSF12A/ITGAX/MMP2/CX3CL1/CCL2/ERBB2/NGFR/ANGPTL4/KLF2/HSPB6/HIF3A/C5AR1/HK2/CALCRL/FN1/ACKR3/ID1/PPP1R16B/PTGIS/SOX18/RUNX1/CLDN5/XBP1/HMOX1/PPARG/COL8A1/AGTR1/SFRP2/THBS4/SPARC/CCN2/THBS2/ITGB8/SERPINE1/NRCAM/CAV1/PTN/EGR3/ANGPT1/SRPX2,63,high
GO:0006954,inflammatory response,64/565,404/10296,6.4219162014209135e-15,2.342247981827337e-12,1.7059559210664549e-12,PLA2G2A/ECM1/S100A9/S100A8/ACKR1/FCGR2B/PTGS2/CHI3L1/AGT/GATA3/H19/ADM/MDK/FOLR2/PDE2A/CD163/LYZ/IGF1/FOS/SERPINA1/SERPINA3/TYRO3/CX3CL1/CD68/CCL2/CCL14/NR1D1/AOC3/SOCS3/LDLR/ACP5/CEBPA/ZFP36/APOE/C5AR1/SDC1/CYP26B1/CALCRL/FN1/SIGLEC1/TGM2/PTGIS/ITGB2/HMOX1/PPARG/MGLL/AGTR1/KIT/CXCL2/SPP1/ITGA2/BMP6/C4A/C4B/ESR1/ADCY1/CD36/SERPINE1/PTN/LPL/CCL21/ASS1/LCN2/ELF3,64,high
GO:0006911,"phagocytosis, engulfment",22/565,53/10296,1.1563750266978336e-14,3.589896580975542e-12,2.614669913624417e-12,FCGR2B/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/IGKC/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/ITGA2/CD36/MSR1/GSN,22,high
GO:0007186,G protein-coupled receptor signaling pathway,51/565,278/10296,1.1632267086909781e-14,3.589896580975542e-12,2.614669913624417e-12,CELSR2/NPR1/ACKR1/RGS16/RGS1/RGS2/AGT/AKR1C2/AKR1C3/ADM/PDE3B/APLNR/ANO1/PDE2A/FZD4/SORL1/GPRC5A/ADGRD1/GNG2/TYRO3/CX3CL1/RASD1/CCL2/CCL14/SLC9A3R1/RNF157/APOE/C5AR1/CALCRL/ACKR3/TGM2/CELSR1/PPARG/CISH/MGLL/AGTR1/HPGD/NPR3/ADRB2/ADGRF5/PLN/AKAP12/ESR1/GPR146/ADCY1/GNAI1/CAV1/CA2/CCL21/HOMER2/CACNA1D,51,high
GO:0002684,positive regulation of immune system process,72/565,499/10296,1.6614169960490323e-14,4.761146420106227e-12,3.4677395346106113e-12,C1QA/C1QC/C1QB/VAV3/FCGR2B/GATA3/GPAM/MDK/VEGFB/ZBTB16/THY1/IGF1/FOS/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/CX3CL1/SLC7A5/MFAP4/CCL2/CFD/STXBP2/PLVAP/CEBPA/C5AR1/IGKC/DPP4/RUNX1/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/XBP1/LIF/HMOX1/LGALS1/KIT/BANK1/C7/ITGA2/THBS4/BTNL9/CFB/C4A/C4B/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/CDKN1A/CD36/AZGP1/SERPINE1/CAV1/PTN/EGR3/CA2/AQP3/CCL21/NR4A3/VSIG4/CD24/KCNN4,72,high
GO:0042742,defense response to bacterium,31/565,113/10296,3.079566462951067e-14,8.236813766239786e-12,5.999211579755903e-12,PLA2G2A/S100A9/S100A8/MPEG1/LYZ/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/ACP5/C5AR1/SSC5D/IGKC/IGKV3-20/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/LTF/JCHAIN/CD36/SERPINE1/LCN2,31,high
GO:0002250,adaptive immune response,48/565,258/10296,4.213702965016779e-14,1.0565860184779573e-11,7.695552257162222e-12,C1QA/C1QC/C1QB/FCGR2B/GATA3/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/LILRB5/LAIR1/IGKC/IGKV4-1/IGKV1-5/IGKV3-15/IGKV3-20/IGKV1-39/IGKV2D-28/IGLV1-51/IGLV1-44/IGLV1-40/IGLV3-21/IGLV2-14/IGLC1/IGLL5/IGLC2/IGLC3/ALCAM/JCHAIN/C7/ERAP2/C4A/C4B/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/AZGP1/RAP1GAP/RORC/IGLV2-23,48,high
GO:0030198,extracellular matrix organization,38/565,171/10296,6.292447630313651e-14,1.3286999943588615e-11,9.677470704571022e-12,CCN1/CTSK/ADAMTS4/DDR2/DPT/LAMB3/AGT/POSTN/COL4A1/COL4A2/THSD4/MYH11/MMP2/MFAP4/COL1A1/SOX9/COL5A3/SPINT2/DPP4/COL3A1/RUNX1/FBLN1/FBLN2/COL8A1/CCDC80/SFRP2/DDR1/TNXB/CCN2/ELN/COL1A2/CAV1/COL14A1/ECM2/COL4A5/COL9A2/SPINT1/ELF3,38,high
GO:0043062,extracellular structure organization,38/565,171/10296,6.292447630313651e-14,1.3286999943588615e-11,9.677470704571022e-12,CCN1/CTSK/ADAMTS4/DDR2/DPT/LAMB3/AGT/POSTN/COL4A1/COL4A2/THSD4/MYH11/MMP2/MFAP4/COL1A1/SOX9/COL5A3/SPINT2/DPP4/COL3A1/RUNX1/FBLN1/FBLN2/COL8A1/CCDC80/SFRP2/DDR1/TNXB/CCN2/ELN/COL1A2/CAV1/COL14A1/ECM2/COL4A5/COL9A2/SPINT1/ELF3,38,high
GO:0045229,external encapsulating structure organization,38/565,171/10296,6.292447630313651e-14,1.3286999943588615e-11,9.677470704571022e-12,CCN1/CTSK/ADAMTS4/DDR2/DPT/LAMB3/AGT/POSTN/COL4A1/COL4A2/THSD4/MYH11/MMP2/MFAP4/COL1A1/SOX9/COL5A3/SPINT2/DPP4/COL3A1/RUNX1/FBLN1/FBLN2/COL8A1/CCDC80/SFRP2/DDR1/TNXB/CCN2/ELN/COL1A2/CAV1/COL14A1/ECM2/COL4A5/COL9A2/SPINT1/ELF3,38,high
GO:0050865,regulation of cell activation,58/565,361/10296,7.094521731402325e-14,1.4231610593193063e-11,1.0365469645459395e-11,PLA2G2A/VAV3/FCGR2B/GATA3/GPAM/MDK/ZBTB16/THY1/IGF1/DTX1/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/TYRO3/CX3CL1/CCL2/ERBB2/NR1D1/C1QTNF1/STXBP2/LDLR/CEBPA/APOE/CYP26B1/IGKC/DPP4/SDC4/RUNX1/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/XBP1/HMOX1/LGALS1/BANK1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/CDKN1A/ADGRF5/CCN2/CAV1/EGR3/CCL21/NR4A3/VSIG4/CD24,58,high
GO:0002694,regulation of leukocyte activation,55/565,332/10296,8.926860191995404e-14,1.7054553852516932e-11,1.2421535785954508e-11,PLA2G2A/VAV3/FCGR2B/GATA3/GPAM/MDK/ZBTB16/THY1/IGF1/DTX1/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/TYRO3/CX3CL1/CCL2/ERBB2/NR1D1/STXBP2/LDLR/CEBPA/CYP26B1/IGKC/DPP4/SDC4/RUNX1/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/XBP1/HMOX1/LGALS1/BANK1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/CDKN1A/ADGRF5/CAV1/EGR3/CCL21/NR4A3/VSIG4/CD24,55,high
GO:0099024,plasma membrane invagination,22/565,60/10296,2.461665760993732e-13,4.489183196866752e-11,3.269657489243349e-11,FCGR2B/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/IGKC/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/ITGA2/CD36/MSR1/GSN,22,high
GO:0050853,B cell receptor signaling pathway,19/565,44/10296,3.231536990768233e-13,5.6369245247661525e-11,4.1056048907883815e-11,VAV3/FCGR2B/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/BANK1,19,high
GO:0016064,immunoglobulin mediated immune response,27/565,99/10296,1.6897666900729175e-12,2.8247266502385603e-10,2.057365057737903e-10,C1QA/C1QC/C1QB/FCGR2B/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/C4A/C4B/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1,27,high
