ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006397,mRNA processing,66/483,409/9509,1.4233835771051512e-17,4.403948787563338e-14,4.214713686733464e-14,KDM1A/PPP1R8/SRSF4/SNIP1/SF3A3/PRPF38A/RBM8A/PRPF3/RBM17/KIN/PRPF18/MTPAP/HNRNPH3/ECD/SMNDC1/CPSF7/RBM4/SRSF8/WBP11/DDX23/SART3/ZCCHC8/SFSWAP/RBM23/SNW1/NRDE2/PAPOLA/MFAP1/RNPS1/CD2BP2/NCBP3/ZNF830/CWC25/COIL/CACTIN/KHSRP/HNRNPL/SUPT5H/U2AF2/USP39/IWS1/WDR33/PRPF40A/CWC22/CRNKL1/RPRD1B/CSTF1/USP4/RBM15B/NCBP2/YTHDC1/GRSF1/LARP7/METTL14/PLRG1/IK/RBM22/SLU7/CDC5L/CDC40/HSF1/SMU1/HNRNPK/PRPF4/C9orf78/NONO,66,low
GO:0000375,"RNA splicing, via transesterification reactions",50/483,260/9509,1.137396922623189e-16,1.4999952398247182e-13,1.4355413226369996e-13,KDM1A/SRSF4/SNIP1/SF3A3/PRPF38A/RBM8A/PRPF3/RBM17/PRPF18/HNRNPH3/SMNDC1/RBM4/SRSF8/WBP11/DDX23/SART3/ZCCHC8/SFSWAP/RBM23/SNW1/MFAP1/RNPS1/CD2BP2/CWC25/COIL/CACTIN/KHSRP/HNRNPL/U2AF2/MPHOSPH10/USP39/PRPF40A/CWC22/CRNKL1/USP4/RBM15B/NCBP2/YTHDC1/LARP7/METTL14/PLRG1/IK/RBM22/SLU7/CDC5L/CDC40/SMU1/HNRNPK/PRPF4/C9orf78,50,low
GO:0008380,RNA splicing,59/483,352/9509,1.4544233094615886e-16,1.4999952398247182e-13,1.4355413226369996e-13,KDM1A/PPP1R8/SRSF4/SNIP1/SF3A3/PRPF38A/RBM8A/PRPF3/RBM17/PRPF18/HNRNPH3/ECD/SMNDC1/RBM4/SRSF8/WBP11/DDX23/SART3/ZCCHC8/SFSWAP/RBM23/SNW1/NRDE2/MFAP1/CLK3/RNPS1/CD2BP2/ZNF830/CWC25/COIL/CACTIN/KHSRP/HNRNPL/U2AF2/MPHOSPH10/USP39/IWS1/PRPF40A/PPIG/CWC22/CRNKL1/USP4/RBM15B/NCBP2/YTHDC1/GRSF1/LARP7/METTL14/PLRG1/IK/RBM22/SLU7/CDC5L/CDC40/SMU1/HNRNPK/PRPF4/C9orf78/NONO,59,low
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",47/483,256/9509,6.453475685760318e-15,3.9934107543484845e-12,3.821816232430268e-12,KDM1A/SRSF4/SNIP1/SF3A3/PRPF38A/RBM8A/PRPF3/RBM17/PRPF18/HNRNPH3/RBM4/SRSF8/WBP11/DDX23/SART3/ZCCHC8/SFSWAP/RBM23/SNW1/MFAP1/RNPS1/CD2BP2/CWC25/COIL/CACTIN/HNRNPL/U2AF2/USP39/PRPF40A/CWC22/CRNKL1/USP4/RBM15B/NCBP2/YTHDC1/LARP7/METTL14/PLRG1/IK/RBM22/SLU7/CDC5L/CDC40/SMU1/HNRNPK/PRPF4/C9orf78,47,low
GO:0000398,"mRNA splicing, via spliceosome",47/483,256/9509,6.453475685760318e-15,3.9934107543484845e-12,3.821816232430268e-12,KDM1A/SRSF4/SNIP1/SF3A3/PRPF38A/RBM8A/PRPF3/RBM17/PRPF18/HNRNPH3/RBM4/SRSF8/WBP11/DDX23/SART3/ZCCHC8/SFSWAP/RBM23/SNW1/MFAP1/RNPS1/CD2BP2/CWC25/COIL/CACTIN/HNRNPL/U2AF2/USP39/PRPF40A/CWC22/CRNKL1/USP4/RBM15B/NCBP2/YTHDC1/LARP7/METTL14/PLRG1/IK/RBM22/SLU7/CDC5L/CDC40/SMU1/HNRNPK/PRPF4/C9orf78,47,low
GO:1903311,regulation of mRNA metabolic process,34/483,234/9509,2.3938387621897132e-8,1.2344228550358286e-5,1.1813804277262567e-5,SRSF4/SERBP1/RBM8A/CPSF7/RBM4/CNOT2/SFSWAP/DIS3/PCID2/RBM23/SNW1/PAPOLA/RNPS1/PARN/KHSRP/HNRNPL/SUPT5H/U2AF2/PUM2/IWS1/CWC22/DIS3L2/YTHDF1/RBM15B/NCBP2/YTHDC1/LARP7/METTL14/CNOT6/MAPK14/CNOT7/HSF1/SMU1/HNRNPK,34,low
GO:0050684,regulation of mRNA processing,21/483,116/9509,3.0625397863942344e-07,1.3536425855862515e-4,1.2954773562596966e-4,SRSF4/RBM8A/CPSF7/RBM4/SFSWAP/RBM23/SNW1/PAPOLA/RNPS1/HNRNPL/SUPT5H/U2AF2/IWS1/CWC22/RBM15B/NCBP2/YTHDC1/LARP7/HSF1/SMU1/HNRNPK,21,low
GO:0070646,protein modification by small protein removal,19/483,113/9509,3.562669202949018e-6,0.0013778623142405328,0.0013186563773546827,USP48/MINDY3/ABRAXAS2/SART3/USP8/USP3/USP7/USP10/STAMBP/USP39/COPS7B/USP16/DESI1/USP4/BAP1/SENP2/SENP5/TOR1A/OTUD5,19,low
GO:0045292,"mRNA cis splicing, via spliceosome",8/483,21/9509,4.7332761089373675e-6,0.001627195142339135,0.0015572755198176391,RBM17/WBP11/DDX23/SFSWAP/CACTIN/PRPF40A/NCBP2/RBM22,8,low
GO:0043484,regulation of RNA splicing,19/483,122/9509,1.1311677000125314e-5,0.003499832863838772,0.003349447094879211,SRSF4/RBM8A/HNRNPH3/RBM4/SFSWAP/RBM23/SNW1/CLK3/RNPS1/HNRNPL/U2AF2/CWC22/RBM15B/YTHDC1/GRSF1/LARP7/RBM22/SMU1/HNRNPK,19,low
GO:0048024,"regulation of mRNA splicing, via spliceosome",15/483,83/9509,1.5489884832340014e-5,0.004356882151932727,0.004169669476877748,SRSF4/RBM8A/RBM4/SFSWAP/RBM23/SNW1/RNPS1/HNRNPL/U2AF2/CWC22/RBM15B/YTHDC1/LARP7/SMU1/HNRNPK,15,low
GO:0051304,chromosome separation,12/483,56/9509,1.8563750058907994e-5,0.004786353556855111,0.004580686746991947,MUS81/ZW10/PCID2/CDC16/TOP3A/ZNF207/DIS3L2/CSNK2A1/DYNC1LI1/RIOK2/CDC23/IK,12,low
GO:0022613,ribonucleoprotein complex biogenesis,40/483,395/9509,2.116773159906366e-5,0.005037920120577151,0.004821443642766484,EXOSC10/SF3A3/NSUN4/PRPF3/ISG20L2/PRPF18/EXOSC1/CPSF7/WBP11/DDX23/PWP1/SART3/DENR/SFSWAP/DIS3/CUL4A/FCF1/EIF3J/CD2BP2/NUP88/UTP6/ZNHIT3/DDX52/COIL/FTSJ3/NOL10/MPHOSPH10/USP39/XRCC5/CRNKL1/DHX30/USP4/YTHDC1/HELQ/RIOK2/SLU7/RPL7L1/MRM2/EIF4H/GTPBP10,40,low
GO:0031123,RNA 3'-end processing,16/483,97/9509,2.676842065359369e-5,0.0059158209644442055,0.005661621601395417,EXOSC10/MTPAP/CPSF7/PAPOLA/PARN/ELAC2/SUPT5H/WDR33/RPRD1B/CSTF1/NCBP2/YTHDC1/GRSF1/INTS12/LARP7/HSF1,16,low
