ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0002250,adaptive immune response,65/483,252/9488,4.5045459802037193e-29,1.7756920253963062e-25,1.2773944074388233e-25,C1QA/C1QB/SEMA4A/FCGR2B/PTPRC/CD4/TRAC/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/PRKCB/C3/ICAM1/JAK3/CEACAM1/LILRB5/LILRB1/RSAD2/IGKC/IGKV4-1/IGKV1-5/IGKV3-15/IGKV3-20/ZAP70/SAMSN1/IGLV1-51/IGLV1-44/IGLV1-40/IGLV3-21/IGLV2-14/IGLL5/IGLC2/IGLC3/NFKBIZ/KLHL6/JCHAIN/IL7R/C7/ERAP2/CD74/IRF4/BTN3A2/HLA-G/C2/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/PRDM1/TRBC2/CLU/SASH3/RAP1GAP/RORC/SIGLEC10/SLAMF7/CD3E/IGLV2-23,65,high
GO:0050865,regulation of cell activation,74/483,348/9488,3.1553190758881722e-27,6.219133898575587e-24,4.4739103107593354e-24,PLA2G2A/RUNX3/LAPTM5/FCGR2B/PTPRC/ITPKB/IGF2/MDK/TBC1D10C/THY1/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/CORO1A/CCL2/CCL5/NR1D1/LDLR/RASAL3/JAK3/CEACAM1/APOE/LILRB1/PLEK/VAMP8/IGKC/ZAP70/DPP4/IGFBP2/SERPINE2/SAMSN1/ITGB2/IGLL5/IGLC2/IGLC3/RAC2/LGALS1/NFKBIZ/IL7R/TCF7/CD74/IRF4/RIPOR2/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/PRDM1/CCN2/GPNMB/GLI3/TRBC2/EGR3/SFRP1/IL33/CCL21/VSIG4/SASH3/CD22/CD24/CD3E/IKZF3/F2RL1,74,high
GO:0002694,regulation of leukocyte activation,70/483,320/9488,1.518258072217123e-26,1.9949911068932998e-23,1.4351534198431332e-23,PLA2G2A/RUNX3/LAPTM5/FCGR2B/PTPRC/ITPKB/IGF2/MDK/TBC1D10C/THY1/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/CORO1A/CCL2/CCL5/NR1D1/LDLR/RASAL3/JAK3/CEACAM1/LILRB1/VAMP8/IGKC/ZAP70/DPP4/IGFBP2/SAMSN1/ITGB2/IGLL5/IGLC2/IGLC3/RAC2/LGALS1/NFKBIZ/IL7R/TCF7/CD74/IRF4/RIPOR2/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/PRDM1/GPNMB/GLI3/TRBC2/EGR3/SFRP1/IL33/CCL21/VSIG4/SASH3/CD22/CD24/CD3E/IKZF3/F2RL1,70,high
GO:0002684,positive regulation of immune system process,85/483,484/9488,4.180344771702246e-25,4.1197297725125633e-22,2.9636444249910135e-22,C1QA/C1QB/RUNX3/LAPTM5/JUN/GBP1/FCGR2B/PTPRC/ITPKB/IGF2/MDK/THY1/CD4/ANO6/FOS/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/PRKCB/CORO1A/NLRC5/PLCG2/SLC7A5/CYBA/EVI2B/CCL2/CCL5/CFD/C3/ICAM1/RASAL3/JAK3/CEACAM1/LILRB1/RSAD2/VAMP8/IGKC/ZAP70/DPP4/IGFBP2/ITGB2/IGLL5/IGLC2/IGLC3/RAC2/LGALS1/NFKBIZ/KLHL6/IL7R/FYB1/C7/CD74/RIPOR2/BTN3A2/HLA-G/C2/CFB/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/GLI3/TRBC2/EGR3/CLU/CA2/IL33/AQP3/CCL21/VSIG4/SASH3/CD22/CD24/CD3E/KCNN4/F2RL1,85,high
GO:0051249,regulation of lymphocyte activation,62/483,273/9488,1.7773639919348925e-24,1.4012737712414692e-21,1.0080460198468632e-21,RUNX3/LAPTM5/FCGR2B/PTPRC/ITPKB/IGF2/MDK/TBC1D10C/THY1/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/CORO1A/CCL2/CCL5/RASAL3/JAK3/CEACAM1/LILRB1/IGKC/ZAP70/DPP4/IGFBP2/SAMSN1/IGLL5/IGLC2/IGLC3/RAC2/LGALS1/NFKBIZ/IL7R/TCF7/CD74/IRF4/RIPOR2/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/PRDM1/GPNMB/GLI3/TRBC2/EGR3/SFRP1/CCL21/VSIG4/SASH3/CD22/CD24/CD3E/IKZF3,62,high
GO:0050867,positive regulation of cell activation,54/483,216/9488,1.6047925041078354e-23,1.0543486751988479e-20,7.584756150993876e-21,RUNX3/PTPRC/ITPKB/IGF2/MDK/THY1/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/CORO1A/CCL2/CCL5/RASAL3/JAK3/LILRB1/PLEK/VAMP8/IGKC/ZAP70/DPP4/IGFBP2/ITGB2/IGLL5/IGLC2/IGLC3/LGALS1/NFKBIZ/IL7R/CD74/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/CCN2/GLI3/TRBC2/EGR3/IL33/CCL21/SASH3/CD24/CD3E/F2RL1,54,high
GO:0006959,humoral immune response,35/483,87/9488,3.564284758995106e-23,2.007201502851244e-20,1.4439373143959123e-20,C1QA/C1QB/S100A9/FCGR2B/PTPRC/ALOX5/LYZ/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/CCL2/CFD/C3/IGKC/IGKV3-20/IGLL5/IGLC2/IGLC3/ST6GAL1/JCHAIN/C7/C2/CFB/HLA-DRB1/HLA-DQB1/TRBC2/CLU/VSIG4,35,high
GO:0002696,positive regulation of leukocyte activation,52/483,210/9488,1.8113253422155672e-22,8.925305623767207e-20,6.420671673590446e-20,RUNX3/PTPRC/ITPKB/IGF2/MDK/THY1/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/CORO1A/CCL2/CCL5/RASAL3/JAK3/LILRB1/VAMP8/IGKC/ZAP70/DPP4/IGFBP2/ITGB2/IGLL5/IGLC2/IGLC3/LGALS1/NFKBIZ/IL7R/CD74/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/GLI3/TRBC2/EGR3/IL33/CCL21/SASH3/CD24/CD3E/F2RL1,52,high
GO:0002455,humoral immune response mediated by circulating immunoglobulin,23/483,35/9488,5.117637629851555e-22,2.2401039352585165e-19,1.611482282994591e-19,C1QA/C1QB/FCGR2B/PTPRC/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/C3/IGKC/IGLL5/IGLC2/IGLC3/C7/C2/TRBC2/CLU,23,high
GO:0046649,lymphocyte activation,76/483,440/9488,5.682658384724801e-22,2.2401039352585165e-19,1.611482282994591e-19,RUNX3/LAPTM5/SEMA4A/FCGR2B/PTPRC/ITPKB/WDFY4/IGF2/MDK/TBC1D10C/THY1/CD4/LCP1/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/PRKCB/CORO1A/ITGAL/PLCG2/CCL2/CCL5/ICAM1/RASAL3/JAK3/CEACAM1/LILRB1/RSAD2/IGKC/ZAP70/DPP4/IGFBP2/SAMSN1/IGLL5/IGLC2/IGLC3/RAC2/LGALS1/NFKBIZ/IL7R/TCF7/EGR1/CD74/DOCK2/IRF4/RIPOR2/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/PRDM1/GPNMB/GLI3/IKZF1/TRBC2/EGR3/SFRP1/CCL21/VSIG4/SASH3/RORC/CD22/CD24/SLAMF7/CD3E/IKZF3/F2RL1,76,high
GO:0006956,complement activation,24/483,39/9488,6.495659803324063e-22,2.327808267700314e-19,1.674574881354548e-19,C1QA/C1QB/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/CFD/C3/IGKC/IGLL5/IGLC2/IGLC3/C7/C2/CFB/TRBC2/CLU/VSIG4,24,high
GO:0009617,response to bacterium,63/483,314/9488,8.707355793253341e-22,2.8603663780837224e-19,2.0576856585109213e-19,ISG15/PLA2G2A/JUN/GBP4/S100A9/FCGR2B/HMCN1/RGS1/KMO/ADM/PLAAT3/CASP1/CARD16/CD4/NR4A1/LYZ/TRAC/PCK2/FOS/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/NLRC5/PLCG2/CYBA/CCL2/CCL5/GSDMB/NR1D1/CFD/LRG1/C3/ICAM1/ACP5/LILRB1/IGKC/IGKV3-20/VIL1/IGLL5/IGLC2/IGLC3/CSF2RB/CCDC80/JCHAIN/IL7R/HLA-DRB1/AKAP12/AQP1/TRBC2/ASS1/MAOB/CD24/IKZF3/GGT1/F2RL1/LCN2,63,high
GO:0006958,"complement activation, classical pathway",21/483,30/9488,4.2597911338404344e-21,1.2916997422768456e-18,9.292208351875408e-19,C1QA/C1QB/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/C3/IGKC/IGLL5/IGLC2/IGLC3/C7/C2/TRBC2/CLU,21,high
GO:0051251,positive regulation of lymphocyte activation,47/483,187/9488,1.1169100849991985e-20,3.1448996821906e-18,2.2623727586374744e-18,RUNX3/PTPRC/ITPKB/IGF2/MDK/THY1/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/CORO1A/CCL2/CCL5/RASAL3/JAK3/LILRB1/IGKC/ZAP70/DPP4/IGFBP2/IGLL5/IGLC2/IGLC3/LGALS1/NFKBIZ/IL7R/CD74/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/GLI3/TRBC2/EGR3/CCL21/SASH3/CD24/CD3E,47,high
GO:0007159,leukocyte cell-cell adhesion,47/483,210/9488,1.884774187255325e-18,4.953186564106994e-16,3.5632152003269095e-16,RUNX3/LAPTM5/S100A9/FCGR2B/PTPRC/ITPKB/ALOX5/IGF2/MDK/THY1/CD4/CORO1A/ITGAL/CCL2/CCL5/ICAM1/RASAL3/JAK3/CEACAM1/LILRB1/ZAP70/DPP4/IGFBP2/ITGB2/RAC2/LGALS1/NFKBIZ/IL7R/CD74/RIPOR2/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/GPNMB/GLI3/EGR3/CCL21/KLF4/ASS1/VSIG4/SASH3/CD24/CD3E/ITGB7/CCL28,47,high
GO:0002252,immune effector process,61/483,342/9488,2.0177700515193114e-18,4.971280964430704e-16,3.5762319202585693e-16,C1QA/C1QB/LAPTM5/SEMA4A/FCGR2B/PTPRC/MDK/LCP1/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/CORO1A/ITGAL/PLCG2/SLC7A5/ACE/CFD/C3/ICAM1/JAK3/CEACAM1/LILRB1/RSAD2/VAMP8/IGKC/ITGB2/IGLL5/IGLC2/IGLC3/RAC2/LGALS1/NFKBIZ/IL7R/C7/CD74/DOCK2/IRF4/BTN3A2/HLA-G/C2/CFB/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/TRBC2/CLU/PTGDS/VSIG4/SASH3/RORC/CD22/SLAMF7/F2RL1,61,high
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,43/483,179/9488,3.4061434284977788e-18,7.898245526551908e-16,5.681826870819205e-16,C1QA/C1QB/SEMA4A/FCGR2B/PTPRC/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/C3/ICAM1/JAK3/CEACAM1/LILRB1/RSAD2/IGKC/IGLL5/IGLC2/IGLC3/NFKBIZ/KLHL6/IL7R/C7/CD74/IRF4/BTN3A2/HLA-G/C2/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/TRBC2/CLU/SASH3/RORC,43,high
GO:1903037,regulation of leukocyte cell-cell adhesion,43/483,186/9488,1.5976731886830365e-17,3.49890428321585e-15,2.5170360060304684e-15,RUNX3/LAPTM5/FCGR2B/PTPRC/ITPKB/ALOX5/IGF2/MDK/THY1/CD4/CORO1A/CCL2/CCL5/ICAM1/RASAL3/JAK3/CEACAM1/LILRB1/ZAP70/DPP4/IGFBP2/ITGB2/LGALS1/NFKBIZ/IL7R/CD74/RIPOR2/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/GPNMB/GLI3/EGR3/CCL21/KLF4/ASS1/VSIG4/SASH3/CD24/CD3E/CCL28,43,high
GO:0098609,cell-cell adhesion,69/483,450/9488,4.394615508347122e-17,9.117670702054924e-15,6.559054947084293e-15,RUNX3/LAPTM5/CCN1/S100A9/FCGR2B/HMCN1/PTPRC/ITPKB/ALOX5/IGF2/HBB/DCHS1/PLEKHA7/MDK/THY1/CD4/KRT18/ITGA7/CORO1A/ITGAL/ITGAX/CCL2/CCL5/LAMA3/ICAM1/RASAL3/JAK3/CEACAM1/PLAUR/LILRB1/PLEK/ZAP70/LIMS2/DPP4/FN1/IGFBP2/SERPINE2/MYL9/ITGB2/CLDN5/RAC2/LGALS1/NFKBIZ/FAT4/IL7R/CD74/RIPOR2/HLA-G/TNXB/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/GPNMB/GLI3/HSPB1/CLDN15/EGR3/COL14A1/CCL21/KLF4/ASS1/VSIG4/SASH3/FLNA/CD24/CD3E/ITGB7/CCL28,69,high
GO:0002443,leukocyte mediated immunity,46/483,220/9488,7.588153942497542e-17,1.4956251420662656e-14,1.0759203537414935e-14,C1QA/C1QB/FCGR2B/PTPRC/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/CORO1A/PLCG2/ACE/C3/ICAM1/JAK3/CEACAM1/LILRB1/RSAD2/VAMP8/IGKC/ITGB2/IGLL5/IGLC2/IGLC3/RAC2/IL7R/C7/CD74/BTN3A2/HLA-G/C2/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/TRBC2/CLU/PTGDS/SASH3/SLAMF7/F2RL1,46,high
GO:0050778,positive regulation of immune response,54/483,297/9488,9.054277721584333e-17,1.6996172751659735e-14,1.2226678787943959e-14,C1QA/C1QB/LAPTM5/GBP1/FCGR2B/PTPRC/THY1/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/PRKCB/NLRC5/PLCG2/CYBA/CCL5/CFD/C3/CEACAM1/LILRB1/RSAD2/VAMP8/IGKC/ZAP70/ITGB2/IGLL5/IGLC2/IGLC3/NFKBIZ/KLHL6/FYB1/C7/CD74/BTN3A2/HLA-G/C2/CFB/HLA-DRB1/HLA-DQB1/TRBC2/CLU/VSIG4/SASH3/CD22/CD3E/KCNN4/F2RL1,54,high
GO:0006911,"phagocytosis, engulfment",23/483,53/9488,1.619928896786396e-16,2.9026180505145336e-14,2.0880805971016993e-14,FCGR2B/ANO6/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/PLCG2/C3/IGKC/ITGB2/IGLL5/IGLC2/IGLC3/RAC2/TRBC2/F2RL1,23,high
GO:0042742,defense response to bacterium,31/483,103/9488,2.054104929258321e-16,3.520557230928827e-14,2.532612667927651e-14,ISG15/PLA2G2A/GBP4/S100A9/CASP1/CD4/LYZ/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/CYBA/GSDMB/ACP5/IGKC/IGKV3-20/IGLL5/IGLC2/IGLC3/JCHAIN/IL7R/AQP1/TRBC2/F2RL1/LCN2,31,high
GO:0042110,T cell activation,52/483,284/9488,2.5867311579226805e-16,4.2487059268880024e-14,3.056427078703378e-14,RUNX3/LAPTM5/SEMA4A/FCGR2B/PTPRC/ITPKB/WDFY4/IGF2/MDK/THY1/CD4/LCP1/CORO1A/ITGAL/CCL2/CCL5/ICAM1/RASAL3/JAK3/CEACAM1/LILRB1/RSAD2/ZAP70/DPP4/IGFBP2/RAC2/LGALS1/NFKBIZ/IL7R/TCF7/EGR1/CD74/DOCK2/IRF4/RIPOR2/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/PRDM1/GPNMB/GLI3/EGR3/CCL21/VSIG4/SASH3/RORC/CD24/SLAMF7/CD3E/F2RL1,52,high
GO:0050863,regulation of T cell activation,41/483,183/9488,3.0640992066434493e-16,4.831471629035391e-14,3.4756561106094537e-14,RUNX3/LAPTM5/FCGR2B/PTPRC/ITPKB/IGF2/MDK/THY1/CD4/CORO1A/CCL2/CCL5/RASAL3/JAK3/CEACAM1/LILRB1/ZAP70/DPP4/IGFBP2/RAC2/LGALS1/NFKBIZ/IL7R/TCF7/CD74/IRF4/RIPOR2/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/PRDM1/GPNMB/GLI3/EGR3/CCL21/VSIG4/SASH3/CD24/CD3E,41,high
GO:0002253,activation of immune response,42/483,196/9488,7.162044896721832e-16,1.0756458844482999e-13,7.737963664460253e-14,C1QA/C1QB/LAPTM5/GBP1/FCGR2B/PTPRC/THY1/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/PRKCB/PLCG2/CFD/C3/CEACAM1/IGKC/ZAP70/IGLL5/IGLC2/IGLC3/NFKBIZ/KLHL6/FYB1/C7/BTN3A2/C2/CFB/HLA-DRB1/HLA-DQB1/TRBC2/CLU/VSIG4/CD22/CD3E/KCNN4,42,high
GO:0050851,antigen receptor-mediated signaling pathway,33/483,122/9488,7.367437564714382e-16,1.0756458844482999e-13,7.737963664460253e-14,LAPTM5/GBP1/FCGR2B/PTPRC/THY1/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/PRKCB/PLCG2/CEACAM1/IGKC/ZAP70/IGLL5/IGLC2/IGLC3/NFKBIZ/KLHL6/FYB1/BTN3A2/HLA-DRB1/HLA-DQB1/TRBC2/CD22/CD3E/KCNN4,33,high
GO:0050853,B cell receptor signaling pathway,21/483,47/9488,1.6610241370157926e-15,2.338484695755805e-13,1.6822552726017088e-13,FCGR2B/PTPRC/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/PRKCB/PLCG2/IGKC/IGLL5/IGLC2/IGLC3/KLHL6/TRBC2/CD22,21,high
GO:0019724,B cell mediated immunity,29/483,96/9488,1.7620148238049538e-15,2.3951249777376307e-13,1.7230010654557335e-13,C1QA/C1QB/FCGR2B/PTPRC/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/C3/IGKC/IGLL5/IGLC2/IGLC3/C7/CD74/HLA-G/C2/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/TRBC2/CLU,29,high
GO:0002449,lymphocyte mediated immunity,38/483,166/9488,1.8521587993229612e-15,2.433736662310371e-13,1.7507774755705468e-13,C1QA/C1QB/FCGR2B/PTPRC/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/CORO1A/C3/ICAM1/CEACAM1/LILRB1/RSAD2/IGKC/IGLL5/IGLC2/IGLC3/IL7R/C7/CD74/BTN3A2/HLA-G/C2/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/TRBC2/CLU/SASH3/SLAMF7,38,high
GO:1903039,positive regulation of leukocyte cell-cell adhesion,34/483,134/9488,2.1940629953165303e-15,2.7899988153347617e-13,2.0070647570060216e-13,RUNX3/PTPRC/ITPKB/ALOX5/IGF2/MDK/THY1/CD4/CORO1A/CCL2/CCL5/ICAM1/RASAL3/JAK3/LILRB1/ZAP70/DPP4/IGFBP2/ITGB2/LGALS1/NFKBIZ/IL7R/CD74/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/GLI3/EGR3/CCL21/SASH3/CD24/CD3E,34,high
GO:0099024,plasma membrane invagination,23/483,59/9488,2.814460131469249e-15,3.467063074453681e-13,2.4941301296638675e-13,FCGR2B/ANO6/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/PLCG2/C3/IGKC/ITGB2/IGLL5/IGLC2/IGLC3/RAC2/TRBC2/F2RL1,23,high
GO:0016064,immunoglobulin mediated immune response,28/483,94/9488,8.165725500031836e-15,9.754330279128939e-13,7.017054066056066e-13,C1QA/C1QB/FCGR2B/PTPRC/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/C3/IGKC/IGLL5/IGLC2/IGLC3/C7/CD74/C2/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/TRBC2/CLU,28,high
GO:0006910,"phagocytosis, recognition",15/483,23/9488,1.0884048312258517e-14,1.2619093660859726e-12,9.077902833815617e-13,IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/IGKC/IGLL5/IGLC2/IGLC3/TRBC2,15,high
GO:0050870,positive regulation of T cell activation,31/483,120/9488,2.2916558077082514e-14,2.5810591982816937e-12,1.856758119087528e-12,RUNX3/PTPRC/ITPKB/IGF2/MDK/THY1/CD4/CORO1A/CCL2/CCL5/RASAL3/JAK3/LILRB1/ZAP70/DPP4/IGFBP2/LGALS1/NFKBIZ/IL7R/CD74/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/GLI3/EGR3/CCL21/SASH3/CD24/CD3E,31,high
GO:0002768,immune response-regulating cell surface receptor signaling pathway,36/483,164/9488,4.193118704393169e-14,4.59146498131052e-12,3.303000523285146e-12,LAPTM5/GBP1/FCGR2B/PTPRC/THY1/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/PRKCB/PLCG2/CEACAM1/LILRB1/IGKC/ZAP70/IGLL5/IGLC2/IGLC3/NFKBIZ/KLHL6/FYB1/BTN3A2/HLA-G/HLA-DRB1/HLA-DQB1/TRBC2/CD22/CD24/CD3E/KCNN4,36,high
GO:0010324,membrane invagination,23/483,66/9488,4.870629924847275e-14,5.189195449661611e-12,3.732994884079249e-12,FCGR2B/ANO6/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/PLCG2/C3/IGKC/ITGB2/IGLL5/IGLC2/IGLC3/RAC2/TRBC2/F2RL1,23,high
GO:0030155,regulation of cell adhesion,64/483,456/9488,5.249111947920288e-14,5.445262973342573e-12,3.917204317921678e-12,RUNX3/LAPTM5/CCN1/GBP1/EFNA1/MUC1/FCGR2B/PTPRC/ITPKB/ALOX5/IGF2/MDK/THY1/CD4/POSTN/LMO7/THBS1/CORO1A/CCL2/CCL5/LAMA3/ICAM1/RASAL3/JAK3/CEACAM1/PLAUR/LILRB1/ZAP70/LIMS2/CXCR4/CYTIP/DPP4/FN1/IGFBP2/SERPINE2/ITGB2/RAC2/LGALS1/NFKBIZ/PHLDB2/CCDC80/IL7R/CD74/DUSP1/RIPOR2/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/GPNMB/GLI3/EGR3/SFRP1/CCL21/KLF4/TNC/ASS1/VSIG4/SASH3/FLNA/CD24/CD3E/CCL28,64,high
GO:0022409,positive regulation of cell-cell adhesion,35/483,159/9488,8.77549810447265e-14,8.870003468674663e-12,6.380888500256227e-12,RUNX3/PTPRC/ITPKB/ALOX5/IGF2/MDK/THY1/CD4/CORO1A/CCL2/CCL5/ICAM1/RASAL3/JAK3/PLAUR/LILRB1/ZAP70/DPP4/IGFBP2/ITGB2/LGALS1/NFKBIZ/IL7R/CD74/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/GLI3/EGR3/CCL21/SASH3/CD24/CD3E,35,high
