ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0002250,adaptive immune response,65/484,253/9509,5.78552656776372e-29,2.2748690464446944e-25,1.6315184921093688e-25,C1QA/C1QB/SEMA4A/FCGR2B/PTPRC/CD4/TRAC/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/PRKCB/C3/ICAM1/JAK3/CEACAM1/LILRB5/LILRB1/RSAD2/IGKC/IGKV4-1/IGKV1-5/IGKV3-15/IGKV3-20/ZAP70/IGLV1-51/IGLV1-44/IGLV1-40/IGLV3-21/IGLV2-14/IGLL5/IGLC2/IGLC3/NFKBIZ/KLHL6/JCHAIN/IL7R/C7/ERAP2/CD74/IRF4/BTN3A2/HLA-G/C2/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/PRDM1/TRBC2/CLU/SASH3/RAP1GAP/RORC/SIGLEC10/SLAMF7/CD3E/IGLV2-23/IGLV2-11,65,high
GO:0050865,regulation of cell activation,74/484,349/9509,3.8259738394843296e-27,7.521864568426192e-24,5.394623113672905e-24,PLA2G2A/RUNX3/LAPTM5/FCGR2B/PTPRC/ITPKB/IGF2/MDK/TBC1D10C/THY1/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/CORO1A/CCL2/CCL5/NR1D1/LDLR/RASAL3/JAK3/CEACAM1/APOE/LILRB1/PLEK/VAMP8/IGKC/ZAP70/DPP4/IGFBP2/SERPINE2/ITGB2/IGLL5/IGLC2/IGLC3/RAC2/LGALS1/NFKBIZ/IL7R/TCF7/CD74/IRF4/RIPOR2/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/CNR1/PRDM1/CCN2/GPNMB/GLI3/TRBC2/EGR3/SFRP1/IL33/CCL21/VSIG4/SASH3/CD22/CD24/CD3E/IKZF3/F2RL1,74,high
GO:0002694,regulation of leukocyte activation,70/484,321/9509,1.8539377949369964e-26,2.4298944698974234e-23,1.7427015272407767e-23,PLA2G2A/RUNX3/LAPTM5/FCGR2B/PTPRC/ITPKB/IGF2/MDK/TBC1D10C/THY1/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/CORO1A/CCL2/CCL5/NR1D1/LDLR/RASAL3/JAK3/CEACAM1/LILRB1/VAMP8/IGKC/ZAP70/DPP4/IGFBP2/ITGB2/IGLL5/IGLC2/IGLC3/RAC2/LGALS1/NFKBIZ/IL7R/TCF7/CD74/IRF4/RIPOR2/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/CNR1/PRDM1/GPNMB/GLI3/TRBC2/EGR3/SFRP1/IL33/CCL21/VSIG4/SASH3/CD22/CD24/CD3E/IKZF3/F2RL1,70,high
GO:0002684,positive regulation of immune system process,86/484,485/9509,1.0386434694735566e-25,1.0209865304925062e-22,7.322436459788574e-23,C1QA/C1QB/RUNX3/LAPTM5/JUN/GBP1/FCGR2B/PTPRC/ITPKB/IGF2/MDK/THY1/CD4/ANO6/FOS/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/PRKCB/CORO1A/NLRC5/PLCG2/SLC7A5/CYBA/EVI2B/CCL2/CCL5/CFD/C3/ICAM1/RASAL3/JAK3/CEACAM1/LILRB1/RSAD2/VAMP8/IGKC/ZAP70/DPP4/IGFBP2/ITGB2/IGLL5/IGLC2/IGLC3/RAC2/LGALS1/NFKBIZ/KLHL6/IL7R/FYB1/C7/CD74/RIPOR2/BTN3A2/HLA-G/C2/CFB/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/CNR1/GLI3/TRBC2/EGR3/CLU/CA2/IL33/AQP3/CCL21/VSIG4/SASH3/CD22/CD24/CD3E/KCNN4/F2RL1,86,high
GO:0006959,humoral immune response,36/484,89/9509,6.618983881701734e-24,5.205168924570244e-21,3.733106909279778e-21,C1QA/C1QB/S100A9/FCGR2B/PTPRC/ALOX5/LYZ/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/CCL2/CFD/C3/IGKC/IGKV3-20/IGLL5/IGLC2/IGLC3/ST6GAL1/JCHAIN/C7/C2/CFB/HLA-DRB1/HLA-DQB1/TRBC2/CLU/VSIG4/POU2AF1,36,high
GO:0051249,regulation of lymphocyte activation,61/484,273/9509,1.0861340971558745e-23,7.117798783361498e-21,5.10483025663261e-21,RUNX3/LAPTM5/FCGR2B/PTPRC/ITPKB/IGF2/MDK/TBC1D10C/THY1/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/CORO1A/CCL2/CCL5/RASAL3/JAK3/CEACAM1/LILRB1/IGKC/ZAP70/DPP4/IGFBP2/IGLL5/IGLC2/IGLC3/RAC2/LGALS1/NFKBIZ/IL7R/TCF7/CD74/IRF4/RIPOR2/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/PRDM1/GPNMB/GLI3/TRBC2/EGR3/SFRP1/CCL21/VSIG4/SASH3/CD22/CD24/CD3E/IKZF3,61,high
GO:0050867,positive regulation of cell activation,54/484,216/9509,1.6014635286739056e-23,8.995649421065424e-21,6.451610215514877e-21,RUNX3/PTPRC/ITPKB/IGF2/MDK/THY1/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/CORO1A/CCL2/CCL5/RASAL3/JAK3/LILRB1/PLEK/VAMP8/IGKC/ZAP70/DPP4/IGFBP2/ITGB2/IGLL5/IGLC2/IGLC3/LGALS1/NFKBIZ/IL7R/CD74/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/CCN2/GLI3/TRBC2/EGR3/IL33/CCL21/SASH3/CD24/CD3E/F2RL1,54,high
GO:0002696,positive regulation of leukocyte activation,52/484,210/9509,1.807374675466703e-22,8.883246529918846e-20,6.370995731020129e-20,RUNX3/PTPRC/ITPKB/IGF2/MDK/THY1/CD4/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/THBS1/CORO1A/CCL2/CCL5/RASAL3/JAK3/LILRB1/VAMP8/IGKC/ZAP70/DPP4/IGFBP2/ITGB2/IGLL5/IGLC2/IGLC3/LGALS1/NFKBIZ/IL7R/CD74/HLA-G/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/CDKN1A/GLI3/TRBC2/EGR3/IL33/CCL21/SASH3/CD24/CD3E/F2RL1,52,high
GO:0009617,response to bacterium,64/484,316/9509,2.3368192652749734e-22,1.0209303723401329e-19,7.322033697861583e-20,ISG15/PLA2G2A/JUN/GBP4/S100A9/FCGR2B/HMCN1/RGS1/KMO/ADM/PLAAT3/CASP1/CARD16/CD4/NR4A1/LYZ/TRAC/PCK2/FOS/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/NLRC5/PLCG2/CYBA/CCL2/CCL5/GSDMB/NR1D1/CFD/LRG1/C3/ICAM1/ACP5/LILRB1/IGKC/IGKV3-20/VIL1/IGLL5/IGLC2/IGLC3/CSF2RB/CCDC80/JCHAIN/IL7R/HLA-DRB1/CNR1/AKAP12/AQP1/TRBC2/ASS1/MAOB/CD24/IKZF3/GGT1/F2RL1/LCN2,64,high
GO:0002455,humoral immune response mediated by circulating immunoglobulin,23/484,35/9509,5.106414870209857e-22,2.007842326966516e-19,1.4400089933991797e-19,C1QA/C1QB/FCGR2B/PTPRC/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV4-59/C3/IGKC/IGLL5/IGLC2/IGLC3/C7/C2/TRBC2/CLU,23,high
