ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006397,mRNA processing,46/495,414/9732,3.9356926591016716e-7,0.0012086512156101233,0.0011438365717662859,TARDBP/KDM1A/PPP1R8/KHDRBS1/THRAP3/SF3A3/RBM8A/KIN/ECD/CTR9/RBM4/BUD13/DDX23/SART3/SRSF9/SNRNP35/SNW1/ZC3H14/NRDE2/AQR/MFAP1/CD2BP2/COIL/HNRNPL/USP39/IWS1/WDR33/RPRD1B/CSTF1/DYRK1A/TFIP11/USP4/ISY1/FIP1L1/GRSF1/PLRG1/IK/RBM22/CMTR1/CDK13/SRPK2/VIRMA/SMU1/HNRNPK/GPKOW/NONO,46,low
GO:0008380,RNA splicing,40/495,360/9732,2.3364758598026838e-6,0.003366472783916248,0.00318594366874934,TARDBP/KDM1A/PPP1R8/KHDRBS1/THRAP3/SF3A3/RBM8A/ECD/RBM4/BUD13/DDX23/TMBIM6/SART3/SRSF9/SNRNP35/SNW1/NRDE2/AQR/MFAP1/PDCD7/CD2BP2/COIL/HNRNPL/USP39/IWS1/DYRK1A/TFIP11/USP4/ISY1/GRSF1/PLRG1/IK/RBM22/CDK13/SRPK2/VIRMA/SMU1/HNRNPK/GPKOW/NONO,40,low
GO:0051304,chromosome separation,13/495,56/9732,3.2886415993971813e-6,0.003366472783916248,0.00318594366874934,BUB3/ZW10/ANAPC7/ANAPC5/PCID2/LCMT1/CSNK2A2/ANAPC1/CSNK2A1/TOP2B/MLH1/CDC23/IK,13,low
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,38/495,343/9732,4.518760850119459e-6,0.0034692786426792142,0.0032832365018894277,FAF1/KLHL20/COP1/CUL2/KAT5/RNF121/UBE4A/PCBP2/ANAPC7/ANAPC5/RNF34/CUL4A/NEMF/PSEN1/PPP2R5C/USP7/BFAR/AMFR/UBE2G1/DERL2/TLK2/FBXL12/ANAPC1/PSMF1/NSFL1C/GID8/RNF185/ARIH2/CDC23/FBXO38/FBXW11/FAF2/MAPK9/TRIM39/CUL1/NUB1/PLAA/UBQLN2,38,low
GO:0016973,poly(A)+ mRNA export from nucleus,7/495,16/9732,6.466169002872743e-6,0.0036620913774210724,0.0034657095384872344,NUP133/PCID2/DDX19B/DDX19A/IWS1/POLDIP3/GLE1,7,low
GO:0010498,proteasomal protein catabolic process,42/495,404/9732,7.15485127467484e-6,0.0036620913774210724,0.0034657095384872344,FAF1/KLHL20/COP1/CUL2/KAT5/RNF121/UBE4A/PCBP2/ANAPC7/ANAPC5/RNF34/UBAC2/CUL4A/NEMF/PSEN1/PPP2R5C/USP7/BFAR/AMFR/PSME3IP1/UBE2G1/DERL2/TLK2/FBXL12/ANAPC1/RHBDD1/PSMF1/NSFL1C/GID8/RNF185/ARIH2/CDC23/FBXO38/FBXW11/FAF2/MAPK9/TRIM39/CUL1/NUB1/PLAA/TOR1A/UBQLN2,42,low
GO:1905818,regulation of chromosome separation,11/495,44/9732,8.758895515817391e-6,0.003842652589867887,0.003636588047995762,BUB3/ZW10/ANAPC7/ANAPC5/PCID2/LCMT1/CSNK2A2/ANAPC1/CSNK2A1/CDC23/IK,11,low
GO:0033044,regulation of chromosome organization,21/495,144/9732,1.1577841059004239e-5,0.004337141746320163,0.004104559927878789,EXOSC10/BUB3/ZW10/PPHLN1/ANAPC7/MAPKAPK5/ANAPC5/PCID2/USP7/PARN/LCMT1/CTCF/TERF2/BECN1/ANAPC1/MAPK1/CDC23/IK/MAP3K4/MCPH1/HDAC8,21,low
GO:0051983,regulation of chromosome segregation,12/495,54/9732,1.271060752747687e-5,0.004337141746320163,0.004104559927878789,BUB3/ZW10/ANAPC7/ANAPC5/PCID2/LCMT1/CSNK2A2/BECN1/ANAPC1/CSNK2A1/CDC23/IK,12,low
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",30/495,259/9732,1.981808785805923e-5,0.0055328498010999904,0.005236147423550387,KDM1A/KHDRBS1/THRAP3/SF3A3/RBM8A/RBM4/BUD13/DDX23/SART3/SRSF9/SNRNP35/SNW1/AQR/MFAP1/CD2BP2/COIL/HNRNPL/USP39/DYRK1A/TFIP11/USP4/ISY1/PLRG1/IK/RBM22/CDK13/SRPK2/SMU1/HNRNPK/GPKOW,30,low
