ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0002684,positive regulation of immune system process,97/527,481/9770,1.3367440030200084e-31,5.407129492215934e-28,3.5740313343903386e-28,C1QA/C1QC/C1QB/FGR/THEMIS2/PTAFR/LAPTM5/JUN/GBP5/VCAM1/MNDA/CD84/FCER1G/FCGR2B/PTPRC/GPAM/IGF2/SPI1/PDGFD/IL18/ZBTB16/THY1/CD4/PTPN6/C3AR1/CLEC7A/NCKAP1L/IGF1/GPR183/FOS/LGMN/IGHG2/IGHA1/IGHG1/IGHM/THBS1/PRKCB/CORO1A/ITGAM/CX3CL1/MFAP4/LGALS9/EVI2B/CCL2/CCL5/CD300A/C3/ADGRE2/PLVAP/JAK3/CEBPA/TYROBP/C5AR1/LILRB2/LILRB1/LILRB4/IGKC/ZAP70/SLC11A1/HCK/ITGB2/IGLC2/HMOX1/RAC2/NFAM1/CCR1/MASP1/TFRC/SPON2/KIT/IL7R/FYB1/C7/THBS4/CSF1R/HAVCR2/BTNL9/EDN1/CD83/RIPOR2/AIF1/C2/CFB/HLA-DRA/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMB/CNR1/MYO1G/AZGP1/SERPINE1/TRBC2/SYK/VSIG4/SASH3,97,high
GO:0050865,regulation of cell activation,79/527,348/9770,2.5982575074670877e-29,5.254975808852185e-26,3.473460036298107e-26,PLA2G2A/FGR/THEMIS2/PTAFR/LAPTM5/VCAM1/MNDA/SLAMF8/CD84/FCER1G/FCGR2B/PTPRC/GPAM/IGF2/SPI1/IL18/ZBTB16/THY1/CD4/PTPN6/CLEC7A/NCKAP1L/IGF1/DTX1/GPR183/IGHG2/IGHA1/IGHG1/IGHM/THBS1/CORO1A/ITGAM/CX3CL1/LGALS9/CCL2/CCL5/NR1D1/CD300A/C1QTNF1/LDLR/ADGRE2/JAK3/CEBPA/TYROBP/APOE/LILRB2/LILRB1/LILRB4/EMILIN1/PLEK/CYP26B1/IGKC/ZAP70/ITGB2/IGLC2/HMOX1/RAC2/NFAM1/TFRC/IL7R/HAVCR2/CD83/RIPOR2/LST1/AIF1/HLA-DRA/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMB/CNR1/CCN2/GPNMB/TRBC2/SFRP1/SYK/VSIG4/SASH3,79,high
GO:0002694,regulation of leukocyte activation,73/527,319/9770,2.5433353467907233e-27,3.429263825922825e-24,2.2666918529292763e-24,PLA2G2A/FGR/THEMIS2/PTAFR/LAPTM5/VCAM1/MNDA/SLAMF8/CD84/FCGR2B/PTPRC/GPAM/IGF2/SPI1/IL18/ZBTB16/THY1/CD4/PTPN6/CLEC7A/NCKAP1L/IGF1/DTX1/GPR183/IGHG2/IGHA1/IGHG1/IGHM/THBS1/CORO1A/ITGAM/CX3CL1/LGALS9/CCL2/CCL5/NR1D1/CD300A/LDLR/ADGRE2/JAK3/CEBPA/TYROBP/LILRB2/LILRB1/LILRB4/CYP26B1/IGKC/ZAP70/ITGB2/IGLC2/HMOX1/RAC2/NFAM1/TFRC/IL7R/HAVCR2/CD83/RIPOR2/LST1/AIF1/HLA-DRA/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMB/CNR1/GPNMB/TRBC2/SFRP1/SYK/VSIG4/SASH3,73,high
GO:0006954,inflammatory response,79/527,398/9770,3.4770280002095945e-25,3.5161445652119526e-22,2.3241187159295713e-22,PLA2G2A/FGR/THEMIS2/PTAFR/GBP5/VCAM1/S100A9/S100A8/ACKR1/SLAMF8/FCGR2B/PTPRC/CHI3L1/ALOX5/LIPA/PIK3AP1/H19/ADM/SAA1/FOLR2/BIRC3/IL18/CD163/C3AR1/CLEC7A/LYZ/IGF1/ALOX5AP/FOS/SERPINA1/THBS1/ITGAL/CX3CL1/HP/CD68/KDM6B/PER1/LGALS9/CCL2/CCL5/CCL14/NR1D1/SOCS3/C3/LDLR/ACP5/ADGRE2/CEBPA/ZFP36/APOE/C5AR1/LILRB4/CYP26B1/IL1RN/CXCR4/FN1/SLC11A1/SIGLEC1/HCK/TGM2/PTGIS/ITGB2/HMOX1/NFAM1/CCR1/STAB1/KIT/SPP1/TLR2/CD14/CSF1R/HAVCR2/AIF1/CNR1/SERPINE1/FABP4/SYK/CYBB/TIMP1,79,high
GO:0009617,response to bacterium,70/527,323/9770,1.0633026438199833e-24,8.602118388503665e-22,5.685870979584752e-22,PLA2G2A/ALPL/FGR/PTAFR/JUN/VCAM1/S100A9/S100A8/SLAMF8/FCER1G/FCGR2B/RGS1/MRC1/FGFR2/ADM/SPI1/MPEG1/IL18/IL10RA/CD4/NR4A1/LYZ/OAS3/RNASE6/TRAC/FOS/IGHG2/IGHA1/IGHG1/IGHM/CX3CL1/HP/IRF8/CD68/LGALS9/CCL2/CCL5/GSDMB/NR1D1/C3/ACP5/ZFP36/C5AR1/LILRB2/LILRB1/SSC5D/IGKC/SLC11A1/HCK/IGLC2/CSF2RB/LTF/STAB1/CCDC80/SPON2/JCHAIN/ANXA3/TLR2/HPGD/IL7R/CD14/HAVCR2/EDN1/FKBP5/CNR1/AKAP12/SERPINE1/TRBC2/FABP4/SYK,70,high
GO:0002252,immune effector process,70/527,334/9770,8.648127298171166e-24,5.830279153517061e-21,3.853726901290309e-21,C1QA/C1QC/C1QB/FGR/PTAFR/LAPTM5/SLAMF8/CD84/FCER1G/FCGR2B/PTPRC/PRF1/SPI1/IL18/PTPN6/CLEC7A/NCKAP1L/LCP1/GPR183/IGHG2/IGHA1/IGHG1/IGHM/CORO1A/ITGAL/ITGAM/IRF8/MFAP4/LGALS9/ACE/CD300A/C3/ADGRE2/JAK3/TYROBP/LILRB1/LILRB4/CD8A/IGKC/SLC11A1/HCK/ITGB2/IGLC2/HMOX1/RAC2/MASP1/TFRC/SPON2/KIT/ANXA3/IL7R/C7/HAVCR2/DOCK2/C2/CFB/HLA-DRA/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMB/MYO1G/AZGP1/TRBC2/TCIM/SYK/PTGDS/VSIG4/SASH3,70,high
GO:0002443,leukocyte mediated immunity,56/527,219/9770,1.326519319859135e-23,7.665386641186002e-21,5.0667053720935396e-21,C1QA/C1QC/C1QB/FGR/PTAFR/CD84/FCER1G/FCGR2B/PTPRC/PRF1/SPI1/IL18/PTPN6/CLEC7A/NCKAP1L/IGHG2/IGHA1/IGHG1/IGHM/CORO1A/ITGAM/LGALS9/ACE/CD300A/C3/ADGRE2/JAK3/TYROBP/LILRB1/LILRB4/CD8A/IGKC/ITGB2/IGLC2/HMOX1/RAC2/TFRC/SPON2/KIT/ANXA3/IL7R/C7/HAVCR2/C2/HLA-DRA/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMB/MYO1G/AZGP1/TRBC2/SYK/PTGDS/SASH3,56,high
GO:0006935,chemotaxis,66/527,315/9770,1.9050382671285038e-22,9.632349738168497e-20,6.366838419087368e-20,PLEKHG5/PTAFR/CSF3R/CCN1/VCAM1/S100A9/S100A8/SLAMF8/FCER1G/ALOX5/LSP1/SAA1/SPI1/PDGFD/NCAM1/JAML/C3AR1/BIN2/NR4A1/NCKAP1L/PLXNC1/GPR183/LGMN/THBS1/NTRK3/CORO1A/CX3CL1/CXCL16/LGALS9/CCL2/CCL5/CCL14/ADGRE2/NOTCH3/PLAUR/C5AR1/CXCR4/ITGB2/RAC2/CHL1/CCR1/SEMA3B/SEMA3G/ALCAM/KIT/EMB/THBS4/LOX/CXCL14/CSF1R/DOCK2/DUSP1/TUBB2B/EDN1/RIPOR2/AIF1/SMOC2/GPNMB/HSPB1/SEMA3C/SERPINE1/RELN/NRCAM/PLXNA4/ANGPT2/SYK,66,high
GO:0042330,taxis,66/527,316/9770,2.292764720476095e-22,1.0304703660362004e-19,6.811254257320797e-20,PLEKHG5/PTAFR/CSF3R/CCN1/VCAM1/S100A9/S100A8/SLAMF8/FCER1G/ALOX5/LSP1/SAA1/SPI1/PDGFD/NCAM1/JAML/C3AR1/BIN2/NR4A1/NCKAP1L/PLXNC1/GPR183/LGMN/THBS1/NTRK3/CORO1A/CX3CL1/CXCL16/LGALS9/CCL2/CCL5/CCL14/ADGRE2/NOTCH3/PLAUR/C5AR1/CXCR4/ITGB2/RAC2/CHL1/CCR1/SEMA3B/SEMA3G/ALCAM/KIT/EMB/THBS4/LOX/CXCL14/CSF1R/DOCK2/DUSP1/TUBB2B/EDN1/RIPOR2/AIF1/SMOC2/GPNMB/HSPB1/SEMA3C/SERPINE1/RELN/NRCAM/PLXNA4/ANGPT2/SYK,66,high
GO:0098609,cell-cell adhesion,82/527,476/9770,6.95698180188426e-22,2.814099138862183e-19,1.8600772396616865e-19,PTAFR/LAPTM5/PTPRF/CCN1/VCAM1/S100A9/S100A8/CADM3/CD84/FCGR2B/SELL/PTPRC/ALOX5/GPAM/IGF2/HBB/SPI1/FERMT3/IL18/ZBTB16/JAML/THY1/CD4/PTPN6/PKP2/NCKAP1L/IGF1/SELPLG/DTX1/CORO1A/ITGAL/ITGAM/ITGAX/CX3CL1/LGALS9/CCL2/CCL5/CD300A/C1QTNF1/JAK3/PLAUR/LILRB2/LILRB1/LILRB4/CYP1B1/PLEK/ZAP70/IL1RN/FN1/SIGLEC1/ITGB2/CLDN5/RAC2/ALCAM/CLSTN2/TFRC/KIT/SLC39A8/IL7R/EMB/THBS4/HAVCR2/CYFIP2/CD83/RIPOR2/AIF1/TNXB/NOTCH4/HLA-DRA/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMB/GPNMB/HSPB1/NRCAM/COL14A1/SYK/VSIG4/SASH3/FLNA,82,high
