ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006397,mRNA processing,49/381,394/7515,2.808857379865558e-9,7.6204300715752585e-6,7.521824394082083e-6,PPP1R8/KHDRBS1/THRAP3/SNIP1/PRPF38A/RBMXL1/AHCYL1/RBM8A/KIN/PRPF18/ECD/SF3B2/RBM4B/BUD13/ZPR1/WBP11/DDX23/SART3/SRSF9/ZCCHC8/SNW1/NRDE2/TXNL4B/COIL/SUGP1/HNRNPL/USP39/IWS1/WDR33/POLR2D/DYRK1A/ISY1/DHX15/FIP1L1/YTHDC1/GRSF1/IK/RBM22/DDX41/DHX16/CDK13/CPSF4/CCAR2/VIRMA/SMU1/HNRNPK/RNF20/PRPF4/NONO,49,low
GO:0008380,RNA splicing,43/381,341/7515,1.9115863161668593e-8,2.5930668378803446e-5,2.5595134675413106e-5,PPP1R8/KHDRBS1/THRAP3/SNIP1/PRPF38A/RBMXL1/RBM8A/PRPF18/ECD/SF3B2/RBM4B/BUD13/ZPR1/WBP11/DDX23/SART3/SRSF9/ZCCHC8/SNW1/NRDE2/TXNL4B/COIL/SUGP1/HNRNPL/USP39/IWS1/RBM12/DYRK1A/ISY1/DHX15/YTHDC1/GRSF1/IK/RBM22/DDX41/DHX16/CDK13/CCAR2/VIRMA/SMU1/HNRNPK/PRPF4/NONO,43,low
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",31/381,247/7515,2.2859923162150713e-6,0.0015504742884728721,0.0015304116980134584,KHDRBS1/THRAP3/SNIP1/PRPF38A/RBMXL1/RBM8A/PRPF18/SF3B2/RBM4B/BUD13/WBP11/DDX23/SART3/SRSF9/ZCCHC8/SNW1/TXNL4B/COIL/HNRNPL/USP39/DYRK1A/ISY1/YTHDC1/IK/RBM22/DDX41/DHX16/CDK13/SMU1/HNRNPK/PRPF4,31,low
GO:0000398,"mRNA splicing, via spliceosome",31/381,247/7515,2.2859923162150713e-6,0.0015504742884728721,0.0015304116980134584,KHDRBS1/THRAP3/SNIP1/PRPF38A/RBMXL1/RBM8A/PRPF18/SF3B2/RBM4B/BUD13/WBP11/DDX23/SART3/SRSF9/ZCCHC8/SNW1/TXNL4B/COIL/HNRNPL/USP39/DYRK1A/ISY1/YTHDC1/IK/RBM22/DDX41/DHX16/CDK13/SMU1/HNRNPK/PRPF4,31,low
GO:0000375,"RNA splicing, via transesterification reactions",31/381,251/7515,3.220367291136592e-6,0.001745172954728933,0.0017225910321960174,KHDRBS1/THRAP3/SNIP1/PRPF38A/RBMXL1/RBM8A/PRPF18/SF3B2/RBM4B/BUD13/WBP11/DDX23/SART3/SRSF9/ZCCHC8/SNW1/TXNL4B/COIL/HNRNPL/USP39/DYRK1A/ISY1/YTHDC1/IK/RBM22/DDX41/DHX16/CDK13/SMU1/HNRNPK/PRPF4,31,low
GO:0006511,ubiquitin-dependent protein catabolic process,47/381,468/7515,3.883722897444347e-6,0.001745172954728933,0.0017225910321960174,KAT5/RNF121/USP30/ANAPC7/ANAPC5/RNF34/CUL4A/DCAF11/PSMC1/BAG5/TRIP4/UBE2I/USP7/BFAR/VPS4A/DERL2/GID4/TNFAIP1/PSMD11/UBE2Z/SPOP/APPBP2/TLK2/DMAC2/CSNK2A1/PSMF1/RNF114/GID8/ARIH2/BAP1/ARMC8/RNF4/UBE2K/CSNK1A1/FBXW11/FAF2/RMND5B/MAPK9/KLHDC10/CNOT4/UBE3C/VPS37A/CCAR2/PLAA/PABIR1/UBQLN1/RNF20,47,low
GO:0031056,regulation of histone modification,18/381,105/7515,4.502842124254527e-6,0.001745172954728933,0.0017225910321960174,KDM4A/MTF2/CHTOP/PYGO2/PARG/SART3/SNW1/RTF1/GLYR1/CTCF/KAT7/SMAD4/AKAP8/IWS1/WDR70/C6orf89/PAXIP1/RNF20,18,low
GO:0019941,modification-dependent protein catabolic process,47/381,478/7515,6.923448648933584e-6,0.002347914523069602,0.002317533337221979,KAT5/RNF121/USP30/ANAPC7/ANAPC5/RNF34/CUL4A/DCAF11/PSMC1/BAG5/TRIP4/UBE2I/USP7/BFAR/VPS4A/DERL2/GID4/TNFAIP1/PSMD11/UBE2Z/SPOP/APPBP2/TLK2/DMAC2/CSNK2A1/PSMF1/RNF114/GID8/ARIH2/BAP1/ARMC8/RNF4/UBE2K/CSNK1A1/FBXW11/FAF2/RMND5B/MAPK9/KLHDC10/CNOT4/UBE3C/VPS37A/CCAR2/PLAA/PABIR1/UBQLN1/RNF20,47,low
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,35/381,314/7515,7.805804504712962e-6,0.0023530164023651406,0.002322569199998804,KAT5/RNF121/ANAPC7/ANAPC5/RNF34/CUL4A/DCAF11/PSMC1/BAG5/TRIP4/USP7/BFAR/DERL2/GID4/TNFAIP1/SPOP/APPBP2/TLK2/DMAC2/PSMF1/GID8/ARIH2/ARMC8/RNF4/UBE2K/CSNK1A1/FBXW11/FAF2/RMND5B/MAPK9/KLHDC10/CCAR2/PLAA/PABIR1/UBQLN1,35,low
GO:0043632,modification-dependent macromolecule catabolic process,47/381,489/7515,1.2732868546920023e-5,0.0034544272367794024,0.0034097281666699516,KAT5/RNF121/USP30/ANAPC7/ANAPC5/RNF34/CUL4A/DCAF11/PSMC1/BAG5/TRIP4/UBE2I/USP7/BFAR/VPS4A/DERL2/GID4/TNFAIP1/PSMD11/UBE2Z/SPOP/APPBP2/TLK2/DMAC2/CSNK2A1/PSMF1/RNF114/GID8/ARIH2/BAP1/ARMC8/RNF4/UBE2K/CSNK1A1/FBXW11/FAF2/RMND5B/MAPK9/KLHDC10/CNOT4/UBE3C/VPS37A/CCAR2/PLAA/PABIR1/UBQLN1/RNF20,47,low
