ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0002684,positive regulation of immune system process,67/373,387/7620,1.0009064478741581e-20,2.9889271891292084e-17,2.2299039722190895e-17,THEMIS2/PTAFR/GBP1/GBP5/CSF1/MNDA/FCGR2B/CD55/VSIR/ADAM8/IRF7/SPI1/PTPRJ/GAB2/LRRK2/IRAK3/CMKLR1/GPR183/TNFSF13B/PRKCH/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/DAPK2/FES/ITGAM/LGALS9/CCL5/RARA/GRN/BCL2/TNFSF14/ADGRE2/RSAD2/PELI1/IGKC/IL1R1/IL18R1/DPP4/SIRPA/HCK/NFATC2/NFAM1/CCR1/NFKBIZ/PARP9/PLSCR1/CD38/IL6ST/BTN3A2/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DOA/CDKN1A/VEGFA/TRBC2/TRIB1/LEF1/CD27/RASGRP1/KCNN4,67,high
GO:0045321,leukocyte activation,70/373,426/7620,2.5461878631316957e-20,2.9889271891292084e-17,2.2299039722190895e-17,THEMIS2/PTAFR/CSF1/SEMA4A/MNDA/FCGR2B/CD55/VSIR/ADAM8/CD151/SPI1/PTPRJ/TCIRG1/GAB2/JAML/LRRK2/GPR183/TNFSF13B/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/RORA/FES/ITGAM/LGALS9/CCL5/RARA/GRN/BCL2/SBNO2/TNFSF14/ADGRE2/BCL3/RSAD2/PELI1/IGKC/IL18R1/DPP4/SIRPA/NFATC2/NFAM1/NFKBIZ/PLSCR1/CD38/TLR1/IL6ST/TCF7/LST1/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DOA/CDKN1A/HDAC9/SKAP2/NAMPT/TRBC2/NFIL3/GSN/ITM2A/LEF1/CD27/SLAMF7/RASGRP1/CAMK4,70,high
GO:0001775,cell activation,74/373,471/7620,2.651325123414437e-20,2.9889271891292084e-17,2.2299039722190895e-17,THEMIS2/PTAFR/CSF1/SEMA4A/MNDA/F11R/FCGR2B/CD55/VSIR/ADAM8/CD151/SPI1/PTPRJ/TCIRG1/GAB2/JAML/CD9/LRRK2/GPR183/TNFSF13B/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/RORA/FES/ITGAM/P2RX1/LGALS9/CCL5/RARA/GRN/BCL2/SBNO2/TNFSF14/ADGRE2/BCL3/RSAD2/PELI1/IGKC/IL18R1/DPP4/SIRPA/NFATC2/NFAM1/NFKBIZ/PLSCR1/CD38/TLR1/IL6ST/TCF7/LST1/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DOA/CDKN1A/HDAC9/SKAP2/NAMPT/TRBC2/NFIL3/GSN/TIMP1/ITM2A/LEF1/CD27/SLAMF7/RASGRP1/CAMK4,74,high
GO:0050865,regulation of cell activation,54/373,271/7620,1.2514140944043102e-19,1.0283600944346833e-16,7.672131552055577e-17,THEMIS2/PTAFR/MNDA/F11R/FCGR2B/CD55/VSIR/ADAM8/SPI1/GAB2/CD9/LRRK2/GPR183/TNFSF13B/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/RORA/FES/ITGAM/LGALS9/CCL5/RARA/GRN/BCL2/TNFSF14/ADGRE2/PELI1/IGKC/DPP4/SIRPA/NFATC2/NFAM1/NFKBIZ/PLSCR1/CD38/IL6ST/TCF7/LST1/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DOA/CDKN1A/TRBC2/LEF1/CD27/RASGRP1/CAMK4,54,high
GO:0034097,response to cytokine,70/373,440/7620,1.6594329100003908e-19,1.0283600944346833e-16,7.672131552055577e-17,ISG15/GBP3/GBP1/GBP4/GBP5/CSF1/MNDA/CHI3L1/FAS/IFIT2/IFIT3/IFIT1/IFITM2/IFITM3/IRF7/SPI1/PTPRJ/TCIRG1/ETS1/TNFRSF1A/IRAK3/CMKLR1/OAS1/OAS3/TNFSF13B/RAB20/RORA/XAF1/LGALS9/CCL5/RARA/SOCS3/FASN/BCL2/SBNO2/KLF2/EIF2AK2/IL1R1/IL18R1/STAT1/SIRPA/HCK/MX2/MX1/CSF2RB/CCR1/FLNB/ST3GAL6/PARP9/PARP14/PLSCR1/CD38/ACSL1/IL6ST/TCF7/AIF1/HSPA1A/SNX10/ZYX/PTP4A3/DAPK1/NFIL3/NOTCH1/IL3RA/TIMP1/PLP2/IL13RA1/LEF1/PADI2/IL2RB,70,high
GO:0098542,defense response to other organism,71/373,452/7620,1.8244117583110883e-19,1.0283600944346833e-16,7.672131552055577e-17,ISG15/IFI6/IFI44L/GBP3/GBP1/GBP4/GBP5/CSF1/MNDA/FCGR2B/NCF2/CD55/DDIT4/IFIT2/IFIT3/IFIT1/ADAM8/IFITM2/IFITM3/IRF7/SPI1/TNFRSF1A/IRAK3/OAS1/OAS3/RAB20/RNASE6/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/FES/MSRB1/ITGAM/ITGAX/LGALS9/SLFN13/CCL5/GSDMB/GRN/TBKBP1/SEC14L1/BCL2/BCL3/NOP53/RSAD2/EIF2AK2/IGKC/STAT1/SIRPA/HCK/MX2/MX1/FLNB/PARP9/PARP14/PLSCR1/TLR1/JCHAIN/HERC5/ALPK1/HLA-C/AIF1/RNASET2/TRBC2/ZYX/DAPK1/SIGLEC10/SLAMF7/RASGRP1,71,high
GO:0045087,innate immune response,62/373,359/7620,3.955418720915217e-19,1.9110323020193234e-16,1.4257351389524475e-16,ISG15/IFI6/GBP3/GBP1/GBP4/GBP5/CSF1/MNDA/FCGR2B/NCF2/CD55/IFIT2/IFIT3/IFIT1/ADAM8/IFITM2/IFITM3/IRF7/SPI1/IRAK3/OAS1/OAS3/RAB20/RNASE6/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/FES/MSRB1/ITGAM/LGALS9/CCL5/GRN/TBKBP1/SEC14L1/RSAD2/EIF2AK2/IGKC/STAT1/SIRPA/HCK/MX2/MX1/FLNB/PARP9/PARP14/PLSCR1/TLR1/JCHAIN/HERC5/ALPK1/HLA-C/AIF1/RNASET2/TRBC2/ZYX/DAPK1/SIGLEC10/SLAMF7/RASGRP1,62,high
GO:0002694,regulation of leukocyte activation,52/373,261/7620,6.438107980021176e-19,2.721710148553952e-16,2.0305453721198367e-16,THEMIS2/PTAFR/MNDA/FCGR2B/CD55/VSIR/ADAM8/SPI1/GAB2/LRRK2/GPR183/TNFSF13B/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/RORA/FES/ITGAM/LGALS9/CCL5/RARA/GRN/BCL2/TNFSF14/ADGRE2/PELI1/IGKC/DPP4/SIRPA/NFATC2/NFAM1/NFKBIZ/PLSCR1/CD38/IL6ST/TCF7/LST1/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DOA/CDKN1A/TRBC2/LEF1/CD27/RASGRP1/CAMK4,52,high
GO:0007155,cell adhesion,70/373,466/7620,4.320543182896361e-18,1.4616139196087676e-15,1.0904443229799298e-15,THEMIS2/PTAFR/GBP1/CSF1/S100A11/F11R/FCGR2B/CD55/NID1/ALOX5/VSIR/ADAM8/CD151/SPI1/PTPRJ/JAML/MPZL3/ETS1/CD9/PLXNC1/TNFSF13B/HAPLN3/FES/IL32/ITGAM/ITGAX/SCARF1/LGALS9/CCL5/RARA/JUP/LGALS3BP/DSC2/BCL2/TNFSF14/ADGRE2/PLAUR/MYADM/RHOB/CYP1B1/PELI1/DPP4/SIRPA/HCK/PLXNB2/CCR1/NFKBIZ/CHST2/IL6ST/VCAN/ADAM19/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DOA/VEGFA/AFDN/ZYX/NINJ1/MEGF9/NOTCH1/PLXNA3/SIGLEC10/LEF1/CD27/SLAMF7/RASGRP1,70,high
GO:0006954,inflammatory response,52/373,272/7620,4.321744292160756e-18,1.4616139196087676e-15,1.0904443229799298e-15,THEMIS2/PTAFR/GBP5/CSF1/F11R/FCGR2B/CHI3L1/ALOX5/ADAM8/ADM/NEAT1/TCIRG1/ETS1/TNFRSF1A/LRRK2/CMKLR1/ALOX5AP/RORA/P2RX1/KDM6B/PER1/LGALS9/CCL5/GRN/SOCS3/SBNO2/ADGRE2/IL1R1/IL18R1/SIRPA/HCK/NFAM1/CCR1/GPX1/NFKBIZ/CHST2/PLSCR1/TLR1/IL6ST/NDST1/AIF1/HLA-DRB1/HDAC9/TPST1/ZYX/NINJ1/PTGS1/NOTCH1/TIMP1/SIGLEC10/RASGRP1/CAMK4,52,high
