ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0045321,leukocyte activation,84/374,423/7515,4.87486933377185e-30,1.6662303382832184e-26,1.1709949283860382e-26,TNFRSF1B/FGR/THEMIS2/PTAFR/IL6R/SEMA4A/MNDA/FCGR2B/CD55/ZMIZ1/ADAM8/CD151/SPI1/PTPRJ/TCIRG1/GAB2/JAML/LRRK2/GPR183/TNFSF13B/LGALS3/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/RORA/FES/ITGAM/LGALS9/CCL5/GRN/CD300A/BCL2/SBNO2/TNFSF14/ICAM1/ADGRE2/BCL3/LILRB1/LILRB4/RSAD2/IGKC/IL18R1/DPP4/SIRPA/NFATC2/HMOX1/LGALS1/NFAM1/NFKBIZ/PLSCR1/CD38/TLR1/IL6ST/TCF7/LST1/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DQB2/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/PRDM1/IFNGR1/AHR/HDAC9/SKAP2/FGL2/NAMPT/TRBC2/NFIL3/GSN/ITM2A/LEF1/CD27/SLAMF7/RASGRP1/CAMK4,84,high
GO:0001775,cell activation,87/374,467/7515,5.330697473236977e-29,9.110161981761994e-26,6.402448228382518e-26,TNFRSF1B/FGR/THEMIS2/PTAFR/IL6R/SEMA4A/MNDA/FCGR2B/CD55/ZMIZ1/ADAM8/CD151/SPI1/PTPRJ/TCIRG1/GAB2/JAML/CD9/LRRK2/RGCC/GPR183/TNFSF13B/LGALS3/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/RORA/FES/ITGAM/LGALS9/CCL5/GRN/CD300A/BCL2/SBNO2/TNFSF14/ICAM1/ADGRE2/BCL3/LILRB1/LILRB4/RSAD2/IGKC/IL18R1/DPP4/SIRPA/NFATC2/HMOX1/LGALS1/NFAM1/NFKBIZ/PLSCR1/CD38/TLR1/IL6ST/TCF7/LST1/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DQB2/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/PRDM1/IFNGR1/AHR/HDAC9/SKAP2/FGL2/NAMPT/TRBC2/NFIL3/GSN/TIMP1/ITM2A/LEF1/CD27/SLAMF7/RASGRP1/CAMK4,87,high
GO:0002694,regulation of leukocyte activation,64/374,260/7515,2.5413247641636874e-28,2.895416014637161e-25,2.034843197130363e-25,TNFRSF1B/FGR/THEMIS2/PTAFR/MNDA/FCGR2B/CD55/ZMIZ1/ADAM8/SPI1/GAB2/LRRK2/GPR183/TNFSF13B/LGALS3/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/RORA/FES/ITGAM/LGALS9/CCL5/GRN/CD300A/BCL2/TNFSF14/ADGRE2/LILRB1/LILRB4/IGKC/DPP4/SIRPA/NFATC2/HMOX1/LGALS1/NFAM1/NFKBIZ/PLSCR1/CD38/IL6ST/TCF7/LST1/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DQB2/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/PRDM1/AHR/FGL2/TRBC2/LEF1/CD27/RASGRP1/CAMK4,64,high
GO:0050865,regulation of cell activation,65/374,270/7515,3.6852401364531315e-28,3.1490376965992007e-25,2.2130836819436965e-25,TNFRSF1B/FGR/THEMIS2/PTAFR/MNDA/FCGR2B/CD55/ZMIZ1/ADAM8/SPI1/GAB2/CD9/LRRK2/GPR183/TNFSF13B/LGALS3/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/RORA/FES/ITGAM/LGALS9/CCL5/GRN/CD300A/BCL2/TNFSF14/ADGRE2/LILRB1/LILRB4/IGKC/DPP4/SIRPA/NFATC2/HMOX1/LGALS1/NFAM1/NFKBIZ/PLSCR1/CD38/IL6ST/TCF7/LST1/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DQB2/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/PRDM1/AHR/FGL2/TRBC2/LEF1/CD27/RASGRP1/CAMK4,65,high
GO:0002684,positive regulation of immune system process,75/374,385/7515,3.748042165823864e-26,2.5621616245571935e-23,1.8006383626126438e-23,FGR/THEMIS2/PTAFR/JUN/GBP1/GBP5/IL6R/MNDA/FCGR2B/CD55/ZMIZ1/ADAM8/IRF7/SPI1/PTPRJ/GAB2/LRRK2/IRAK3/CMKLR1/TESC/RGCC/GPR183/TNFSF13B/LGALS3/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/FES/ITGAM/SLC7A5/LGALS9/CCL5/GRN/CD300A/BCL2/TNFSF14/ICAM1/ADGRE2/LILRB1/LILRB4/RSAD2/IGKC/IL18R1/DPP4/SIRPA/HCK/NFATC2/HMOX1/LGALS1/NFAM1/CCR1/NFKBIZ/PLSCR1/CD38/IL6ST/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DQB2/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/VEGFA/TRBC2/TRIB1/LEF1/CD27/RASGRP1/KCNN4,75,high
GO:0046649,lymphocyte activation,71/374,369/7515,2.165609057477114e-24,1.233675293076129e-21,8.670034858180306e-22,TNFRSF1B/FGR/THEMIS2/IL6R/SEMA4A/MNDA/FCGR2B/CD55/ZMIZ1/ADAM8/CD151/SPI1/PTPRJ/TCIRG1/JAML/GPR183/TNFSF13B/LGALS3/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/RORA/LGALS9/CCL5/CD300A/BCL2/TNFSF14/ICAM1/BCL3/LILRB1/LILRB4/RSAD2/IGKC/IL18R1/DPP4/SIRPA/NFATC2/LGALS1/NFAM1/NFKBIZ/CD38/IL6ST/TCF7/LST1/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DQB2/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/PRDM1/AHR/HDAC9/SKAP2/FGL2/TRBC2/NFIL3/GSN/ITM2A/LEF1/CD27/SLAMF7/RASGRP1/CAMK4,71,high
GO:0034097,response to cytokine,77/374,433/7515,3.4533404377737964e-24,1.6862168023301194e-21,1.1850410344360607e-21,ISG15/TNFRSF1B/LDLRAP1/JUN/GBP1/GBP2/GBP4/GBP5/IL6R/MNDA/IFIT2/IFIT3/IFIT1/IFITM2/IFITM1/IFITM3/IRF7/SPI1/PTPRJ/TCIRG1/BIRC3/IRAK3/CMKLR1/OAS1/OAS3/TNFSF13B/RAB20/RORA/MT2A/XAF1/LGALS9/CCL5/SOCS3/FASN/BCL2/SBNO2/ICAM1/ACP5/KLF2/LILRB1/LILRB4/EIF2AK2/HK2/IL18R1/STAT1/SIRPA/HCK/MX2/MX1/CSF2RB/CCR1/FLNB/ST3GAL6/PARP14/PLSCR1/CD38/ACSL1/IL6ST/TCF7/DUSP1/AIF1/HSPA1A/HLA-DPA1/IFNGR1/SNX10/PTP4A3/DAPK1/NFIL3/TRAF1/NOTCH1/IL3RA/TIMP1/PLP2/IL13RA1/LEF1/KYNU/IL2RB,77,high
GO:0007155,cell adhesion,79/374,461/7515,9.552457595138506e-24,4.081287507522927e-21,2.8682510831718517e-21,THEMIS2/PTAFR/GBP1/S100A11/FCGR2B/SELL/CD55/NID1/ALOX5/ZMIZ1/ADAM8/CD151/SPI1/PTPRJ/JAML/MPZL3/CD9/PLXNC1/TESC/RGCC/TNFSF13B/LGALS3/ACTN1/HAPLN3/FES/IL32/ITGAM/ITGAX/SCARF1/LGALS9/CCL5/JUP/VMP1/PECAM1/CD300A/LGALS3BP/BCL2/TNFSF14/ICAM1/ADGRE2/PLAUR/MYADM/LILRB1/LILRB4/RHOB/CYP1B1/DPP4/SIRPA/HCK/LGALS1/PLXNB2/CCR1/NFKBIZ/CHST2/IL6ST/VCAN/ADAM19/DUSP1/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DQB2/HLA-DOA/HLA-DPA1/HLA-DPB1/VEGFA/AFDN/FGL2/NINJ1/NOTCH1/PLXNA3/SIGLEC10/LEF1/CD27/SLAMF7/RASGRP1,79,high
GO:0022610,biological adhesion,79/374,463/7515,1.277395006464442e-23,4.851262368994959e-21,3.409374742399832e-21,THEMIS2/PTAFR/GBP1/S100A11/FCGR2B/SELL/CD55/NID1/ALOX5/ZMIZ1/ADAM8/CD151/SPI1/PTPRJ/JAML/MPZL3/CD9/PLXNC1/TESC/RGCC/TNFSF13B/LGALS3/ACTN1/HAPLN3/FES/IL32/ITGAM/ITGAX/SCARF1/LGALS9/CCL5/JUP/VMP1/PECAM1/CD300A/LGALS3BP/BCL2/TNFSF14/ICAM1/ADGRE2/PLAUR/MYADM/LILRB1/LILRB4/RHOB/CYP1B1/DPP4/SIRPA/HCK/LGALS1/PLXNB2/CCR1/NFKBIZ/CHST2/IL6ST/VCAN/ADAM19/DUSP1/AIF1/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DQB2/HLA-DOA/HLA-DPA1/HLA-DPB1/VEGFA/AFDN/FGL2/NINJ1/NOTCH1/PLXNA3/SIGLEC10/LEF1/CD27/SLAMF7/RASGRP1,79,high
GO:0098542,defense response to other organism,77/374,447/7515,2.8201963724505356e-23,9.639431201035932e-21,6.774408549402234e-21,ISG15/FGR/IFI6/IFI44L/GBP1/GBP2/GBP4/GBP5/IL6R/MNDA/FCGR2B/NCF2/CD55/LYST/DDIT4/IFIT2/IFIT3/IFIT1/ADAM8/IFITM2/IFITM1/IFITM3/IRF7/SPI1/MPEG1/BIRC3/IRAK3/OAS1/OAS3/RAB20/RNASE6/LGALS3/IGHA2/IGHG2/IGHA1/IGHG1/IGHM/FES/ITGAM/ITGAX/LGALS9/SLFN13/CCL5/GSDMB/GRN/BCL2/ICAM1/ACP5/BCL3/LILRB1/RSAD2/EIF2AK2/IGKC/STAT1/SIRPA/HCK/MX2/MX1/FLNB/PARP14/PLSCR1/TLR1/JCHAIN/HERC5/HLA-C/AIF1/HLA-DPA1/PRDM1/IFNGR1/FGL2/TRBC2/DAPK1/CYBB/SIGLEC10/SLAMF7/RASGRP1/KYNU,77,high
