ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006397,mRNA processing,56/504,418/10060,9.04370119565089e-12,1.7948627635959547e-8,1.6937993994299667e-8,TARDBP/KDM1A/PPP1R8/KHDRBS1/SF3A3/PPIE/RBM8A/TSEN15/PRPF18/ECD/PRPF19/CPSF7/SF3B2/BUD13/ZPR1/DDX47/WBP11/SRSF9/RBM23/SNW1/PAPOLA/CD2BP2/FXR2/EFTUD2/COIL/PRKACA/HNRNPL/DDX1/USP39/POLR2D/CRNKL1/AAR2/CTNNBL1/SNRPD3/TFIP11/TSEN2/USP4/ISY1/DBR1/RSRC1/NCBP2/METTL14/PLRG1/MTREX/CWC27/IK/RBM22/SLU7/CMTR1/CDC5L/CCAR2/SMU1/HNRNPK/GPKOW/NONO/CSTF2,56,low
GO:0008380,RNA splicing,51/504,361/10060,1.1291995996199778e-11,1.7948627635959547e-8,1.6937993994299667e-8,TARDBP/KDM1A/PPP1R8/KHDRBS1/SF3A3/PPIE/RBM8A/TSEN15/PRPF18/ECD/PRPF19/SF3B2/BUD13/ZPR1/DDX47/WBP11/SRSF9/RBM23/SNW1/CD2BP2/FXR2/EFTUD2/COIL/HNRNPL/DDX1/USP39/CRNKL1/AAR2/CTNNBL1/SNRPD3/TFIP11/TSEN2/USP4/ISY1/DBR1/RSRC1/NCBP2/METTL14/PLRG1/MTREX/CWC27/IK/RBM22/SLU7/CDC5L/CCAR2/SMU1/HNRNPK/GPKOW/NONO/HNRNPH2,51,low
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",40/504,259/10060,1.4083956091852765e-10,1.1193224103999985e-7,1.0562967068889574e-7,KDM1A/KHDRBS1/SF3A3/PPIE/RBM8A/PRPF18/PRPF19/SF3B2/BUD13/WBP11/SRSF9/RBM23/SNW1/CD2BP2/FXR2/EFTUD2/COIL/HNRNPL/DDX1/USP39/CRNKL1/AAR2/SNRPD3/TFIP11/USP4/ISY1/DBR1/RSRC1/NCBP2/METTL14/PLRG1/MTREX/CWC27/IK/RBM22/SLU7/CDC5L/SMU1/HNRNPK/GPKOW,40,low
GO:0000398,"mRNA splicing, via spliceosome",40/504,259/10060,1.4083956091852765e-10,1.1193224103999985e-7,1.0562967068889574e-7,KDM1A/KHDRBS1/SF3A3/PPIE/RBM8A/PRPF18/PRPF19/SF3B2/BUD13/WBP11/SRSF9/RBM23/SNW1/CD2BP2/FXR2/EFTUD2/COIL/HNRNPL/DDX1/USP39/CRNKL1/AAR2/SNRPD3/TFIP11/USP4/ISY1/DBR1/RSRC1/NCBP2/METTL14/PLRG1/MTREX/CWC27/IK/RBM22/SLU7/CDC5L/SMU1/HNRNPK/GPKOW,40,low
GO:0000375,"RNA splicing, via transesterification reactions",40/504,263/10060,2.2684172807370878e-10,1.4422597070926403e-7,1.3610503684422528e-7,KDM1A/KHDRBS1/SF3A3/PPIE/RBM8A/PRPF18/PRPF19/SF3B2/BUD13/WBP11/SRSF9/RBM23/SNW1/CD2BP2/FXR2/EFTUD2/COIL/HNRNPL/DDX1/USP39/CRNKL1/AAR2/SNRPD3/TFIP11/USP4/ISY1/DBR1/RSRC1/NCBP2/METTL14/PLRG1/MTREX/CWC27/IK/RBM22/SLU7/CDC5L/SMU1/HNRNPK/GPKOW,40,low
GO:0022613,ribonucleoprotein complex biogenesis,49/504,405/10060,6.633396781506316e-9,3.5145947280680965e-6,3.3166983907531582e-6,EIF3I/SF3A3/PRPF18/BMS1/RPP30/EIF3F/PRPF19/CPSF7/DDX47/WBP11/PA2G4/PWP1/SRSF9/NUFIP1/DIS3/CUL4A/FCF1/EFL1/RSL1D1/CD2BP2/TSR1/UTP18/COIL/NOL10/DDX1/USP39/DDX18/POLR2D/CRNKL1/EIF2S2/AAR2/SNRPD3/DHX30/USP4/NSUN3/RUVBL1/ISY1/SDAD1/MTREX/SLU7/RPL7L1/RRP36/MRM2/EIF3B/EIF4H/UTP23/EXOSC3/LAS1L/CUL4B,49,low
GO:0010498,proteasomal protein catabolic process,44/504,416/10060,1.8573622766139966e-6,8.435078110508422e-4,7.960124042631414e-4,PITHD1/FAF1/PSMD4/COP1/PRPF19/SYVN1/KAT5/RNF41/ANAPC7/CUL4A/CDC16/PSMC1/PPP2R5C/USP7/BFAR/PSMD7/DERL2/PSME3/SPOP/TLK2/USP14/PRKACA/UBXN2A/CUL3/PSMF1/TRPC4AP/UFD1/ASCC2/NGLY1/PSMD6/ARMC8/UBE2K/UBE2D3/ERCC8/RNF216/PSMC2/CUL1/CCAR2/PPP2CB/PLAA/RAD23B/TOR1A/PSMD10/CUL4B,44,low
GO:0034660,ncRNA metabolic process,44/504,425/10060,3.2858013544417116e-6,0.001305695313221275,0.001232175507915642,SARS1/TSEN15/BMS1/RPP30/DDX47/WBP11/YARS2/PA2G4/PWP1/DIS3/FCF1/INTS14/RSL1D1/KARS1/TSR1/UTP18/METTL2A/ELP2/NOL10/DDX1/THADA/DDX18/FARSB/DIS3L2/CDK5RAP1/TSEN2/METTL6/QARS1/NSUN3/NSUN2/MTREX/HARS1/HARS2/RARS1/RPL7L1/RRP36/MRM2/TYW1/INTS9/UTP23/TRMT12/EXOSC3/LAS1L/ELAC1,44,low
GO:0071826,ribonucleoprotein complex subunit organization,25/504,182/10060,3.991878295779225e-6,0.0014100201224757952,0.0013306260985930752,EIF3I/SF3A3/PRPF18/EIF3F/PRPF19/CPSF7/SRSF9/NUFIP1/CD2BP2/COIL/DDX1/USP39/POLR2D/CRNKL1/EIF2S2/AAR2/SNRPD3/TFIP11/DHX30/USP4/RUVBL1/ISY1/SLU7/EIF3B/EIF4H,25,low
GO:0006417,regulation of translation,37/504,339/10060,6.141648995442614e-6,0.0018494794139384887,0.0017453407492341827,TARDBP/KHDRBS1/DPH2/CSDE1/RBM8A/EIF4G2/DNAJC24/PA2G4/CDK4/CNOT2/MAPKAPK5/DIS3/FXR2/ELAVL1/LSM14A/DDX1/EIF2B4/POLR2D/DIS3L2/CDK5RAP1/YTHDF1/ASCC2/POLDIP3/CNOT10/MLH1/NSUN3/CNBP/EIF2B5/NCBP2/METTL14/MRPS27/HBS1L/EIF3B/EIF2AK1/EIF4H/ZNF706/EXOSC3,37,low
GO:0022618,ribonucleoprotein complex assembly,24/504,175/10060,6.399582747192003e-6,0.0018494794139384887,0.0017453407492341827,EIF3I/SF3A3/PRPF18/EIF3F/PRPF19/CPSF7/SRSF9/NUFIP1/CD2BP2/COIL/DDX1/USP39/POLR2D/CRNKL1/EIF2S2/AAR2/SNRPD3/DHX30/USP4/RUVBL1/ISY1/SLU7/EIF3B/EIF4H,24,low
GO:0090305,nucleic acid phosphodiester bond hydrolysis,26/504,201/10060,7.856104552505414e-6,0.002081213031034559,0.0019640261381263535,PPP1R8/TSEN15/FBH1/BMS1/RPP30/CPSF7/CNOT2/DIS3/KHNYN/EDC3/TSR1/DDX1/TSN/DIS3L2/TSEN2/ASTE1/DBR1/NCBP2/RAD1/RRP36/UTP23/APTX/EXOSC3/LAS1L/CSTF2/ELAC1,26,low
GO:0006399,tRNA metabolic process,23/504,167/10060,9.278100148115439e-6,0.0022688523362199217,0.002141100034180486,SARS1/TSEN15/RPP30/YARS2/KARS1/METTL2A/ELP2/DDX1/THADA/FARSB/CDK5RAP1/TSEN2/METTL6/QARS1/NSUN3/NSUN2/HARS1/HARS2/RARS1/TYW1/TRMT12/EXOSC3/ELAC1,23,low
GO:0048193,Golgi vesicle transport,31/504,269/10060,1.1964183094066719e-5,0.0027167241468598643,0.002563753520157154,RER1/EPS15/SEC22B/SAR1A/SEC24C/COPB1/ZW10/ARF3/TMED10/SNX1/VPS35L/GOSR1/COG1/RAB8A/RAB10/YIPF4/CUL3/SEC22C/TFG/COPG1/COPB2/EXOC1/GOLPH3/YIPF5/YKT6/RINT1/COG5/RAB14/PPP6C/CCDC22/SNX12,31,low
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,37/504,354/10060,1.645310449336951e-5,0.003392575671477757,0.0032015498629862447,FAF1/PSMD4/COP1/SYVN1/KAT5/ANAPC7/CUL4A/CDC16/PSMC1/PPP2R5C/USP7/BFAR/PSMD7/DERL2/SPOP/TLK2/USP14/UBXN2A/CUL3/PSMF1/TRPC4AP/UFD1/ASCC2/PSMD6/ARMC8/UBE2K/UBE2D3/ERCC8/RNF216/PSMC2/CUL1/CCAR2/PPP2CB/PLAA/RAD23B/PSMD10/CUL4B,37,low
GO:0016050,vesicle organization,28/504,235/10060,1.7074932602593305e-5,0.003392575671477757,0.0032015498629862447,EPS15/SEC22B/SAR1A/SEC24C/PI4K2A/TMED10/VPS33B/IST1/PAFAH1B1/GOSR1/SNF8/RAB8A/YIPF4/CHMP3/CUL3/RAB22A/SNAP29/ARL8B/PDCD6IP/TFG/RAB7A/GOLPH3/AP3B1/YIPF5/VPS37A/CHMP7/RAB14/PPP6C,28,low
GO:0034470,ncRNA processing,37/504,359/10060,2.247010433355664e-5,0.004201909510375091,0.003965312529451172,SARS1/TSEN15/BMS1/RPP30/DDX47/WBP11/PA2G4/PWP1/DIS3/FCF1/INTS14/RSL1D1/KARS1/TSR1/UTP18/METTL2A/ELP2/NOL10/DDX1/THADA/DDX18/CDK5RAP1/TSEN2/METTL6/NSUN3/NSUN2/MTREX/RPL7L1/RRP36/MRM2/TYW1/INTS9/UTP23/TRMT12/EXOSC3/LAS1L/ELAC1,37,low
