ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006959,humoral immune response,47/550,94/10097,8.941997750992028e-35,3.5785874999470096e-31,2.5592938826260346e-31,C1QA/C1QC/C1QB/H2BC21/S100A9/CFH/PTPRC/ALOX5/C1S/C1R/LYZ/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/MFAP4/CCL2/CFD/C3/BCL3/IGKC/IGKV3-20/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/LTF/MASP1/SPON2/JCHAIN/C7/CXCL14/C2/CFB/C4A/C4B/HLA-DQB1/TRBC2/CLU/VSIG4,47,high
GO:0006956,complement activation,33/550,44/10097,3.3988046243683815e-33,6.801008053361131e-30,4.8638683019250685e-30,C1QA/C1QC/C1QB/CFH/C1S/C1R/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/MFAP4/CFD/C3/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/MASP1/C7/C2/CFB/C4A/C4B/TRBC2/CLU/VSIG4,33,high
GO:0002455,humoral immune response mediated by circulating immunoglobulin,29/550,38/10097,1.1265504316462246e-29,1.5028182758160637e-26,1.0747686398758194e-26,C1QA/C1QC/C1QB/PTPRC/C1S/C1R/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/C3/BCL3/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/C2/C4A/C4B/TRBC2/CLU,29,high
GO:0006958,"complement activation, classical pathway",27/550,34/10097,1.5294347753308412e-28,1.5301994927185067e-25,1.0943508300327785e-25,C1QA/C1QC/C1QB/C1S/C1R/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/C3/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/C2/C4A/C4B/TRBC2/CLU,27,high
GO:0002250,adaptive immune response,65/550,244/10097,3.908466399146761e-28,3.128336505877067e-25,2.237288450374746e-25,C1QA/C1QC/C1QB/CTSS/IL6R/SEMA4A/FCER1G/PTPRC/CD4/C1S/C1R/NCKAP1L/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/PRKCB/C3/BCL3/LAIR1/IGKC/IGKV4-1/IGKV1-5/IGKV3-15/IGKV3-20/IGKV1-39/IGKV2D-28/LIME1/SAMSN1/IGLV1-51/IGLV1-44/IGLV1-40/IGLV3-21/IGLV2-14/IGLC1/IGLL5/IGLC2/IGLC3/NFKBIZ/BCL6/JCHAIN/IL7R/C7/ERAP2/HAVCR2/C2/C4A/C4B/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/AZGP1/TRBC2/CLU/RAP1GAP/IGLV2-23/IGLV2-11/IGLV2-8,65,high
GO:0030198,extracellular matrix organization,49/550,170/10097,4.89228360659054e-23,2.4473648741969176e-20,1.7502788324104844e-20,COL16A1/CCN1/CTSS/CTSK/ADAMTS4/DPT/FMOD/LAMB3/AGT/LOXL4/CREB3L1/ADAMTS15/LUM/POSTN/LCP1/PAPLN/MYH11/MMP2/CRISPLD2/MFAP4/COL1A1/SOX9/BCL3/PXDN/EMILIN1/COL3A1/SULF2/ADAMTS1/RUNX1/FBLN1/FBLN2/COL8A1/CCDC80/MELTF/PDGFRA/SFRP2/LOX/TGFBI/ADAMTS2/TNXB/SMOC2/AEBP1/COL1A2/LOXL2/SULF1/COL14A1/COL15A1/COL5A1/ELF3,49,high
GO:0043062,extracellular structure organization,49/550,170/10097,4.89228360659054e-23,2.4473648741969176e-20,1.7502788324104844e-20,COL16A1/CCN1/CTSS/CTSK/ADAMTS4/DPT/FMOD/LAMB3/AGT/LOXL4/CREB3L1/ADAMTS15/LUM/POSTN/LCP1/PAPLN/MYH11/MMP2/CRISPLD2/MFAP4/COL1A1/SOX9/BCL3/PXDN/EMILIN1/COL3A1/SULF2/ADAMTS1/RUNX1/FBLN1/FBLN2/COL8A1/CCDC80/MELTF/PDGFRA/SFRP2/LOX/TGFBI/ADAMTS2/TNXB/SMOC2/AEBP1/COL1A2/LOXL2/SULF1/COL14A1/COL15A1/COL5A1/ELF3,49,high
GO:0045229,external encapsulating structure organization,49/550,170/10097,4.89228360659054e-23,2.4473648741969176e-20,1.7502788324104844e-20,COL16A1/CCN1/CTSS/CTSK/ADAMTS4/DPT/FMOD/LAMB3/AGT/LOXL4/CREB3L1/ADAMTS15/LUM/POSTN/LCP1/PAPLN/MYH11/MMP2/CRISPLD2/MFAP4/COL1A1/SOX9/BCL3/PXDN/EMILIN1/COL3A1/SULF2/ADAMTS1/RUNX1/FBLN1/FBLN2/COL8A1/CCDC80/MELTF/PDGFRA/SFRP2/LOX/TGFBI/ADAMTS2/TNXB/SMOC2/AEBP1/COL1A2/LOXL2/SULF1/COL14A1/COL15A1/COL5A1/ELF3,49,high
GO:0002684,positive regulation of immune system process,85/550,486/10097,8.600507524017516e-23,3.5148617413025735e-20,2.5137192126572762e-20,C1QA/C1QC/C1QB/THEMIS2/PTAFR/LAPTM5/JUN/VCAM1/IL6R/FCER1G/CFH/PTPRC/IGF2/ZBTB16/THY1/CD4/C1S/C1R/NCKAP1L/IGF1/TESC/FOS/LGMN/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/PRKCB/CORO1A/SLC7A5/MFAP4/EVI2B/CCL2/CCL5/CFD/C3/TYROBP/IGKC/LIME1/RUNX1/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/LIF/HMOX1/RAC2/CCR1/NFKBIZ/MASP1/BCL6/SPON2/IL7R/FYB1/C7/CSF1R/HAVCR2/AIF1/C2/CFB/C4A/C4B/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/CDKN1A/CD36/AZGP1/SERPINE1/PTN/TRBC2/EGR3/CLU/AQP3/CCL21/NR4A3/VSIG4,85,high
GO:0009617,response to bacterium,69/550,334/10097,8.782762971770548e-23,3.5148617413025735e-20,2.5137192126572762e-20,ALPL/PTAFR/JUN/VCAM1/H2BC21/S100A9/IL6R/FCER1G/PTGS2/RGS1/KMO/CUBN/MRC1/ADM/MPEG1/IL10RA/CD4/MGST1/NR4A1/LYZ/PCK2/FOS/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/CD68/CCL2/CCL5/FAM20A/CFD/LRG1/C3/ACP5/ZFP36/BCL3/IGKC/IGKV3-20/VIL1/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/GGT5/LTF/CCDC80/CLDN1/SPON2/JCHAIN/HPGD/IL7R/HAVCR2/BMP6/C4B/FKBP5/CD36/SERPINE1/TRBC2/FABP4/ASS1/GGT1/LCN2,69,high
