ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006397,mRNA processing,51/400,367/7531,1.2405818360833703e-10,2.8363877087259794e-7,2.715710513263886e-7,SSU72/SRSF10/SRRM1/SYF2/PPP1R8/SF3A3/HNRNPU/PRPF18/MTPAP/HNRNPF/ECD/SF1/SF3B2/WBP11/SART3/SRSF9/HNRNPC/SNW1/PAPOLA/AQR/SUPT6H/CASC3/COIL/SRSF1/SUPT4H1/HNRNPL/USP39/WDR33/POLR2D/CRNKL1/AAR2/CSTF1/SCAF4/SON/DYRK1A/USP4/ISY1/RSRC1/FXR1/FIP1L1/MTREX/IK/ZMAT2/RBM22/DHX16/SYNCRIP/HNRNPA2B1/LUC7L2/SMU1/HNRNPK/NONO,51,low
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",38/400,231/7531,2.699607590792493e-10,2.8363877087259794e-7,2.715710513263886e-7,SRSF10/SRRM1/SYF2/SF3A3/HNRNPU/PRPF18/HNRNPF/SF1/SF3B2/WBP11/SART3/SRSF9/HNRNPC/SNW1/AQR/CASC3/COIL/SRSF1/HNRNPL/USP39/CRNKL1/AAR2/SON/DYRK1A/USP4/ISY1/RSRC1/FXR1/MTREX/IK/ZMAT2/RBM22/DHX16/SYNCRIP/HNRNPA2B1/LUC7L2/SMU1/HNRNPK,38,low
GO:0000398,"mRNA splicing, via spliceosome",38/400,231/7531,2.699607590792493e-10,2.8363877087259794e-7,2.715710513263886e-7,SRSF10/SRRM1/SYF2/SF3A3/HNRNPU/PRPF18/HNRNPF/SF1/SF3B2/WBP11/SART3/SRSF9/HNRNPC/SNW1/AQR/CASC3/COIL/SRSF1/HNRNPL/USP39/CRNKL1/AAR2/SON/DYRK1A/USP4/ISY1/RSRC1/FXR1/MTREX/IK/ZMAT2/RBM22/DHX16/SYNCRIP/HNRNPA2B1/LUC7L2/SMU1/HNRNPK,38,low
GO:0000375,"RNA splicing, via transesterification reactions",38/400,235/7531,4.5148280322367333e-10,3.557684489402546e-7,3.406318939058609e-7,SRSF10/SRRM1/SYF2/SF3A3/HNRNPU/PRPF18/HNRNPF/SF1/SF3B2/WBP11/SART3/SRSF9/HNRNPC/SNW1/AQR/CASC3/COIL/SRSF1/HNRNPL/USP39/CRNKL1/AAR2/SON/DYRK1A/USP4/ISY1/RSRC1/FXR1/MTREX/IK/ZMAT2/RBM22/DHX16/SYNCRIP/HNRNPA2B1/LUC7L2/SMU1/HNRNPK,38,low
GO:0008380,RNA splicing,42/400,315/7531,2.1446025155030283e-8,1.351957425773109e-5,1.2944369288309857e-5,SRSF10/SRRM1/SYF2/PPP1R8/SF3A3/HNRNPU/PRPF18/HNRNPF/ECD/SF1/SF3B2/WBP11/SART3/SRSF9/HNRNPC/SNW1/AQR/SUPT6H/CASC3/COIL/SRSF1/HNRNPL/USP39/CRNKL1/AAR2/SON/DYRK1A/USP4/ISY1/RSRC1/FXR1/MTREX/IK/ZMAT2/RBM22/DHX16/SYNCRIP/HNRNPA2B1/LUC7L2/SMU1/HNRNPK/NONO,42,low
GO:0033044,regulation of chromosome organization,20/400,114/7531,1.8752229080865195e-6,9.851171010481182e-4,9.43204224120009e-4,EXOSC10/HNRNPU/PPHLN1/MAPKAPK5/ANAPC5/HNRNPC/TINF2/USP7/PARN/CTCF/TERF2/ZNF207/BECN1/PSMG2/MAPK1/DYNC1LI1/CTNNB1/IK/HNRNPA2B1/HDAC8,20,low
GO:0006511,ubiquitin-dependent protein catabolic process,48/400,464/7531,4.912421466157102e-6,0.002011238022606938,0.0019256677166758253,USP48/FAF1/USP33/WAC/CUL2/DNAJB12/PSMA1/KAT5/UBE4A/UBE3B/ANAPC5/PSMD9/NEMF/PPP2R5C/BAG5/TRIP4/ARIH1/USP7/BFAR/PSMD7/UBE2G1/RNF167/SNF8/SPOP/TLK2/FBXO11/COMMD1/TRIP12/TRPC4AP/RNF114/UBE2G2/UBE2L3/CTNNB1/ARIH2/USP4/PSMD6/GSK3B/ARMC8/UBE2D3/SKP1/UBE2D2/CSNK1A1/FAF2/UBE2R2/UBQLN1/RAD23B/ECPAS/UBE2A,48,low
GO:0000209,protein polyubiquitination,24/400,164/7531,5.1046650319973045e-6,0.002011238022606938,0.0019256677166758253,MARCHF5/TRIM44/UBE4A/RNF41/UBE3B/ANAPC5/ARIH1/BFAR/UBE2G1/RNF167/SPOP/TRIP12/RNF114/UBE2V1/UBE2G2/UBE2L3/CTNNB1/ARIH2/UBE2D3/SKP1/UBE2D2/MKRN1/UBE2R2/UBE2A,24,low
GO:0043632,modification-dependent macromolecule catabolic process,49/400,483/7531,6.709307635531858e-6,0.0023497486296884906,0.0022497760223473494,EXOSC10/USP48/FAF1/USP33/WAC/CUL2/DNAJB12/PSMA1/KAT5/UBE4A/UBE3B/ANAPC5/PSMD9/NEMF/PPP2R5C/BAG5/TRIP4/ARIH1/USP7/BFAR/PSMD7/UBE2G1/RNF167/SNF8/SPOP/TLK2/FBXO11/COMMD1/TRIP12/TRPC4AP/RNF114/UBE2G2/UBE2L3/CTNNB1/ARIH2/USP4/PSMD6/GSK3B/ARMC8/UBE2D3/SKP1/UBE2D2/CSNK1A1/FAF2/UBE2R2/UBQLN1/RAD23B/ECPAS/UBE2A,49,low
GO:0019941,modification-dependent protein catabolic process,48/400,472/7531,7.870163475857087e-6,0.002430799797722545,0.0023273787804136176,USP48/FAF1/USP33/WAC/CUL2/DNAJB12/PSMA1/KAT5/UBE4A/UBE3B/ANAPC5/PSMD9/NEMF/PPP2R5C/BAG5/TRIP4/ARIH1/USP7/BFAR/PSMD7/UBE2G1/RNF167/SNF8/SPOP/TLK2/FBXO11/COMMD1/TRIP12/TRPC4AP/RNF114/UBE2G2/UBE2L3/CTNNB1/ARIH2/USP4/PSMD6/GSK3B/ARMC8/UBE2D3/SKP1/UBE2D2/CSNK1A1/FAF2/UBE2R2/UBQLN1/RAD23B/ECPAS/UBE2A,48,low
GO:0010608,posttranscriptional regulation of gene expression,42/400,392/7531,8.483121121493653e-6,0.002430799797722545,0.0023273787804136176,PUM1/SERBP1/CSDE1/HNRNPU/CDC123/TIAL1/CNOT2/MAPKAPK5/HNRNPC/NEMF/CYFIP1/TRIP4/PARN/CASC3/SMAD2/ELAVL1/LSM14A/PUM2/PTCD3/POLR2D/EIF4E2/CDK5RAP1/MAPK1/EIF4ENIF1/CNOT10/RHOA/CNBP/FXR1/EIF2B5/METAP1/PAIP1/MATR3/MATR3/MAPK14/SYNCRIP/EIF2AK1/HNRNPA2B1/EIF4H/CNOT7/SECISBP2/GLE1/EIF2S3,42,low
GO:1903311,regulation of mRNA metabolic process,27/400,209/7531,1.4342312247513535e-5,0.0037672473503468887,0.0036069657204930968,SRSF10/PUM1/SERBP1/HNRNPU/SF1/CNOT2/SRSF9/HNRNPC/SNW1/PAPOLA/PARN/SUPT6H/ELAVL1/HNRNPL/PUM2/POLR2D/SON/DYRK1A/EIF4ENIF1/FXR1/PAIP1/MAPK14/SYNCRIP/CNOT7/SMU1/HNRNPK/SECISBP2,27,low
GO:0010498,proteasomal protein catabolic process,39/400,375/7531,3.5901702465229615e-5,0.00870478201310798,0.008334427608729822,PITHD1/FAF1/WAC/CUL2/DNAJB12/PSMA1/KAT5/UBE4A/RNF41/ANAPC5/NEMF/PPP2R5C/BAG5/TRIP4/ARIH1/USP7/BFAR/PSME3IP1/PSMD7/GABARAPL2/UBE2G1/SPOP/TLK2/COMMD1/TRPC4AP/UBE2G2/CTNNB1/ARIH2/PSMD6/GSK3B/ARMC8/UBE2D3/SKP1/CSNK1A1/FAF2/UBQLN1/RAD23B/ECPAS/UBE2A,39,low
