ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0009617,response to bacterium,56/405,265/7531,1.2142346343052746e-19,4.3676019795960726e-16,3.085434112855719e-16,EPHA2/PLA2G2A/ZC3H12A/JUN/VCAM1/S100A9/FCGR2B/RGS1/CD55/MRC1/ADM/NR4A1/LYZ/OAS1/OAS2/FOS/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/CCL2/GSDMB/LRG1/ICAM1/ACP5/ZFP36/C5AR1/PRKCE/IGKC/IGKV3-20/VIL1/THBD/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/STAB1/PPARGC1A/JCHAIN/CXCL8/CXCL2/HPGD/FKBP5/TNFAIP3/AKAP12/SOD2/AQP1/CD36/SERPINE1/TRIB1/CD24/GGT1/F2RL1,56,high
GO:0006959,humoral immune response,29/405,81/7531,3.559788461339678e-17,5.0672744759204315e-14,3.579708407553641e-14,C1QA/C1QC/C1QB/S100A9/FCGR2B/CD55/LYZ/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/MFAP4/CCL2/IGKC/IGKV3-20/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/JCHAIN/CXCL8/CXCL2/C7/CXCL14/HLA-DQB1/VSIG4,29,high
GO:0001568,blood vessel development,61/405,348/7531,4.226250605438225e-17,5.0672744759204315e-14,3.579708407553641e-14,EPHA2/ZC3H12A/JUN/LEPR/CCN1/EFNA1/CHI3L1/ATP2B4/ACTA2/ADM/MCAM/NR4A1/MMP19/COL4A1/COL4A2/THBS1/ALDH1A2/ANXA2/TNFRSF12A/MMP2/CCL2/NGFR/COL1A1/SOCS3/LRG1/ANGPTL4/LDLR/JUNB/KLF2/C5AR1/CYP1B1/ANTXR1/CXCR4/ACKR3/RAMP1/ID1/PTGIS/ADAMTS1/HMOX1/STAB1/PDGFRA/CXCL8/HPGD/EGR1/PDGFRB/CCN2/TNFAIP3/THBS2/GPER1/GPNMB/AQP1/HGF/COL1A2/SERPINE1/SMO/ENPP2/SLC1A1/ANXA1/KLF4/COL5A1/FLNA,61,high
GO:0001944,vasculature development,62/405,365/7531,1.109216804126601e-16,9.97463211110846e-14,7.046445697793724e-14,EPHA2/ZC3H12A/JUN/LEPR/CCN1/EFNA1/CHI3L1/ATP2B4/ACTA2/ADM/MCAM/NR4A1/MMP19/COL4A1/COL4A2/THBS1/ALDH1A2/ANXA2/TNFRSF12A/MMP2/CCL2/NGFR/COL1A1/SOCS3/LRG1/ANGPTL4/LDLR/JUNB/KLF2/C5AR1/CYP1B1/ANTXR1/CXCR4/ACKR3/RAMP1/ID1/PTGIS/ADAMTS1/HMOX1/STAB1/PDGFRA/CXCL8/HPGD/EGR1/PDGFRB/CCN2/TNFAIP3/SOD2/THBS2/GPER1/GPNMB/AQP1/HGF/COL1A2/SERPINE1/SMO/ENPP2/SLC1A1/ANXA1/KLF4/COL5A1/FLNA,62,high
GO:0042742,defense response to bacterium,28/405,79/7531,1.7274721298552883e-16,1.2427434502178943e-13,8.77919520309614e-14,EPHA2/PLA2G2A/S100A9/LYZ/OAS1/OAS2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/GSDMB/ACP5/C5AR1/IGKC/IGKV3-20/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/STAB1/JCHAIN/AQP1/CD36/SERPINE1/F2RL1,28,high
GO:0034097,response to cytokine,70/405,463/7531,5.411827780193416e-16,3.244390754225953e-13,2.2919565370854223e-13,CSF3R/ZC3H12A/JUN/LEPR/GBP3/GCLM/VCAM1/CHI3L1/CCDC3/MRC1/IFIT2/IFIT1/IFITM1/CD44/BIRC3/YBX3/OAS1/OAS2/DTX1/FOS/IFI27/THBS1/ALDH1A2/GNAO1/MT2A/MT1X/XAF1/CCL2/COL1A1/SOCS3/FASN/ICAM1/ACP5/KLF2/BST2/CEBPA/ZFP36/IL1RN/CXCR4/COL3A1/ACKR3/PTGIS/MX1/PCOLCE2/MME/IL1RAP/PPARGC1A/CXCL8/CXCL2/OSMR/GHR/EGR1/CSF1R/DUSP1/HSPA1A/HSPA1B/TNFAIP3/AKAP12/GPER1/SLC1A1/IL33/ANXA1/NFIL3/KLF4/TIMP1/PLP2/ACSL4/CD24/GGT1/F2RL1,70,high
GO:0006954,inflammatory response,54/405,303/7531,1.5937670261690585e-15,8.189685704471577e-13,5.785494137100913e-13,EPHA2/PLA2G2A/ZC3H12A/VCAM1/S100A9/FCGR2B/CHI3L1/CAMK1D/H19/ADM/CD44/BIRC3/CD163/LYZ/IGF1/FOS/THBS1/CCL2/SOCS3/ICAM1/LDLR/ACP5/CEBPA/ZFP36/C5AR1/IL1RN/CXCR4/SIGLEC1/TGM2/PTGIS/HMOX1/APOL3/STAB1/IL1RAP/CXCL8/CXCL2/SPP1/OSMR/CSF1R/TNFAIP3/ESR1/GPER1/ADCY1/CD36/HGF/SERPINE1/IL33/ANXA1/S1PR3/KLF4/TIMP1/GGT1/F2RL1/ELF3,54,high
GO:0001775,cell activation,68/405,458/7531,3.903025653574467e-15,1.7548979094884195e-12,1.2397242010169425e-12,PLA2G2A/C1QA/ZC3H12A/LEPR/GCLM/VCAM1/FCGR2B/CD55/KLF6/GPAM/HBB/CD44/ZBTB16/VWF/IGF1/DTX1/LGALS3/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/THBS1/CCL2/TNFSF14/ICAM1/LDLR/BST2/CEBPA/C5AR1/IL4I1/PRKCE/IGKC/COL3A1/IGFBP2/THBD/BACE2/IGLC1/IGLL5/IGLC2/IGLC3/HMOX1/PDGFRA/CXCL8/EGR1/PDGFRB/HLA-F/HLA-DRA/HLA-DRB5/HLA-DQB1/CDKN1A/CCN2/TNFAIP3/AKAP12/GPER1/GPNMB/NAMPT/SMO/TCIM/IL33/ANXA1/NFIL3/TIMP1/VSIG4/FLNA/CD24/F2RL1,68,high
GO:0030198,extracellular matrix organization,31/405,117/7531,4.0550084548739584e-14,1.2746080007441826e-11,9.00429806650705e-12,CCN1/ADAMTS4/FMOD/LAMB3/P4HA1/MMP19/LUM/COL4A1/COL4A2/FBLN5/ANXA2/MYH11/MMP2/CRISPLD2/MFAP4/COL1A1/COL5A3/CYP1B1/ANTXR1/COL3A1/COL5A2/SULF2/ADAMTS1/PDGFRA/ADAMTS2/CCN2/AEBP1/COL1A2/COL14A1/COL5A1/ELF3,31,high
GO:0043062,extracellular structure organization,31/405,117/7531,4.0550084548739584e-14,1.2746080007441826e-11,9.00429806650705e-12,CCN1/ADAMTS4/FMOD/LAMB3/P4HA1/MMP19/LUM/COL4A1/COL4A2/FBLN5/ANXA2/MYH11/MMP2/CRISPLD2/MFAP4/COL1A1/COL5A3/CYP1B1/ANTXR1/COL3A1/COL5A2/SULF2/ADAMTS1/PDGFRA/ADAMTS2/CCN2/AEBP1/COL1A2/COL14A1/COL5A1/ELF3,31,high
GO:0045229,external encapsulating structure organization,31/405,117/7531,4.0550084548739584e-14,1.2746080007441826e-11,9.00429806650705e-12,CCN1/ADAMTS4/FMOD/LAMB3/P4HA1/MMP19/LUM/COL4A1/COL4A2/FBLN5/ANXA2/MYH11/MMP2/CRISPLD2/MFAP4/COL1A1/COL5A3/CYP1B1/ANTXR1/COL3A1/COL5A2/SULF2/ADAMTS1/PDGFRA/ADAMTS2/CCN2/AEBP1/COL1A2/COL14A1/COL5A1/ELF3,31,high
GO:0048514,blood vessel morphogenesis,52/405,306/7531,4.2522368665360554e-14,1.2746080007441826e-11,9.00429806650705e-12,EPHA2/ZC3H12A/JUN/LEPR/CCN1/EFNA1/CHI3L1/ATP2B4/ADM/MCAM/NR4A1/MMP19/COL4A1/COL4A2/THBS1/ANXA2/TNFRSF12A/MMP2/CCL2/NGFR/LRG1/ANGPTL4/LDLR/JUNB/KLF2/C5AR1/CYP1B1/CXCR4/ACKR3/RAMP1/ID1/PTGIS/ADAMTS1/HMOX1/STAB1/PDGFRA/CXCL8/HPGD/PDGFRB/CCN2/TNFAIP3/THBS2/GPNMB/AQP1/HGF/SERPINE1/SMO/ENPP2/SLC1A1/ANXA1/KLF4/FLNA,52,high
GO:0006956,complement activation,18/405,37/7531,6.725717955261956e-14,1.8609544219290197e-11,1.314646408421244e-11,C1QA/C1QC/C1QB/CD55/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/MFAP4/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/VSIG4,18,high
GO:0035295,tube development,67/405,477/7531,1.0331892950075764e-13,2.6545584958158945e-11,1.8752774121415708e-11,EPHA2/ZC3H12A/JUN/LEPR/CCN1/PHGDH/EFNA1/CHI3L1/ATP2B4/ADM/MCAM/NR4A1/MMP19/COL4A1/COL4A2/TGFB3/THBS1/ALDH1A2/ANXA2/TNFRSF12A/MMP2/CRISPLD2/CCL2/NGFR/LRG1/ANGPTL4/LDLR/JUNB/KLF2/CEBPA/C5AR1/CYP1B1/ATOH8/CXCR4/IGFBP5/ACKR3/RAMP1/ID1/TGM2/PTGIS/ADAMTS1/HMOX1/STAB1/MME/PDGFRA/CXCL8/HPGD/CSF1R/PDGFRB/ADAMTS2/CDKN1A/CCN2/TNFAIP3/ESR1/THBS2/GPNMB/AQP1/HGF/SERPINE1/SMO/ENPP2/MYC/SLC1A1/ANXA1/KLF4/FLNA/CD24,67,high
GO:0001525,angiogenesis,47/405,263/7531,1.164078907581397e-13,2.773515634551209e-11,1.959313094773896e-11,EPHA2/ZC3H12A/JUN/LEPR/CCN1/EFNA1/CHI3L1/ATP2B4/ADM/MCAM/NR4A1/MMP19/COL4A1/COL4A2/THBS1/ANXA2/TNFRSF12A/MMP2/CCL2/NGFR/LRG1/ANGPTL4/KLF2/C5AR1/CYP1B1/CXCR4/ACKR3/RAMP1/ID1/PTGIS/ADAMTS1/HMOX1/STAB1/PDGFRA/CXCL8/PDGFRB/CCN2/TNFAIP3/THBS2/GPNMB/AQP1/HGF/SERPINE1/ENPP2/ANXA1/KLF4/FLNA,47,high
GO:0006958,"complement activation, classical pathway",16/405,29/7531,1.3060654907240642e-13,2.773515634551209e-11,1.959313094773896e-11,C1QA/C1QC/C1QB/CD55/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7,16,high
GO:0050865,regulation of cell activation,46/405,254/7531,1.3108080563628176e-13,2.773515634551209e-11,1.959313094773896e-11,PLA2G2A/ZC3H12A/VCAM1/FCGR2B/CD55/GPAM/ZBTB16/IGF1/DTX1/LGALS3/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/THBS1/CCL2/TNFSF14/LDLR/CEBPA/IL4I1/IGKC/IGFBP2/THBD/IGLC1/IGLL5/IGLC2/IGLC3/HMOX1/PDGFRA/PDGFRB/HLA-F/HLA-DRA/HLA-DRB5/HLA-DQB1/CDKN1A/CCN2/TNFAIP3/GPER1/GPNMB/IL33/ANXA1/VSIG4/CD24/F2RL1,46,high
GO:0002455,humoral immune response mediated by circulating immunoglobulin,17/405,34/7531,1.9021229028031248e-13,3.801075600768244e-11,2.6852191154191482e-11,C1QA/C1QC/C1QB/FCGR2B/CD55/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7,17,high
GO:0048646,anatomical structure formation involved in morphogenesis,67/405,495/7531,6.26678253394082e-13,1.1864008828729016e-10,8.381170657580687e-11,EPHA2/CSF3R/ZC3H12A/JUN/LEPR/CCN1/EFNA1/CHI3L1/ATP2B4/LAMB3/DUSP5/HTRA1/ADM/MCAM/NR4A1/MMP19/COL4A1/COL4A2/THBS1/ALDH1A2/ANXA2/CACNA1H/TNFRSF12A/MYH11/MMP2/CCL2/NGFR/COL1A1/LRG1/ANGPTL4/JUNB/KLF2/C5AR1/EHD2/CYP1B1/ATOH8/FHL2/CXCR4/COL5A2/ACKR3/RAMP1/ID1/TGM2/PTGIS/ADAMTS1/HMOX1/STAB1/PDGFRA/CXCL8/PDGFRB/DUSP1/PIM1/CCN2/TNFAIP3/THBS2/GPNMB/AQP1/CD36/HGF/SERPINE1/SMO/ENPP2/SLC1A1/ANXA1/KLF4/COL5A1/FLNA,67,high
GO:0071345,cellular response to cytokine stimulus,58/405,396/7531,9.959151370245096e-13,1.7911533739385803e-10,1.265336389882719e-10,CSF3R/ZC3H12A/LEPR/GBP3/GCLM/VCAM1/CHI3L1/CCDC3/MRC1/IFIT2/IFIT1/IFITM1/CD44/BIRC3/YBX3/OAS1/OAS2/DTX1/IFI27/THBS1/MT2A/MT1X/CCL2/COL1A1/SOCS3/FASN/ICAM1/KLF2/CEBPA/ZFP36/IL1RN/CXCR4/ACKR3/PTGIS/MX1/PCOLCE2/MME/IL1RAP/PPARGC1A/CXCL8/CXCL2/OSMR/GHR/EGR1/CSF1R/DUSP1/HSPA1A/HSPA1B/TNFAIP3/AKAP12/GPER1/SLC1A1/IL33/NFIL3/KLF4/PLP2/CD24/F2RL1,58,high
GO:0033993,response to lipid,61/405,437/7531,2.063831757861954e-12,3.5350489681092615e-10,2.497288152119678e-10,PTPRU/ZC3H12A/JUN/VCAM1/S100A9/CD55/AKR1C2/MRC1/DDIT4/SCD/ADM/CCND1/DGAT2/NR4A1/SOCS2/FOS/TGFB3/THBS1/ALDH1A2/CCL2/COL1A1/ICAM1/LDLR/ACP5/ZFP36/FOSB/C5AR1/PRKCE/IL1RN/IGFBP2/THBD/SLPI/PPARGC1A/CXCL8/CXCL2/SPP1/HPGD/GHR/HMGCS1/HMGCR/PDGFRB/DUSP1/CDKN1A/PIM1/CCN2/TNFAIP3/AKAP12/ESR1/SOD2/GPER1/AQP1/ADCY1/CD36/PDK4/SERPINE1/SMO/INSIG1/TRIB1/ANXA1/KLF4/GGT1,61,high
GO:0035239,tube morphogenesis,57/405,394/7531,2.709140373717555e-12,4.4294445110282024e-10,3.1291219436144393e-10,EPHA2/ZC3H12A/JUN/LEPR/CCN1/EFNA1/CHI3L1/ATP2B4/ADM/MCAM/NR4A1/MMP19/COL4A1/COL4A2/THBS1/ANXA2/TNFRSF12A/MMP2/CCL2/NGFR/LRG1/ANGPTL4/LDLR/JUNB/KLF2/C5AR1/CYP1B1/ATOH8/CXCR4/ACKR3/RAMP1/ID1/TGM2/PTGIS/ADAMTS1/HMOX1/STAB1/PDGFRA/CXCL8/HPGD/CSF1R/PDGFRB/CCN2/TNFAIP3/ESR1/THBS2/GPNMB/AQP1/HGF/SERPINE1/SMO/ENPP2/MYC/SLC1A1/ANXA1/KLF4/FLNA,57,high
GO:0002694,regulation of leukocyte activation,42/405,236/7531,3.020330994751148e-12,4.723535038312992e-10,3.3368782706312456e-10,PLA2G2A/ZC3H12A/VCAM1/FCGR2B/CD55/GPAM/ZBTB16/IGF1/DTX1/LGALS3/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/THBS1/CCL2/TNFSF14/LDLR/CEBPA/IL4I1/IGKC/IGFBP2/IGLC1/IGLL5/IGLC2/IGLC3/HMOX1/HLA-F/HLA-DRA/HLA-DRB5/HLA-DQB1/CDKN1A/TNFAIP3/GPER1/GPNMB/IL33/ANXA1/VSIG4/CD24/F2RL1,42,high
GO:0010942,positive regulation of cell death,51/405,332/7531,4.385644004262595e-12,6.572983951388564e-10,4.643396765916625e-10,C1QA/ZC3H12A/JUN/CCN1/SORT1/S100A9/FCGR2B/G0S2/ATF3/CAMK1D/DDIT4/KCNMA1/IFIT2/H19/HBB/ADM/ZBTB16/NR4A1/PHLDA1/DUSP6/FOS/TGFB3/THBS1/ALDH1A2/TNFRSF12A/OSGIN1/CCL2/NGFR/GADD45B/CYP1B1/INHBB/TGM2/PTGIS/SIK1/HMOX1/TNFSF10/PPARGC1A/HPGD/HMGCR/EGR1/PDGFRB/DUSP1/CDKN1A/CCN2/AKAP12/SOD2/GPER1/CD36/ANXA1/GADD45G/F2RL1,51,high
GO:0006910,"phagocytosis, recognition",12/405,18/7531,6.909713877722143e-12,9.64337627103631e-10,6.812434431699414e-10,IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/CD36,12,high
GO:0014070,response to organic cyclic compound,62/405,461/7531,6.970469364663444e-12,9.64337627103631e-10,6.812434431699414e-10,PTPRU/ZC3H12A/JUN/GCLM/HCN3/BTG2/ATP2B4/DDIT4/IFIT1/ADM/CCND1/DUSP6/LUM/SOCS2/FOS/TGFB3/THBS1/ALDH1A2/GNAO1/CCL2/COL1A1/ICAM1/KLF2/CEBPA/ZFP36/FOSB/CYP1B1/PRKCE/IL1RN/CXCR4/IGFBP2/IGFBP5/THBD/ID1/TGM2/PPARGC1A/SPP1/HPGD/GHR/HMGCS1/HMGCR/EGR1/PDGFRB/DUSP1/CDKN1A/PIM1/CCN2/ESR1/SOD2/GPER1/AQP1/ADCY1/CD36/NAMPT/SMO/INSIG1/SLC1A1/PLIN2/ANXA1/KLF4/FLNA/GGT1,62,high
GO:0050867,positive regulation of cell activation,33/405,158/7531,8.320166326297872e-12,1.1084310472479056e-9,7.830363162449538e-10,VCAM1/CD55/GPAM/ZBTB16/IGF1/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/THBS1/CCL2/TNFSF14/CEBPA/IL4I1/IGKC/IGFBP2/IGLC1/IGLL5/IGLC2/IGLC3/PDGFRB/HLA-F/HLA-DRA/HLA-DRB5/HLA-DQB1/CDKN1A/CCN2/IL33/ANXA1/CD24/F2RL1,33,high
GO:0003013,circulatory system process,39/405,214/7531,8.882486698359607e-12,1.141082309071411e-9,8.061023642797028e-10,ZC3H12A/MFSD2A/LEPR/GCLM/RGS2/ATP2B4/KCNMA1/ACTA2/HBB/ADM/NAV2/SLC2A3/SLC38A1/SLC16A7/CACNA1H/GNAO1/SLC7A5/ICAM1/CYP4F12/KLF2/FXYD1/EHD3/CXCR4/HMOX1/MME/ABCG2/HMGCR/ERAP2/CCN2/SGK1/AKAP12/SOD2/GPER1/CD36/COL1A2/NAMPT/SLC1A1/FLNA/F2RL1,39,high
GO:0008284,positive regulation of cell population proliferation,56/405,395/7531,9.958890738097871e-12,1.2352458615495876e-9,8.726229488845104e-10,JUN/CCN1/VCAM1/S100A6/NES/CD55/ATF3/AKR1C2/GPAM/HTRA1/ADM/CCND1/NR4A1/IGF1/TGFB3/THBS1/ALDH1A2/ANXA2/MMP2/MVD/NGFR/LRG1/BST2/C5AR1/FOSL2/IGFBP2/IGFBP5/ID1/TGM2/ADAMTS1/HMOX1/VIPR1/PPARGC1A/PDGFRA/HPGD/OSMR/HMGCR/EGR1/CSF1R/PDGFRB/CDKN1A/PIM1/CCN2/TNFAIP3/ESR1/GPER1/AQP1/NAMPT/SMO/FGFR1/MYC/ANXA1/S1PR3/TIMP1/FLNA/CD24,56,high
