ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0009617,response to bacterium,85/554,355/10254,3.082562481317374e-33,1.291285423423848e-29,8.527341264107431e-30,EPHA2/PLA2G2A/ALPL/ZC3H12A/JUN/PDE4B/GBP4/VCAM1/S100A9/S100A8/SLAMF8/PTGS2/RGS1/MRC1/NFKB2/ADM/NR4A1/LYZ/EDNRB/TRAC/NFKBIA/FOS/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/SMAD6/CX3CL1/HP/CD68/CCL2/NR1D1/CFD/SBNO2/LRG1/ICAM1/ACP5/JUND/ZFP36/BCL3/SSC5D/PELI1/IGKC/IGKV3-20/SCN7A/SLC11A1/BMP2/THBD/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/GGT5/IRAK2/LTF/CCDC80/CLDN1/JCHAIN/CXCL8/CXCL2/HPGD/IL7R/F2R/BMP6/EDN1/C4B/FKBP5/CNR1/TNFAIP3/AKAP12/SOD2/SERPINE1/TRBC2/FABP4/TRIB1/CD24/LCN2,85,high
GO:0001568,blood vessel development,97/554,482/10254,2.435610440562139e-31,5.1013860677574e-28,3.3688338093670007e-28,EPHA2/ZC3H12A/PIK3R3/JUN/GADD45A/CCN1/F3/PRRX1/PTGS2/CHI3L1/CD34/JCAD/ACTA2/ADM/APLNR/MCAM/THY1/APOLD1/NR4A1/MMP19/RGCC/COL4A1/COL4A2/THBS1/DLL4/ALDH1A2/SMAD6/CTSH/ANPEP/TNFRSF12A/ITGAX/CX3CL1/CDH13/CCL2/COL1A1/TBX2/SPHK1/SOCS3/LRG1/ANGPTL4/LDLR/JUNB/KLF2/APOE/HIF3A/RHOB/CYP1B1/EPAS1/CXCR4/CALCRL/ACKR3/PTGIS/SOX18/ADAMTS1/CLDN5/HMOX1/PDGFB/ADAMTS9/TIPARP/HES1/APOD/SLIT2/CXCL8/ENPEP/SFRP2/HPGD/SEMA6A/LOX/EGR1/EDN1/HLA-G/CCN2/TNFAIP3/SMOC2/THBS2/GPER1/ITGB8/GPNMB/COL1A2/SERPINE1/ANGPT2/EGR3/LOXL2/SFRP1/SULF1/HEY1/ANGPT1/CCN3/ENPP2/SLC1A1/CEMIP2/NTRK2/COL15A1/KLF4/COL5A1/CYBB/COL4A3,97,high
GO:0006954,inflammatory response,88/554,427/10254,3.478520378578058e-29,4.7525117913063266e-26,3.138445549761412e-26,EPHA2/PLA2G2A/ZC3H12A/GBP5/F3/VCAM1/CSF1/S100A9/S100A8/ACKR1/SLAMF8/PTGS2/CHI3L1/LIPA/H19/ADM/FOLR2/BIRC3/CD163/LRRK2/LYZ/IGF1/ALOX5AP/EDNRB/NFKBIA/FOS/SERPINA1/SERPINA3/THBS1/CX3CL1/HP/BCL6B/CD68/KDM6B/PER1/CCL2/CCL14/NR1D1/SPHK1/SOCS3/SBNO2/ICAM1/LDLR/ACP5/ZFP36/APOE/RELB/LILRB4/CYP26B1/IL18R1/IL1RN/CXCR4/CALCRL/SLC11A1/SIGLEC1/BMP2/PTGIS/GGT5/HMOX1/SCUBE1/IRAK2/NFKBIZ/CD200/APOD/KIT/CXCL8/CXCL2/SPP1/ITGA2/F2R/BMP6/C4A/C4B/AGER/CNR1/TNFAIP3/GPER1/SERPINE1/FABP4/CCN3/CCL21/KLF4/CYBB/TIMP1/F8/NLRP2/LCN2/ELF3,88,high
GO:0006959,humoral immune response,44/554,103/10254,4.538087172409956e-29,4.7525117913063266e-26,3.138445549761412e-26,C1QA/C1QC/C1QB/S100A9/LYZ/RGCC/GPR183/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/CCL2/CFD/BCL3/IGKC/IGKV3-20/SLC11A1/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/LTF/MASP1/JCHAIN/CXCL8/CXCL2/C7/CXCL14/CD83/CFB/C4A/C4B/HLA-DQB1/TRBC2/VSIG4/POU2AF1,44,high
GO:0048514,blood vessel morphogenesis,87/554,422/10254,7.325544930222189e-29,6.13734154254015e-26,4.052954121394508e-26,EPHA2/ZC3H12A/PIK3R3/JUN/GADD45A/CCN1/F3/PRRX1/PTGS2/CHI3L1/CD34/JCAD/ADM/APLNR/MCAM/THY1/APOLD1/NR4A1/MMP19/RGCC/COL4A1/COL4A2/THBS1/DLL4/CTSH/ANPEP/TNFRSF12A/ITGAX/CX3CL1/CDH13/CCL2/TBX2/SPHK1/LRG1/ANGPTL4/LDLR/JUNB/KLF2/APOE/HIF3A/RHOB/CYP1B1/EPAS1/CXCR4/CALCRL/ACKR3/PTGIS/SOX18/ADAMTS1/CLDN5/HMOX1/ADAMTS9/TIPARP/HES1/APOD/SLIT2/CXCL8/ENPEP/SFRP2/HPGD/SEMA6A/LOX/EDN1/HLA-G/CCN2/TNFAIP3/SMOC2/THBS2/ITGB8/GPNMB/SERPINE1/ANGPT2/EGR3/LOXL2/SFRP1/SULF1/HEY1/ANGPT1/CCN3/ENPP2/SLC1A1/CEMIP2/NTRK2/COL15A1/KLF4/CYBB/COL4A3,87,high
GO:0002250,adaptive immune response,71/554,287/10254,1.0358119644889518e-28,7.231693865407031e-26,4.7756383204859046e-26,C1QA/C1QC/C1QB/ZC3H12A/PRF1/NFKB2/GPR183/TRAC/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/CTSH/ICAM1/JAK3/BCL3/RELB/LILRB5/LILRB4/CD8A/IGKC/IGKV4-1/IGKV1-5/IGKV3-15/IGKV3-20/IGKV1-39/IGKV1D-39/IGKV2D-28/IL18R1/SLC11A1/SAMSN1/IGLV1-51/IGLV1-44/IGLV1-40/IGLV3-21/IGLV2-14/IGLC1/IGLL5/IGLC2/IGLC3/NFKBIZ/TFRC/JCHAIN/IL7R/C7/ERAP2/IRF1/IRF4/HLA-G/C4A/C4B/AGER/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DQB2/TNFAIP3/AZGP1/TRBC2/SLAMF7/IGLV2-23/IGLV2-11/IGLV2-8,71,high
GO:0050865,regulation of cell activation,79/554,389/10254,9.585100973053828e-26,5.735998282303212e-23,3.7879165950654825e-23,PLA2G2A/ZC3H12A/VCAM1/SLAMF8/IGF2/LRRC32/ZBTB16/THY1/LRRK2/IGF1/GPR183/PNP/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/THBS1/CX3CL1/CCL2/NR1D1/SPHK1/C1QTNF1/LDLR/JAK3/JUND/APOE/LILRB4/PELI1/CYP26B1/IGKC/IGFBP2/SERPINE2/THBD/SDC4/SAMSN1/IGLC1/IGLL5/IGLC2/IGLC3/HMOX1/PDGFB/NFKBIZ/CD200/HES1/TFRC/CD38/IL7R/IRF1/IRF4/CD83/RIPOR2/HLA-G/AGER/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DQB2/CDKN1A/CNR1/CCN2/TNFAIP3/GPER1/GPNMB/TRBC2/EGR3/SFRP1/CCL21/NR4A3/VSIG4/CD22/CD24,79,high
GO:0001525,angiogenesis,76/554,367/10254,2.439051535980849e-25,1.277148360527972e-22,8.433983469154831e-23,EPHA2/ZC3H12A/PIK3R3/JUN/GADD45A/CCN1/F3/PTGS2/CHI3L1/CD34/JCAD/ADM/APLNR/MCAM/THY1/APOLD1/NR4A1/MMP19/RGCC/COL4A1/COL4A2/THBS1/DLL4/CTSH/ANPEP/TNFRSF12A/ITGAX/CX3CL1/CDH13/CCL2/SPHK1/LRG1/ANGPTL4/KLF2/HIF3A/RHOB/CYP1B1/EPAS1/CXCR4/CALCRL/ACKR3/PTGIS/SOX18/ADAMTS1/CLDN5/HMOX1/ADAMTS9/APOD/SLIT2/CXCL8/ENPEP/SFRP2/SEMA6A/EDN1/HLA-G/CCN2/TNFAIP3/SMOC2/THBS2/ITGB8/GPNMB/SERPINE1/ANGPT2/EGR3/LOXL2/SFRP1/SULF1/HEY1/ANGPT1/CCN3/ENPP2/CEMIP2/COL15A1/KLF4/CYBB/COL4A3,76,high
GO:0006956,complement activation,28/554,45/10254,7.840664256915199e-25,3.6493936191353077e-22,2.4099725926518295e-22,C1QA/C1QC/C1QB/RGCC/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/CFD/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/MASP1/C7/CFB/C4A/C4B/TRBC2/VSIG4,28,high
GO:0002694,regulation of leukocyte activation,73/554,359/10254,7.685967915230418e-24,3.219651959690022e-21,2.1261814401290043e-21,PLA2G2A/ZC3H12A/VCAM1/SLAMF8/IGF2/LRRC32/ZBTB16/THY1/LRRK2/IGF1/GPR183/PNP/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/THBS1/CX3CL1/CCL2/NR1D1/SPHK1/LDLR/JAK3/JUND/LILRB4/PELI1/CYP26B1/IGKC/IGFBP2/SDC4/SAMSN1/IGLC1/IGLL5/IGLC2/IGLC3/HMOX1/NFKBIZ/CD200/HES1/TFRC/CD38/IL7R/IRF1/IRF4/CD83/RIPOR2/HLA-G/AGER/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DQB2/CDKN1A/CNR1/TNFAIP3/GPER1/GPNMB/TRBC2/EGR3/SFRP1/CCL21/NR4A3/VSIG4/CD22/CD24,73,high
