ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0034660,ncRNA metabolic process,50/439,377/8723,1.833043778535435e-10,4.63760075969465e-7,4.4880629777614965e-7,UTP11/NSUN4/TARS2/ADAR/RPP38/RPP30/INTS4/RPUSD4/PWP1/GATC/NOP9/TRMT5/MTFMT/PARN/NA/KARS1/MRM3/TSR1/ELP5/ZNHIT3/DDX52/METTL2A/ELP2/RBFA/POP4/NOL10/NA/SSB/PRKRA/MRPL44/DIS3L2/DDX27/RRP1B/METTL6/ELP6/RPP14/GRSF1/HELQ/INTS12/MTREX/RIOK2/HARS2/ABT1/MTO1/RARS2/MRM2/ELP3/EXOSC3/EXOSC2/FTSJ1,50,low
GO:0034470,ncRNA processing,44/439,319/8723,7.04521190015553e-10,8.912193053696745e-7,8.624822568295665e-7,UTP11/NSUN4/ADAR/RPP38/RPP30/INTS4/RPUSD4/PWP1/NOP9/TRMT5/MTFMT/PARN/NA/KARS1/MRM3/TSR1/ELP5/ZNHIT3/DDX52/METTL2A/ELP2/RBFA/POP4/NOL10/NA/SSB/PRKRA/DDX27/RRP1B/METTL6/ELP6/RPP14/GRSF1/HELQ/INTS12/MTREX/RIOK2/ABT1/MTO1/MRM2/ELP3/EXOSC3/EXOSC2/FTSJ1,44,low
GO:0006399,tRNA metabolic process,26/439,137/8723,3.32931100196983e-9,2.807718944994557e-6,2.7171850493269563e-6,TARS2/RPP38/RPP30/RPUSD4/GATC/TRMT5/MTFMT/NA/KARS1/ELP5/METTL2A/ELP2/POP4/NA/SSB/METTL6/ELP6/RPP14/GRSF1/HARS2/MTO1/RARS2/ELP3/EXOSC3/EXOSC2/FTSJ1,26,low
GO:0008033,tRNA processing,20/439,95/8723,3.6301691575490636e-8,2.2960819921497827e-5,2.222045647489243e-5,RPP38/RPP30/RPUSD4/TRMT5/MTFMT/NA/KARS1/ELP5/METTL2A/ELP2/POP4/NA/SSB/METTL6/ELP6/RPP14/GRSF1/MTO1/ELP3/FTSJ1,20,low
GO:0009451,RNA modification,20/439,114/8723,8.375159611985886e-7,4.2378307636648584e-4,4.101183422627194e-4,NSUN4/ADAR/RPUSD4/TRMT5/MTFMT/PARN/NA/MRM3/ELP5/METTL2A/ELP2/NA/SSB/METTL6/ELP6/CMTR1/MTO1/MRM2/ELP3/FTSJ1,20,low
GO:0006400,tRNA modification,14/439,67/8723,4.571231408794711e-6,0.0019275359107084366,0.0018653832029572805,RPUSD4/TRMT5/MTFMT/NA/ELP5/METTL2A/ELP2/NA/SSB/METTL6/ELP6/MTO1/ELP3/FTSJ1,14,low
GO:0034471,ncRNA 5'-end processing,7/439,17/8723,9.764313353547005e-6,0.0035291018263534178,0.003415307197045163,RPP38/RPP30/NOP9/POP4/SSB/RPP14/ABT1,7,low
GO:0000966,RNA 5'-end processing,7/439,18/8723,1.528949995031917e-5,0.004835304359288437,0.004679391695321367,RPP38/RPP30/NOP9/POP4/SSB/RPP14/ABT1,7,low
GO:0016072,rRNA metabolic process,25/439,201/8723,2.4162941796004912e-5,0.0067924714159880465,0.0065734505985388806,UTP11/NSUN4/RPP38/RPP30/RPUSD4/PWP1/NOP9/MRM3/TSR1/ZNHIT3/DDX52/RBFA/POP4/NOL10/NA/MRPL44/DDX27/RRP1B/HELQ/MTREX/RIOK2/ABT1/MRM2/EXOSC3/EXOSC2,25,low
GO:0090501,RNA phosphodiester bond hydrolysis,17/439,110/8723,3.169087408899146e-5,0.00801779114451484,0.007759260329578329,ISG20L2/RPP38/RPP30/CSTF3/NOP9/EDC3/PARN/N4BP1/TSR1/POP4/MRPL44/DIS3L2/RPP14/FIP1L1/ABT1/EXOSC3/EXOSC2,17,low
GO:0006364,rRNA processing,24/439,194/8723,3.837085788454585e-5,0.008825297313445547,0.008540728750186952,UTP11/NSUN4/RPP38/RPP30/RPUSD4/PWP1/NOP9/MRM3/TSR1/ZNHIT3/DDX52/RBFA/POP4/NOL10/NA/DDX27/RRP1B/HELQ/MTREX/RIOK2/ABT1/MRM2/EXOSC3/EXOSC2,24,low
