ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0001944,vasculature development,101/461,391/8699,3.1947274933646135e-44,1.2280532484493574e-40,7.099020777360736e-41,PDPN/EPHA2/HSPG2/CLIC4/JUN/GADD45A/CCN1/F3/S1PR1/PRRX1/AGT/ITGB1/NRP1/ACTA2/FGFR2/ADM/MDK/APLNR/PDE2A/MCAM/THY1/ETS1/APOLD1/NR4A1/ITGA5/DCN/TBX3/FLT1/COL4A1/MMP14/NFATC4/ZFP36L1/MYO1E/SMAD6/CSPG4/NR2F2/CX3CL1/CDH13/SERPINF1/CCL2/GJC1/NGFR/TBX2/SOCS3/C3/ANGPTL4/LDLR/JUNB/APOE/HIF3A/EPAS1/HK2/CXCR4/ITGAV/CALCRL/FN1/ACKR3/ID1/ADAMTS1/COL18A1/TGFBR2/ADAMTS9/MYLK/HEG1/HES1/APOD/SLIT2/KIT/KDR/ANXA3/PLK2/MEF2C/TGFBI/EGR1/SPARC/EDN1/VEGFA/CCN2/TNFAIP3/CITED2/SMOC2/THBS2/DLL1/ITGB8/GPNMB/AQP1/HSPB1/SEMA3C/COL1A2/SERPINE1/CAV1/SMO/ANGPT2/SFRP1/CCN3/ENPP2/ANXA1/SVEP1/ENG/SRPX2/LEF1,101,high
GO:0001568,blood vessel development,97/461,369/8699,4.058702558147163e-43,7.800826316758846e-40,4.50943215802561e-40,EPHA2/HSPG2/JUN/GADD45A/CCN1/F3/S1PR1/PRRX1/AGT/ITGB1/NRP1/ACTA2/FGFR2/ADM/MDK/APLNR/PDE2A/MCAM/THY1/ETS1/APOLD1/NR4A1/ITGA5/DCN/TBX3/FLT1/COL4A1/MMP14/NFATC4/ZFP36L1/MYO1E/SMAD6/CSPG4/NR2F2/CX3CL1/CDH13/SERPINF1/CCL2/GJC1/NGFR/TBX2/SOCS3/C3/ANGPTL4/LDLR/JUNB/APOE/HIF3A/EPAS1/HK2/CXCR4/ITGAV/CALCRL/FN1/ACKR3/ID1/ADAMTS1/COL18A1/TGFBR2/ADAMTS9/MYLK/HEG1/HES1/APOD/SLIT2/KDR/ANXA3/PLK2/MEF2C/TGFBI/EGR1/SPARC/EDN1/VEGFA/CCN2/TNFAIP3/CITED2/SMOC2/THBS2/DLL1/ITGB8/GPNMB/AQP1/HSPB1/SEMA3C/COL1A2/SERPINE1/CAV1/SMO/ANGPT2/SFRP1/CCN3/ENPP2/ANXA1/ENG/SRPX2/LEF1,97,high
GO:0048514,blood vessel morphogenesis,88/461,323/8699,2.471411631466652e-40,3.1667021037859368e-37,1.830578931237229e-37,EPHA2/HSPG2/JUN/GADD45A/CCN1/F3/S1PR1/PRRX1/AGT/ITGB1/NRP1/FGFR2/ADM/MDK/APLNR/MCAM/THY1/ETS1/APOLD1/NR4A1/ITGA5/DCN/FLT1/COL4A1/MMP14/NFATC4/ZFP36L1/MYO1E/CSPG4/NR2F2/CX3CL1/CDH13/SERPINF1/CCL2/GJC1/NGFR/TBX2/C3/ANGPTL4/LDLR/JUNB/APOE/HIF3A/EPAS1/HK2/CXCR4/ITGAV/CALCRL/FN1/ACKR3/ID1/ADAMTS1/COL18A1/TGFBR2/ADAMTS9/MYLK/HEG1/HES1/APOD/SLIT2/KDR/ANXA3/PLK2/TGFBI/SPARC/EDN1/VEGFA/CCN2/TNFAIP3/CITED2/SMOC2/THBS2/DLL1/ITGB8/GPNMB/AQP1/HSPB1/SERPINE1/CAV1/SMO/ANGPT2/SFRP1/CCN3/ENPP2/ANXA1/ENG/SRPX2/LEF1,88,high
GO:0035239,tube morphogenesis,100/461,447/8699,8.985905938886823e-38,8.635455607270237e-35,4.991907220260549e-35,EPHA2/HSPG2/CLIC4/JUN/GADD45A/CCN1/F3/S1PR1/PRRX1/AGT/ITGB1/NRP1/FGFR2/ADM/MICAL2/MDK/APLNR/MCAM/THY1/ETS1/APOLD1/NR4A1/ITGA5/DCN/TBX3/FLT1/COL4A1/MMP14/NFATC4/ZFP36L1/FMN1/MYO1E/CSPG4/NR2F2/CX3CL1/CDH13/SERPINF1/NTN1/CCL2/GJC1/NGFR/TBX2/SOX9/C3/ANGPTL4/LDLR/JUNB/APOE/HIF3A/EPAS1/HK2/CXCR4/ITGAV/CALCRL/FN1/EPHA4/ACKR3/ID1/TGM2/SDC4/ADAMTS1/COL18A1/TGFBR2/ADAMTS9/MYLK/HEG1/HES1/APOD/SLIT2/KDR/ANXA3/PLK2/MEF2C/TGFBI/SPARC/EDN1/VEGFA/CCN2/TNFAIP3/CITED2/SMOC2/THBS2/DLL1/ITGB8/GPNMB/AQP1/HSPB1/SERPINE1/CAV1/SMO/PODXL/ANGPT2/SFRP1/CCN3/ENPP2/ANXA1/TNC/ENG/SRPX2/LEF1,100,high
GO:0001525,angiogenesis,74/461,276/8699,2.760436819195285e-33,2.122223826597335e-30,1.2267962369097361e-30,EPHA2/HSPG2/JUN/GADD45A/CCN1/F3/S1PR1/AGT/ITGB1/NRP1/FGFR2/ADM/MDK/APLNR/MCAM/THY1/ETS1/APOLD1/NR4A1/ITGA5/DCN/FLT1/COL4A1/MMP14/NFATC4/CSPG4/CX3CL1/CDH13/SERPINF1/CCL2/NGFR/C3/ANGPTL4/HIF3A/EPAS1/HK2/CXCR4/ITGAV/CALCRL/FN1/ACKR3/ID1/ADAMTS1/COL18A1/TGFBR2/ADAMTS9/APOD/SLIT2/KDR/ANXA3/PLK2/TGFBI/SPARC/EDN1/VEGFA/CCN2/TNFAIP3/SMOC2/THBS2/DLL1/ITGB8/GPNMB/AQP1/HSPB1/SERPINE1/CAV1/ANGPT2/SFRP1/CCN3/ENPP2/ANXA1/ENG/SRPX2/LEF1,74,high
GO:0051093,negative regulation of developmental process,84/461,425/8699,1.8962344337523825e-27,1.214854193890693e-24,7.022720859037333e-25,EPHA2/HSPG2/ID3/GADD45A/RGS2/AGT/ITGB1/NRP1/IGF2/MDK/LRP4/ZBTB16/THY1/YBX3/DCN/TBX3/EDNRB/NFATC4/ZFP36L1/SMAD6/VASN/IL4R/NKD1/SERPINF1/NTN1/NGFR/TBX2/SOX9/LDLR/ZFP36/CRIM1/ZFP36L2/EFEMP1/FRZB/ITGAV/COL5A2/MAP2/IGFBP5/EPHA4/INPP5D/ID1/MAFB/ADAMTS1/S100B/FBLN1/TGFBR2/SEMA3F/SEMA3B/SEMA3G/ADAMTS9/BCL6/HES1/TFRC/FGFR3/SPP1/PLK2/SPRY4/CD74/SPARC/CDKN1A/VEGFA/GJA1/CITED2/THBS2/DLL1/EGFR/FGL2/SEMA3C/SERPINE1/NAMPT/CAV1/SMO/TMEM176B/TMEM176A/INSIG1/ANGPT2/DMTN/SFRP1/CCN3/ANXA1/S1PR3/ABCA1/RAP1GAP/LEF1,84,high
GO:0009887,animal organ morphogenesis,86/461,455/8699,1.1646776601713529e-26,6.395744179569544e-24,3.6971947979274075e-24,DHRS3/EPHA2/ALPL/HSPG2/ID3/HEYL/CCN1/S1PR1/PRRX1/AGT/NRP1/ACTA2/FGFR2/IGF2/ADM/MICAL2/MDK/LRP4/APLNR/SERPINH1/THY1/MGP/DCN/TBX3/MMP14/TGFB3/FMN1/SMAD6/NKD1/NTN1/CCL2/NGFR/TBX2/SOX9/ITGB4/LAMA3/PLEKHA4/EFEMP1/FHL2/LIMS2/ITGA6/FRZB/COL5A2/IGFBP5/TGM2/MAFB/ADAMTS1/COL18A1/TGFBR2/CSRNP1/HYAL2/MYLK/HEG1/HES1/FGFR3/SLIT2/FRAS1/BASP1/ITGA2/MEF2C/SLIT3/EDN1/PIM1/VEGFA/LAMA2/CCN2/TNFAIP3/CITED2/DLL1/LFNG/AQP1/ELN/SEMA3C/COL1A2/SERPINE1/LAMB1/CAV1/SMO/TMEM176B/INSIG1/SFRP1/COL27A1/TNC/ENG/OLFM1/LEF1,86,high
GO:0030155,regulation of cell adhesion,76/461,374/8699,1.3072596806217995e-25,6.281382765387747e-23,3.631085770779762e-23,PDPN/EPHA2/COL16A1/PLPP3/CCN1/S1PR1/NID1/NRP1/CXCL12/IGF2/CD44/MDK/LRRC32/ZBTB16/THY1/ETS1/CD9/ERBB3/HSPH1/LMO7/PNP/MMP14/FMN1/IL4R/CX3CL1/CDH13/CCL2/SOX9/C1QTNF1/LAMA3/MBP/ICAM1/LIMS2/CXCR4/ITGA6/ITGAV/FN1/EPHA4/TGM2/SDC4/FBLN1/FBLN2/TGFBR2/FAM107A/NFKBIZ/CCDC80/BCL6/HES1/APOD/TFRC/KDR/ITGA2/EDIL3/TGFBI/SPRY4/CD74/DUSP1/NEDD9/VEGFA/LAMA2/CITED2/DLL1/GPNMB/FGL2/SERPINE1/CAV1/PODXL/PLXNA4/ANGPT2/DMTN/DOCK5/SFRP1/ANXA1/TNC/GPM6B/LEF1,76,high
GO:0009611,response to wounding,63/461,269/8699,8.787002305275695e-25,3.753026317942197e-22,2.1695160077704084e-22,PDPN/ID3/PLPP3/CCN1/F3/PEAR1/ITGB1/NRP1/MYOF/FGFR2/ADM/CD44/MDK/MCAM/ETS1/CD9/ITGA5/ERBB3/DCN/ZFP36L1/TGFB3/PPL/CX3CL1/ITGB4/C1QTNF1/CNN2/ZFP36/APOE/ZFP36L2/DYSF/CXCR4/FN1/EPHA4/MYL9/SDC4/FBLN1/CHL1/TGFBR2/MYLK/PLSCR1/P2RY1/APOD/KDR/SPP1/SLC1A3/ITGA2/SPARC/EDN1/CDKN1A/VEGFA/GJA1/CCN2/TNFAIP3/SMOC2/EGFR/HSPB1/SERPINE1/CAV1/DMTN/PLAT/ANXA1/TNC/TIMP1,63,high
GO:0051241,negative regulation of multicellular organismal process,83/461,465/8699,5.931135115864558e-24,2.279928338538336e-21,1.3179606557463246e-21,EPHA2/HSPG2/GADD45A/ATP1A2/RGS2/AGT/NRP1/ADM/MDK/LRP4/LRRC32/CTSC/THY1/CD9/YBX3/DCN/P2RX7/NFATC4/TGFB3/SMAD6/NR2F2/VASN/IL4R/CX3CL1/CYBA/SERPINF1/NTN1/NGFR/SOX9/C1QTNF1/LDLR/ZFP36/BCL3/APOE/EFEMP1/FRZB/CALCRL/MAP2/FN1/IGFBP5/INPP5D/ID1/MAFB/ADAMTS1/TGFBR2/SEMA3F/SEMA3B/SEMA3G/ADAMTS9/BCL6/HES1/APOD/SLIT2/SPP1/PLK2/MEF2C/ARRDC3/CD74/SPARC/EDN1/GJA1/TNFAIP3/CITED2/THBS2/DLL1/GPNMB/EGFR/FGL2/SEMA3C/SERPINE1/SMO/TMEM176B/TMEM176A/ANGPT2/DOCK5/SFRP1/PLAT/CCN3/ALDH1A1/ANXA1/TIMP1/RAP1GAP/LEF1,83,high
