ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0034660,ncRNA metabolic process,53/505,425/10179,3.593746098962249e-10,1.0490144862870805e-6,1.0085186420877217e-6,LRRC47/YTHDF2/TARS2/RPP38/RPP30/METTL15/ELP4/INTS4/YARS2/PWP1/DIS3/NGDN/TRMT5/FCF1/ALKBH1/MTFMT/DUS2/MRM3/METTL16/DDX52/AARSD1/METTL2A/METTL4/SMAD2/RBFA/NOL10/TRMT61B/METTL6/RPP14/SHQ1/NSUN3/TRMT44/ZCCHC4/GRSF1/HELQ/GAR1/EXOSC9/RIOK2/HARS2/RARS1/FARS2/CDKAL1/MTO1/MRM2/METTL2B/INTS9/UTP23/TRMT12/TRMT10B/EXOSC3/EXOSC2/UTP14A/RPUSD2,53,low
GO:0006399,tRNA metabolic process,29/505,163/10179,1.525047649767211e-9,1.8927955985732912e-6,1.8197266784934978e-6,LRRC47/TARS2/RPP38/RPP30/ELP4/YARS2/TRMT5/ALKBH1/MTFMT/DUS2/AARSD1/METTL2A/TRMT61B/METTL6/RPP14/NSUN3/TRMT44/GRSF1/EXOSC9/HARS2/RARS1/FARS2/CDKAL1/MTO1/METTL2B/TRMT12/TRMT10B/EXOSC3/EXOSC2,29,low
GO:0001510,RNA methylation,19/505,74/10179,1.974873303385946e-9,1.8927955985732912e-6,1.8197266784934978e-6,METTL15/TRMT5/MRM3/METTL16/METTL2A/METTL4/TRMT61B/METTL6/NSUN3/TRMT44/ZCCHC4/METTL14/CMTR1/MTO1/MRM2/METTL2B/VIRMA/TRMT12/TRMT10B,19,low
GO:0034470,ncRNA processing,46/505,360/10179,2.5937589565923826e-9,1.8927955985732912e-6,1.8197266784934978e-6,YTHDF2/RPP38/RPP30/METTL15/ELP4/INTS4/PWP1/DIS3/NGDN/TRMT5/FCF1/ALKBH1/MTFMT/DUS2/MRM3/METTL16/DDX52/METTL2A/SMAD2/RBFA/NOL10/TRMT61B/METTL6/RPP14/SHQ1/NSUN3/TRMT44/ZCCHC4/GRSF1/HELQ/GAR1/EXOSC9/RIOK2/FARS2/CDKAL1/MTO1/MRM2/METTL2B/INTS9/UTP23/TRMT12/TRMT10B/EXOSC3/EXOSC2/UTP14A/RPUSD2,46,low
GO:0009451,RNA modification,26/505,141/10179,4.9723958129524955e-9,2.5448701900077597e-6,2.446628775738154e-6,METTL15/ELP4/TRMT5/ALKBH1/MTFMT/DUS2/MRM3/METTL16/METTL2A/METTL4/TRMT61B/METTL6/NSUN3/TRMT44/ZCCHC4/GAR1/METTL14/CDKAL1/CMTR1/MTO1/MRM2/METTL2B/VIRMA/TRMT12/TRMT10B/RPUSD2,26,low
GO:0006397,mRNA processing,50/505,420/10179,5.787106330446053e-9,2.5448701900077597e-6,2.446628775738154e-6,TARDBP/KDM1A/SF3A3/DDX20/RBM17/ECD/CSTF3/CPSF7/SF3B2/BUD13/SART3/RBM23/SNW1/NRDE2/PAPOLA/RNPS1/METTL16/NCBP3/ZNF830/COIL/HNRNPL/PRPF31/U2AF2/CPSF3/USP39/IWS1/WDR33/POLR2D/PRPF40A/CWC22/TFIP11/USP4/ISY1/DBR1/FXR1/FIP1L1/GRSF1/METTL14/PLRG1/IK/ZMAT2/RBM22/SLU7/CMTR1/VIRMA/SMU1/NCBP1/C9orf78/GPKOW/NONO,50,low
GO:0043414,macromolecule methylation,35/505,238/10179,6.102806211049783e-9,2.5448701900077597e-6,2.446628775738154e-6,KDM1A/CHTOP/PYGO2/RBBP5/METTL15/PWP1/TRMT5/SNW1/CTCF/MRM3/METTL16/METTL2A/METTL4/MBD1/GSK3A/TRMT61B/NDUFAF7/FBXO11/IWS1/METTL21A/METTL6/NSUN3/TRMT44/ZCCHC4/METTL14/CMTR1/MTO1/MRM2/METTL2B/PAXIP1/ASH2L/VIRMA/TRMT12/TRMT10B/WDR5,35,low
GO:0032259,methylation,36/505,271/10179,5.5558302652275413e-8,2.0271835680248992e-5,1.948926774617977e-5,KDM1A/CHTOP/PYGO2/RBBP5/METTL15/PWP1/TRMT5/SNW1/CTCF/MRM3/METTL16/METTL2A/METTL4/MBD1/GSK3A/TRMT61B/NDUFAF7/FBXO11/IWS1/METTL21A/METTL6/NSUN3/TRMT44/ZCCHC4/METTL14/CMTR1/MTO1/MRM2/METTL2B/PAXIP1/ASH2L/VIRMA/TRMT12/MTAP/TRMT10B/WDR5,36,low
GO:0008380,RNA splicing,42/505,363/10179,2.2795756738466013e-7,7.393423768842477e-5,7.108010229795367e-5,TARDBP/KDM1A/SF3A3/DDX20/RBM17/ECD/SF3B2/BUD13/SART3/RBM23/SNW1/NRDE2/RNPS1/METTL16/ZNF830/COIL/METTL4/HNRNPL/PRPF31/U2AF2/USP39/IWS1/PRPF40A/CWC22/TFIP11/USP4/ISY1/DBR1/FXR1/GRSF1/METTL14/PLRG1/IK/ZMAT2/RBM22/SLU7/VIRMA/SMU1/NCBP1/C9orf78/GPKOW/NONO,42,low
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",33/505,261/10179,6.418326524802713e-7,1.703190465990829e-4,1.637441006231965e-4,KDM1A/SF3A3/DDX20/RBM17/SF3B2/BUD13/SART3/RBM23/SNW1/RNPS1/METTL16/COIL/HNRNPL/PRPF31/U2AF2/USP39/PRPF40A/CWC22/TFIP11/USP4/ISY1/DBR1/FXR1/METTL14/PLRG1/IK/ZMAT2/RBM22/SLU7/SMU1/NCBP1/C9orf78/GPKOW,33,low
GO:0000398,"mRNA splicing, via spliceosome",33/505,261/10179,6.418326524802713e-7,1.703190465990829e-4,1.637441006231965e-4,KDM1A/SF3A3/DDX20/RBM17/SF3B2/BUD13/SART3/RBM23/SNW1/RNPS1/METTL16/COIL/HNRNPL/PRPF31/U2AF2/USP39/PRPF40A/CWC22/TFIP11/USP4/ISY1/DBR1/FXR1/METTL14/PLRG1/IK/ZMAT2/RBM22/SLU7/SMU1/NCBP1/C9orf78/GPKOW,33,low
