ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006959,humoral immune response,43/565,95/10217,2.6664936142409945e-29,1.096728823537321e-25,7.435306930657258e-26,H2BC21/S100A9/GATA3/SERPING1/C1S/C1R/A2M/LYZ/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/MFAP4/CCL2/GATA6/CFD/C3/BCL3/IGKC/IGKV3-20/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/LTF/ST6GAL1/MASP1/SPON2/JCHAIN/CXCL8/CXCL2/C7/CXCL14/CFB/C4A/C4B/HLA-DQB1/TNFRSF21/CLU,43,high
GO:0003013,circulatory system process,72/565,325/10217,2.784909289654618e-25,3.885625987368949e-22,2.6342721385441145e-22,HSPB7/ZC3H12A/MFSD2A/GSTM2/ATP1A2/PTGS2/RGS2/AGT/KCNMA1/ACTA2/KCNQ1/HBB/ADM/SERPING1/SLC2A3/PDE3A/POSTN/EDNRB/ABCC4/FERMT2/TPM1/ANPEP/ABAT/GNAO1/SLC7A5/P2RX1/ATP2A3/ABCC3/TBX2/ACE/DSC2/DSG2/NEDD4L/ICAM1/CYP4F12/KLF2/FXYD1/CEACAM1/APOE/TRPM4/SLC8A1/CXCR4/TTN/DES/CLDN5/MME/CD38/SLC4A4/EDNRA/NPR3/ITGA1/ERAP2/SLC12A2/HBEGF/KCNMB1/DSP/VEGFA/PLN/CCN2/SGK1/SLC22A3/ELN/COL1A2/CAV1/PTP4A3/SVEP1/PTGS1/DMD/FLNA/F5/SLC15A2/TJP3,72,high
GO:0006936,muscle contraction,53/565,178/10217,2.8341546224427054e-25,3.885625987368949e-22,2.6342721385441145e-22,ZC3H12A/GSTM2/ATP1A2/PTGS2/RGS2/LMOD1/PPP1R12B/AGT/KCNMA1/ACTA2/KCNQ1/CRYAB/NR4A1/EDNRB/ARG2/TPM1/SYNM/ABAT/MYH11/GNAO1/P2RX1/MYH3/TBX2/MYOM1/DSC2/DSG2/DTNA/NEDD4L/CNN1/FXYD1/HSPB6/TRPM4/SLC8A1/CXCR4/SCN7A/TTN/DES/MYL9/SMTN/MYLK/CD38/NPNT/EDNRA/DSP/PLN/CCN2/CAV1/CALD1/SULF1/TPM2/DMD/FLNA/MYOM2,53,high
GO:0048514,blood vessel morphogenesis,81/565,411/10217,8.640244968678949e-25,8.884331889044128e-22,6.023160242639615e-22,EPHA2/HSPG2/ZC3H12A/CCN1/F3/VAV3/PTGS2/AGT/UNC5B/ADM/MCAM/THY1/NR4A1/ITGA5/DCN/FLT1/KLF5/COL4A1/COL4A2/PGF/TNFAIP2/THBS1/CSPG4/ANPEP/TNFRSF12A/PRKCB/MMP2/CCL2/TBX2/GATA6/LRG1/C3/ANGPTL4/LDLR/JUNB/KLF2/HSPB6/CEACAM1/APOE/HIF3A/EMILIN1/CYP1B1/HK2/CXCR4/NRP2/FN1/RAMP1/ID1/PTGIS/ADAMTS1/CLDN5/WNT5A/COL8A1/MYLK/GATA2/APOD/CXCL8/ANXA3/EDNRA/SFRP2/HPGD/THBS4/SLC12A2/VEGFA/CCN2/SMOC2/THBS2/GPNMB/AQP1/SERPINE1/CAV1/CALD1/PTN/EGR3/SFRP1/SULF1/CCN3/ENPP2/NTRK2/COL15A1/FLNA,81,high
GO:0001525,angiogenesis,74/565,355/10217,3.1185998094624976e-24,2.5653602032638506e-21,1.739193872687612e-21,EPHA2/HSPG2/ZC3H12A/CCN1/F3/VAV3/PTGS2/AGT/UNC5B/ADM/MCAM/THY1/NR4A1/ITGA5/DCN/FLT1/KLF5/COL4A1/COL4A2/PGF/TNFAIP2/THBS1/CSPG4/ANPEP/TNFRSF12A/PRKCB/MMP2/CCL2/GATA6/LRG1/C3/ANGPTL4/KLF2/HSPB6/CEACAM1/HIF3A/EMILIN1/CYP1B1/HK2/CXCR4/NRP2/FN1/RAMP1/ID1/PTGIS/ADAMTS1/CLDN5/WNT5A/COL8A1/GATA2/APOD/CXCL8/ANXA3/EDNRA/SFRP2/THBS4/SLC12A2/VEGFA/CCN2/SMOC2/THBS2/GPNMB/AQP1/SERPINE1/CAV1/CALD1/PTN/EGR3/SFRP1/SULF1/CCN3/ENPP2/COL15A1/FLNA,74,high
GO:0001944,vasculature development,89/565,497/10217,4.034485357639913e-24,2.7656397126621603e-21,1.8749739846294963e-21,ERRFI1/EPHA2/HSPG2/ZC3H12A/CCN1/F3/VAV3/PTGS2/AGT/UNC5B/ACTA2/ADM/MCAM/THY1/NR4A1/ITGA5/DCN/FLT1/KLF5/COL4A1/COL4A2/PGF/TNFAIP2/THBS1/CSPG4/ANPEP/TNFRSF12A/PRKCB/MMP2/CCL2/COL1A1/TBX2/SOCS3/GATA6/LRG1/C3/ANGPTL4/LDLR/JUNB/KLF2/HSPB6/CEACAM1/APOE/HIF3A/EMILIN1/CYP1B1/HK2/CXCR4/NRP2/FN1/RAMP1/ID1/PTGIS/ADAMTS1/CLDN5/LIF/WNT5A/COL8A1/MYLK/GATA2/APOD/CXCL8/ANXA3/EDNRA/SFRP2/HPGD/THBS4/SLC12A2/EGR1/VEGFA/CCN2/SMOC2/THBS2/GPNMB/AQP1/COL1A2/SERPINE1/CAV1/CALD1/PTN/EGR3/SFRP1/SULF1/CCN3/ENPP2/NTRK2/COL15A1/SVEP1/FLNA,89,high
GO:0001568,blood vessel development,86/565,470/10217,5.675423804515533e-24,3.334716872567484e-21,2.260781602731075e-21,EPHA2/HSPG2/ZC3H12A/CCN1/F3/VAV3/PTGS2/AGT/UNC5B/ACTA2/ADM/MCAM/THY1/NR4A1/ITGA5/DCN/FLT1/KLF5/COL4A1/COL4A2/PGF/TNFAIP2/THBS1/CSPG4/ANPEP/TNFRSF12A/PRKCB/MMP2/CCL2/COL1A1/TBX2/SOCS3/GATA6/LRG1/C3/ANGPTL4/LDLR/JUNB/KLF2/HSPB6/CEACAM1/APOE/HIF3A/EMILIN1/CYP1B1/HK2/CXCR4/NRP2/FN1/RAMP1/ID1/PTGIS/ADAMTS1/CLDN5/WNT5A/COL8A1/MYLK/GATA2/APOD/CXCL8/ANXA3/EDNRA/SFRP2/HPGD/THBS4/SLC12A2/EGR1/VEGFA/CCN2/SMOC2/THBS2/GPNMB/AQP1/COL1A2/SERPINE1/CAV1/CALD1/PTN/EGR3/SFRP1/SULF1/CCN3/ENPP2/NTRK2/COL15A1/FLNA,86,high
GO:0008015,blood circulation,62/565,264/10217,2.8501646209865115e-23,1.46534088576469e-20,9.934323790780616e-21,HSPB7/ZC3H12A/GSTM2/ATP1A2/PTGS2/RGS2/AGT/KCNMA1/ACTA2/KCNQ1/HBB/ADM/SERPING1/PDE3A/POSTN/EDNRB/FERMT2/TPM1/ANPEP/ABAT/GNAO1/P2RX1/ATP2A3/TBX2/ACE/DSC2/DSG2/NEDD4L/ICAM1/CYP4F12/KLF2/FXYD1/CEACAM1/APOE/TRPM4/SLC8A1/CXCR4/TTN/DES/CLDN5/MME/CD38/EDNRA/NPR3/ITGA1/ERAP2/HBEGF/KCNMB1/DSP/VEGFA/PLN/CCN2/SGK1/ELN/COL1A2/CAV1/PTP4A3/PTGS1/DMD/FLNA/F5/TJP3,62,high
GO:0003012,muscle system process,59/565,241/10217,3.626573404364086e-23,1.6573440457943873e-20,1.1236015144047326e-20,ERRFI1/ZC3H12A/GSTM2/ATP1A2/PTGS2/RGS2/LMOD1/PPP1R12B/AGT/KCNMA1/ACTA2/KCNQ1/CRYAB/NR4A1/IGF1/EDNRB/ARG2/TPM1/SYNM/ABAT/MYH11/GNAO1/P2RX1/MYH3/TBX2/MYOM1/GATA6/DSC2/DSG2/DTNA/NEDD4L/CNN1/FXYD1/HSPB6/TRPM4/SLC8A1/CXCR4/SCN7A/TTN/DES/MYL9/SMTN/MYLK/CD38/PDLIM5/NPNT/EDNRA/DSP/PI16/PLN/CCN2/CAV1/CALD1/SULF1/TPM2/NR4A3/DMD/FLNA/MYOM2,59,high
GO:0006956,complement activation,25/565,41/10217,9.9236562858504155e-22,4.081599830370276e-19,2.7671332106545e-19,SERPING1/C1S/C1R/A2M/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/MFAP4/CFD/C3/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/MASP1/C7/CFB/C4A/C4B/CLU,25,high
