ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0030198,extracellular matrix organization,57/467,144/9134,1.0268017849822376e-36,1.2722074115929924e-33,8.315293051715805e-34,CCN1/ADAMTSL4/CTSK/OLFML2B/DDR2/LAMC1/NID1/CREB3L1/SERPINH1/LRP1/POSTN/COL4A1/COL4A2/MMP14/PAPLN/FLRT2/FBLN5/LOXL1/MMP2/MFAP4/COL1A1/SOX9/ADAMTS10/PXDN/EMILIN1/CYP1B1/DPP4/COL3A1/COL5A2/CST3/ADAMTS1/COL18A1/FBLN1/FBLN2/COL8A1/PHLDB2/CCDC80/SLC39A8/SFRP2/LOX/TGFBI/ADAMTS2/TNXB/COL12A1/CCN2/SMOC2/FSCN1/AEBP1/ELN/COL1A2/SULF1/COL14A1/COL27A1/COL5A1/NOTCH1/COL9A2/ELF3,57,high
GO:0043062,extracellular structure organization,57/467,144/9134,1.0268017849822376e-36,1.2722074115929924e-33,8.315293051715805e-34,CCN1/ADAMTSL4/CTSK/OLFML2B/DDR2/LAMC1/NID1/CREB3L1/SERPINH1/LRP1/POSTN/COL4A1/COL4A2/MMP14/PAPLN/FLRT2/FBLN5/LOXL1/MMP2/MFAP4/COL1A1/SOX9/ADAMTS10/PXDN/EMILIN1/CYP1B1/DPP4/COL3A1/COL5A2/CST3/ADAMTS1/COL18A1/FBLN1/FBLN2/COL8A1/PHLDB2/CCDC80/SLC39A8/SFRP2/LOX/TGFBI/ADAMTS2/TNXB/COL12A1/CCN2/SMOC2/FSCN1/AEBP1/ELN/COL1A2/SULF1/COL14A1/COL27A1/COL5A1/NOTCH1/COL9A2/ELF3,57,high
GO:0045229,external encapsulating structure organization,57/467,144/9134,1.0268017849822376e-36,1.2722074115929924e-33,8.315293051715805e-34,CCN1/ADAMTSL4/CTSK/OLFML2B/DDR2/LAMC1/NID1/CREB3L1/SERPINH1/LRP1/POSTN/COL4A1/COL4A2/MMP14/PAPLN/FLRT2/FBLN5/LOXL1/MMP2/MFAP4/COL1A1/SOX9/ADAMTS10/PXDN/EMILIN1/CYP1B1/DPP4/COL3A1/COL5A2/CST3/ADAMTS1/COL18A1/FBLN1/FBLN2/COL8A1/PHLDB2/CCDC80/SLC39A8/SFRP2/LOX/TGFBI/ADAMTS2/TNXB/COL12A1/CCN2/SMOC2/FSCN1/AEBP1/ELN/COL1A2/SULF1/COL14A1/COL27A1/COL5A1/NOTCH1/COL9A2/ELF3,57,high
GO:0001568,blood vessel development,80/467,372/9134,9.383310256702488e-30,8.719441056040786e-27,5.699126334860353e-27,EPHA2/HSPG2/JUN/LEPR/CCN1/NPR1/UNC5B/ACTA2/ADM/CREB3L1/MDK/MCAM/THY1/RAPGEF3/NR4A1/ITGA5/LRP1/DCN/COL4A1/COL4A2/MMP14/TNFAIP2/THBS1/RORA/LOXL1/CSPG4/MFGE8/TNFRSF12A/MMP2/SERPINF1/NGFR/COL1A1/C3/LDLR/JUNB/APOE/HIF3A/RHOB/EMILIN1/CYP1B1/HK2/FN1/ID1/PTGIS/ADAMTS1/COL18A1/HMOX1/COL8A1/MYLK/PLXND1/SLIT2/KDR/ANXA3/FGF2/SFRP2/THBS4/LOX/SLC12A2/TGFBI/EGR1/PDGFRB/SPARC/VEGFA/CCN2/CITED2/SMOC2/THBS2/HSPB1/SEMA3C/COL1A2/SERPINE1/CALD1/PTN/SFRP1/SULF1/FOXH1/COL5A1/NOTCH1/GPC3/FLNA,80,high
GO:0001944,vasculature development,80/467,393/9134,5.0572957927779065e-28,3.7595936923510958e-25,2.4573134083645076e-25,EPHA2/HSPG2/JUN/LEPR/CCN1/NPR1/UNC5B/ACTA2/ADM/CREB3L1/MDK/MCAM/THY1/RAPGEF3/NR4A1/ITGA5/LRP1/DCN/COL4A1/COL4A2/MMP14/TNFAIP2/THBS1/RORA/LOXL1/CSPG4/MFGE8/TNFRSF12A/MMP2/SERPINF1/NGFR/COL1A1/C3/LDLR/JUNB/APOE/HIF3A/RHOB/EMILIN1/CYP1B1/HK2/FN1/ID1/PTGIS/ADAMTS1/COL18A1/HMOX1/COL8A1/MYLK/PLXND1/SLIT2/KDR/ANXA3/FGF2/SFRP2/THBS4/LOX/SLC12A2/TGFBI/EGR1/PDGFRB/SPARC/VEGFA/CCN2/CITED2/SMOC2/THBS2/HSPB1/SEMA3C/COL1A2/SERPINE1/CALD1/PTN/SFRP1/SULF1/FOXH1/COL5A1/NOTCH1/GPC3/FLNA,80,high
GO:0048514,blood vessel morphogenesis,72/467,322/9134,7.038971009956324e-28,4.360642540667943e-25,2.850165805434947e-25,EPHA2/HSPG2/JUN/LEPR/CCN1/NPR1/UNC5B/ADM/CREB3L1/MDK/MCAM/THY1/RAPGEF3/NR4A1/ITGA5/LRP1/DCN/COL4A1/COL4A2/MMP14/TNFAIP2/THBS1/RORA/CSPG4/MFGE8/TNFRSF12A/MMP2/SERPINF1/NGFR/C3/LDLR/JUNB/APOE/HIF3A/RHOB/EMILIN1/CYP1B1/HK2/FN1/ID1/PTGIS/ADAMTS1/COL18A1/HMOX1/COL8A1/MYLK/PLXND1/SLIT2/KDR/ANXA3/FGF2/SFRP2/THBS4/LOX/SLC12A2/TGFBI/PDGFRB/SPARC/VEGFA/CCN2/CITED2/SMOC2/THBS2/HSPB1/SERPINE1/CALD1/PTN/SFRP1/SULF1/FOXH1/NOTCH1/FLNA,72,high
GO:0001525,angiogenesis,64/467,276/9134,9.739561617890058e-26,5.171707219099621e-23,3.3802869494872565e-23,EPHA2/HSPG2/JUN/LEPR/CCN1/NPR1/UNC5B/ADM/CREB3L1/MDK/MCAM/THY1/RAPGEF3/NR4A1/ITGA5/DCN/COL4A1/COL4A2/MMP14/TNFAIP2/THBS1/RORA/CSPG4/MFGE8/TNFRSF12A/MMP2/SERPINF1/NGFR/C3/HIF3A/RHOB/EMILIN1/CYP1B1/HK2/FN1/ID1/PTGIS/ADAMTS1/COL18A1/HMOX1/COL8A1/PLXND1/SLIT2/KDR/ANXA3/FGF2/SFRP2/THBS4/SLC12A2/TGFBI/PDGFRB/SPARC/VEGFA/CCN2/SMOC2/THBS2/HSPB1/SERPINE1/CALD1/PTN/SFRP1/SULF1/NOTCH1/FLNA,64,high
GO:0035239,tube morphogenesis,80/467,454/9134,1.1768141730699288e-23,5.467772851626157e-21,3.5737988308492055e-21,EPHA2/HSPG2/JUN/LEPR/CCN1/NPR1/UNC5B/DCHS1/ADM/CREB3L1/MDK/MCAM/THY1/RAPGEF3/NR4A1/ITGA5/LRP1/DCN/COL4A1/COL4A2/MMP14/TNFAIP2/THBS1/RORA/CSPG4/MFGE8/RGMA/TNFRSF12A/MMP2/SERPINF1/NTN1/NGFR/SOX9/C3/LDLR/JUNB/APOE/HIF3A/RHOB/EMILIN1/CYP1B1/HK2/FN1/ID1/PTGIS/ADAMTS1/COL18A1/HMOX1/COL8A1/MYLK/PLXND1/SLIT2/KDR/SHROOM3/ANXA3/FGF2/SFRP2/THBS4/LOX/SLC12A2/TGFBI/PDGFRB/SPARC/VEGFA/CCN2/CITED2/SMOC2/THBS2/HSPB1/SERPINE1/CALD1/PTN/SFRP1/SULF1/MYC/FOXH1/TNC/NOTCH1/GPC3/FLNA,80,high
GO:0009887,animal organ morphogenesis,80/467,466/9134,6.78268844360319e-23,2.8012503272081173e-20,1.830929231325867e-20,EPHA2/HSPG2/ID3/MFSD2A/CCN1/CELSR2/LAMC1/ACTA2/IGF2/DCHS1/ADM/MDK/LRP4/SERPINH1/THY1/NECTIN1/DCN/MMP14/FLRT2/FBN1/TPM1/ALDH1A3/MMP2/RFLNB/NTN1/NGFR/COL1A1/SOX9/ITGB4/PLEKHA4/ACTG2/TTN/FRZB/COL5A2/FZD7/IGFBP5/MAFB/ADAMTS1/COL18A1/SHANK3/COL8A1/MYLK/PLXND1/FGFR3/SLIT2/FRAS1/FGF2/SFRP2/CPE/PAM/PDGFRB/SLIT3/VEGFA/LAMA2/CCN2/CITED2/LFNG/SDK1/ELN/SEMA3C/COL1A2/SERPINE1/PTN/INSIG1/FGFR1/SFRP1/SULF1/CA2/MYC/LY6E/FOXH1/COL27A1/TNC/LAMC3/COL5A1/NOTCH1/GPC3/FHL1/FLNA/ELF3,80,high
GO:0009611,response to wounding,60/467,286/9134,9.354812375382364e-22,3.4771837599296246e-19,2.272727048671842e-19,ID3/PLPP3/CCN1/CSRP1/PLAU/ADRA2A/ADM/MDK/SYT7/MCAM/VWF/ITGA5/LRP1/DCN/POSTN/FERMT2/THBS1/TPM1/NTRK3/RGMA/TNFRSF12A/COL1A1/ITGB4/AXL/APOE/TFPI/COL3A1/FZD7/FN1/PROCR/MYL9/HMOX1/LGALS1/FBLN1/PHLDB2/MYLK/KDR/FGF2/MAP1B/HMGCR/LOX/SLC12A2/DPYSL3/PDGFRB/SPARC/CDKN1A/VEGFA/DST/CCN2/SMOC2/HSPB1/SERPINE1/PTN/PLAT/PLEC/TNC/COL5A1/TIMP1/FLNA/EPPK1,60,high
