ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006397,mRNA processing,84/527,416/9842,1.5021828510360833e-27,5.102915144969575e-24,4.8322850450171266e-24,SSU72/TARDBP/KDM1A/SRSF4/SF3A3/PRPF38A/RBM8A/DHX9/HNRNPU/RBM17/KIN/MTPAP/HNRNPH3/ECD/SF3B2/RBM4/SRSF8/BUD13/DDX47/WBP11/SCAF11/DDX23/SART3/ZCCHC8/SNRNP35/HNRNPC/RBM23/SNW1/ZC3H14/NRDE2/CPSF2/PAPOLA/AQR/RNPS1/CD2BP2/NUDT21/CWC25/SRSF1/RNMT/HNRNPL/ZNF473/PRPF31/U2AF2/DDX1/USP39/IWS1/WDR33/PRPF40A/HNRNPA3/CRNKL1/RALY/RPRD1B/DYRK1A/TFIP11/USP4/PPP4R2/ISY1/NCBP2/FIP1L1/YTHDC1/METTL14/PLRG1/MTREX/TENT2/DDX46/IK/RBM22/DDX41/PRPF4B/CDC5L/SYNCRIP/CDC40/HNRNPA2B1/CDK13/TGS1/PUF60/HNRNPK/NCBP1/C9orf78/GPKOW/NONO/RBMX/FMR1/FAM50A,84,low
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",63/527,258/9842,1.8913665254414206e-25,2.1416573623081685e-22,2.028075825175081e-22,KDM1A/SRSF4/SF3A3/PRPF38A/RBM8A/DHX9/HNRNPU/RBM17/HNRNPH3/SF3B2/RBM4/SRSF8/BUD13/WBP11/SCAF11/DDX23/SART3/ZCCHC8/SNRNP35/HNRNPC/RBM23/SNW1/AQR/RNPS1/CD2BP2/CWC25/SRSF1/HNRNPL/PRPF31/U2AF2/DDX1/USP39/PRPF40A/HNRNPA3/CRNKL1/RALY/DYRK1A/TFIP11/USP4/ISY1/NCBP2/YTHDC1/METTL14/PLRG1/MTREX/DDX46/IK/RBM22/DDX41/PRPF4B/CDC5L/SYNCRIP/CDC40/HNRNPA2B1/CDK13/TGS1/PUF60/HNRNPK/NCBP1/C9orf78/GPKOW/RBMX/FMR1,63,low
GO:0000398,"mRNA splicing, via spliceosome",63/527,258/9842,1.8913665254414206e-25,2.1416573623081685e-22,2.028075825175081e-22,KDM1A/SRSF4/SF3A3/PRPF38A/RBM8A/DHX9/HNRNPU/RBM17/HNRNPH3/SF3B2/RBM4/SRSF8/BUD13/WBP11/SCAF11/DDX23/SART3/ZCCHC8/SNRNP35/HNRNPC/RBM23/SNW1/AQR/RNPS1/CD2BP2/CWC25/SRSF1/HNRNPL/PRPF31/U2AF2/DDX1/USP39/PRPF40A/HNRNPA3/CRNKL1/RALY/DYRK1A/TFIP11/USP4/ISY1/NCBP2/YTHDC1/METTL14/PLRG1/MTREX/DDX46/IK/RBM22/DDX41/PRPF4B/CDC5L/SYNCRIP/CDC40/HNRNPA2B1/CDK13/TGS1/PUF60/HNRNPK/NCBP1/C9orf78/GPKOW/RBMX/FMR1,63,low
GO:0000375,"RNA splicing, via transesterification reactions",63/527,262/9842,4.711796978331644e-25,4.0014935838481483e-22,3.7892767278372377e-22,KDM1A/SRSF4/SF3A3/PRPF38A/RBM8A/DHX9/HNRNPU/RBM17/HNRNPH3/SF3B2/RBM4/SRSF8/BUD13/WBP11/SCAF11/DDX23/SART3/ZCCHC8/SNRNP35/HNRNPC/RBM23/SNW1/AQR/RNPS1/CD2BP2/CWC25/SRSF1/HNRNPL/PRPF31/U2AF2/DDX1/USP39/PRPF40A/HNRNPA3/CRNKL1/RALY/DYRK1A/TFIP11/USP4/ISY1/NCBP2/YTHDC1/METTL14/PLRG1/MTREX/DDX46/IK/RBM22/DDX41/PRPF4B/CDC5L/SYNCRIP/CDC40/HNRNPA2B1/CDK13/TGS1/PUF60/HNRNPK/NCBP1/C9orf78/GPKOW/RBMX/FMR1,63,low
GO:0008380,RNA splicing,72/527,359/9842,1.959448118808453e-23,1.3312490519184629e-20,1.2606470423323435e-20,TARDBP/KDM1A/SRSF4/SF3A3/PRPF38A/RBM8A/DHX9/HNRNPU/RBM17/HNRNPH3/ECD/SF3B2/RBM4/SRSF8/BUD13/DDX47/WBP11/SCAF11/DDX23/SART3/ZCCHC8/SNRNP35/HNRNPC/RBM23/SNW1/NRDE2/AQR/RNPS1/CD2BP2/CWC25/SRSF1/HNRNPL/PPP2R1A/PRPF31/U2AF2/DDX1/USP39/IWS1/PRPF40A/HNRNPA3/CRNKL1/RALY/DYRK1A/TFIP11/USP4/PPP4R2/ISY1/NCBP2/YTHDC1/METTL14/PLRG1/MTREX/DDX46/IK/RBM22/DDX41/PRPF4B/CDC5L/SYNCRIP/CDC40/HNRNPA2B1/CDK13/TGS1/PUF60/HNRNPK/NCBP1/C9orf78/GPKOW/NONO/RBMX/FMR1/FAM50A,72,low
GO:1903311,regulation of mRNA metabolic process,39/527,231/9842,1.1141311346772395e-10,6.307839107497637e-8,5.973306574690602e-8,TARDBP/YTHDF2/SRSF4/PUM1/SERBP1/RBM8A/DHX9/HNRNPU/RBM4/CNOT2/DIS3/HNRNPC/RBM23/SNW1/ZC3H14/PAPOLA/RNPS1/PARN/NUDT21/ELAVL1/HNRNPL/U2AF2/PUM2/IWS1/FASTKD2/YTHDF1/DYRK1A/MLH1/NCBP2/YTHDC1/METTL14/SYNCRIP/YTHDF3/PUF60/EXOSC3/HNRNPK/NCBP1/RBMX/FMR1,39,low
GO:0006401,RNA catabolic process,37/527,233/9842,2.004070777187131e-9,9.725469185863833e-7,9.209684654261461e-7,TARDBP/EXOSC10/YTHDF2/PUM1/SERBP1/RBM8A/DHX9/HNRNPU/MTPAP/SUPV3L1/CNOT2/ZCCHC8/DIS3/HNRNPC/ZC3H14/NRDE2/EDC3/RNPS1/PARN/ELAC2/ELAVL1/DDX49/PUM2/FASTKD2/CNOT9/YTHDF1/CNOT10/MLH1/NCBP2/METTL14/MTREX/TENT2/SYNCRIP/YTHDF3/EXOSC3/NCBP1/FMR1,37,low
GO:0006402,mRNA catabolic process,32/527,197/9842,1.4532021034453175e-8,6.170659431754679e-6,5.843402142274856e-6,TARDBP/EXOSC10/YTHDF2/PUM1/SERBP1/RBM8A/DHX9/HNRNPU/MTPAP/SUPV3L1/CNOT2/DIS3/HNRNPC/ZC3H14/EDC3/RNPS1/PARN/ELAVL1/PUM2/FASTKD2/CNOT9/YTHDF1/CNOT10/MLH1/NCBP2/METTL14/TENT2/SYNCRIP/YTHDF3/EXOSC3/NCBP1/FMR1,32,low
GO:0050684,regulation of mRNA processing,22/527,114/9842,1.2450077296872718e-7,4.699212508608514e-5,4.449992540262342e-5,SRSF4/RBM8A/DHX9/HNRNPU/RBM4/RBM23/SNW1/ZC3H14/PAPOLA/RNPS1/NUDT21/HNRNPL/U2AF2/IWS1/DYRK1A/NCBP2/YTHDC1/PUF60/HNRNPK/NCBP1/RBMX/FMR1,22,low
GO:0010608,posttranscriptional regulation of gene expression,50/527,434/9842,1.918354253988758e-7,6.516649400799812e-5,6.171042737041731e-5,TARDBP/YTHDF2/PUM1/SERBP1/RBM8A/DHX9/HNRNPU/CAPRIN1/RBM4/CNOT2/DIS3/HNRNPC/ALKBH1/ZC3H14/NRDE2/CYFIP1/PARN/NUDT21/UNK/SMAD2/ELAVL1/CDC37/DDX49/LSM14A/DDX1/PUM2/EIF2B4/FASTKD2/CNOT9/CDK5RAP1/MTG2/YTHDF1/POLDIP3/CNOT10/MLH1/EIF2B5/NCBP2/YTHDC1/METTL14/DHX29/MRPS27/TENT2/SYNCRIP/HNRNPA2B1/EIF4H/RCC1L/YTHDF3/EXOSC3/NCBP1/FMR1,50,low
