ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0002684,positive regulation of immune system process,122/561,497/10202,1.0863552132476614e-48,4.443192822182935e-45,3.0132063020079876e-45,C1QA/C1QC/C1QB/RUNX3/LAPTM5/JUN/PDE4B/GBP1/GBP5/VCAM1/CD84/FCER1G/FCGR2B/SELP/PTPRC/CXCL12/IGF2/SPI1/CCDC88B/ZBTB16/CADM1/CD4/C1S/C1R/NCKAP1L/IGF1/GPR183/PNP/ZFP36L1/PGF/FOS/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/THBS1/DAPK2/PRKCB/CORO1A/NLRC5/SLC7A5/MFAP4/EVI2B/CCL2/CCL5/CFD/C3/ICAM1/RASAL3/JAK3/JUND/TYROBP/IGKC/ZAP70/ITGA4/INPP5D/RUNX1/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/LIF/HMOX1/RAC2/NFKBIZ/HCLS1/KLHL6/HES1/SPON2/CD38/IL7R/FYB1/C7/PDE4D/THBS4/CSF1R/CD74/LCP2/RIPOR2/BTN3A2/BTN3A1/HLA-F/HLA-G/HLA-B/C2/CFB/C4A/C4B/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMA/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/NOD1/MYO1G/SERPINE1/CAV1/TRBC2/EGR3/KLF10/CCL21/ANXA1/NR4A3/VSIG4/SASH3/CD22/LEF1/CD3E,122,high
GO:0002250,adaptive immune response,89/561,261/10202,5.515994612300921e-48,1.1280208982155384e-44,7.649813580743647e-45,C1QA/C1QC/C1QB/CTSS/CD84/FCER1G/FCGR2B/PTPRC/CD4/C1S/C1R/NCKAP1L/GPR183/TRAC/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/PRKCB/C3/ICAM1/JAK3/BCL3/LAIR1/CD8A/IGKC/IGKV4-1/IGKV1-5/IGKV3-15/IGKV3-20/IGKV1-39/IGKV1D-39/IGKV2D-28/ZAP70/INPP5D/IGLV1-51/IGLV1-44/IGLV1-40/IGLV3-21/IGLV2-14/IGLC1/IGLL5/IGLC2/IGLC3/NFKBIZ/KLHL6/JCHAIN/IL7R/C7/ERAP2/IRF1/CD74/BTN3A2/BTN3A1/HLA-F/HLA-G/HLA-B/C2/C4A/C4B/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/TAP1/HLA-DMA/HLA-DOA/HLA-DPA1/HLA-DPB1/TNFAIP3/MYO1G/TRBC2/ANXA1/WAS/SASH3/LEF1/CD3E/IGLV2-23/IGLV2-11/IGLV2-8,89,high
GO:0050865,regulation of cell activation,92/561,359/10202,5.623106105573628e-38,7.666167990598713e-35,5.198906873047899e-35,RUNX3/LAPTM5/VCAM1/CD84/FCER1G/FCGR2B/SELP/PTPRC/IGF2/SPI1/CCDC88B/ZBTB16/CD4/NCKAP1L/IGF1/GPR183/PNP/ZFP36L1/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/THBS1/CORO1A/CCL2/CCL5/NR1D1/LDLR/RASAL3/JAK3/JUND/TYROBP/APOE/PLEK/CYP26B1/IGKC/ZAP70/SERPINE2/INPP5D/SDC4/RUNX1/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/HMOX1/RAC2/NFKBIZ/HES1/CD38/PDGFRA/IL7R/IRF1/CD74/RIPOR2/HLA-F/HLA-G/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMA/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/CCN2/TNFAIP3/GPNMB/CAV1/TRBC2/EGR3/SFRP1/CCL21/ANXA1/NR4A3/VSIG4/SASH3/CD22/LEF1/CD3E/IKZF3,92,high
GO:0006959,humoral immune response,50/561,97/10202,1.3840541828113241e-37,1.415195401924579e-34,9.597323083441685e-35,C1QA/C1QC/C1QB/FCGR2B/PTPRC/ALOX5/C1S/C1R/LYZ/GPR183/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/MFAP4/CCL2/CFD/C3/POU2F2/BCL3/IGKC/IGKV3-20/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/LTF/ST6GAL1/SPON2/JCHAIN/CXCL2/C7/CXCL14/C2/CFB/C4A/C4B/HLA-DRB1/HLA-DQB1/TRBC2/VSIG4/POU2AF1,50,high
GO:0002694,regulation of leukocyte activation,85/561,331/10202,4.0622122953518354e-35,2.881071844145378e-32,1.953834592542291e-32,RUNX3/LAPTM5/VCAM1/CD84/FCGR2B/PTPRC/IGF2/SPI1/CCDC88B/ZBTB16/CD4/NCKAP1L/IGF1/GPR183/PNP/ZFP36L1/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/THBS1/CORO1A/CCL2/CCL5/NR1D1/LDLR/RASAL3/JAK3/JUND/TYROBP/CYP26B1/IGKC/ZAP70/INPP5D/SDC4/RUNX1/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/HMOX1/RAC2/NFKBIZ/HES1/CD38/IL7R/IRF1/CD74/RIPOR2/HLA-F/HLA-G/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMA/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/TNFAIP3/GPNMB/CAV1/TRBC2/EGR3/SFRP1/CCL21/ANXA1/NR4A3/VSIG4/SASH3/CD22/LEF1/CD3E/IKZF3,85,high
GO:0046649,lymphocyte activation,100/561,455/10202,4.2265112628049555e-35,2.881071844145378e-32,1.953834592542291e-32,RUNX3/LAPTM5/LEPR/VCAM1/CD84/FCER1G/FCGR2B/PTPRC/KLF6/APBB1IP/WDFY4/IGF2/SPI1/CCDC88B/ZBTB16/JAML/CD4/NCKAP1L/IGF1/LCP1/GPR183/PNP/ZFP36L1/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/PRKCB/CORO1A/ITGAL/IRF8/CCL2/CCL5/ICAM1/RASAL3/BST2/JAK3/TYROBP/BCL3/CYP26B1/CD8A/IGKC/ZAP70/ITGA4/INPP5D/SDC4/RUNX1/IGLC1/IGLL5/IGLC2/IGLC3/RAC2/NFKBIZ/HES1/CD38/IL7R/IRF1/EGR1/CD74/DOCK2/RIPOR2/BTN3A1/HLA-F/HLA-G/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMA/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/TNFAIP3/GPNMB/IKZF1/CAV1/TRBC2/EGR3/SFRP1/CCL21/ANXA1/NFIL3/WAS/VSIG4/SASH3/CD22/LEF1/POU2AF1/CD3E/IKZF3,100,high
GO:0050867,positive regulation of cell activation,69/561,221/10202,2.3827446581867823e-34,1.3922036645691343e-31,9.441401765898004e-32,RUNX3/VCAM1/SELP/PTPRC/IGF2/CCDC88B/ZBTB16/CD4/NCKAP1L/IGF1/GPR183/PNP/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/THBS1/CORO1A/CCL2/CCL5/RASAL3/JAK3/JUND/TYROBP/PLEK/IGKC/ZAP70/INPP5D/RUNX1/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/NFKBIZ/HES1/CD38/IL7R/CD74/HLA-F/HLA-G/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMA/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/CCN2/CAV1/TRBC2/EGR3/CCL21/ANXA1/NR4A3/SASH3/LEF1/CD3E,69,high
GO:0002252,immune effector process,85/561,349/10202,2.974233713720582e-33,1.5205769861396475e-30,1.0311981362702282e-30,C1QA/C1QC/C1QB/LAPTM5/CD84/FCER1G/FCGR2B/PTPRC/APBB1IP/SPI1/CADM1/C1S/C1R/NCKAP1L/LCP1/GPR183/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/CORO1A/ITGAL/IRF8/SLC7A5/MFAP4/CFD/C3/ICAM1/BST2/JAK3/TYROBP/BCL3/CD8A/IGKC/INPP5D/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/HMOX1/RAC2/NFKBIZ/SPON2/IL7R/C7/CD74/DOCK2/BTN3A2/HLA-F/HLA-G/HLA-B/C2/CFB/C4A/C4B/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMA/HLA-DOA/HLA-DPA1/HLA-DPB1/MYO1G/TRBC2/TCIM/ANXA1/NR4A3/PTGDS/WAS/VSIG4/SASH3/CD22/LEF1/POU2AF1,85,high
GO:0051249,regulation of lymphocyte activation,76/561,284/10202,1.059497738674442e-32,4.8148286124205196e-30,3.265235720944041e-30,RUNX3/LAPTM5/VCAM1/FCGR2B/PTPRC/IGF2/CCDC88B/ZBTB16/CD4/NCKAP1L/IGF1/GPR183/PNP/ZFP36L1/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/CORO1A/CCL2/CCL5/RASAL3/JAK3/TYROBP/CYP26B1/IGKC/ZAP70/INPP5D/SDC4/RUNX1/IGLC1/IGLL5/IGLC2/IGLC3/RAC2/NFKBIZ/HES1/CD38/IL7R/IRF1/CD74/RIPOR2/HLA-F/HLA-G/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMA/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/TNFAIP3/GPNMB/CAV1/TRBC2/EGR3/SFRP1/CCL21/ANXA1/VSIG4/SASH3/CD22/LEF1/CD3E/IKZF3,76,high
GO:0002696,positive regulation of leukocyte activation,66/561,215/10202,2.2870722879910033e-32,9.354125657883203e-30,6.343616293532942e-30,RUNX3/VCAM1/PTPRC/IGF2/CCDC88B/ZBTB16/CD4/NCKAP1L/IGF1/GPR183/PNP/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/THBS1/CORO1A/CCL2/CCL5/RASAL3/JAK3/JUND/TYROBP/IGKC/ZAP70/INPP5D/RUNX1/ITGB2/IGLC1/IGLL5/IGLC2/IGLC3/NFKBIZ/HES1/CD38/IL7R/CD74/HLA-F/HLA-G/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQA1/HLA-DMA/HLA-DOA/HLA-DPA1/HLA-DPB1/CDKN1A/CAV1/TRBC2/EGR3/CCL21/ANXA1/NR4A3/SASH3/LEF1/CD3E,66,high
