"","Gene","mean","sd","mean_connectivity","median_connectivity"
"1","ENSG00000227232",2670,6693,0.350241281331832,0.332976303647353
"2","ENSG00000279457",4442,7760,0.368288798173256,0.342275927796658
"3","ENSG00000225972",11948,12973,0.333030082533899,0.29784924189177
"4","ENSG00000225630",12947,12419,0.347087757765311,0.329740819451031
"5","ENSG00000278791",9179,13002,0.328322471555728,0.286386955157498
"6","ENSG00000237973",13021,12552,0.346629066079068,0.318630021348429
"7","ENSG00000229344",5916,12866,0.335303775071377,0.323280776334152
"8","ENSG00000240409",2261,12837,0.319341445645885,0.284661476790768
"9","ENSG00000248527",12971,12374,0.352367773916351,0.344599441090031
"10","ENSG00000198744",11504,12583,0.35801293419529,0.32393283786767
"11","ENSG00000228327",5289,10896,0.362378572516895,0.324352574945748
"12","ENSG00000228794",3726,6349,0.375990869402118,0.324962013401817
"13","ENSG00000187634",2080,8939,0.370587124663579,0.328518799508522
"14","ENSG00000188976",10509,2927,0.403255881671188,0.392387578453276
"15","ENSG00000187961",1499,8848,0.331060879135311,0.319440611468271
"16","ENSG00000187608",3993,12825,0.354756326089953,0.298757529548041
"17","ENSG00000188157",9923,11819,0.370171861788479,0.341654985557491
"18","ENSG00000131591",1536,7655,0.392280715715782,0.391393652608895
"19","ENSG00000078808",12370,2624,0.404703054044129,0.39994471751627
"20","ENSG00000176022",2653,6519,0.383917965530258,0.347839866114038
"21","ENSG00000160087",8485,1045,0.400245192338687,0.39252584097005
"22","ENSG00000162572",498,10211,0.363676302897416,0.329348106879569
"23","ENSG00000131584",9547,9257,0.396152995391278,0.354017075001404
"24","ENSG00000169972",751,3827,0.396360948936149,0.360836050734211
"25","ENSG00000127054",11806,2692,0.418617268359056,0.408606375582039
"26","ENSG00000224051",5617,7972,0.399892746192534,0.386147491654906
"27","ENSG00000107404",9790,5964,0.39177274395036,0.339495444859173
"28","ENSG00000162576",8029,12084,0.387516216560584,0.353090859018089
"29","ENSG00000175756",9870,7636,0.436529921875893,0.410197832102727
"30","ENSG00000221978",12367,8078,0.402898443662822,0.361658269186795
"31","ENSG00000224870",3776,1567,0.371302916186202,0.341507458357525
"32","ENSG00000242485",9902,2331,0.397552342659718,0.37291877212296
"33","ENSG00000179403",7876,12264,0.384822682153733,0.363447118967042
"34","ENSG00000160072",6301,9614,0.395935993431299,0.361465973874996
"35","ENSG00000197785",4964,7343,0.400168696820089,0.369900396968298
"36","ENSG00000160075",12196,735,0.397875407954184,0.375419215913723
"37","ENSG00000272106",543,4277,0.350166523665962,0.323924468785029
"38","ENSG00000197530",9375,9533,0.383779919277914,0.354748670041293
"39","ENSG00000248333",10133,2715,0.371681013735651,0.345917727149313
"40","ENSG00000189339",11670,8966,0.36877414266801,0.317846834496358
"41","ENSG00000008128",8801,8554,0.344735175158842,0.31139935139723
"42","ENSG00000227775",828,10467,0.364288964181326,0.317970586276129
"43","ENSG00000268575",8930,7871,0.350644123151515,0.306695991532775
"44","ENSG00000215790",528,8921,0.364919323839317,0.329895246287117
"45","ENSG00000008130",11832,6220,0.413159596467975,0.423076965908597
"46","ENSG00000078369",12998,207,0.407913205272561,0.380096976507638
"47","ENSG00000162585",8245,6036,0.398897728040428,0.390315768297451
"48","ENSG00000157933",11547,7504,0.391189724152631,0.34357480278628
"49","ENSG00000157916",12438,90,0.412050504932893,0.390663987697696
"50","ENSG00000157911",9217,1412,0.403822555661037,0.384114016944587
"51","ENSG00000157881",5180,813,0.353179783816223,0.299134624588449
"52","ENSG00000238164",3605,9194,0.383599593538096,0.374169820268059
"53","ENSG00000157873",11417,9902,0.410205750999272,0.4027688597995
"54","ENSG00000157870",5158,8244,0.401204821658415,0.398015046757776
"55","ENSG00000130762",4389,10990,0.415759540542967,0.44911782644902
"56","ENSG00000162591",5995,12303,0.358842662960397,0.324966688637022
"57","ENSG00000158109",11002,3504,0.381329860084549,0.329767931607852
"58","ENSG00000116213",5214,1662,0.372416547078439,0.357766401741448
"59","ENSG00000227372",7470,5360,0.394581094106522,0.368091010139194
"60","ENSG00000130764",9947,268,0.394816433744052,0.354993501270574
"61","ENSG00000116198",6918,1958,0.363876757741434,0.33683234424757
"62","ENSG00000169598",679,4592,0.352435497119042,0.315069115069449
"63","ENSG00000198912",5111,2378,0.322812754124855,0.284868616595853
"64","ENSG00000131697",2411,6528,0.350010310503428,0.292722229739215
"65","ENSG00000069424",7179,10939,0.388128722728085,0.323361663971309
"66","ENSG00000116251",12917,4528,0.397353528620745,0.375690052058005
"67","ENSG00000158286",2838,10659,0.358895396921555,0.342453747233702
"68","ENSG00000116237",10475,4817,0.375248874220469,0.329153066558843
"69","ENSG00000158292",3234,12135,0.359007129031118,0.315338515501461
"70","ENSG00000097021",4024,9858,0.405374665345464,0.385396190459058
"71","ENSG00000215788",4951,11853,0.367671797109145,0.348540757484749
"72","ENSG00000171680",5265,11301,0.36926063559557,0.327468782350931
"73","ENSG00000162408",5479,2355,0.349957800055195,0.314548419465833
"74","ENSG00000204859",5533,4611,0.399449449476903,0.395370475549961
"75","ENSG00000162413",11061,10059,0.391951721693998,0.374177126427887
"76","ENSG00000116273",5057,5878,0.353670357821699,0.302277769023558
"77","ENSG00000041988",7273,2406,0.399546630745953,0.37312691415369
"78","ENSG00000007923",9319,971,0.389097016865177,0.373564242226875
"79","ENSG00000171735",6198,3255,0.370700521796196,0.321969589354511
"80","ENSG00000049245",11638,2645,0.402312494238837,0.392099326009278
"81","ENSG00000049246",6739,12225,0.339795320834704,0.307868477502216
"82","ENSG00000049247",414,11978,0.344731058807142,0.357910192835654
"83","ENSG00000116288",12543,4181,0.419960864207034,0.380320280505578
"84","ENSG00000116285",9740,12204,0.351540824571733,0.308992140437977
"85","ENSG00000142599",12598,7123,0.377863014325498,0.362699281955501
"86","ENSG00000074800",13099,9292,0.405660880650851,0.369425741348758
"87","ENSG00000180758",1707,8154,0.341225332814046,0.308854301075496
"88","ENSG00000049239",11937,8780,0.367871589585773,0.310998111733578
"89","ENSG00000171621",5062,11592,0.367266534629126,0.35238219601265
"90","ENSG00000171612",571,8242,0.386510159421611,0.349824189968714
"91","ENSG00000188807",2058,4053,0.371300757002658,0.308867410828227
"92","ENSG00000171608",7462,9214,0.402387948395981,0.38286197328043
"93","ENSG00000171603",12263,6319,0.398683744200836,0.39136871755224
"94","ENSG00000178585",6491,7037,0.380748142267771,0.369401578452954
"95","ENSG00000162441",3844,1264,0.380098172947199,0.350940281319449
"96","ENSG00000173614",1489,3262,0.344763200722562,0.298238705452483
"97","ENSG00000162444",3413,12105,0.352224750067556,0.326423221192613
"98","ENSG00000130939",10770,2960,0.394034913677421,0.355004606735087
