"Gene","mean","sd"
"ENSG00000227232",2677,7975
"ENSG00000279457",4286,8852
"ENSG00000225972",11995,12325
"ENSG00000225630",12398,11374
"ENSG00000278791",10346,12395
"ENSG00000237973",12404,12317
"ENSG00000229344",3576,12299
"ENSG00000240409",4070,12151
"ENSG00000248527",12400,11758
"ENSG00000198744",11555,12053
"ENSG00000228327",4329,9615
"ENSG00000228794",3552,6773
"ENSG00000187634",3663,11474
"ENSG00000188976",8803,4933
"ENSG00000187961",1616,9056
"ENSG00000187608",341,11588
"ENSG00000188157",3637,9715
"ENSG00000131591",1658,5022
"ENSG00000078808",11474,4305
"ENSG00000176022",3243,3216
"ENSG00000160087",7184,1686
"ENSG00000131584",9884,8849
"ENSG00000169972",2069,2433
"ENSG00000127054",10343,3223
"ENSG00000224051",5002,6116
"ENSG00000107404",10082,4552
"ENSG00000162576",7467,10270
"ENSG00000175756",9130,4478
"ENSG00000221978",12028,9165
"ENSG00000224870",4170,2018
"ENSG00000242485",8287,2118
"ENSG00000179403",3666,10779
"ENSG00000160072",5248,9422
"ENSG00000197785",6183,7038
"ENSG00000160075",10407,1222
"ENSG00000272106",1222,6184
"ENSG00000197530",8436,8611
"ENSG00000248333",8498,4707
"ENSG00000189339",10723,9495
"ENSG00000008128",8113,10029
"ENSG00000227775",1405,9785
"ENSG00000268575",8152,9741
"ENSG00000215790",1843,7440
"ENSG00000008130",11610,7023
"ENSG00000078369",12013,1208
"ENSG00000162585",7840,5257
"ENSG00000157933",8951,4319
"ENSG00000157916",11756,505
"ENSG00000157911",9989,1916
"ENSG00000157881",4526,1428
"ENSG00000238164",3450,10321
"ENSG00000157873",10571,10508
"ENSG00000157870",6416,7027
"ENSG00000162591",2696,12177
"ENSG00000158109",8854,3125
"ENSG00000116213",4503,873
"ENSG00000227372",7306,5525
"ENSG00000130764",8886,523
"ENSG00000116198",7420,6379
"ENSG00000169598",562,4777
"ENSG00000198912",4080,3592
"ENSG00000131697",2434,5052
"ENSG00000069424",3218,10173
"ENSG00000116251",11598,3759
"ENSG00000158286",3079,10098
"ENSG00000116237",10449,6371
"ENSG00000097021",2253,11442
"ENSG00000215788",1975,11435
"ENSG00000171680",6117,10626
"ENSG00000162408",4495,2441
"ENSG00000204859",4105,7723
"ENSG00000162413",10353,9089
"ENSG00000116273",4622,5035
"ENSG00000041988",7947,4918
"ENSG00000007923",9839,2638
"ENSG00000171735",5094,7049
"ENSG00000049245",10328,1655
"ENSG00000049246",5429,11702
"ENSG00000116288",11802,3665
"ENSG00000116285",7237,11235
"ENSG00000142599",11923,7573
"ENSG00000074800",12301,10959
"ENSG00000180758",2239,6124
"ENSG00000049239",11816,9876
"ENSG00000171621",2178,10681
"ENSG00000188807",3194,5523
"ENSG00000171608",1208,7894
"ENSG00000171603",11148,7516
"ENSG00000178585",3619,6512
"ENSG00000162441",2752,2210
"ENSG00000173614",2742,5691
"ENSG00000162444",27,10068
"ENSG00000130939",10086,5948
"ENSG00000054523",10835,5243
"ENSG00000142657",9878,8467
"ENSG00000160049",7213,968
"ENSG00000142655",4087,63
"ENSG00000272078",87,8250
"ENSG00000130940",926,9201
"ENSG00000120948",11201,217
"ENSG00000271895",50,9450
"ENSG00000277726",8198,496
"ENSG00000116649",8224,8458
"ENSG00000226849",1762,3152
"ENSG00000171824",8615,992
"ENSG00000198793",9669,1522
"ENSG00000120942",4004,2332
"ENSG00000132879",6616,8667
"ENSG00000116663",1200,4532
"ENSG00000116670",2759,4919
"ENSG00000177674",7163,10467
"ENSG00000215910",1777,8072
"ENSG00000177000",8430,9479
"ENSG00000011021",8200,6539
"ENSG00000116685",8320,296
"ENSG00000083444",9834,8978
"ENSG00000116688",10724,905
"ENSG00000116691",2129,6444
"ENSG00000028137",4617,10285
"ENSG00000048707",9984,3528
"ENSG00000162496",3723,11000
"ENSG00000116731",8123,845
"ENSG00000189337",7321,10792
"ENSG00000171729",4688,6883
"ENSG00000142634",10010,8888
"ENSG00000132906",4769,12016
"ENSG00000116138",4328,2174
"ENSG00000235084",6059,9616
"ENSG00000215695",859,5378
"ENSG00000197312",7743,4422
"ENSG00000116786",10688,3150
"ENSG00000162458",6908,10834
"ENSG00000233954",4168,8263
"ENSG00000178715",1725,11868
"ENSG00000065526",10253,4702
"ENSG00000116809",6272,5623
"ENSG00000173641",11941,12368
"ENSG00000142627",3650,10632
"ENSG00000142632",5386,10313
"ENSG00000037637",5618,1158
"ENSG00000055070",11271,1859
"ENSG00000187144",6319,1819
"ENSG00000157191",8189,1439
"ENSG00000080947",934,8620
"ENSG00000219481",10418,11278
"ENSG00000215908",6133,10703
"ENSG00000236698",2861,7073
"ENSG00000058453",6483,8099
"ENSG00000159363",7861,6663
"ENSG00000117118",9611,3277
"ENSG00000227751",127,3234
"ENSG00000179051",7908,3350
"ENSG00000074964",5883,7659
"ENSG00000159423",5730,10693
"ENSG00000255275",3319,10288
"ENSG00000169991",4927,10822
"ENSG00000272084",3013,8112
"ENSG00000127481",11938,8932
"ENSG00000127463",8188,2411
"ENSG00000053372",5677,6024
"ENSG00000053371",8916,7523
"ENSG00000040487",5509,7323
"ENSG00000077549",11774,3701
"ENSG00000226396",538,9873
"ENSG00000173436",7340,3781
"ENSG00000270136",7829,7580
"ENSG00000158747",4425,11276
"ENSG00000162542",6266,2841
"ENSG00000169914",4162,8616
"ENSG00000188257",268,12237
"ENSG00000162545",8398,10863
"ENSG00000090432",6224,1586
"ENSG00000158828",12109,7376
"ENSG00000117242",11961,4492
"ENSG00000244038",11812,7168
"ENSG00000127483",11711,6043
"ENSG00000075151",10455,2732
"ENSG00000117298",12249,9239
"ENSG00000142794",1840,6316
"ENSG00000162551",10309,12235
"ENSG00000090686",11048,7314
"ENSG00000187942",11202,9516
