"Gene","mean","sd"
"ENSG00000225630",5634,6396
"ENSG00000237973",6417,6354
"ENSG00000228327",3344,6437
"ENSG00000160087",2984,815
"ENSG00000221978",5775,1801
"ENSG00000224870",930,1528
"ENSG00000242485",2650,1445
"ENSG00000160075",5123,679
"ENSG00000248333",3908,1913
"ENSG00000189339",5216,3501
"ENSG00000008128",3578,4071
"ENSG00000268575",3610,3511
"ENSG00000008130",6283,5814
"ENSG00000078369",6409,260
"ENSG00000157916",5401,261
"ENSG00000157911",2096,1536
"ENSG00000157873",5780,4431
"ENSG00000158109",3706,2846
"ENSG00000130764",2371,399
"ENSG00000116198",1306,1183
"ENSG00000198912",1201,1042
"ENSG00000069424",5791,3594
"ENSG00000116251",6211,4716
"ENSG00000116237",1534,2357
"ENSG00000162408",1710,2307
"ENSG00000162413",4384,5384
"ENSG00000007923",1827,783
"ENSG00000171735",109,1571
"ENSG00000049245",4199,3562
"ENSG00000116288",4536,2579
"ENSG00000142599",5817,5567
"ENSG00000074800",6510,3967
"ENSG00000049239",3869,4520
"ENSG00000171608",6442,4418
"ENSG00000171603",4381,3620
"ENSG00000162441",337,1121
"ENSG00000173614",20,2559
"ENSG00000130939",3784,1084
"ENSG00000054523",3127,6216
"ENSG00000142657",6175,6175
"ENSG00000160049",1412,744
"ENSG00000120948",5404,229
"ENSG00000277726",3163,878
"ENSG00000171824",3613,792
"ENSG00000198793",3697,2022
"ENSG00000120942",680,2910
"ENSG00000177674",4026,5579
"ENSG00000177000",3202,3404
"ENSG00000116685",4145,2985
"ENSG00000083444",3113,5770
"ENSG00000116688",5155,4654
"ENSG00000028137",6334,5378
"ENSG00000048707",4490,2597
"ENSG00000116731",4983,2403
"ENSG00000142634",6081,5358
"ENSG00000132906",189,1642
"ENSG00000116138",1176,1088
"ENSG00000197312",3073,2466
"ENSG00000065526",5651,3826
"ENSG00000037637",2633,154
"ENSG00000055070",5145,683
"ENSG00000187144",1941,1021
"ENSG00000157191",5151,912
"ENSG00000215908",2597,6188
"ENSG00000117118",3360,1158
"ENSG00000179051",4677,1386
"ENSG00000169991",1853,4485
"ENSG00000127481",6165,2650
"ENSG00000127463",1711,735
"ENSG00000077549",6158,1968
"ENSG00000173436",923,1739
"ENSG00000158828",4559,6191
"ENSG00000117242",4512,5655
"ENSG00000244038",5156,2026
"ENSG00000127483",6107,2275
"ENSG00000075151",3732,4459
"ENSG00000117298",5588,6157
"ENSG00000090686",4504,498
"ENSG00000070831",6455,1081
"ENSG00000184677",3935,3722
"ENSG00000004487",3263,644
"ENSG00000169641",670,2755
"ENSG00000125944",5213,1866
"ENSG00000142676",6548,5986
"ENSG00000011007",3034,102
"ENSG00000057757",3588,3850
"ENSG00000117305",1042,1827
"ENSG00000179163",1267,4986
"ENSG00000189266",5025,3799
"ENSG00000188529",4590,3488
"ENSG00000001461",2549,3730
"ENSG00000133226",4752,1547
"ENSG00000169504",1864,6075
"ENSG00000020633",5048,5601
"ENSG00000117614",4297,2593
"ENSG00000117616",6298,4903
"ENSG00000183726",5553,1951
"ENSG00000204178",1457,1686
"ENSG00000157978",4446,5797
"ENSG00000117640",2731,2214
"ENSG00000117632",2170,6018
"ENSG00000158006",991,2693
"ENSG00000130695",606,2330
"ENSG00000158062",5547,4135
"ENSG00000169442",6050,6239
"ENSG00000117682",1166,441
"ENSG00000198830",5321,1733
"ENSG00000117676",6172,4543
"ENSG00000117713",5715,3110
"ENSG00000060642",116,602
"ENSG00000204160",6135,6210
"ENSG00000142751",1567,330
"ENSG00000090273",2605,3239
"ENSG00000142784",5346,4308
"ENSG00000158195",6261,3060
"ENSG00000000938",6469,5626
"ENSG00000126709",4189,6632
"ENSG00000117758",2572,2071
"ENSG00000117751",2449,128
"ENSG00000130775",6425,5742
"ENSG00000117748",3991,623
"ENSG00000158161",2791,1344
"ENSG00000169403",6047,6458
"ENSG00000126698",3528,900
"ENSG00000130770",2879,1959
"ENSG00000130772",335,1700
"ENSG00000204138",1299,2585
"ENSG00000242125",2737,4206
"ENSG00000180198",946,2343
"ENSG00000180098",439,641
"ENSG00000197989",741,3189
"ENSG00000120656",1279,1475
"ENSG00000162419",1168,209
"ENSG00000198492",3658,30
"ENSG00000159023",6397,4877
"ENSG00000253304",2461,5415
"ENSG00000116350",5433,7
"ENSG00000162511",6613,2506
"ENSG00000134644",4114,1782
"ENSG00000060688",2178,971
"ENSG00000121766",510,2521
"ENSG00000162517",2870,2270
"ENSG00000184007",6396,465
"ENSG00000121774",5304,116
"ENSG00000025800",4383,78
"ENSG00000084652",4030,284
"ENSG00000084623",4224,2586
"ENSG00000116478",5557,143
"ENSG00000160058",4451,355
"ENSG00000162521",5314,42
"ENSG00000134684",3751,2411
"ENSG00000116497",2871,1131
"ENSG00000116514",4627,5923
"ENSG00000004455",4541,37
"ENSG00000134686",5378,6252
"ENSG00000163866",1753,547
"ENSG00000243749",276,1926
"ENSG00000271741",2214,126
"ENSG00000163867",2434,2916
"ENSG00000116560",6358,133
"ENSG00000146463",2333,1640
"ENSG00000142687",4885,3883
"ENSG00000126067",3098,1460
"ENSG00000134698",5420,5864
"ENSG00000092847",4435,1452
"ENSG00000126070",2690,2756
"ENSG00000116863",1509,2543
"ENSG00000054116",2885,187
"ENSG00000054118",5973,753
"ENSG00000196182",5702,5459
"ENSG00000116898",935,1583
"ENSG00000163875",2660,822
"ENSG00000163877",1214,29
"ENSG00000134697",2008,584
"ENSG00000188786",3066,4345
"ENSG00000204084",2834,1483
"ENSG00000183431",4101,777
"ENSG00000183520",232,1162
"ENSG00000116954",2450,2054
"ENSG00000214114",1770,1874
