"Gene","mean","sd"
"ENSG00000227232",2388,5016
"ENSG00000279457",3236,5786
"ENSG00000225972",8320,12038
"ENSG00000225630",12098,11377
"ENSG00000278791",3708,12202
"ENSG00000237973",12075,12022
"ENSG00000229344",96,11488
"ENSG00000240409",403,11183
"ENSG00000248527",12069,11161
"ENSG00000198744",3336,11044
"ENSG00000228327",4084,9457
"ENSG00000228794",5934,4471
"ENSG00000187634",2785,11195
"ENSG00000188976",7938,2444
"ENSG00000187961",1951,8834
"ENSG00000187608",3027,11422
"ENSG00000188157",9596,9749
"ENSG00000131591",860,5480
"ENSG00000078808",11485,3504
"ENSG00000176022",1987,7416
"ENSG00000160087",6711,389
"ENSG00000131584",7873,8972
"ENSG00000169972",587,3005
"ENSG00000127054",10345,9508
"ENSG00000224051",4499,5548
"ENSG00000107404",8640,6217
"ENSG00000162576",11723,10232
"ENSG00000175756",6457,6446
"ENSG00000221978",11531,8528
"ENSG00000224870",2437,966
"ENSG00000242485",6230,4764
"ENSG00000179403",7024,11378
"ENSG00000160072",3573,8493
"ENSG00000197785",1885,6663
"ENSG00000160075",9421,818
"ENSG00000272106",364,6495
"ENSG00000197530",10051,9332
"ENSG00000248333",8791,5336
"ENSG00000189339",10800,8932
"ENSG00000008128",7786,8639
"ENSG00000227775",2665,8967
"ENSG00000268575",7787,8251
"ENSG00000215790",1785,6494
"ENSG00000008130",9616,7934
"ENSG00000078369",11865,1230
"ENSG00000162585",6857,3716
"ENSG00000157933",11689,7337
"ENSG00000157916",10568,17
"ENSG00000157911",7527,410
"ENSG00000157881",3379,3037
"ENSG00000238164",908,9893
"ENSG00000157873",8579,11082
"ENSG00000157870",2111,9527
"ENSG00000162591",11673,11214
"ENSG00000158109",9029,2102
"ENSG00000116213",4343,2423
"ENSG00000227372",8561,3744
"ENSG00000130764",8329,1066
"ENSG00000116198",6587,5387
"ENSG00000169598",2329,5994
"ENSG00000198912",4601,3727
"ENSG00000131697",1354,5710
"ENSG00000069424",3654,11035
"ENSG00000116251",11705,4274
"ENSG00000158286",5799,9717
"ENSG00000116237",10283,6433
"ENSG00000158292",1395,10830
"ENSG00000097021",3032,8154
"ENSG00000215788",3825,11118
"ENSG00000171680",7707,11319
"ENSG00000162408",4067,3870
"ENSG00000204859",4467,4418
"ENSG00000162413",10829,10004
"ENSG00000116273",4709,8071
"ENSG00000041988",6193,1521
"ENSG00000007923",6618,226
"ENSG00000171735",6395,6774
"ENSG00000049245",11139,2917
"ENSG00000049246",9772,11786
"ENSG00000049247",1977,10797
"ENSG00000116288",11129,4468
"ENSG00000116285",10610,11844
"ENSG00000142599",11616,6409
"ENSG00000074800",11988,10194
"ENSG00000180758",955,4144
"ENSG00000049239",11204,9108
"ENSG00000171621",8698,10789
"ENSG00000188807",1889,3210
"ENSG00000171608",6000,8611
"ENSG00000171603",11828,3743
"ENSG00000178585",3784,3133
"ENSG00000162441",3970,2611
"ENSG00000173614",1607,1398
"ENSG00000162444",799,11548
"ENSG00000130939",9165,7460
"ENSG00000054523",8884,6938
"ENSG00000142657",6282,10617
"ENSG00000160049",7841,2413
"ENSG00000142655",3095,464
"ENSG00000272078",934,9389
"ENSG00000130940",3377,9785
"ENSG00000120948",11279,2051
"ENSG00000271895",328,9534
"ENSG00000277726",9033,1998
"ENSG00000116649",6251,9561
"ENSG00000226849",1493,3297
"ENSG00000171824",8532,1177
"ENSG00000198793",8792,3772
"ENSG00000120942",2906,3407
"ENSG00000132879",6020,9773
"ENSG00000116670",2032,8126
"ENSG00000177674",3509,10218
"ENSG00000215910",2247,8020
"ENSG00000177000",9086,9576
"ENSG00000011021",7125,4529
"ENSG00000116685",9609,5708
"ENSG00000083444",10389,10743
"ENSG00000116688",9825,2632
"ENSG00000116691",4784,5855
"ENSG00000028137",7072,11742
"ENSG00000048707",11054,8266
"ENSG00000162496",10654,11314
"ENSG00000162493",3888,11935
"ENSG00000116731",9738,2019
"ENSG00000189337",4586,9946
"ENSG00000171729",158,10730
"ENSG00000142634",5368,9357
"ENSG00000132906",2735,10360
"ENSG00000116138",3307,1626
"ENSG00000235084",1754,4021
"ENSG00000215695",638,4403
"ENSG00000197312",6970,5298
"ENSG00000116786",10482,3194
"ENSG00000162458",12157,9734
"ENSG00000233954",2723,6700
"ENSG00000178715",856,11403
"ENSG00000065526",11324,7777
"ENSG00000116809",4695,3955
"ENSG00000173641",10305,11840
"ENSG00000142627",5177,10487
"ENSG00000142632",372,10399
"ENSG00000037637",8773,9031
"ENSG00000055070",10973,5294
"ENSG00000187144",6532,4448
"ENSG00000157191",7460,4066
"ENSG00000080947",3190,8930
"ENSG00000219481",9371,10581
"ENSG00000215908",8597,9078
"ENSG00000236698",3234,4879
"ENSG00000058453",7807,8740
"ENSG00000159363",5423,7604
"ENSG00000117118",7445,4469
"ENSG00000179051",6503,9095
"ENSG00000074964",11536,9956
"ENSG00000159423",3293,9755
"ENSG00000255275",1913,8014
"ENSG00000169991",6902,9224
"ENSG00000272084",2402,6246
"ENSG00000127481",11569,8439
"ENSG00000127463",8771,3818
"ENSG00000053372",1915,8619
"ENSG00000053371",6554,6677
"ENSG00000040487",926,1799
"ENSG00000077549",11681,2167
"ENSG00000226396",416,9573
"ENSG00000173436",7356,3358
"ENSG00000270136",11436,8762
"ENSG00000158747",11530,9733
"ENSG00000162542",5144,7753
"ENSG00000169914",3916,9933
"ENSG00000188257",11343,12292
"ENSG00000162545",5817,10513
"ENSG00000090432",5184,4258
"ENSG00000158828",10276,5935
"ENSG00000117242",10088,3061
"ENSG00000244038",11342,5715
"ENSG00000127483",11855,7778
"ENSG00000075151",9263,5438
"ENSG00000117298",11475,8856
"ENSG00000162551",66,11789
"ENSG00000090686",9328,1084
"ENSG00000187942",12041,8731
"ENSG00000142798",12236,9479
"ENSG00000218510",3137,8635
"ENSG00000070831",10880,4505
"ENSG00000184677",10327,8882
"ENSG00000173372",11587,12079
"ENSG00000159189",11661,12170
"ENSG00000173369",11862,12183
"ENSG00000004487",8271,36
"ENSG00000169641",7194,7912
"ENSG00000261326",199,10436
"ENSG00000125944",10449,3647
"ENSG00000125945",7231,9586
"ENSG00000204219",8824,10540
"ENSG00000088280",7851,9693
"ENSG00000117318",11779,11233
"ENSG00000142676",12027,6698
"ENSG00000011007",7447,726
"ENSG00000236810",1290,3
"ENSG00000057757",6044,78
"ENSG00000011009",3674,3478
"ENSG00000117308",370,6333
"ENSG00000117305",5571,1535
"ENSG00000179163",8660,9319
"ENSG00000189266",9557,6651
"ENSG00000188529",10443,6299
"ENSG00000001461",4833,9117
"ENSG00000133226",10632,6842
"ENSG00000169504",12151,10306
"ENSG00000020633",60,10928
"ENSG00000117614",8925,5497
"ENSG00000117616",11055,9823
"ENSG00000183726",9793,2552
"ENSG00000238084",1060,1651
"ENSG00000204178",4571,2137
"ENSG00000157978",9102,8564
"ENSG00000117643",8595,10269
"ENSG00000162430",10292,8318
"ENSG00000228172",1483,3223
"ENSG00000255054",3210,2273
"ENSG00000272478",2460,213
"ENSG00000117640",10230,779
"ENSG00000127423",3039,336
"ENSG00000182749",4032,4259
"ENSG00000117632",8480,9775
"ENSG00000158006",2129,2987
"ENSG00000142684",463,6423
"ENSG00000236782",470,6227
"ENSG00000142669",10846,10578
"ENSG00000158062",7475,9700
"ENSG00000117682",5742,1887
"ENSG00000198830",11314,9047
"ENSG00000117676",1470,10912
"ENSG00000117713",10717,2642
"ENSG00000060642",2239,2429
"ENSG00000204160",5787,2439
"ENSG00000142751",4025,269
"ENSG00000198746",1231,883
"ENSG00000090273",9824,4850
"ENSG00000253368",7388,9789
"ENSG00000090020",6874,5029
"ENSG00000225159",2228,5156
"ENSG00000142784",9739,4046
"ENSG00000186501",5854,3174
"ENSG00000142733",9224,9683
"ENSG00000158195",11513,7680
"ENSG00000126705",9746,8570
"ENSG00000000938",155,11805
"ENSG00000126709",9553,11847
"ENSG00000009780",2598,2803
"ENSG00000117758",8997,2903
"ENSG00000117751",6965,1623
"ENSG00000130775",3543,11920
"ENSG00000117748",6976,5101
"ENSG00000158156",2026,3813
"ENSG00000158161",4209,3285
"ENSG00000228589",5701,2227
"ENSG00000126698",9774,303
"ENSG00000130770",7355,4773
"ENSG00000130766",4148,9312
"ENSG00000204138",7431,2283
"ENSG00000242125",1855,9912
"ENSG00000180198",1215,9081
"ENSG00000180098",3675,302
"ENSG00000197989",996,9469
"ENSG00000120656",3432,466
"ENSG00000162419",2258,235
"ENSG00000198492",7541,2308
"ENSG00000159023",7192,3403
