"Gene","mean","sd"
"ENSG00000227232",2019.5,5733
"ENSG00000279457",2391,7932
"ENSG00000225972",12524,12245
"ENSG00000225630",12695.5,12064.5
"ENSG00000278791",11921,12042
"ENSG00000237973",12704.5,11697
"ENSG00000229344",6558.5,11999
"ENSG00000240409",4205,11974
"ENSG00000248527",12687,11811
"ENSG00000198744",11796.5,11521
"ENSG00000228327",2169,8758.5
"ENSG00000228794",6922,10287
"ENSG00000187634",615,8363.5
"ENSG00000188976",8274.5,5662
"ENSG00000187608",334,12000
"ENSG00000188157",8686,11865
"ENSG00000131591",1300.5,9087.5
"ENSG00000078808",10825,5523
"ENSG00000176022",2578,5875
"ENSG00000160087",6237,2541
"ENSG00000131584",5330,6953
"ENSG00000169972",300,5257.5
"ENSG00000127054",9286,2986
"ENSG00000224051",3745,7036
"ENSG00000107404",7581,5659.5
"ENSG00000162576",11683,10485.5
"ENSG00000175756",7014,10148
"ENSG00000221978",10878,6539
"ENSG00000224870",2705,4406
"ENSG00000242485",8663.5,5035
"ENSG00000179403",6731.5,10929.5
"ENSG00000160072",3518.5,8775.5
"ENSG00000197785",3428.5,8654
"ENSG00000160075",11002,3971.5
"ENSG00000272106",198,4984
"ENSG00000197530",4506,9420
"ENSG00000248333",8057,4004
"ENSG00000189339",10323,8197
"ENSG00000008128",5913,7276
"ENSG00000227775",774.5,10113
"ENSG00000268575",6108,6036.5
"ENSG00000215790",697,9067
"ENSG00000008130",11094.5,9428
"ENSG00000078369",12425.5,1840
"ENSG00000162585",4626,5179.5
"ENSG00000157933",11492,4846
"ENSG00000157916",11207,674.5
"ENSG00000157911",8185,2577
"ENSG00000157881",3555,2100
"ENSG00000238164",1176.5,5880
"ENSG00000157873",7659,8505
"ENSG00000157870",3127,8984
"ENSG00000130762",1783.5,11573
"ENSG00000162591",4734.5,11382
"ENSG00000158109",10234.5,4549.5
"ENSG00000116213",2980.5,1997.5
"ENSG00000227372",6577,3145
"ENSG00000130764",8567.5,596
"ENSG00000116198",6864.5,1969
"ENSG00000169598",349,3126.5
"ENSG00000198912",3891.5,2863
"ENSG00000131697",2302.5,6196
"ENSG00000069424",2378.5,10953
"ENSG00000116251",12367,3998
"ENSG00000158286",1004,10159
"ENSG00000116237",10841,6447
"ENSG00000158292",6154.5,11588
"ENSG00000097021",1062,7594
"ENSG00000215788",609.5,9999
"ENSG00000171680",5727.5,10686
"ENSG00000162408",4933,1322
"ENSG00000204859",2767,5712
"ENSG00000162413",10539,7334
"ENSG00000116273",6466,4326.5
"ENSG00000041988",6405.5,2692
"ENSG00000007923",8088,211
"ENSG00000171735",4732,2223
"ENSG00000049245",11815,8386
"ENSG00000049246",9074.5,11674
"ENSG00000049247",1725.5,10945
"ENSG00000116288",11751,6143
"ENSG00000116285",11532,11826
"ENSG00000142599",12119,3885.5
"ENSG00000074800",12566,7538.5
"ENSG00000180758",1714,6670
"ENSG00000049239",12057,7426
"ENSG00000171621",8617.5,10889
"ENSG00000171612",3394,9688
"ENSG00000188807",2166.5,2103
"ENSG00000171608",2774,7292
"ENSG00000171603",10945,8913
"ENSG00000178585",7322.5,6845
"ENSG00000162441",4592,1922
"ENSG00000173614",2512,1784.5
"ENSG00000162444",9451.5,12401
"ENSG00000130939",9543,2167
"ENSG00000054523",10418.5,5820
"ENSG00000142657",12068,11308.5
"ENSG00000160049",8174,1050
"ENSG00000142655",4601.5,2974.5
"ENSG00000272078",802,11914
"ENSG00000130940",3099,12154.5
"ENSG00000120948",11656.5,138
"ENSG00000277726",9191,896
"ENSG00000116649",7834.5,9853
"ENSG00000226849",2548.5,3750
"ENSG00000171824",9784.5,528.5
"ENSG00000198793",9942.5,2396.5
"ENSG00000120942",4160,1686
"ENSG00000132879",2841.5,10450
"ENSG00000116663",1113,5298
"ENSG00000116670",2633,6198
"ENSG00000177674",4980.5,8741
"ENSG00000215910",166,5747
"ENSG00000177000",6107,5513
"ENSG00000011021",7932,3822
"ENSG00000116685",8479,2303
"ENSG00000083444",11221,7174.5
"ENSG00000116688",11519,1134
"ENSG00000116691",2684,6493
"ENSG00000028137",10495,11400
"ENSG00000048707",11516,5575
"ENSG00000162496",11699,11588
"ENSG00000162493",5045.5,11842
"ENSG00000116731",9609.5,3151.5
"ENSG00000189337",7017,5998
"ENSG00000175147",1602.5,7654
"ENSG00000171729",35,10696
"ENSG00000142634",6302,9519
"ENSG00000132906",1494,4562
"ENSG00000116138",5271,2367
"ENSG00000235084",1267,5530
"ENSG00000215695",3653,9797.5
"ENSG00000197312",10760,7911
"ENSG00000116786",10241,5001
"ENSG00000162458",6751,9658
"ENSG00000233954",5172.5,9541
"ENSG00000178715",1741.5,11340
"ENSG00000065526",11422,5746
"ENSG00000116809",4245.5,4699.5
"ENSG00000173641",12074.5,12696
"ENSG00000142627",4736,9361
"ENSG00000142632",1022,11259
"ENSG00000037637",6681.5,293
"ENSG00000055070",11337.5,783
"ENSG00000187144",6639.5,396
"ENSG00000157191",8793,1880
"ENSG00000219481",5325.5,10038
"ENSG00000215908",4402,9426.5
"ENSG00000236698",4274,4455
"ENSG00000058453",4255.5,9595
"ENSG00000159363",6324,8194.5
"ENSG00000117118",9764,7576.5
"ENSG00000227751",268,6986
"ENSG00000179051",9355.5,7620
"ENSG00000074964",7101.5,7619
"ENSG00000159423",10838.5,12287.5
"ENSG00000255275",8096,11401
"ENSG00000169991",5510,12243.5
"ENSG00000272084",2538.5,3924
"ENSG00000127481",12046.5,5327
"ENSG00000127463",9201.5,845
"ENSG00000053372",5456,6359
"ENSG00000053371",6896,6615
"ENSG00000040487",1836,3840
"ENSG00000077549",11895,2464.5
"ENSG00000226396",975,9629
"ENSG00000173436",7614,4340.5
"ENSG00000270136",11223,10438.5
"ENSG00000158747",11251,11015
"ENSG00000162542",5110.5,5564
"ENSG00000169914",3778,7709.5
"ENSG00000188257",10068.5,12700
"ENSG00000162545",4336,10702
"ENSG00000090432",6527,1366
"ENSG00000158828",11203.5,7502
"ENSG00000117242",10857,5060
"ENSG00000244038",11483,2593
"ENSG00000127483",11987,4245.5
"ENSG00000075151",10325.5,4188
"ENSG00000117298",12354,7504
"ENSG00000142794",2484,10359
"ENSG00000162551",7697.5,12115
"ENSG00000090686",9292,989.5
"ENSG00000187942",12018.5,12008.5
"ENSG00000142798",12653,11957
"ENSG00000218510",2957.5,4121.5
