"Gene","sd"
"ENSG00000225630",9877
"ENSG00000237973",10222
"ENSG00000240409",10073
"ENSG00000248527",9182
"ENSG00000198744",10237
"ENSG00000228794",4935
"ENSG00000187634",5716
"ENSG00000188976",1160
"ENSG00000187608",9985
"ENSG00000188157",8057
"ENSG00000131591",6364
"ENSG00000078808",2973
"ENSG00000176022",4523
"ENSG00000160087",920
"ENSG00000131584",5766
"ENSG00000169972",4228
"ENSG00000127054",1358
"ENSG00000224051",7400
"ENSG00000107404",4164
"ENSG00000162576",7634
"ENSG00000175756",5168
"ENSG00000221978",4534
"ENSG00000224870",452
"ENSG00000242485",2394
"ENSG00000179403",9088
"ENSG00000160072",6545
"ENSG00000197785",7234
"ENSG00000160075",1896
"ENSG00000272106",4096
"ENSG00000197530",4391
"ENSG00000248333",3473
"ENSG00000189339",5372
"ENSG00000008128",6752
"ENSG00000227775",8282
"ENSG00000008130",3029
"ENSG00000078369",1060
"ENSG00000162585",3795
"ENSG00000157933",8172
"ENSG00000157916",1466
"ENSG00000157911",1114
"ENSG00000157881",608
"ENSG00000238164",9323
"ENSG00000157873",7715
"ENSG00000157870",5458
"ENSG00000130762",9679
"ENSG00000158109",4210
"ENSG00000116213",2035
"ENSG00000227372",8229
"ENSG00000130764",963
"ENSG00000116198",2063
"ENSG00000169598",4752
"ENSG00000198912",2694
"ENSG00000131697",4209
"ENSG00000069424",8281
"ENSG00000116251",3942
"ENSG00000116237",4755
"ENSG00000158292",9345
"ENSG00000097021",7555
"ENSG00000215788",8947
"ENSG00000171680",8363
"ENSG00000162408",2925
"ENSG00000204859",4013
"ENSG00000162413",7992
"ENSG00000116273",6317
"ENSG00000041988",2452
"ENSG00000007923",6227
"ENSG00000171735",5172
"ENSG00000049245",1128
"ENSG00000049246",10275
"ENSG00000116288",2951
"ENSG00000116285",9814
"ENSG00000142599",5234
"ENSG00000074800",6402
"ENSG00000180758",4612
"ENSG00000049239",4958
"ENSG00000171621",7464
"ENSG00000171612",7768
"ENSG00000188807",3057
"ENSG00000171608",8643
"ENSG00000171603",4528
"ENSG00000178585",3095
"ENSG00000162441",2164
"ENSG00000173614",5580
"ENSG00000130939",3860
"ENSG00000054523",6965
"ENSG00000142657",5704
"ENSG00000160049",1347
"ENSG00000142655",2157
"ENSG00000130940",9074
"ENSG00000120948",599
"ENSG00000116649",7212
"ENSG00000171824",414
"ENSG00000198793",4459
"ENSG00000120942",1366
"ENSG00000132879",7995
"ENSG00000116663",7273
"ENSG00000116670",7522
"ENSG00000177674",6846
"ENSG00000177000",5882
"ENSG00000011021",5296
"ENSG00000116685",6006
"ENSG00000083444",7392
"ENSG00000116688",5709
"ENSG00000116691",5890
"ENSG00000028137",8037
"ENSG00000048707",5482
"ENSG00000162496",8254
"ENSG00000162493",9086
"ENSG00000116731",2193
"ENSG00000189337",6452
"ENSG00000171729",4320
"ENSG00000142634",6551
"ENSG00000132906",3842
"ENSG00000116138",1661
"ENSG00000197312",3244
"ENSG00000116786",776
"ENSG00000162458",7603
"ENSG00000178715",9959
"ENSG00000065526",6514
"ENSG00000116809",316
"ENSG00000142627",9532
"ENSG00000142632",7097
"ENSG00000037637",41
"ENSG00000055070",309
"ENSG00000157191",4196
"ENSG00000219481",8392
"ENSG00000215908",6432
"ENSG00000058453",6363
"ENSG00000159363",5501
"ENSG00000117118",5916
"ENSG00000179051",6381
"ENSG00000074964",6945
"ENSG00000169991",8798
"ENSG00000127481",7862
"ENSG00000127463",1881
"ENSG00000053372",5041
"ENSG00000053371",6250
"ENSG00000040487",4186
"ENSG00000077549",1972
"ENSG00000173436",4661
"ENSG00000158747",6349
"ENSG00000162542",2793
"ENSG00000169914",5645
"ENSG00000188257",10360
"ENSG00000162545",8123
"ENSG00000090432",1791
"ENSG00000158828",6799
"ENSG00000244038",4222
"ENSG00000127483",3010
"ENSG00000075151",5760
"ENSG00000117298",5369
"ENSG00000142794",9129
"ENSG00000090686",178
"ENSG00000142798",10171
"ENSG00000218510",6531
"ENSG00000070831",1922
"ENSG00000184677",5937
"ENSG00000173372",10143
"ENSG00000159189",9635
"ENSG00000173369",10180
"ENSG00000133216",9130
"ENSG00000004487",455
"ENSG00000169641",6157
"ENSG00000125944",1488
"ENSG00000125945",6483
"ENSG00000204219",9245
"ENSG00000088280",5850
"ENSG00000117318",7790
"ENSG00000142676",4395
"ENSG00000011007",50
"ENSG00000057757",536
"ENSG00000011009",7498
"ENSG00000117308",9880
"ENSG00000117305",7366
"ENSG00000179163",7439
"ENSG00000189266",1179
"ENSG00000188529",915
"ENSG00000001460",5329
"ENSG00000001461",4158
"ENSG00000117602",6120
"ENSG00000133226",1486
"ENSG00000169504",9558
"ENSG00000020633",9971
"ENSG00000117614",2064
"ENSG00000117616",7740
"ENSG00000183726",1173
"ENSG00000204178",827
"ENSG00000157978",6220
"ENSG00000117643",8862
"ENSG00000162430",5156
"ENSG00000117640",4891
"ENSG00000182749",6532
"ENSG00000117632",8663
"ENSG00000158006",6219
"ENSG00000175087",3907
"ENSG00000130695",7466
"ENSG00000142669",9102
"ENSG00000158062",7812
"ENSG00000117682",5821
"ENSG00000198830",7011
"ENSG00000117676",8154
"ENSG00000117713",4580
"ENSG00000060642",3165
"ENSG00000204160",2923
"ENSG00000142751",260
"ENSG00000198746",2043
"ENSG00000090273",5344
"ENSG00000090020",7111
"ENSG00000142784",2484
"ENSG00000186501",2069
"ENSG00000142765",10250
"ENSG00000142733",8175
"ENSG00000158195",1951
"ENSG00000126705",8570
"ENSG00000000938",9432
"ENSG00000126709",10009
"ENSG00000009780",1806
"ENSG00000117758",1324
"ENSG00000117751",417
"ENSG00000130775",9853
"ENSG00000117748",3766
"ENSG00000158156",1677
"ENSG00000158161",2663
"ENSG00000169403",9208
"ENSG00000126698",1924
"ENSG00000130770",8389
"ENSG00000130766",7320
"ENSG00000130772",7668
"ENSG00000204138",1538
"ENSG00000242125",7365
"ENSG00000180198",6766
"ENSG00000180098",1868
"ENSG00000197989",7009
"ENSG00000120656",539
"ENSG00000162419",1360
"ENSG00000198492",709
"ENSG00000159023",5088
"ENSG00000116350",29
"ENSG00000116353",1663
"ENSG00000162511",9874
"ENSG00000162512",9153
"ENSG00000134644",985
"ENSG00000060688",2853
"ENSG00000121766",1979
"ENSG00000168528",9713
"ENSG00000142910",8297
"ENSG00000162517",1732
"ENSG00000084636",8106
"ENSG00000184007",221
"ENSG00000121774",550
"ENSG00000121775",1283
"ENSG00000025800",1885
"ENSG00000084652",904
"ENSG00000160055",3719
"ENSG00000084623",1376
"ENSG00000116478",4892
"ENSG00000175130",9897
"ENSG00000160058",451
"ENSG00000160062",3730
"ENSG00000176261",2798
"ENSG00000162521",413
"ENSG00000162522",8647
"ENSG00000134684",3920
"ENSG00000116497",1880
"ENSG00000121900",9884
"ENSG00000116514",7828
"ENSG00000004455",5165
"ENSG00000116525",1695
"ENSG00000160094",6315
"ENSG00000134686",2818
"ENSG00000163866",4336
"ENSG00000163867",1404
"ENSG00000197056",4825
"ENSG00000116560",3045
"ENSG00000146463",3183
"ENSG00000142687",2113
"ENSG00000020129",7856
"ENSG00000126067",2699
"ENSG00000142686",8374
"ENSG00000134698",4854
"ENSG00000092847",2192
"ENSG00000126070",3960
"ENSG00000116863",1930
"ENSG00000171812",9644
"ENSG00000054116",829
"ENSG00000116871",7947
"ENSG00000054118",826
"ENSG00000214193",9522
"ENSG00000196182",4745
"ENSG00000181817",6522
"ENSG00000116898",4053
"ENSG00000163874",9322
"ENSG00000163875",2610
"ENSG00000163877",174
"ENSG00000134697",1019
"ENSG00000116922",2864
"ENSG00000196449",2892
"ENSG00000197982",5391
"ENSG00000188786",5357
"ENSG00000204084",3109
"ENSG00000183431",386
"ENSG00000183386",9755
"ENSG00000183520",3273
"ENSG00000116954",4700
"ENSG00000214114",4052
"ENSG00000174574",3261
"ENSG00000168653",7345
"ENSG00000127603",9494
"ENSG00000090621",3180
"ENSG00000084072",3158
"ENSG00000043514",1345
"ENSG00000168389",10256
"ENSG00000131236",2244
"ENSG00000131238",6272
"ENSG00000117000",4143
"ENSG00000084073",3022
"ENSG00000084070",7961
"ENSG00000066136",76
"ENSG00000171793",8875
"ENSG00000010803",5822
"ENSG00000127124",7645
"ENSG00000198815",852
"ENSG00000127125",3167
"ENSG00000171960",6059
"ENSG00000065978",2616
"ENSG00000117385",4347
"ENSG00000164008",2729
"ENSG00000177868",3847
"ENSG00000164010",3002
"ENSG00000117394",9599
"ENSG00000117395",2897
"ENSG00000066056",7782
"ENSG00000066322",3856
"ENSG00000159479",784
"ENSG00000178922",5986
"ENSG00000198198",3783
"ENSG00000142949",8244
"ENSG00000066135",4995
"ENSG00000117408",1363
"ENSG00000132768",4545
"ENSG00000117410",7698
"ENSG00000117411",7324
"ENSG00000196517",9955
"ENSG00000178028",2535
"ENSG00000117419",2915
"ENSG00000187147",96
"ENSG00000126106",5084
"ENSG00000142937",6724
"ENSG00000173846",8989
"ENSG00000070785",3270
"ENSG00000126107",6106
"ENSG00000126088",4447
"ENSG00000132781",4077
"ENSG00000132773",3120
"ENSG00000070759",7923
"ENSG00000132763",2774
"ENSG00000117450",5558
"ENSG00000117448",8066
"ENSG00000132780",2958
"ENSG00000159592",558
"ENSG00000159596",491
"ENSG00000197429",2768
"ENSG00000086015",8004
"ENSG00000117461",7006
"ENSG00000085998",841
"ENSG00000132128",108
"ENSG00000173660",6234
"ENSG00000117481",435
"ENSG00000117480",9059
"ENSG00000079277",1062
"ENSG00000142961",1068
"ENSG00000123472",1422
"ENSG00000159658",1250
"ENSG00000162368",4557
"ENSG00000132122",3124
"ENSG00000185104",1189
"ENSG00000123080",7796
"ENSG00000123091",5297
"ENSG00000085832",1282
"ENSG00000117859",1555
"ENSG00000078618",82
"ENSG00000198841",2459
"ENSG00000117862",2878
"ENSG00000134717",3313
"ENSG00000157077",4600
"ENSG00000154222",2137
"ENSG00000134748",46
"ENSG00000134744",6116
"ENSG00000162377",4484
"ENSG00000162378",6711
"ENSG00000121310",6802
"ENSG00000116171",5040
"ENSG00000174348",9170
"ENSG00000157184",6764
"ENSG00000162384",4193
"ENSG00000162385",2975
"ENSG00000058804",6915
"ENSG00000058799",4047
"ENSG00000081870",1819
"ENSG00000116212",940
"ENSG00000116209",6837
"ENSG00000116205",3125
"ENSG00000215883",5938
"ENSG00000116221",3622
"ENSG00000157216",1939
"ENSG00000116133",9622
"ENSG00000162402",4319
"ENSG00000162407",8898
"ENSG00000162600",2830
"ENSG00000162601",6748
"ENSG00000177606",9898
"ENSG00000162599",8259
"ENSG00000162604",668
"ENSG00000132849",5348
"ENSG00000162607",775
"ENSG00000116641",4067
"ENSG00000125703",4587
"ENSG00000088035",3422
"ENSG00000142856",3558
"ENSG00000079739",4371
"ENSG00000162437",8000
"ENSG00000162434",4830
"ENSG00000162433",9396
"ENSG00000213625",1089
"ENSG00000116678",8971
"ENSG00000184588",9738
"ENSG00000198160",5033
"ENSG00000116704",8963
"ENSG00000142864",240
"ENSG00000116717",8960
"ENSG00000172380",7289
"ENSG00000116729",6027
"ENSG00000066557",4602
"ENSG00000116754",3614
"ENSG00000118454",402
"ENSG00000132485",3666
"ENSG00000172260",9552
"ENSG00000254685",3258
"ENSG00000116791",7448
"ENSG00000162623",3957
"ENSG00000117054",7541
"ENSG00000137955",2033
"ENSG00000142892",1584
"ENSG00000036549",2600
"ENSG00000077254",588
"ENSG00000180488",5751
"ENSG00000162614",9215
"ENSG00000162613",3587
"ENSG00000162616",6530
"ENSG00000137959",10156
"ENSG00000162618",7925
"ENSG00000117114",8776
"ENSG00000142875",7730
"ENSG00000117133",1474
"ENSG00000174021",5319
"ENSG00000117151",4505
"ENSG00000162642",640
"ENSG00000142867",7351
"ENSG00000153904",6313
"ENSG00000142871",10340
"ENSG00000117174",2299
"ENSG00000122417",4937
"ENSG00000097033",1020
"ENSG00000183291",3853
"ENSG00000153936",1387
"ENSG00000143013",7059
"ENSG00000065243",4120
"ENSG00000137947",1379
"ENSG00000137944",3775
"ENSG00000213516",1238
"ENSG00000117226",10312
"ENSG00000117228",10033
"ENSG00000162645",8781
"ENSG00000162654",10041
"ENSG00000197147",7090
"ENSG00000171488",7402
"ENSG00000171492",4350
"ENSG00000162664",4439
"ENSG00000122482",1676
"ENSG00000069702",8871
"ENSG00000122484",2983
"ENSG00000067208",1562
"ENSG00000122406",5998
"ENSG00000154511",6359
"ENSG00000143033",2561
"ENSG00000117500",3812
"ENSG00000122483",4955
"ENSG00000117505",393
"ENSG00000137942",5987
"ENSG00000137936",5598
"ENSG00000067334",594
"ENSG00000023909",8350
"ENSG00000137962",8660
"ENSG00000117528",6446
"ENSG00000117525",9273
"ENSG00000117519",5902
"ENSG00000172339",6964
"ENSG00000152078",9271
"ENSG00000122481",2527
"ENSG00000117569",8691
"ENSG00000188641",7953
"ENSG00000162627",3706
"ENSG00000162688",5125
"ENSG00000117620",8104
"ENSG00000156875",2117
"ENSG00000122435",3967
"ENSG00000137992",4969
"ENSG00000137996",2705
"ENSG00000079335",8366
"ENSG00000162692",9669
"ENSG00000162694",6074
"ENSG00000162695",5409
"ENSG00000117543",3447
"ENSG00000170989",9740
"ENSG00000185946",6640
"ENSG00000240038",6372
"ENSG00000198890",4056
"ENSG00000134215",8746
"ENSG00000085491",7723
"ENSG00000162636",4390
"ENSG00000134186",2353
"ENSG00000116266",912
"ENSG00000121957",5708
"ENSG00000121940",1604
"ENSG00000085433",6694
"ENSG00000197780",5950
"ENSG00000215717",283
"ENSG00000031698",843
"ENSG00000143126",8211
"ENSG00000134243",6100
"ENSG00000143106",5486
"ENSG00000174151",5127
"ENSG00000181754",9299
"ENSG00000065135",468
"ENSG00000116337",3262
"ENSG00000168765",6998
"ENSG00000134184",10316
"ENSG00000213366",8472
"ENSG00000134202",10126
"ENSG00000134201",9773
"ENSG00000184371",7851
"ENSG00000168710",1949
"ENSG00000258634",5245
"ENSG00000143093",770
"ENSG00000116396",7193
"ENSG00000162775",2756
"ENSG00000134248",4544
"ENSG00000143119",9968
"ENSG00000121931",3166
"ENSG00000156171",3062
"ENSG00000134255",4344
"ENSG00000162777",9372
"ENSG00000116455",3945
"ENSG00000116459",6720
"ENSG00000143110",9038
"ENSG00000116473",6749
"ENSG00000197852",5252
"ENSG00000064703",1281
"ENSG00000171385",9972
"ENSG00000143079",5174
"ENSG00000134245",4797
"ENSG00000007341",111
"ENSG00000116489",3826
"ENSG00000155363",5661
"ENSG00000155366",8460
"ENSG00000155380",7842
"ENSG00000198799",3004
"ENSG00000081026",5675
"ENSG00000116793",2316
"ENSG00000081019",1510
"ENSG00000134262",4283
"ENSG00000118655",4665
"ENSG00000163349",4778
"ENSG00000116774",8789
"ENSG00000197323",3778
"ENSG00000116752",1973
"ENSG00000213281",5073
"ENSG00000009307",5102
"ENSG00000052723",1317
"ENSG00000173218",6644
"ENSG00000163399",9840
"ENSG00000116815",6669
"ENSG00000143061",9320
"ENSG00000134247",7010
"ENSG00000116830",6347
"ENSG00000198162",3170
"ENSG00000183508",9730
"ENSG00000196505",1927
"ENSG00000065183",3525
"ENSG00000116874",4322
"ENSG00000092621",10010
"ENSG00000134250",8007
"ENSG00000265808",183
"ENSG00000266338",6340
"ENSG00000265491",4070
"ENSG00000186141",198
"ENSG00000131788",7024
"ENSG00000131779",865
"ENSG00000211451",2058
"ENSG00000265241",222
"ENSG00000271601",9044
"ENSG00000121851",2591
"ENSG00000265972",8906
"ENSG00000268043",4325
"ENSG00000131791",8922
"ENSG00000226015",4137
"ENSG00000131778",1461
"ENSG00000116128",6111
"ENSG00000162836",6136
"ENSG00000178104",3449
"ENSG00000269713",5197
"ENSG00000277147",5625
"ENSG00000184678",8725
"ENSG00000178096",4895
"ENSG00000143368",2355
"ENSG00000014914",9490
"ENSG00000264522",5394
"ENSG00000136631",269
"ENSG00000023902",10261
"ENSG00000143401",6240
"ENSG00000117362",3299
"ENSG00000118292",5081
"ENSG00000266472",5316
"ENSG00000117360",241
"ENSG00000163125",4926
"ENSG00000143374",1852
"ENSG00000143369",7848
"ENSG00000143382",9282
"ENSG00000143384",6845
"ENSG00000143420",768
"ENSG00000143457",4938
"ENSG00000163131",8834
"ENSG00000143387",9537
"ENSG00000143437",307
"ENSG00000143379",1637
"ENSG00000143418",5151
"ENSG00000143409",3858
"ENSG00000143363",2165
"ENSG00000213190",9368
"ENSG00000197622",4492
"ENSG00000143458",2340
"ENSG00000163155",3771
"ENSG00000163156",2753
"ENSG00000163159",575
"ENSG00000143398",1267
"ENSG00000159352",2435
"ENSG00000143373",1519
"ENSG00000143393",4
"ENSG00000143390",4667
"ENSG00000143416",10206
"ENSG00000159377",3055
"ENSG00000143442",4436
"ENSG00000143375",10173
"ENSG00000143367",7360
"ENSG00000143376",4119
"ENSG00000143436",326
"ENSG00000182134",5163
"ENSG00000159445",1625
"ENSG00000197747",9555
"ENSG00000163191",7469
"ENSG00000163220",10334
"ENSG00000197956",7860
"ENSG00000196154",9539
"ENSG00000188643",9022
"ENSG00000189171",8321
"ENSG00000160679",16
"ENSG00000143553",2068
"ENSG00000143621",3796
"ENSG00000169418",9726
"ENSG00000143624",6738
"ENSG00000143554",5977
"ENSG00000143614",4483
"ENSG00000198837",4036
"ENSG00000160741",380
"ENSG00000143570",831
"ENSG00000143578",8294
"ENSG00000143543",5136
"ENSG00000143545",4255
"ENSG00000177954",8054
"ENSG00000143549",6189
"ENSG00000143612",2596
"ENSG00000143569",2118
"ENSG00000143575",1876
"ENSG00000143515",9136
"ENSG00000160712",6688
"ENSG00000169291",6970
"ENSG00000160714",133
"ENSG00000160710",1799
"ENSG00000163344",4176
"ENSG00000163346",8096
"ENSG00000163348",55
"ENSG00000160691",5320
"ENSG00000173207",7250
"ENSG00000160688",1045
"ENSG00000160685",8695
"ENSG00000143537",5981
"ENSG00000169242",10120
"ENSG00000169241",8357
"ENSG00000179085",7196
"ENSG00000163463",139
"ENSG00000185499",10357
"ENSG00000169231",7471
"ENSG00000173171",1034
"ENSG00000177628",5884
"ENSG00000160767",5204
"ENSG00000116521",1263
"ENSG00000176444",3462
"ENSG00000143630",8900
"ENSG00000160752",7174
"ENSG00000225855",7963
"ENSG00000160753",3569
"ENSG00000116539",7571
"ENSG00000125459",3723
"ENSG00000163374",135
"ENSG00000132676",42
"ENSG00000116580",3403
"ENSG00000132718",9835
"ENSG00000143622",168
"ENSG00000132680",5845
"ENSG00000116584",5681
"ENSG00000163479",3264
"ENSG00000160803",2011
"ENSG00000116586",5067
"ENSG00000160789",7161
"ENSG00000196189",10057
"ENSG00000160785",2667
"ENSG00000160783",4592
"ENSG00000198952",988
"ENSG00000163472",3465
"ENSG00000198715",5108
"ENSG00000163468",1907
"ENSG00000116604",6503
"ENSG00000163382",5732
"ENSG00000160818",5895
"ENSG00000132688",8245
"ENSG00000143319",73
"ENSG00000143303",2788
"ENSG00000143314",4098
"ENSG00000143321",2758
"ENSG00000143294",639
"ENSG00000187800",6754
"ENSG00000132694",5170
"ENSG00000117036",3810
"ENSG00000183853",8793
"ENSG00000163565",8050
"ENSG00000162706",9854
"ENSG00000213088",10164
"ENSG00000158716",8613
"ENSG00000158714",9214
"ENSG00000158710",5928
"ENSG00000143315",1276
"ENSG00000162729",4526
"ENSG00000018625",9847
"ENSG00000162734",8814
"ENSG00000132716",1040
"ENSG00000162735",2037
"ENSG00000122218",2862
"ENSG00000162736",2882
"ENSG00000162738",8563
"ENSG00000066294",9857
"ENSG00000158769",8689
"ENSG00000215845",9687
"ENSG00000158773",3873
"ENSG00000186517",9892
"ENSG00000143256",2483
"ENSG00000158793",2242
"ENSG00000158796",99
"ENSG00000143222",2436
"ENSG00000143258",1153
"ENSG00000158850",4122
"ENSG00000143224",2857
"ENSG00000158864",3671
"ENSG00000158869",9609
"ENSG00000158882",3226
"ENSG00000143252",340
"ENSG00000143226",8770
"ENSG00000203747",10277
"ENSG00000072694",10074
"ENSG00000081721",817
"ENSG00000118217",1133
"ENSG00000162745",9994
"ENSG00000239887",7284
"ENSG00000152332",4058
"ENSG00000117143",7409
"ENSG00000162733",9649
"ENSG00000132196",6620
"ENSG00000143248",9805
"ENSG00000185630",8068
"ENSG00000143198",7220
"ENSG00000143149",2086
"ENSG00000143183",6327
"ENSG00000143179",7438
"ENSG00000143157",1319
"ENSG00000152382",1132
"ENSG00000143190",6494
"ENSG00000143162",3119
"ENSG00000198771",9189
"ENSG00000197965",704
"ENSG00000143158",7436
"ENSG00000143164",470
"ENSG00000143147",8314
"ENSG00000143155",347
"ENSG00000213064",2280
"ENSG00000143196",10345
"ENSG00000143153",9163
"ENSG00000143156",5282
"ENSG00000117475",2007
"ENSG00000117479",7755
"ENSG00000174175",9831
"ENSG00000000460",1532
"ENSG00000000457",899
"ENSG00000075945",3948
"ENSG00000120370",6676
"ENSG00000116132",10158
"ENSG00000117523",4285
"ENSG00000117533",2919
"ENSG00000010165",521
"ENSG00000135845",1158
"ENSG00000094975",4430
"ENSG00000117592",7721
"ENSG00000076321",3646
"ENSG00000117593",5793
"ENSG00000234741",8139
"ENSG00000185278",6287
"ENSG00000135870",1790
"ENSG00000152061",1239
"ENSG00000116161",4393
"ENSG00000120333",547
"ENSG00000235750",7999
"ENSG00000143207",449
"ENSG00000242193",6947
"ENSG00000075391",5648
"ENSG00000116194",10204
"ENSG00000116191",7451
"ENSG00000116199",4381
"ENSG00000186283",3956
"ENSG00000143322",5498
"ENSG00000057252",4125
"ENSG00000169905",5883
"ENSG00000143337",7822
"ENSG00000135837",5774
"ENSG00000116260",7855
"ENSG00000230124",339
"ENSG00000143324",5541
"ENSG00000135823",51
"ENSG00000153029",6306
"ENSG00000162783",6897
"ENSG00000135821",7191
"ENSG00000135828",5808
"ENSG00000135838",8673
"ENSG00000135829",2700
"ENSG00000135862",8762
"ENSG00000116701",8752
"ENSG00000116698",1066
"ENSG00000162704",3065
"ENSG00000143344",7515
"ENSG00000198860",5846
"ENSG00000116667",6518
"ENSG00000116406",6570
"ENSG00000135842",10172
"ENSG00000121481",3996
"ENSG00000121486",2789
"ENSG00000116668",2584
"ENSG00000116679",7584
"ENSG00000143341",10043
"ENSG00000047410",4126
"ENSG00000157181",1827
"ENSG00000116711",8641
"ENSG00000090104",10243
"ENSG00000116741",10200
"ENSG00000116750",618
"ENSG00000272579",6426
"ENSG00000116747",4046
"ENSG00000134371",2509
"ENSG00000000971",8268
"ENSG00000177888",4270
"ENSG00000213047",7954
"ENSG00000151414",7950
"ENSG00000081237",10236
"ENSG00000162702",5513
"ENSG00000118197",2350
"ENSG00000118200",8388
"ENSG00000116852",10138
"ENSG00000116857",5965
"ENSG00000174307",10031
"ENSG00000159176",8938
"ENSG00000134369",7676
"ENSG00000198700",1087
"ENSG00000163431",9304
"ENSG00000134375",3063
"ENSG00000176393",6632
"ENSG00000143862",2167
"ENSG00000077157",10153
"ENSG00000117139",2332
"ENSG00000183155",2954
"ENSG00000117153",175
"ENSG00000159346",122
"ENSG00000159348",1244
"ENSG00000163444",3199
"ENSG00000159388",9774
"ENSG00000122176",8373
"ENSG00000188783",10324
"ENSG00000058668",9928
"ENSG00000257315",3874
"ENSG00000058673",1167
"ENSG00000182004",4276
"ENSG00000143842",8073
"ENSG00000143850",9229
"ENSG00000158615",3278
"ENSG00000133056",7052
"ENSG00000198625",4779
"ENSG00000170382",9430
"ENSG00000163531",9800
"ENSG00000117222",876
"ENSG00000133059",6456
"ENSG00000117266",7694
"ENSG00000158711",3893
"ENSG00000069275",5545
"ENSG00000117280",7736
"ENSG00000133065",8942
"ENSG00000266028",6534
"ENSG00000266094",9817
"ENSG00000143486",2905
"ENSG00000162889",2453
"ENSG00000180667",5032
"ENSG00000123836",8405
"ENSG00000196352",9184
"ENSG00000117335",3815
"ENSG00000174059",8745
"ENSG00000076356",9276
"ENSG00000196878",10184
"ENSG00000123689",10091
"ENSG00000009790",10090
"ENSG00000117597",3090
"ENSG00000117625",2872
"ENSG00000082512",6590
"ENSG00000170385",8914
"ENSG00000123684",6501
"ENSG00000143493",3754
"ENSG00000066027",1001
"ENSG00000117691",6562
"ENSG00000162772",10337
"ENSG00000117697",2066
"ENSG00000203705",3488
"ENSG00000162769",8996
"ENSG00000174606",1681
"ENSG00000136643",4527
"ENSG00000143499",4510
"ENSG00000152104",9413
"ENSG00000136636",7678
"ENSG00000092978",206
"ENSG00000067533",3213
"ENSG00000143353",5113
"ENSG00000136628",2278
"ENSG00000162813",7891
"ENSG00000067704",1521
"ENSG00000118873",727
"ENSG00000162817",9859
"ENSG00000117791",6783
"ENSG00000186205",7944
"ENSG00000136630",9810
"ENSG00000143507",9791
"ENSG00000154305",2214
"ENSG00000186063",4833
"ENSG00000162819",1509
"ENSG00000154309",8237
"ENSG00000162909",6858
"ENSG00000143514",1303
"ENSG00000143756",302
"ENSG00000143753",6628
"ENSG00000143748",1254
"ENSG00000143771",3087
"ENSG00000162923",1080
"ENSG00000143815",5735
"ENSG00000154380",7829
"ENSG00000143742",3726
