"Gene","mean","sd"
"ENSG00000227232",4983,6243
"ENSG00000279457",7580,6906
"ENSG00000225972",10173,12213
"ENSG00000225630",12288,11428
"ENSG00000278791",4919,12267
"ENSG00000237973",12254,12135
"ENSG00000229344",2882,12068
"ENSG00000240409",806,11738
"ENSG00000248527",12268,11849
"ENSG00000198744",9847,11876
"ENSG00000228327",7310,10272
"ENSG00000228794",2181,2236
"ENSG00000187634",4743,8541
"ENSG00000188976",10990,4935
"ENSG00000187961",6403,9617
"ENSG00000187608",960,11905
"ENSG00000188157",11008,9511
"ENSG00000131591",5007,7041
"ENSG00000078808",10562,2407
"ENSG00000176022",2710,6533
"ENSG00000160087",8167,3725
"ENSG00000131584",11327,8087
"ENSG00000169972",4177,6295
"ENSG00000127054",11014,1176
"ENSG00000224051",7946,10799
"ENSG00000107404",10836,7194
"ENSG00000162576",6810,10773
"ENSG00000175756",9894,4926
"ENSG00000221978",11827,7826
"ENSG00000224870",4696,2604
"ENSG00000242485",9427,2784
"ENSG00000179403",9101,10347
"ENSG00000160072",8602,9139
"ENSG00000197785",7894,8766
"ENSG00000160075",10850,1918
"ENSG00000272106",1224,5734
"ENSG00000197530",10531,7358
"ENSG00000248333",9756,1487
"ENSG00000189339",10185,8974
"ENSG00000008128",9184,7923
"ENSG00000227775",249,8963
"ENSG00000268575",8632,7491
"ENSG00000215790",423,6721
"ENSG00000008130",9215,3196
"ENSG00000078369",11784,275
"ENSG00000162585",7181,5906
"ENSG00000157933",9294,2306
"ENSG00000157916",11507,3839
"ENSG00000157911",8488,4398
"ENSG00000157881",3533,396
"ENSG00000238164",807,8090
"ENSG00000157873",9670,9898
"ENSG00000157870",6645,6331
"ENSG00000130762",9568,10283
"ENSG00000162591",6774,10473
"ENSG00000158109",9627,8300
"ENSG00000116213",5733,2510
"ENSG00000227372",5644,6003
"ENSG00000130764",8974,490
"ENSG00000116198",5450,1270
"ENSG00000169598",1077,4396
"ENSG00000198912",6436,3719
"ENSG00000131697",2736,3028
"ENSG00000069424",580,10930
"ENSG00000116251",12068,1070
"ENSG00000158286",8047,10489
"ENSG00000116237",10115,4299
"ENSG00000158292",3295,10672
"ENSG00000097021",6606,8558
"ENSG00000215788",9952,9828
"ENSG00000171680",9910,8596
"ENSG00000162408",5388,2188
"ENSG00000204859",5781,5862
"ENSG00000162413",9500,9713
"ENSG00000116273",4636,9210
"ENSG00000041988",8627,5038
"ENSG00000007923",9964,2957
"ENSG00000171735",4841,461
"ENSG00000049245",10605,1636
"ENSG00000049246",6824,12057
"ENSG00000049247",563,11281
"ENSG00000116288",11234,7659
"ENSG00000116285",7006,11839
"ENSG00000142599",10335,7469
"ENSG00000074800",12308,8898
"ENSG00000180758",9161,10118
"ENSG00000049239",9767,7734
"ENSG00000171621",6837,7404
"ENSG00000188807",3951,6501
"ENSG00000171608",4572,7142
"ENSG00000171603",11594,3271
"ENSG00000178585",10863,10459
"ENSG00000162441",3502,2859
"ENSG00000173614",1714,6238
"ENSG00000162444",2166,10242
"ENSG00000130939",9278,3721
"ENSG00000054523",8647,9521
"ENSG00000142657",12154,10670
"ENSG00000160049",8420,1365
"ENSG00000142655",5554,2202
"ENSG00000272078",4775,7950
"ENSG00000130940",7768,7505
"ENSG00000120948",11703,52
"ENSG00000277726",9183,701
"ENSG00000116649",8532,10126
"ENSG00000226849",4966,993
"ENSG00000171824",10210,405
"ENSG00000198793",8674,2252
"ENSG00000120942",1733,4039
"ENSG00000132879",5908,8322
"ENSG00000116663",2965,8056
"ENSG00000116670",2746,7180
"ENSG00000177674",8330,10160
"ENSG00000215910",1489,7640
"ENSG00000177000",7138,8653
"ENSG00000011021",5397,4047
"ENSG00000116685",9156,876
"ENSG00000083444",9488,8154
"ENSG00000116688",11715,2977
"ENSG00000116691",3645,5765
"ENSG00000028137",3908,11093
"ENSG00000048707",10584,6745
"ENSG00000162496",11392,10063
"ENSG00000162493",5701,11410
"ENSG00000116731",8351,2893
"ENSG00000189337",9882,9928
