"Gene","mean","sd"
"ENSG00000227232",2005.5,6612
"ENSG00000279457",2938,8393
"ENSG00000225972",10216,11419
"ENSG00000225630",11813,11117
"ENSG00000237973",11806,11380
"ENSG00000229344",604,11701
"ENSG00000240409",1835.5,11339.5
"ENSG00000248527",11800.5,11251
"ENSG00000198744",6868,11410.5
"ENSG00000228327",5191,10297
"ENSG00000228794",6762,10521.5
"ENSG00000188976",7168,6314
"ENSG00000188157",3659,11005
"ENSG00000078808",9658,5378
"ENSG00000176022",1625,4482
"ENSG00000160087",4650,920.5
"ENSG00000131584",5716.5,9765
"ENSG00000127054",8495,6340
"ENSG00000107404",4700,7711
"ENSG00000162576",10713.5,10359.5
"ENSG00000175756",6262,9342
"ENSG00000221978",11257.5,5243.5
"ENSG00000224870",2499,1143
"ENSG00000242485",7843,5454.5
"ENSG00000179403",4712,11162
"ENSG00000160072",2929,9634
"ENSG00000160075",10147.5,3326
"ENSG00000248333",7389,2480
"ENSG00000189339",9743,9409
"ENSG00000008128",5969,8740
"ENSG00000227775",991,10120.5
"ENSG00000268575",6342.5,8535
"ENSG00000215790",426,8416.5
"ENSG00000008130",9881,9388
"ENSG00000078369",11485.5,8
"ENSG00000162585",3520.5,5529
"ENSG00000157933",10164,9697
"ENSG00000157916",10363,31
"ENSG00000157911",7220,2637
"ENSG00000157881",1887,3299
"ENSG00000238164",1908,9304
"ENSG00000157873",8546,10582
"ENSG00000157870",2336,7760
"ENSG00000158109",9627,1539
"ENSG00000116213",2617.5,3517
"ENSG00000227372",7448,3621
"ENSG00000130764",7423.5,1144
"ENSG00000116198",5245.5,3129
"ENSG00000169598",554,3252
"ENSG00000198912",4252.5,2608
"ENSG00000131697",1293,8795
"ENSG00000069424",3216,11407
"ENSG00000116251",11515,5058
"ENSG00000158286",1178,8401
"ENSG00000116237",9631,4151
"ENSG00000158292",6105.5,10926
"ENSG00000097021",618,7102
"ENSG00000215788",3127,11217
"ENSG00000171680",6180,11346
"ENSG00000162408",4259,2641
"ENSG00000204859",3377,3554
"ENSG00000162413",10037,10152
"ENSG00000116273",5239.5,6436.5
"ENSG00000041988",5211,5252.5
"ENSG00000007923",7243,1478
"ENSG00000171735",3445,1932
"ENSG00000049245",11014,862
"ENSG00000049246",10226,9971.5
"ENSG00000049247",3098.5,9082.5
"ENSG00000116288",10985,5379
"ENSG00000116285",9670.5,11373
"ENSG00000142599",10989,7777
"ENSG00000074800",11671,9131
"ENSG00000180758",252,5572
"ENSG00000049239",11003,9970
"ENSG00000171621",7068,10887.5
"ENSG00000171612",2949.5,10046
"ENSG00000171608",3137,10561
"ENSG00000171603",8947,8396
"ENSG00000178585",6687,8345.5
"ENSG00000162441",3354,794
"ENSG00000173614",2214,2108
"ENSG00000162444",10326,11291
"ENSG00000130939",8833,3655
"ENSG00000054523",9433,4399
"ENSG00000142657",11262,9234.5
"ENSG00000160049",6753,1777
"ENSG00000142655",2543.5,6305
"ENSG00000120948",11039,87
"ENSG00000271895",912.5,6346
"ENSG00000277726",9113,64
"ENSG00000116649",6242,8778.5
"ENSG00000226849",2295.5,476.5
"ENSG00000171824",9209,45
"ENSG00000198793",8779,5118
"ENSG00000120942",2422.5,2280
"ENSG00000132879",2827,8153
"ENSG00000116663",930,5114
"ENSG00000116670",2036.5,4628
"ENSG00000177674",3568,8313
"ENSG00000177000",7224,9207
"ENSG00000011021",7557,4002
"ENSG00000116685",6567,4324
"ENSG00000083444",10139,8989
"ENSG00000116688",10542,2237.5
"ENSG00000116691",2848,6957
"ENSG00000028137",9946,10010.5
"ENSG00000048707",10211,8042
"ENSG00000162496",10781,10314
"ENSG00000116731",8642.5,2720
"ENSG00000189337",5348,8333
"ENSG00000142634",5227,10203.5
"ENSG00000132906",1116,5287
"ENSG00000116138",3040,617.5
"ENSG00000215695",1830,9036
"ENSG00000197312",9789,7744
"ENSG00000116786",8649,7849
"ENSG00000162458",5609.5,10535
"ENSG00000233954",5916,9626.5
"ENSG00000178715",677,11585.5
"ENSG00000065526",9976,8764
