"Gene","mean","sd"
"ENSG00000227232",1599,5355
"ENSG00000279457",3024,6487
"ENSG00000225972",10895,10867
"ENSG00000225630",11359,4622
"ENSG00000278791",9718,11334
"ENSG00000237973",11363,8099
"ENSG00000229344",7206,11285
"ENSG00000240409",1134,11300
"ENSG00000248527",11360,4179
"ENSG00000198744",11057,10592
"ENSG00000228327",932,8575
"ENSG00000228794",9144,10123
"ENSG00000187634",4595,9375
"ENSG00000188976",8886,985
"ENSG00000187961",970,7304
"ENSG00000187608",1892,10638
"ENSG00000188157",6648,10117
"ENSG00000131591",289,7076
"ENSG00000078808",10694,630
"ENSG00000176022",3155,5308
"ENSG00000160087",5380,2884
"ENSG00000131584",9379,7556
"ENSG00000169972",1067,1984
"ENSG00000127054",9303,2398
"ENSG00000224051",6829,8939
"ENSG00000107404",9498,4445
"ENSG00000162576",9349,10518
"ENSG00000175756",9527,7231
"ENSG00000221978",9987,6770
"ENSG00000224870",2772,1691
"ENSG00000242485",8487,3220
"ENSG00000179403",7101,10635
"ENSG00000160072",4529,8373
"ENSG00000197785",5740,4725
"ENSG00000160075",9456,691
"ENSG00000272106",619,6328
"ENSG00000197530",9025,8156
"ENSG00000248333",7778,1677
"ENSG00000189339",7107,8297
"ENSG00000008128",5927,7232
"ENSG00000268575",5382,6453
"ENSG00000008130",6941,8198
"ENSG00000078369",10608,646
"ENSG00000162585",6226,5383
"ENSG00000157933",9246,5286
"ENSG00000157916",9700,36
"ENSG00000157911",7922,1417
"ENSG00000157881",7555,4900
"ENSG00000238164",103,9097
"ENSG00000157873",5463,10235
"ENSG00000157870",1376,6908
"ENSG00000162591",3137,10800
"ENSG00000158109",8531,1520
"ENSG00000116213",2552,3458
"ENSG00000227372",7318,1747
"ENSG00000130764",8978,3010
"ENSG00000116198",4643,967
"ENSG00000198912",1973,5118
"ENSG00000131697",1417,5673
"ENSG00000069424",5236,10183
"ENSG00000116251",10457,201
"ENSG00000158286",9507,10802
"ENSG00000116237",9652,5854
"ENSG00000158292",3635,11032
"ENSG00000097021",1679,7885
"ENSG00000215788",1358,10568
"ENSG00000171680",4906,9073
"ENSG00000162408",3796,1800
"ENSG00000204859",2313,5764
"ENSG00000162413",9991,9237
"ENSG00000116273",3142,6013
"ENSG00000041988",7133,4677
"ENSG00000007923",8999,3516
"ENSG00000171735",6887,2296
"ENSG00000049245",9011,946
"ENSG00000049246",3704,10952
"ENSG00000116288",10756,4226
"ENSG00000116285",6558,11089
"ENSG00000142599",10762,3487
"ENSG00000074800",11198,7171
"ENSG00000180758",3356,7746
"ENSG00000049239",10100,4935
"ENSG00000171621",3557,10278
"ENSG00000188807",5374,3004
"ENSG00000171608",2028,6974
"ENSG00000171603",10286,1402
"ENSG00000178585",5702,9602
"ENSG00000162441",3217,2793
"ENSG00000173614",4333,5888
"ENSG00000162444",1579,10661
"ENSG00000130939",8952,7252
"ENSG00000054523",10037,6539
"ENSG00000142657",7917,7086
"ENSG00000160049",6264,1222
"ENSG00000142655",4404,1751
"ENSG00000272078",6522,8601
"ENSG00000130940",8604,8687
"ENSG00000120948",9851,496
"ENSG00000277726",6456,1712
"ENSG00000116649",9365,7342
"ENSG00000226849",629,3757
"ENSG00000171824",6710,1291
"ENSG00000198793",9082,2937
"ENSG00000120942",3251,1340
"ENSG00000132879",6607,6606
"ENSG00000116670",2777,6435
"ENSG00000177674",4809,8840
"ENSG00000215910",1737,9320
"ENSG00000177000",8890,9109
"ENSG00000011021",6772,2111
"ENSG00000116685",8621,1481
"ENSG00000083444",9990,7991
"ENSG00000116688",11265,8055
"ENSG00000116691",3418,7215
"ENSG00000028137",5545,10287
"ENSG00000048707",10067,7149
"ENSG00000162496",8526,8851
"ENSG00000162493",4850,10824
"ENSG00000116731",6585,1033
"ENSG00000189337",1353,9119
"ENSG00000142634",2844,9205
"ENSG00000132906",2902,7061
"ENSG00000116138",2696,870
"ENSG00000235084",4180,7823
"ENSG00000197312",5822,4446
"ENSG00000116786",10254,1087
"ENSG00000162458",8778,8322
"ENSG00000233954",10288,10677
"ENSG00000178715",533,11210
"ENSG00000065526",9005,4041
"ENSG00000116809",4530,3218
"ENSG00000173641",11356,5151
"ENSG00000142627",5944,9679
"ENSG00000037637",5302,2862
"ENSG00000055070",10084,269
"ENSG00000187144",6100,717
"ENSG00000157191",3994,8819
"ENSG00000219481",3077,9504
"ENSG00000215908",3678,8867
"ENSG00000236698",1841,8353
"ENSG00000058453",4042,8346
"ENSG00000159363",4605,7409
"ENSG00000117118",10284,9745
"ENSG00000179051",5360,8325
"ENSG00000074964",9491,7311
"ENSG00000159423",8284,10007
"ENSG00000255275",4979,9929
"ENSG00000169991",1006,7959
"ENSG00000272084",2861,6116
"ENSG00000127481",10500,1435
"ENSG00000127463",8092,1100
"ENSG00000053372",3909,6282
"ENSG00000053371",5430,4021
"ENSG00000040487",956,1792
"ENSG00000077549",10730,58
"ENSG00000226396",1249,7258
"ENSG00000173436",9756,5535
"ENSG00000270136",10311,3930
"ENSG00000158747",9390,10379
"ENSG00000162542",1812,2004
"ENSG00000169914",1551,4191
"ENSG00000188257",9560,11354
"ENSG00000162545",3485,9082
"ENSG00000090432",6974,4833
"ENSG00000158828",10918,4988
"ENSG00000117242",10736,2507
"ENSG00000244038",10607,1356
"ENSG00000127483",10211,3291
"ENSG00000075151",8512,3128
"ENSG00000117298",10488,5807
"ENSG00000162551",2807,11015
"ENSG00000090686",7547,438
"ENSG00000187942",10902,6566
"ENSG00000142798",11281,2216
"ENSG00000218510",5020,8599
"ENSG00000070831",9823,1310
"ENSG00000184677",5674,3543
"ENSG00000173372",6954,11201
"ENSG00000159189",7264,11259
"ENSG00000173369",8661,11270
"ENSG00000004487",7461,3
"ENSG00000169641",8749,5916
"ENSG00000261326",238,9830
"ENSG00000125944",8080,4730
"ENSG00000125945",2156,9126
"ENSG00000204219",5488,10128
"ENSG00000088280",7437,5395
"ENSG00000117318",9244,10195
"ENSG00000142676",11146,175
"ENSG00000011007",7078,446
"ENSG00000236810",1118,45
"ENSG00000057757",5903,397
"ENSG00000011009",5269,2311
"ENSG00000117305",6053,5693
"ENSG00000179163",3096,6211
"ENSG00000189266",7712,2643
"ENSG00000188529",7850,2276
"ENSG00000001461",6175,8502
"ENSG00000117602",802,4684
"ENSG00000133226",9092,2620
"ENSG00000169504",11038,7471
"ENSG00000117614",5478,1348
"ENSG00000117616",8934,8978
"ENSG00000183726",8627,3467
"ENSG00000238084",4767,10294
"ENSG00000204178",3091,399
"ENSG00000157978",3448,6355
"ENSG00000117643",2875,8582
