"Gene","mean","sd"
"ENSG00000225630",5402,8227
"ENSG00000248527",6129,8119
"ENSG00000228794",131,3683
"ENSG00000188976",4722,4050
"ENSG00000187608",4206,8329
"ENSG00000131591",166,6250
"ENSG00000078808",6258,3236
"ENSG00000176022",1083,5234
"ENSG00000160087",4233,2231
"ENSG00000131584",4104,6891
"ENSG00000127054",5929,3680
"ENSG00000224051",1212,5445
"ENSG00000107404",2223,6648
"ENSG00000175756",4561,6708
"ENSG00000221978",7277,6503
"ENSG00000224870",2096,1119
"ENSG00000242485",4002,2302
"ENSG00000160072",1670,7322
"ENSG00000160075",6953,1385
"ENSG00000197530",3540,7548
"ENSG00000248333",4767,3655
"ENSG00000189339",6027,6411
"ENSG00000215790",605,7776
"ENSG00000008130",7886,7612
"ENSG00000078369",8178,1089
"ENSG00000162585",2332,6284
"ENSG00000157933",5403,5628
"ENSG00000157916",6535,151
"ENSG00000157881",3330,864
"ENSG00000238164",1595,5176
"ENSG00000157873",7665,6211
"ENSG00000157870",1586,5648
"ENSG00000158109",5175,3258
"ENSG00000116213",3399,2726
"ENSG00000227372",2019,5014
"ENSG00000130764",4219,246
"ENSG00000116198",3141,1844
"ENSG00000169598",399,1092
"ENSG00000198912",2728,987
"ENSG00000131697",351,4082
"ENSG00000069424",7810,5720
"ENSG00000116251",7483,7001
"ENSG00000116237",3577,3939
"ENSG00000162408",3445,4429
"ENSG00000204859",3177,4935
"ENSG00000162413",5865,7200
"ENSG00000116273",1227,2433
"ENSG00000041988",1331,2063
"ENSG00000007923",2947,1843
"ENSG00000171735",823,1937
"ENSG00000049245",5425,4297
"ENSG00000116288",6273,2790
"ENSG00000142599",7532,7752
"ENSG00000074800",8260,4913
"ENSG00000180758",201,6150
"ENSG00000049239",6425,5411
"ENSG00000171608",8238,6276
"ENSG00000171603",6595,5421
"ENSG00000178585",1166,1809
"ENSG00000162441",1895,1082
"ENSG00000173614",674,3477
"ENSG00000130939",6085,2794
"ENSG00000054523",4811,7943
"ENSG00000142657",7960,7655
"ENSG00000160049",3289,2038
"ENSG00000142655",649,3305
"ENSG00000120948",6966,1986
"ENSG00000116649",2643,6794
"ENSG00000171824",5430,1329
"ENSG00000198793",6138,1822
"ENSG00000120942",2206,4953
"ENSG00000132879",1544,7172
"ENSG00000116663",980,6520
"ENSG00000116670",1617,3004
"ENSG00000177674",5205,6991
"ENSG00000177000",4814,4523
"ENSG00000011021",2679,4781
"ENSG00000116685",5423,5228
"ENSG00000083444",5241,6914
"ENSG00000116688",7072,6436
"ENSG00000116691",3689,6630
"ENSG00000028137",8213,7641
"ENSG00000048707",6545,3165
"ENSG00000116731",6995,2877
"ENSG00000142634",8019,7700
"ENSG00000132906",1348,2873
"ENSG00000116138",2634,1127
"ENSG00000197312",4966,4188
"ENSG00000116786",6354,3517
"ENSG00000065526",7708,6753
"ENSG00000116809",3449,3390
"ENSG00000037637",4371,33
"ENSG00000055070",7088,215
"ENSG00000157191",6948,1318
"ENSG00000215908",3176,7643
"ENSG00000159363",3142,5192
"ENSG00000117118",5446,2740
"ENSG00000179051",6751,2723
"ENSG00000169991",3321,6592
"ENSG00000127481",8041,4796
"ENSG00000127463",4085,768
"ENSG00000053372",1578,5891
"ENSG00000053371",1991,4380
"ENSG00000040487",208,2272
"ENSG00000077549",8007,1872
"ENSG00000173436",1585,2579
"ENSG00000162542",1043,3285
"ENSG00000169914",850,6125
"ENSG00000090432",2721,1369
"ENSG00000117242",2979,4602
"ENSG00000244038",7354,2623
"ENSG00000127483",7892,1544
"ENSG00000075151",6068,5663
"ENSG00000117298",7380,7997
"ENSG00000090686",6706,2167
"ENSG00000184677",5861,6948
"ENSG00000004487",5332,1710
"ENSG00000169641",3238,5061
"ENSG00000125944",7343,2988
"ENSG00000125945",465,364
"ENSG00000142676",8332,7051
"ENSG00000011007",4796,1253
"ENSG00000057757",4153,829
"ENSG00000011009",4496,4028
"ENSG00000117308",186,2189
"ENSG00000117305",2238,2412
"ENSG00000179163",2712,6846
"ENSG00000189266",6781,1416
"ENSG00000188529",7279,4351
"ENSG00000001461",3869,6566
"ENSG00000133226",6851,2165
"ENSG00000169504",4211,7225
"ENSG00000020633",6889,7456
"ENSG00000117614",6187,3142
"ENSG00000117616",7650,7263
"ENSG00000183726",7262,4041
"ENSG00000204178",3217,2030
"ENSG00000157978",5725,7808
"ENSG00000162430",2787,3898
"ENSG00000117640",3640,2256
"ENSG00000182749",454,5576
"ENSG00000117632",3381,7964
"ENSG00000158006",1976,2544
"ENSG00000175087",1122,4040
"ENSG00000130695",2407,2014
"ENSG00000142669",7896,6661
"ENSG00000158062",6323,5755
"ENSG00000169442",7807,7925
"ENSG00000117682",2236,19
"ENSG00000198830",6673,4810
"ENSG00000117676",8053,5849
"ENSG00000117713",7819,4992
"ENSG00000060642",899,1390
"ENSG00000204160",7850,7807
"ENSG00000142751",3058,324
"ENSG00000198746",979,457
"ENSG00000090273",4397,3260
"ENSG00000090020",3734,4756
"ENSG00000142784",6985,5594
"ENSG00000186501",3198,1288
"ENSG00000142765",5599,7748
"ENSG00000158195",7984,3563
"ENSG00000000938",8189,7918
"ENSG00000126709",4881,8331
"ENSG00000009780",575,157
"ENSG00000117758",4439,2305
"ENSG00000117751",4513,108
"ENSG00000130775",8121,7970
"ENSG00000117748",5766,2472
"ENSG00000158156",4036,7118
"ENSG00000158161",4215,4199
"ENSG00000169403",7587,8293
"ENSG00000126698",5771,951
"ENSG00000130770",4512,3334
"ENSG00000130766",1963,5986
"ENSG00000130772",1206,744
"ENSG00000204138",3295,3040
"ENSG00000242125",3476,6875
"ENSG00000180198",2723,5034
"ENSG00000180098",1287,354
"ENSG00000197989",1780,7123
"ENSG00000120656",3051,2311
"ENSG00000162419",2504,231
"ENSG00000198492",5481,71
"ENSG00000159023",7773,3444
"ENSG00000116350",7269,265
"ENSG00000162511",8351,4985
"ENSG00000134644",6905,1154
"ENSG00000060688",3752,1883
"ENSG00000121766",1858,655
"ENSG00000162517",4671,1212
"ENSG00000184007",8118,1584
"ENSG00000121774",7339,274
"ENSG00000121775",1118,243
"ENSG00000025800",6033,212
"ENSG00000084652",5869,641
"ENSG00000160055",433,4920
"ENSG00000084623",6374,2445
"ENSG00000116478",7347,424
"ENSG00000175130",5752,6189
"ENSG00000160058",5688,174
"ENSG00000176261",1577,1983
"ENSG00000162521",6997,106
"ENSG00000134684",5515,3311
"ENSG00000116497",3972,2382
"ENSG00000116514",6309,7661
"ENSG00000004455",6580,300
"ENSG00000160094",2056,3428
"ENSG00000134686",7146,7750
"ENSG00000163866",3182,124
"ENSG00000163867",3746,2627
"ENSG00000116560",8115,1684
"ENSG00000146463",5071,1592
"ENSG00000142687",6637,5850
"ENSG00000020129",1855,4074
"ENSG00000126067",5199,1511
"ENSG00000142686",317,2136
"ENSG00000134698",6608,7191
"ENSG00000092847",6364,2238
"ENSG00000126070",4288,3318
"ENSG00000116863",3357,3501
"ENSG00000054116",4012,162
"ENSG00000116871",7450,5722
"ENSG00000054118",7902,205
"ENSG00000214193",65,7629
"ENSG00000196182",7677,7445
