"Gene","mean","sd"
"ENSG00000227232",735,6530.5
"ENSG00000279457",1343,7252.5
"ENSG00000225972",10068,11820
"ENSG00000225630",12156,11573
"ENSG00000278791",11800,11649.5
"ENSG00000237973",12198.5,11622
"ENSG00000229344",9971,11617
"ENSG00000240409",2722.5,11493
"ENSG00000248527",12175,11577
"ENSG00000198744",12029,11541
"ENSG00000228794",1792,1807.5
"ENSG00000187634",949,9108
"ENSG00000188976",6569,1798
"ENSG00000187608",205,10829.5
"ENSG00000188157",11666,10454
"ENSG00000078808",11257,2325.5
"ENSG00000176022",2586.5,4919
"ENSG00000160087",5784,1429
"ENSG00000131584",1907.5,6374
"ENSG00000127054",7487,2435
"ENSG00000224051",7102,10071.5
"ENSG00000107404",6579.5,6762
"ENSG00000162576",1945,11458
"ENSG00000175756",9630,8384
"ENSG00000221978",2824,10328.5
"ENSG00000224870",3289.5,1605.5
"ENSG00000242485",9127,2855
"ENSG00000179403",6876.5,9428
"ENSG00000197785",2665,5326.5
"ENSG00000160075",10569,1604
"ENSG00000272106",1553,7588
"ENSG00000197530",3760,7406.5
"ENSG00000248333",4809,2544
"ENSG00000189339",7920,9531.5
"ENSG00000008128",2995,5546
"ENSG00000268575",3168.5,6049.5
"ENSG00000215790",1057,9160
"ENSG00000008130",7665,5281
"ENSG00000078369",11917,14
"ENSG00000162585",7572,7211
"ENSG00000157933",7465,7070
"ENSG00000157916",11021.5,536
"ENSG00000157911",9246,2933.5
"ENSG00000157881",3513,2476
"ENSG00000238164",1440.5,7175
"ENSG00000157873",6704,9263
"ENSG00000157870",7051.5,8799
"ENSG00000130762",6875,7698
"ENSG00000162591",140,10333
"ENSG00000158109",11397,9902
"ENSG00000116213",1813,3847
"ENSG00000227372",3785,3676
"ENSG00000130764",8488.5,898.5
"ENSG00000116198",7565,2999
"ENSG00000198912",2970,550.5
"ENSG00000131697",763,4555
"ENSG00000069424",5885,12069
"ENSG00000116251",11694,1962
"ENSG00000158286",278,9363.5
"ENSG00000116237",11364,2089
"ENSG00000097021",9862,11917
"ENSG00000171680",554.5,8822
"ENSG00000162408",3326,3175
"ENSG00000204859",2441.5,4861
"ENSG00000162413",10306,11232
"ENSG00000116273",1781,7428
"ENSG00000041988",8580,9449
"ENSG00000007923",10767.5,10239
"ENSG00000171735",7779,1790.5
"ENSG00000049245",10719.5,1565
"ENSG00000049246",7143.5,11251
"ENSG00000049247",452.5,10493
"ENSG00000116288",11582,2195
