"Gene","mean","sd"
"ENSG00000225630",8345,7344
"ENSG00000237973",8709,7486
"ENSG00000248527",8194,7349
"ENSG00000228794",1128,7138
"ENSG00000188976",6802,3125
"ENSG00000188157",5638,6709
"ENSG00000078808",7869,2655
"ENSG00000176022",164,5700
"ENSG00000160087",3201,1308
"ENSG00000131584",1909,5873
"ENSG00000127054",6171,1468
"ENSG00000224051",4423,6255
"ENSG00000107404",4518,4752
"ENSG00000175756",6206,5284
"ENSG00000221978",6888,5909
"ENSG00000224870",1827,4977
"ENSG00000242485",6570,2409
"ENSG00000179403",5783,8179
"ENSG00000197785",3573,6447
"ENSG00000160075",7183,193
"ENSG00000248333",4601,869
"ENSG00000189339",4703,6062
"ENSG00000008128",3477,4156
"ENSG00000268575",3283,3653
"ENSG00000008130",7811,2758
"ENSG00000078369",8142,20
"ENSG00000162585",2216,5062
"ENSG00000157933",5866,4465
"ENSG00000157916",8076,593
"ENSG00000157911",5001,3158
"ENSG00000157873",5190,5555
"ENSG00000158109",6829,3852
"ENSG00000130764",5801,395
"ENSG00000116198",3424,1817
"ENSG00000198912",911,1236
"ENSG00000069424",715,8369
"ENSG00000116251",8240,693
"ENSG00000116237",5581,2172
"ENSG00000097021",184,5930
"ENSG00000162408",1822,1747
"ENSG00000162413",3505,7283
"ENSG00000116273",1854,6137
"ENSG00000041988",3077,1774
"ENSG00000007923",5728,858
"ENSG00000171735",3351,2382
"ENSG00000049245",5667,665
"ENSG00000049246",3356,8336
"ENSG00000116288",8100,790
"ENSG00000116285",8615,7895
"ENSG00000142599",5955,4651
"ENSG00000074800",8660,5842
"ENSG00000180758",1139,7546
"ENSG00000049239",8424,7052
"ENSG00000171621",4738,8515
"ENSG00000171612",1223,8078
"ENSG00000171603",3567,6877
"ENSG00000178585",139,5783
"ENSG00000162441",1319,1423
"ENSG00000130939",5054,2215
"ENSG00000054523",6061,2414
"ENSG00000142657",6758,7478
"ENSG00000160049",4095,831
"ENSG00000142655",1914,4399
"ENSG00000120948",8099,1036
"ENSG00000277726",6015,1372
"ENSG00000116649",4504,7090
"ENSG00000171824",4899,225
"ENSG00000198793",6705,3616
"ENSG00000120942",1731,4120
"ENSG00000116663",50,6943
