"Gene","mean","sd"
"ENSG00000227232",1157,5114
"ENSG00000279457",1528,5714
"ENSG00000225972",10905,11806
"ENSG00000225630",12220,11104
"ENSG00000278791",7870,11477
"ENSG00000237973",12444,11297
"ENSG00000229344",4434,11360
"ENSG00000240409",5746,11804
"ENSG00000248527",12337,11022
"ENSG00000198744",10671,11426
"ENSG00000228327",1161,10129
"ENSG00000228794",1497,3755
"ENSG00000187634",456,9520
"ENSG00000188976",6078,4503
"ENSG00000187608",8390,11359
"ENSG00000188157",11244,10288
"ENSG00000131591",164,4769
"ENSG00000078808",11048,2052
"ENSG00000176022",2242,7513
"ENSG00000160087",6247,1347
"ENSG00000131584",4065,7541
"ENSG00000169972",290,3527
"ENSG00000127054",8499,954
"ENSG00000224051",3009,6971
"ENSG00000107404",5804,6391
"ENSG00000162576",7984,11231
"ENSG00000175756",7027,7845
"ENSG00000221978",7768,9478
"ENSG00000224870",2009,4163
"ENSG00000242485",9093,3636
"ENSG00000179403",9039,11119
"ENSG00000160072",1600,9310
"ENSG00000197785",2617,7623
"ENSG00000160075",11059,1337
"ENSG00000272106",88,2866
"ENSG00000197530",3803,8654
"ENSG00000248333",6552,4664
"ENSG00000189339",9792,9558
"ENSG00000008128",4483,7920
"ENSG00000268575",4336,7546
"ENSG00000008130",9748,3535
"ENSG00000078369",12217,179
"ENSG00000162585",6976,5707
"ENSG00000157933",10154,7090
"ENSG00000157916",11230,210
"ENSG00000157911",7195,1969
"ENSG00000157881",3140,1512
"ENSG00000238164",3809,5212
"ENSG00000157873",10533,7658
"ENSG00000157870",4438,8602
"ENSG00000130762",623,6740
"ENSG00000162591",4802,10933
"ENSG00000158109",9319,1380
"ENSG00000116213",2731,1598
"ENSG00000227372",5070,5657
"ENSG00000130764",7072,744
"ENSG00000116198",4570,3135
"ENSG00000198912",4514,2123
"ENSG00000131697",1608,5015
"ENSG00000069424",9596,10993
"ENSG00000116251",12110,2099
"ENSG00000116237",10353,5278
"ENSG00000158292",2185,9743
"ENSG00000097021",2772,8793
"ENSG00000171680",1252,10283
"ENSG00000162408",2342,3492
"ENSG00000204859",2209,3571
"ENSG00000162413",7691,6897
"ENSG00000116273",2869,8927
"ENSG00000041988",4241,1824
"ENSG00000007923",6077,791
"ENSG00000171735",5232,4160
"ENSG00000049245",11681,1778
"ENSG00000049246",5346,12188
"ENSG00000116288",11710,4019
"ENSG00000116285",10592,12292
"ENSG00000142599",10885,7775
"ENSG00000074800",12436,10497
"ENSG00000180758",1192,7487
"ENSG00000049239",10139,7151
"ENSG00000171621",4346,12119
"ENSG00000188807",1206,4789
"ENSG00000171608",7226,9592
"ENSG00000171603",10872,6474
"ENSG00000178585",8128,10282
"ENSG00000162441",4594,1345
"ENSG00000173614",780,5311
"ENSG00000130939",7721,3968
"ENSG00000054523",8440,6594
"ENSG00000142657",12087,10618
"ENSG00000160049",7369,2113
"ENSG00000142655",4114,3788
"ENSG00000272078",1887,9279
"ENSG00000130940",5478,9968
"ENSG00000120948",11125,839
"ENSG00000277726",7601,1217
"ENSG00000116649",6439,9954
"ENSG00000226849",1045,185
"ENSG00000171824",8158,12
"ENSG00000198793",8066,2396
"ENSG00000120942",2703,3050
"ENSG00000132879",2175,5642
"ENSG00000116663",4199,5456
"ENSG00000116670",3610,8353
"ENSG00000177674",8534,5300
"ENSG00000215910",1234,6129
"ENSG00000177000",7277,6211
"ENSG00000011021",5226,4848
"ENSG00000116685",8971,1518
"ENSG00000083444",11306,7688
"ENSG00000116688",10916,1716
"ENSG00000116691",3959,7604
"ENSG00000028137",11062,10513
"ENSG00000048707",9164,6989
"ENSG00000162496",10305,9371
"ENSG00000162493",7822,10085
"ENSG00000116731",6887,3484
"ENSG00000189337",3539,9541
"ENSG00000175147",170,8919
"ENSG00000171729",2417,8462
"ENSG00000142634",10122,10014
"ENSG00000132906",1693,6254
"ENSG00000116138",3399,1870
"ENSG00000235084",2278,4117
"ENSG00000215695",1216,5431
"ENSG00000197312",8093,6144
"ENSG00000116786",10465,5876
"ENSG00000162458",6192,11205
"ENSG00000233954",4365,4561
"ENSG00000178715",3385,11184
"ENSG00000065526",7451,8768
"ENSG00000116809",2812,5521
"ENSG00000173641",1884,11664
"ENSG00000142627",3379,12189
"ENSG00000142632",992,9010
"ENSG00000037637",5349,470
"ENSG00000055070",11482,898
"ENSG00000187144",6565,450
"ENSG00000157191",11096,1147
"ENSG00000219481",4653,9209
"ENSG00000215908",2925,9881
"ENSG00000236698",4039,5701
"ENSG00000058453",2773,11345
"ENSG00000159363",6493,6600
"ENSG00000117118",10527,1585
"ENSG00000227751",367,4158
"ENSG00000179051",9968,4284
"ENSG00000074964",5744,9775
"ENSG00000159423",4228,5322
"ENSG00000255275",2311,4110
"ENSG00000169991",4102,8336
"ENSG00000272084",2002,5134
"ENSG00000127481",10722,7388
"ENSG00000127463",7815,1241
"ENSG00000053372",3929,9679
"ENSG00000053371",6169,4928
"ENSG00000040487",2135,5390
"ENSG00000077549",12024,205
