"Gene","mean","sd"
"ENSG00000227232",2646,4036
"ENSG00000279457",2976,6353
"ENSG00000225972",5501,10697
"ENSG00000225630",10751,9944
"ENSG00000278791",1754,10276
"ENSG00000237973",10730,10071
"ENSG00000229344",952,10730
"ENSG00000240409",281,10741
"ENSG00000248527",10707,10455
"ENSG00000198744",8977,10516
"ENSG00000228327",7573,8956
"ENSG00000228794",3167,1761
"ENSG00000187634",1906,8877
"ENSG00000188976",9768,4200
"ENSG00000187961",2068,9345
"ENSG00000187608",652,9093
"ENSG00000188157",9512,10329
"ENSG00000131591",3970,9076
"ENSG00000078808",9165,8214
"ENSG00000176022",1573,8775
"ENSG00000160087",6502,4478
"ENSG00000131584",5408,9373
"ENSG00000169972",2833,9686
"ENSG00000127054",9533,6172
"ENSG00000224051",2227,8739
"ENSG00000107404",8000,9502
"ENSG00000162576",2342,9760
"ENSG00000175756",8137,10090
"ENSG00000221978",10295,1577
"ENSG00000224870",5528,5198
"ENSG00000242485",6961,6400
"ENSG00000179403",180,8401
"ENSG00000160072",5426,6334
"ENSG00000197785",7560,8070
"ENSG00000160075",9217,1694
"ENSG00000272106",532,3880
"ENSG00000197530",4512,10195
"ENSG00000248333",7834,6177
"ENSG00000189339",9903,4254
"ENSG00000008128",7026,4065
"ENSG00000227775",2577,8405
"ENSG00000268575",7086,3385
"ENSG00000215790",3182,10396
"ENSG00000008130",8763,1523
"ENSG00000078369",10330,50
"ENSG00000162585",6077,9910
"ENSG00000157933",7084,8799
"ENSG00000157916",9521,1186
"ENSG00000157911",4897,2683
"ENSG00000157881",3221,4319
"ENSG00000157873",909,6095
"ENSG00000157870",1448,4744
"ENSG00000158109",2897,1447
"ENSG00000116213",4213,3593
"ENSG00000227372",7654,3373
"ENSG00000130764",7470,1548
"ENSG00000116198",6941,870
"ENSG00000169598",1219,1329
"ENSG00000198912",4217,1423
"ENSG00000131697",4260,7574
"ENSG00000069424",1359,4707
"ENSG00000116251",10597,9024
"ENSG00000158286",2003,4215
"ENSG00000116237",8368,126
"ENSG00000097021",4912,6843
"ENSG00000162408",5517,8094
"ENSG00000204859",4412,3335
"ENSG00000162413",7731,5777
"ENSG00000116273",5319,160
"ENSG00000041988",5753,6846
"ENSG00000007923",8109,3929
"ENSG00000171735",2800,8310
"ENSG00000049245",6497,2607
"ENSG00000049246",4277,2354
"ENSG00000049247",311,4771
"ENSG00000116288",9966,7529
"ENSG00000116285",411,3168
"ENSG00000142599",7874,9569
"ENSG00000074800",10766,3309
"ENSG00000049239",7010,9041
"ENSG00000171612",1602,4365
"ENSG00000188807",3752,8506
"ENSG00000171608",7175,5266
"ENSG00000171603",8055,5633
"ENSG00000178585",6210,1893
"ENSG00000162441",6371,3714
"ENSG00000173614",2205,1325
"ENSG00000130939",9443,3052
"ENSG00000054523",8301,9873
"ENSG00000142657",10504,425
"ENSG00000160049",7536,1217
"ENSG00000142655",4585,7268
"ENSG00000120948",10115,1057
"ENSG00000277726",8844,2946
"ENSG00000116649",7777,8900
"ENSG00000226849",2322,4354
"ENSG00000171824",9113,20
"ENSG00000198793",9272,9241
"ENSG00000120942",3774,957
"ENSG00000132879",2360,6161
"ENSG00000116663",3430,6578
"ENSG00000116670",8605,9289
"ENSG00000177674",6631,7328
"ENSG00000215910",7198,7798
"ENSG00000177000",10395,8848
"ENSG00000011021",6417,4792
"ENSG00000116685",6456,6042
"ENSG00000083444",9123,5737
"ENSG00000116688",9855,2240
"ENSG00000116691",7730,9242
"ENSG00000028137",6681,2740
"ENSG00000048707",9569,10441
"ENSG00000162496",2584,8477
"ENSG00000116731",6633,7195
"ENSG00000189337",1795,1570
"ENSG00000142634",6384,5521
"ENSG00000132906",5200,811
"ENSG00000116138",4486,5698
"ENSG00000235084",5473,10068
"ENSG00000215695",3045,9985
"ENSG00000197312",8671,9625
"ENSG00000116786",8637,7569
"ENSG00000233954",10235,10671
"ENSG00000178715",1910,10242
"ENSG00000065526",10076,10617
"ENSG00000116809",5359,7285
"ENSG00000142632",1739,4690
"ENSG00000037637",7174,63
"ENSG00000055070",9562,492
"ENSG00000187144",5282,619
"ENSG00000157191",8182,223
"ENSG00000080947",884,8605
"ENSG00000219481",7669,1898
"ENSG00000215908",8026,3159
"ENSG00000236698",4723,7000
"ENSG00000058453",1848,6930
"ENSG00000159363",6043,9065
"ENSG00000117118",9318,5965
"ENSG00000227751",4291,9750
"ENSG00000179051",10490,1704
"ENSG00000159423",4675,5640
"ENSG00000255275",2073,6896
"ENSG00000272084",2944,9874
"ENSG00000127481",10631,10660
"ENSG00000127463",8668,2608
"ENSG00000053372",6905,1450
"ENSG00000053371",7044,5681
"ENSG00000040487",3548,7230
"ENSG00000077549",9593,2067
"ENSG00000226396",1873,10704
"ENSG00000173436",8433,9211
"ENSG00000270136",7612,9510
"ENSG00000169914",4722,5334
"ENSG00000090432",3928,1464
"ENSG00000158828",5112,1531
"ENSG00000117242",6527,3845
"ENSG00000244038",10333,1746
"ENSG00000127483",10544,5695
"ENSG00000075151",8451,5367
"ENSG00000117298",8404,3872
"ENSG00000142794",1190,2468
"ENSG00000090686",10250,2358
"ENSG00000187942",6336,10363
"ENSG00000142798",10412,10711
"ENSG00000218510",2497,2114
"ENSG00000070831",9970,2406
"ENSG00000184677",8548,8679
"ENSG00000004487",10006,15
"ENSG00000169641",5865,9526
"ENSG00000261326",3302,9645
"ENSG00000125944",10094,1795
"ENSG00000125945",2541,4116
"ENSG00000088280",7675,2514
"ENSG00000117318",1004,8922
"ENSG00000142676",10732,9717
"ENSG00000011007",7629,172
"ENSG00000236810",1782,1816
"ENSG00000057757",8621,3840
"ENSG00000011009",5115,8265
"ENSG00000117308",7119,6401
"ENSG00000117305",6339,1188
"ENSG00000179163",3520,2216
"ENSG00000189266",9730,4632
"ENSG00000188529",9888,5288
"ENSG00000001460",1068,891
"ENSG00000001461",5704,2322
"ENSG00000133226",9943,7126
"ENSG00000169504",10165,8878
"ENSG00000117614",8412,7423
"ENSG00000117616",9596,1231
"ENSG00000183726",9271,4295
"ENSG00000238084",3047,7751
"ENSG00000204178",6519,426
"ENSG00000157978",5775,1416
"ENSG00000162430",8042,8628
"ENSG00000228172",597,2182
"ENSG00000255054",1940,7017
"ENSG00000272478",755,3108
"ENSG00000117640",7660,94
"ENSG00000127423",5409,1486
"ENSG00000182749",1309,4919
"ENSG00000117632",10695,8298
"ENSG00000158006",2716,1234
"ENSG00000175087",7087,7581
"ENSG00000142684",2565,9679
"ENSG00000236782",2555,9653
"ENSG00000130695",9525,1185
"ENSG00000142669",7862,9547
"ENSG00000158062",5689,7252
"ENSG00000169442",4996,10302
"ENSG00000117682",4934,2793
"ENSG00000198830",10500,6834
"ENSG00000117676",6228,2516
"ENSG00000117713",9987,9830
"ENSG00000060642",3196,602
"ENSG00000204160",4963,2440
"ENSG00000142751",5897,1163
"ENSG00000198746",1552,2505
"ENSG00000090273",9519,8151
"ENSG00000090020",3979,8218
"ENSG00000225159",8243,10260
"ENSG00000142784",8893,7815
"ENSG00000186501",5215,5248
"ENSG00000142765",3316,7193
"ENSG00000142733",2809,5826
"ENSG00000158195",10403,7072
"ENSG00000126705",2949,9891
"ENSG00000126709",51,8692
"ENSG00000009780",921,5104
"ENSG00000117758",6093,2865
"ENSG00000117751",7501,175
"ENSG00000130775",2142,1547
"ENSG00000117748",9200,1607
"ENSG00000158161",6796,1108
"ENSG00000228589",6647,2717
"ENSG00000126698",9546,6313
"ENSG00000130770",9528,8769
"ENSG00000130766",9965,3653
"ENSG00000130772",2794,5088
"ENSG00000204138",7810,6247
"ENSG00000242125",9934,4646
"ENSG00000180198",9169,961
"ENSG00000180098",4302,2596
"ENSG00000197989",3680,5729
"ENSG00000120656",5857,4493
"ENSG00000162419",2613,3187
"ENSG00000198492",8510,299
"ENSG00000159023",10590,6242
"ENSG00000253304",4606,9815
"ENSG00000116350",9153,2158
"ENSG00000116353",3714,2089
"ENSG00000060656",90,4498
"ENSG00000162511",9770,275
"ENSG00000162512",10007,7865
"ENSG00000134644",9083,6134
"ENSG00000060688",7527,671
"ENSG00000121766",6387,4608
"ENSG00000168528",79,5420
"ENSG00000162517",6200,2882
"ENSG00000184007",10511,1744
"ENSG00000121774",10401,912
"ENSG00000121775",2890,3563
"ENSG00000250135",276,6680
"ENSG00000025800",8184,6668
"ENSG00000084652",9579,1025
"ENSG00000160055",1659,2687
"ENSG00000084623",10047,6380
"ENSG00000116478",10040,22
"ENSG00000175130",8227,5421
"ENSG00000225828",4220,7067
"ENSG00000160058",9427,6479
"ENSG00000176261",3775,6838
"ENSG00000162521",10410,3688
"ENSG00000162520",3274,9424
"ENSG00000162522",8967,8042
"ENSG00000134684",10634,674
"ENSG00000116497",7634,3938
"ENSG00000121900",1051,8886
"ENSG00000116514",3724,1326
"ENSG00000004455",10229,208
"ENSG00000134686",7905,1321
"ENSG00000163866",3968,1414
"ENSG00000241014",129,2593
"ENSG00000243749",2347,2732
"ENSG00000271741",5341,4408
"ENSG00000163867",6171,7134
"ENSG00000197056",4411,9694
"ENSG00000116560",10515,2251
"ENSG00000229994",5843,10464
"ENSG00000146463",9611,7840
"ENSG00000142687",8525,3015
"ENSG00000020129",4147,8694
"ENSG00000126067",9835,591
"ENSG00000142686",3428,1670
"ENSG00000134698",6725,6408
"ENSG00000092847",8785,8357
"ENSG00000126070",6070,7475
"ENSG00000116863",3932,4841
"ENSG00000054116",7389,1851
"ENSG00000116871",6692,7753
"ENSG00000054118",9696,3637
"ENSG00000142694",825,10544
"ENSG00000214193",1523,9839
"ENSG00000196182",9990,4913
"ENSG00000181817",4450,8037
"ENSG00000116898",7859,4626
"ENSG00000119535",252,10694
"ENSG00000163874",750,5240
"ENSG00000163875",8176,2952
"ENSG00000163877",3416,838
"ENSG00000134697",9047,749
"ENSG00000116922",4574,436
"ENSG00000196449",4132,1536
"ENSG00000197982",2533,10031
"ENSG00000188786",1871,6981
"ENSG00000204084",5944,987
"ENSG00000183431",9993,1145
"ENSG00000183386",8049,5291
"ENSG00000183520",7980,5970
"ENSG00000116954",5980,6633
"ENSG00000214114",6754,4571
"ENSG00000273637",5235,2003
"ENSG00000174574",8539,884
"ENSG00000168653",9219,10314
"ENSG00000127603",10526,10646
"ENSG00000228060",2864,364
"ENSG00000090621",10255,32
"ENSG00000084072",7748,3045
"ENSG00000043514",7916,2890
"ENSG00000131236",10537,4
"ENSG00000131238",9464,2238
"ENSG00000117000",7172,8682
"ENSG00000259943",4351,4245
"ENSG00000084073",5650,7103
"ENSG00000084070",9958,324
"ENSG00000066136",7526,1860
"ENSG00000171793",7797,45
"ENSG00000010803",7199,944
"ENSG00000198815",7367,5002
"ENSG00000127125",2169,5001
"ENSG00000171960",7093,9418
"ENSG00000065978",10523,6615
"ENSG00000117385",8057,1445
"ENSG00000164008",1195,2787
"ENSG00000283580",1214,2829
"ENSG00000177868",2759,5631
"ENSG00000164010",6485,360
"ENSG00000164011",2225,1150
"ENSG00000117394",7983,4214
"ENSG00000117395",7416,4469
"ENSG00000066322",5454,3182
"ENSG00000159479",7690,1782
"ENSG00000178922",1653,6202
"ENSG00000198198",8018,10348
"ENSG00000142949",44,7810
"ENSG00000066135",8401,2344
"ENSG00000236200",1360,1418
"ENSG00000126091",3635,1364
"ENSG00000117408",5772,3259
"ENSG00000132768",4169,2076
"ENSG00000117410",9263,5381
"ENSG00000117411",4960,7106
"ENSG00000196517",7042,5687
"ENSG00000178028",4050,597
"ENSG00000117419",6125,3227
"ENSG00000187147",6812,5968
"ENSG00000126106",1437,7696
"ENSG00000142937",10748,8979
"ENSG00000173846",1544,3011
"ENSG00000070785",6813,2287
"ENSG00000126107",7995,3452
"ENSG00000126088",10362,6853
"ENSG00000132781",4392,4308
"ENSG00000132773",2879,2402
"ENSG00000070759",2377,810
"ENSG00000132763",8235,6937
"ENSG00000117450",10297,5963
"ENSG00000117448",9311,4797
"ENSG00000132780",10487,3149
"ENSG00000159592",9684,329
"ENSG00000159596",8202,2990
"ENSG00000197429",2908,6425
"ENSG00000086015",7077,6740
"ENSG00000117461",1291,2949
"ENSG00000085998",5726,1713
"ENSG00000132128",9213,938
"ENSG00000173660",10228,9374
"ENSG00000117481",6902,218
"ENSG00000079277",5861,685
"ENSG00000142961",1244,906
"ENSG00000123472",5706,1957
"ENSG00000159658",8214,4241
"ENSG00000162367",9214,243
"ENSG00000162368",10109,8486
"ENSG00000185104",9551,293
"ENSG00000123080",7547,2129
"ENSG00000123091",5920,5306
"ENSG00000085832",9500,5918
"ENSG00000117859",10161,2127
"ENSG00000266993",4428,4311
"ENSG00000078618",10549,1126
"ENSG00000198841",1891,3729
"ENSG00000117862",9515,1732
"ENSG00000134717",8107,6660
"ENSG00000157077",3006,5179
"ENSG00000154222",6784,1137
