"Gene","mean","sd"
"ENSG00000227232",3794,2507
"ENSG00000279457",5603,3270
"ENSG00000225972",9666,10021
"ENSG00000225630",10333,8944
"ENSG00000278791",5740,10315
"ENSG00000237973",10306,9776
"ENSG00000229344",310,10052
"ENSG00000240409",1253,10029
"ENSG00000248527",10341,8954
"ENSG00000198744",5470,9508
"ENSG00000228327",3376,7080
"ENSG00000228794",6752,8133
"ENSG00000187634",1841,4228
"ENSG00000188976",8699,2048
"ENSG00000188157",3197,8391
"ENSG00000078808",8870,361
"ENSG00000176022",3708,6783
"ENSG00000160087",4982,424
"ENSG00000131584",9070,6665
"ENSG00000127054",9568,2163
"ENSG00000224051",5903,9545
"ENSG00000107404",9785,4655
"ENSG00000162576",6125,9202
"ENSG00000175756",8229,4895
"ENSG00000221978",9442,5266
"ENSG00000224870",1803,449
"ENSG00000242485",8388,1481
"ENSG00000179403",3032,8938
"ENSG00000160072",6560,5645
"ENSG00000197785",4912,2727
"ENSG00000160075",9391,1410
"ENSG00000272106",1100,7676
"ENSG00000197530",8948,7072
"ENSG00000248333",8488,4348
"ENSG00000189339",8030,7280
"ENSG00000008128",7106,4722
"ENSG00000268575",6816,4141
"ENSG00000008130",5686,5063
"ENSG00000078369",8629,732
"ENSG00000162585",6285,2834
"ENSG00000157933",6385,3813
"ENSG00000157916",9016,42
"ENSG00000157911",8072,399
"ENSG00000157881",5259,4455
"ENSG00000157873",5143,7998
"ENSG00000162591",2010,9144
"ENSG00000158109",8243,601
"ENSG00000116213",3615,700
"ENSG00000227372",8267,1532
"ENSG00000130764",9209,505
"ENSG00000116198",3224,1739
"ENSG00000198912",2703,1439
"ENSG00000131697",555,9463
"ENSG00000069424",27,10289
"ENSG00000116251",9925,229
"ENSG00000116237",6182,9180
"ENSG00000171680",1189,7719
"ENSG00000162408",5639,4011
"ENSG00000204859",4037,5295
"ENSG00000162413",10114,8936
"ENSG00000116273",4851,7041
"ENSG00000041988",6156,1356
"ENSG00000007923",7229,1604
"ENSG00000171735",3002,5115
"ENSG00000049245",8099,450
"ENSG00000049246",8424,9804
"ENSG00000116288",9878,1159
"ENSG00000116285",5768,10363
"ENSG00000142599",8618,8621
"ENSG00000074800",9869,8234
"ENSG00000180758",4957,8568
"ENSG00000049239",9190,9119
"ENSG00000171621",1299,10166
"ENSG00000171612",39,10167
"ENSG00000188807",2236,9069
"ENSG00000171603",7395,2573
"ENSG00000178585",904,8304
"ENSG00000162441",2153,358
"ENSG00000173614",1680,8934
"ENSG00000130939",7059,7043
"ENSG00000054523",9972,7883
"ENSG00000142657",7675,6486
"ENSG00000160049",5723,1503
"ENSG00000142655",3987,436
"ENSG00000272078",5326,6556
"ENSG00000130940",8472,6535
"ENSG00000120948",9115,3388
"ENSG00000277726",7174,1894
"ENSG00000116649",8847,3521
"ENSG00000226849",2175,1390
"ENSG00000171824",7797,1055
"ENSG00000198793",8033,2652
"ENSG00000120942",3674,1847
"ENSG00000132879",2394,6624
"ENSG00000116663",398,6280
"ENSG00000116670",3965,2369
"ENSG00000177674",8050,9761
"ENSG00000215910",2932,8246
"ENSG00000177000",8784,7469
"ENSG00000011021",6023,4409
"ENSG00000116685",6515,3914
"ENSG00000083444",6627,5780
"ENSG00000116688",9941,6270
"ENSG00000116691",6641,6521
"ENSG00000028137",2910,8643
"ENSG00000048707",6291,5257
"ENSG00000162496",4772,8121
"ENSG00000162493",1923,9216
"ENSG00000116731",6813,5165
"ENSG00000132906",4241,5712
"ENSG00000116138",3849,3974
"ENSG00000235084",3858,3130
"ENSG00000215695",2426,9541
"ENSG00000197312",8993,9497
"ENSG00000116786",9810,2175
"ENSG00000162458",454,9130
"ENSG00000233954",5042,7861
"ENSG00000178715",159,10179
"ENSG00000065526",8124,5889
"ENSG00000116809",4559,3084
"ENSG00000173641",10239,9170
"ENSG00000142627",516,6978
"ENSG00000037637",5665,2292
"ENSG00000055070",8973,4555
"ENSG00000187144",4607,4230
"ENSG00000157191",2140,4507
"ENSG00000219481",2641,9422
"ENSG00000215908",7769,7686
"ENSG00000236698",2207,6307
"ENSG00000058453",6052,7181
"ENSG00000159363",3938,6008
"ENSG00000117118",8664,6064
"ENSG00000179051",3603,5764
"ENSG00000074964",8305,7915
"ENSG00000159423",8581,8402
"ENSG00000255275",5299,8423
"ENSG00000169991",3387,10172
"ENSG00000272084",4209,5647
"ENSG00000127481",9783,5809
"ENSG00000127463",6242,1393
"ENSG00000053372",5563,4577
"ENSG00000053371",5844,5024
"ENSG00000040487",2887,4939
"ENSG00000077549",9648,56
"ENSG00000226396",108,8184
"ENSG00000173436",6102,4824
"ENSG00000270136",6754,2851
"ENSG00000158747",2701,8115
"ENSG00000169914",1066,3161
"ENSG00000188257",5036,10360
"ENSG00000090432",4321,6293
"ENSG00000158828",10112,7180
"ENSG00000117242",9953,6814
"ENSG00000244038",8843,1513
"ENSG00000127483",9469,3379
"ENSG00000075151",7464,8170
"ENSG00000117298",4964,7919
"ENSG00000090686",5188,569
"ENSG00000187942",3979,8578
"ENSG00000142798",7442,8849
"ENSG00000218510",3977,8952
"ENSG00000070831",9455,1129
"ENSG00000184677",2133,6372
"ENSG00000173369",198,10103
"ENSG00000004487",7171,5
"ENSG00000169641",1352,6240
"ENSG00000261326",3164,8860
"ENSG00000125944",8491,3685
"ENSG00000125945",4318,7417
"ENSG00000204219",9702,8345
"ENSG00000088280",6947,8942
"ENSG00000117318",3225,8836
"ENSG00000142676",10131,3603
"ENSG00000011007",6790,2954
"ENSG00000236810",1386,1074
"ENSG00000057757",6530,292
"ENSG00000011009",4519,1664
"ENSG00000117305",8215,7330
"ENSG00000179163",3645,7732
"ENSG00000189266",8118,5002
"ENSG00000188529",8765,6208
"ENSG00000001461",974,7311
"ENSG00000133226",9356,3563
"ENSG00000169504",7690,9082
"ENSG00000117614",6330,3713
"ENSG00000117616",9017,7752
"ENSG00000183726",7660,1613
"ENSG00000238084",3485,6941
"ENSG00000204178",8341,7368
"ENSG00000157978",4463,2863
"ENSG00000162430",8441,7801
"ENSG00000228172",1624,4481
"ENSG00000255054",1436,4463
"ENSG00000272478",994,5499
"ENSG00000117640",8290,5913
"ENSG00000127423",1360,5543
"ENSG00000117632",4521,8592
"ENSG00000158006",4666,9953
"ENSG00000142684",5483,7669
"ENSG00000236782",5526,7623
"ENSG00000130695",7937,8384
"ENSG00000142669",4429,7558
"ENSG00000158062",4202,5579
"ENSG00000117682",3174,4742
"ENSG00000198830",9845,8236
"ENSG00000117713",8200,1814
"ENSG00000204160",2853,1523
