"Gene","mean","sd"
"ENSG00000225630",9331,9527
"ENSG00000237973",8265,9565
"ENSG00000248527",9517,9559
"ENSG00000198744",6898,9496
"ENSG00000228794",2688,5307
"ENSG00000187634",2574,8733
"ENSG00000188976",7385,2345
"ENSG00000187961",755,6206
"ENSG00000187608",848,9283
"ENSG00000188157",8890,7009
"ENSG00000131591",1925,4495
"ENSG00000078808",8537,3111
"ENSG00000176022",2948,5697
"ENSG00000160087",4851,1662
"ENSG00000162572",2474,6115
"ENSG00000131584",9174,6863
"ENSG00000169972",349,3736
"ENSG00000127054",8478,2922
"ENSG00000224051",3532,5121
"ENSG00000107404",8680,3987
"ENSG00000162576",5176,7937
"ENSG00000175756",6438,5595
"ENSG00000221978",9245,5035
"ENSG00000224870",2020,2475
"ENSG00000242485",5652,2137
"ENSG00000179403",7728,9182
"ENSG00000160072",3840,5653
"ENSG00000197785",2562,3691
"ENSG00000160075",8217,1318
"ENSG00000272106",2524,4176
"ENSG00000197530",7599,4783
"ENSG00000248333",5563,2211
"ENSG00000189339",8094,7420
"ENSG00000008130",6146,3463
"ENSG00000078369",9535,1411
"ENSG00000162585",6855,5690
"ENSG00000157933",8547,2349
"ENSG00000157916",8472,189
"ENSG00000157911",6348,1020
"ENSG00000157881",2850,2660
"ENSG00000157870",6456,5065
"ENSG00000158109",8290,5669
"ENSG00000116213",2334,1968
"ENSG00000227372",4758,1733
"ENSG00000130764",7089,541
"ENSG00000116198",3671,3701
"ENSG00000169598",356,4308
"ENSG00000198912",1392,2567
"ENSG00000131697",3238,4378
"ENSG00000069424",7984,8708
"ENSG00000116251",8918,4243
"ENSG00000158286",1417,8026
"ENSG00000116237",6612,2984
"ENSG00000158292",4035,8290
"ENSG00000097021",7224,8661
"ENSG00000215788",4750,8811
"ENSG00000171680",7478,8748
"ENSG00000162408",2434,2131
"ENSG00000204859",2079,1583
"ENSG00000162413",7311,6079
"ENSG00000116273",2895,2647
"ENSG00000041988",4682,1265
"ENSG00000007923",6372,270
"ENSG00000171735",7300,4467
"ENSG00000049245",7312,6236
"ENSG00000049246",4565,7975
"ENSG00000049247",78,8888
"ENSG00000116288",9134,3237
"ENSG00000116285",5752,7783
"ENSG00000142599",9221,1819
"ENSG00000074800",9563,5920
"ENSG00000049239",5924,7569
"ENSG00000171621",1922,9003
"ENSG00000171612",1060,5759
"ENSG00000188807",3260,2169
"ENSG00000171608",5278,7819
"ENSG00000171603",9509,4681
"ENSG00000178585",5877,3730
"ENSG00000162441",1471,3560
"ENSG00000173614",140,586
"ENSG00000130939",7033,357
"ENSG00000054523",9332,3959
"ENSG00000142657",7706,4458
"ENSG00000160049",5361,2413
"ENSG00000142655",3336,1300
"ENSG00000120948",8636,823
"ENSG00000116649",6971,6786
"ENSG00000171824",8007,2360
"ENSG00000198793",7719,2439
"ENSG00000120942",867,1896
"ENSG00000132879",8343,7610
"ENSG00000116670",2954,6569
"ENSG00000177674",1367,8320
"ENSG00000177000",6380,4423
"ENSG00000011021",8194,2641
"ENSG00000116685",4843,916
"ENSG00000083444",7027,8779
"ENSG00000116688",8968,419
"ENSG00000116691",3357,5393
"ENSG00000048707",8572,3569
"ENSG00000162496",4468,9346
"ENSG00000162493",1344,9365
"ENSG00000116731",8242,1575
"ENSG00000189337",7831,6222
"ENSG00000171729",32,7608
"ENSG00000142634",6903,7539
"ENSG00000132906",2065,2557
"ENSG00000116138",2499,1580
"ENSG00000197312",4656,3706
"ENSG00000116786",9119,4583
"ENSG00000065526",8637,6047
