"Gene","mean","sd"
"ENSG00000227232",4994,6261
"ENSG00000279457",7220,7319
"ENSG00000225972",3600,12292
"ENSG00000225630",12292,11709
"ENSG00000278791",699,12386
"ENSG00000237973",11997,12374
"ENSG00000229344",149,11099
"ENSG00000240409",330,11210
"ENSG00000248527",12141,12068
"ENSG00000198744",5756,11549
"ENSG00000228327",7659,9513
"ENSG00000228794",4211,10057
"ENSG00000187634",1271,11169
"ENSG00000188976",8198,3389
"ENSG00000187608",95,11350
"ENSG00000188157",7889,10868
"ENSG00000131591",1906,6916
"ENSG00000078808",11052,612
"ENSG00000176022",2071,8736
"ENSG00000160087",5887,4554
"ENSG00000131584",11345,9378
"ENSG00000169972",1286,3227
"ENSG00000127054",11530,5475
"ENSG00000224051",2028,8594
"ENSG00000107404",9995,4621
"ENSG00000162576",11765,10436
"ENSG00000175756",5542,2801
"ENSG00000221978",12200,6723
"ENSG00000224870",2277,5602
"ENSG00000242485",6888,1234
"ENSG00000179403",5569,11194
"ENSG00000160072",8094,8941
"ENSG00000197785",3982,6965
"ENSG00000160075",9719,1463
"ENSG00000272106",2430,4205
"ENSG00000197530",11112,7969
"ENSG00000248333",9241,2024
"ENSG00000189339",11451,9756
"ENSG00000008128",9567,6962
"ENSG00000227775",3557,9850
"ENSG00000268575",9408,5719
"ENSG00000215790",2803,8056
"ENSG00000008130",9497,9631
"ENSG00000078369",11863,1675
"ENSG00000162585",7731,4815
"ENSG00000157933",11077,9181
"ENSG00000157916",10951,123
"ENSG00000157911",8395,1615
"ENSG00000157881",3726,1051
"ENSG00000238164",2002,9689
"ENSG00000157873",9970,10720
"ENSG00000157870",2453,9600
"ENSG00000162591",9828,12289
"ENSG00000158109",8385,1276
"ENSG00000116213",4425,3673
"ENSG00000227372",10284,5873
"ENSG00000130764",8825,1855
"ENSG00000116198",5715,5132
"ENSG00000169598",4289,8755
"ENSG00000198912",3503,6028
"ENSG00000131697",5793,5945
"ENSG00000069424",2162,8426
"ENSG00000116251",12234,6799
"ENSG00000158286",4268,11117
"ENSG00000116237",7512,9495
"ENSG00000158292",5980,11435
"ENSG00000097021",2331,6946
"ENSG00000215788",1293,11053
"ENSG00000171680",4163,10135
"ENSG00000162408",4013,1541
"ENSG00000204859",6802,4132
"ENSG00000162413",10321,9602
"ENSG00000116273",6599,6975
"ENSG00000041988",6830,3965
"ENSG00000007923",7992,1104
"ENSG00000171735",4094,2703
"ENSG00000049245",10206,1526
"ENSG00000049246",8402,10980
"ENSG00000049247",977,9253
"ENSG00000116288",11100,2915
"ENSG00000116285",12020,11389
"ENSG00000142599",11768,6310
"ENSG00000074800",11935,10654
"ENSG00000180758",2059,8029
"ENSG00000049239",12036,9136
"ENSG00000171621",7117,11269
"ENSG00000188807",4586,6309
"ENSG00000171608",5698,9563
"ENSG00000171603",11819,1054
"ENSG00000178585",3554,6703
"ENSG00000162441",3683,1422
"ENSG00000173614",256,2747
"ENSG00000130939",10050,4809
"ENSG00000054523",9963,5270
"ENSG00000142657",8192,8026
"ENSG00000160049",7275,1674
"ENSG00000142655",3146,114
"ENSG00000130940",75,10902
"ENSG00000120948",11644,143
"ENSG00000271895",1488,9723
"ENSG00000277726",9762,82
"ENSG00000116649",7978,9026
