"Gene","mean","sd"
"ENSG00000227232",3926,6855
"ENSG00000279457",5220,7620
"ENSG00000225972",10546,11096
"ENSG00000225630",11252,10177
"ENSG00000278791",4879,11235
"ENSG00000237973",11241,11196
"ENSG00000229344",1366,11019
"ENSG00000240409",1704,10850
"ENSG00000248527",11242,10315
"ENSG00000198744",9120,10614
"ENSG00000228327",5467,9288
"ENSG00000228794",3495,4840
"ENSG00000187634",1653,7412
"ENSG00000188976",9452,2830
"ENSG00000187961",2010,7947
"ENSG00000188157",10691,8429
"ENSG00000131591",1772,7165
"ENSG00000078808",10457,3368
"ENSG00000176022",3246,4547
"ENSG00000160087",6645,1101
"ENSG00000131584",8979,6904
"ENSG00000169972",1875,5406
"ENSG00000127054",10328,3478
"ENSG00000224051",4217,3450
"ENSG00000107404",10038,6907
"ENSG00000162576",3811,10137
"ENSG00000175756",8172,4731
"ENSG00000221978",11021,7613
"ENSG00000224870",3326,1880
"ENSG00000242485",7926,2852
"ENSG00000179403",8859,10909
"ENSG00000160072",7525,8764
"ENSG00000197785",6495,6842
"ENSG00000160075",9858,1683
"ENSG00000197530",8023,9535
"ENSG00000248333",8675,2288
"ENSG00000189339",9941,9192
"ENSG00000008128",8289,8642
"ENSG00000227775",691,8411
"ENSG00000268575",8087,8125
"ENSG00000215790",565,6926
"ENSG00000008130",9240,1822
"ENSG00000078369",10485,1113
"ENSG00000162585",6622,4035
"ENSG00000157933",7267,3035
"ENSG00000157916",10399,1307
"ENSG00000157911",8008,1856
"ENSG00000157881",2836,1778
"ENSG00000238164",1604,9335
"ENSG00000157873",7608,9084
"ENSG00000157870",2095,7785
"ENSG00000130762",5175,6227
"ENSG00000162591",3168,10564
"ENSG00000158109",8219,4904
"ENSG00000116213",5681,7054
"ENSG00000227372",6812,7063
"ENSG00000130764",8717,3566
"ENSG00000116198",5469,1117
"ENSG00000169598",1976,5301
"ENSG00000198912",4420,6411
"ENSG00000131697",2954,4528
"ENSG00000069424",123,10348
"ENSG00000116251",10922,3568
"ENSG00000158286",6451,8805
"ENSG00000116237",7738,5508
"ENSG00000171680",1202,8210
"ENSG00000162408",4724,2183
"ENSG00000204859",4647,7470
"ENSG00000162413",9659,9445
"ENSG00000116273",2483,2871
"ENSG00000041988",6540,3135
"ENSG00000007923",7889,853
"ENSG00000171735",3071,4637
"ENSG00000049245",6241,1507
"ENSG00000049246",4743,11068
"ENSG00000116288",10137,2462
"ENSG00000116285",11119,11200
"ENSG00000142599",10384,2732
"ENSG00000074800",10836,9630
"ENSG00000180758",1372,1590
"ENSG00000049239",10025,8708
"ENSG00000171621",6403,10962
"ENSG00000188807",2024,1124
"ENSG00000171608",1536,7689
"ENSG00000171603",10622,4711
"ENSG00000178585",6230,9469
"ENSG00000162441",861,2193
"ENSG00000173614",190,3624
"ENSG00000130939",9447,7901
"ENSG00000054523",9385,4591
"ENSG00000142657",6250,6707
"ENSG00000160049",5204,1099
"ENSG00000142655",1757,119
"ENSG00000272078",2052,5472
"ENSG00000130940",5389,4458
"ENSG00000120948",10309,1084
"ENSG00000271895",299,8484
"ENSG00000277726",7684,480
"ENSG00000116649",10333,9560
"ENSG00000226849",1766,1573
"ENSG00000171824",8321,56
"ENSG00000198793",8282,5840
"ENSG00000120942",3295,2545
"ENSG00000132879",7101,8595
"ENSG00000116663",989,7599
"ENSG00000116670",3954,9634
"ENSG00000177674",6165,10425
"ENSG00000177000",6981,9473
"ENSG00000011021",5827,5204
"ENSG00000116685",8732,5350
"ENSG00000083444",9082,6130
"ENSG00000116688",8553,143
"ENSG00000116691",3817,8254
"ENSG00000028137",1487,10215
"ENSG00000048707",9459,3983
"ENSG00000162496",9944,7493
"ENSG00000116731",6808,345
"ENSG00000189337",7769,10512
"ENSG00000171729",8037,9164
"ENSG00000142634",10105,8109
"ENSG00000132906",10147,11214
"ENSG00000116138",4345,825
"ENSG00000235084",1557,6818
"ENSG00000197312",7530,3590
"ENSG00000116786",9065,3094
"ENSG00000162458",7896,3977
"ENSG00000233954",3120,7680
"ENSG00000178715",4239,10927
"ENSG00000065526",10094,3224
"ENSG00000116809",6009,3245
"ENSG00000173641",61,10579
"ENSG00000142627",4691,10257
"ENSG00000142632",3864,9042
"ENSG00000037637",5129,209
"ENSG00000055070",8683,1390
"ENSG00000187144",2747,1606
"ENSG00000157191",5376,4104
"ENSG00000080947",204,7704
"ENSG00000219481",4022,9669
"ENSG00000215908",6761,9210
"ENSG00000236698",2473,6858
"ENSG00000058453",8310,6192
"ENSG00000159363",10067,8452
"ENSG00000117118",7836,3292
"ENSG00000179051",8005,5986
"ENSG00000074964",10555,9080
"ENSG00000159423",202,8353
"ENSG00000255275",1460,6585
"ENSG00000169991",8898,5143
"ENSG00000272084",2452,3440
"ENSG00000127481",10702,4341
"ENSG00000127463",5990,1082
"ENSG00000053372",5894,7303
"ENSG00000053371",6184,5156
"ENSG00000040487",3171,4703
"ENSG00000077549",9119,3278
"ENSG00000226396",2645,10115
"ENSG00000173436",5100,603
"ENSG00000270136",6166,7577
"ENSG00000158747",4024,10403
"ENSG00000162542",5344,2097
"ENSG00000169914",3117,3141
"ENSG00000188257",23,11180
"ENSG00000162545",567,9760
"ENSG00000090432",4751,3144
"ENSG00000158828",8857,8026
"ENSG00000117242",9774,3623
"ENSG00000244038",11017,7185
"ENSG00000127483",10584,9182
"ENSG00000075151",7200,5828
"ENSG00000117298",10930,6628
"ENSG00000090686",8113,779
"ENSG00000187942",8427,9352
"ENSG00000142798",10706,9201
"ENSG00000218510",9094,10715
"ENSG00000070831",9536,3672
"ENSG00000184677",8687,9143
"ENSG00000173372",933,11044
"ENSG00000159189",1678,11110
"ENSG00000173369",2318,11120
"ENSG00000133216",710,8256
"ENSG00000004487",8894,13
"ENSG00000169641",3614,4907
"ENSG00000261326",2835,10391
"ENSG00000125944",9262,5618
"ENSG00000125945",1785,10779
"ENSG00000204219",10639,10245
"ENSG00000088280",7312,4739
"ENSG00000117318",6008,10828
"ENSG00000142676",11209,5623
"ENSG00000011007",9083,1633
"ENSG00000236810",2435,1093
"ENSG00000057757",5942,3079
"ENSG00000011009",6122,3275
"ENSG00000117308",2411,10249
"ENSG00000117305",4934,2549
"ENSG00000179163",4082,7703
"ENSG00000189266",7867,4772
"ENSG00000188529",10189,1869
"ENSG00000001461",6164,2534
"ENSG00000117602",5943,6868
"ENSG00000133226",9822,249
"ENSG00000169504",8679,9430
"ENSG00000117614",6728,8117
"ENSG00000117616",9804,9837
"ENSG00000183726",7740,1998
"ENSG00000204178",8585,7995
"ENSG00000157978",9470,5443
"ENSG00000162430",10410,4508
"ENSG00000228172",2532,2659
"ENSG00000255054",2649,1741
"ENSG00000117640",8705,5056
"ENSG00000127423",395,2324
"ENSG00000182749",1405,7191
"ENSG00000117632",2277,9595
"ENSG00000158006",6579,11052
"ENSG00000175087",2065,8071
"ENSG00000142684",2946,8475
"ENSG00000236782",2910,8401
"ENSG00000130695",1546,3512
"ENSG00000142669",9482,8947
"ENSG00000158062",7847,7159
"ENSG00000117682",5541,3572
"ENSG00000198830",10050,7007
"ENSG00000117676",6236,6098
"ENSG00000117713",9672,236
"ENSG00000060642",1783,5662
"ENSG00000204160",3815,4276
"ENSG00000142751",4558,395
"ENSG00000198746",398,1979
"ENSG00000090273",9431,3449
"ENSG00000253368",3512,10182
"ENSG00000090020",4582,3870
"ENSG00000225159",3363,10208
"ENSG00000142784",9274,1064
"ENSG00000186501",5863,3923
"ENSG00000142765",10735,8860
"ENSG00000142733",6050,9518
"ENSG00000158195",10156,6906
"ENSG00000126705",5898,7955
"ENSG00000126709",1890,11129
"ENSG00000009780",1400,2954
"ENSG00000117758",6486,4439
"ENSG00000117751",3810,1723
"ENSG00000117748",3147,4135
"ENSG00000158156",4045,6376
"ENSG00000158161",4440,607
"ENSG00000228589",7499,7050
"ENSG00000126698",5818,617
"ENSG00000130770",7665,6450
"ENSG00000130766",3054,9935
"ENSG00000204138",6548,398
"ENSG00000242125",5037,10740
"ENSG00000180198",4240,10365
"ENSG00000180098",2195,3701
"ENSG00000197989",4417,9320
"ENSG00000120656",1702,2293
"ENSG00000162419",576,2461
"ENSG00000198492",7606,494
"ENSG00000159023",9091,2271
"ENSG00000253304",819,3322
"ENSG00000116350",10112,539
"ENSG00000116353",1752,1017
"ENSG00000060656",6637,7316
"ENSG00000162511",3152,11087
"ENSG00000162512",4099,9500
"ENSG00000134644",8528,461
"ENSG00000060688",2121,878
"ENSG00000121766",2482,349
"ENSG00000168528",7025,10515
"ENSG00000142910",7768,8766
"ENSG00000162517",6503,1119
"ENSG00000084636",3777,10477
"ENSG00000184007",10089,3073
"ENSG00000121774",9144,3364
"ENSG00000121775",968,2585
"ENSG00000025800",8535,29
"ENSG00000084652",9623,2309
"ENSG00000160055",1935,7218
"ENSG00000084623",10111,4162
"ENSG00000220785",4992,8088
"ENSG00000116478",8959,157
"ENSG00000175130",3494,10312
"ENSG00000225828",1206,8734
"ENSG00000160058",9904,1864
"ENSG00000160062",382,2103
"ENSG00000176261",1742,1047
"ENSG00000162521",9967,1831
"ENSG00000162520",1570,2434
"ENSG00000162522",10851,7035
"ENSG00000134684",9574,9985
"ENSG00000116497",3354,3838
"ENSG00000121900",2533,9194
"ENSG00000116514",1249,7384
"ENSG00000004455",8504,456
"ENSG00000160094",4010,3911
"ENSG00000134686",9588,7052
"ENSG00000163866",3763,4525
"ENSG00000243749",1837,2734
"ENSG00000271741",4194,158
"ENSG00000163867",4861,2895
"ENSG00000197056",242,4509
"ENSG00000116560",10992,4484
"ENSG00000229994",6467,6481
"ENSG00000146463",6572,376
"ENSG00000142687",10164,2981
"ENSG00000020129",3493,6867
"ENSG00000126067",7327,1976
"ENSG00000142686",334,5298
"ENSG00000134698",6664,5651
"ENSG00000092847",6771,246
"ENSG00000126070",4738,3393
"ENSG00000116863",2749,2640
"ENSG00000054116",6379,210
"ENSG00000116871",6306,7777
"ENSG00000054118",9733,244
"ENSG00000196182",10069,8992
