"Gene","mean","sd"
"ENSG00000227232",3741,7779
"ENSG00000279457",5913,8862
"ENSG00000225972",11378,12288
"ENSG00000225630",12569,11556
"ENSG00000278791",1054,12394
"ENSG00000237973",12250,12508
"ENSG00000229344",2075,11909
"ENSG00000240409",1481,11797
"ENSG00000248527",12564,12053
"ENSG00000198744",10254,12156
"ENSG00000228327",7867,8625
"ENSG00000228794",9164,10225
"ENSG00000187634",9109,11705
"ENSG00000188976",10130,5105
"ENSG00000187961",4772,8071
"ENSG00000187608",3019,12304
"ENSG00000188157",9061,11510
"ENSG00000131591",4035,5750
"ENSG00000078808",11600,1396
"ENSG00000176022",3246,6024
"ENSG00000160087",7488,2557
"ENSG00000131584",12411,9360
"ENSG00000169972",5530,5000
"ENSG00000127054",11900,3139
"ENSG00000224051",1666,7235
"ENSG00000107404",11217,4444
"ENSG00000162576",8205,11800
"ENSG00000175756",7771,2931
"ENSG00000221978",12252,5195
"ENSG00000224870",4208,2359
"ENSG00000242485",8217,1479
"ENSG00000179403",4783,11626
"ENSG00000160072",10628,8852
"ENSG00000197785",8893,10831
"ENSG00000160075",10578,3134
"ENSG00000272106",9708,8090
"ENSG00000197530",12063,9769
"ENSG00000248333",9608,7590
"ENSG00000189339",11319,10151
"ENSG00000008128",9141,10251
"ENSG00000227775",4123,10455
"ENSG00000268575",9159,9971
"ENSG00000215790",3413,8640
"ENSG00000008130",9059,1784
"ENSG00000078369",12183,1507
"ENSG00000162585",10932,7999
"ENSG00000157933",9511,10042
"ENSG00000157916",11368,510
"ENSG00000157911",9489,2234
"ENSG00000157881",6938,1719
"ENSG00000238164",4960,10278
"ENSG00000157873",10486,10572
"ENSG00000157870",4382,7950
"ENSG00000130762",9454,10752
"ENSG00000162591",4186,11577
"ENSG00000158109",9993,3778
"ENSG00000116213",6990,117
"ENSG00000227372",7984,3707
"ENSG00000130764",9496,536
"ENSG00000116198",7239,886
"ENSG00000169598",2702,9291
"ENSG00000198912",4641,5013
"ENSG00000131697",10037,11128
"ENSG00000069424",7032,11615
"ENSG00000116251",10638,4821
"ENSG00000158286",5072,9427
"ENSG00000116237",9980,4977
"ENSG00000158292",9896,11961
"ENSG00000097021",10465,10849
"ENSG00000215788",10914,11287
"ENSG00000171680",11966,10462
"ENSG00000162408",3603,4424
"ENSG00000204859",5258,7642
"ENSG00000162413",9656,9938
"ENSG00000116273",6344,7439
"ENSG00000041988",5991,3762
"ENSG00000007923",6891,1272
"ENSG00000171735",8736,8436
"ENSG00000049245",8238,2489
"ENSG00000049246",10683,11643
"ENSG00000049247",3488,10939
"ENSG00000116288",11546,4522
"ENSG00000116285",12350,12424
"ENSG00000142599",11702,341
"ENSG00000074800",12140,10219
"ENSG00000180758",119,9056
"ENSG00000049239",8640,7762
"ENSG00000171621",4695,11898
"ENSG00000171612",822,8346
"ENSG00000188807",5607,9870
"ENSG00000171608",2651,6861
"ENSG00000171603",12119,4365
"ENSG00000178585",6818,9586
"ENSG00000162441",1820,2735
"ENSG00000173614",381,6995
"ENSG00000162444",1118,10305
"ENSG00000130939",9600,3161
"ENSG00000054523",10804,2634
"ENSG00000142657",9110,7434
"ENSG00000160049",4698,1222
"ENSG00000142655",4349,548
"ENSG00000272078",820,10338
"ENSG00000130940",2270,10817
"ENSG00000120948",11903,243
"ENSG00000271895",3422,9505
"ENSG00000277726",9764,210
"ENSG00000116649",7988,8511
"ENSG00000226849",5889,4570
"ENSG00000171824",11190,3914
"ENSG00000198793",10124,4149
"ENSG00000120942",2344,2791
"ENSG00000132879",11598,6869
"ENSG00000116663",522,5697
"ENSG00000116670",5871,8298
"ENSG00000177674",3629,8471
"ENSG00000215910",3773,7355
"ENSG00000177000",10840,8014
"ENSG00000011021",11244,6597
"ENSG00000116685",9315,3131
"ENSG00000083444",6876,8733
"ENSG00000116688",10870,205
"ENSG00000116691",2855,4985
"ENSG00000028137",7251,12158
"ENSG00000048707",10139,4487
"ENSG00000162496",8684,11684
"ENSG00000162493",43,11854
"ENSG00000116731",9118,1576
