"Gene","mean","sd"
"ENSG00000225972",8168,7864
"ENSG00000225630",8202,7475
"ENSG00000278791",1282,6198
"ENSG00000237973",8195,6692
"ENSG00000229344",7933,7626
"ENSG00000240409",1708,5697
"ENSG00000248527",8199,7500
"ENSG00000198744",8115,7224
"ENSG00000187608",864,4374
"ENSG00000127054",2047,2716
"ENSG00000175756",307,896
"ENSG00000221978",5389,3936
"ENSG00000242485",2876,1555
"ENSG00000160075",6328,42
"ENSG00000248333",1748,1132
"ENSG00000189339",4249,2298
"ENSG00000008128",2184,1383
"ENSG00000268575",3679,2718
"ENSG00000008130",3931,6515
"ENSG00000078369",7242,941
"ENSG00000162585",1247,1399
"ENSG00000157916",1192,1196
"ENSG00000157873",2413,2220
"ENSG00000158109",1587,2574
"ENSG00000116198",2203,4440
"ENSG00000169598",2460,6841
"ENSG00000198912",4478,2916
"ENSG00000069424",3670,1352
"ENSG00000116251",7173,4930
"ENSG00000097021",4170,7169
"ENSG00000162408",3703,4328
"ENSG00000171735",7877,6454
"ENSG00000049245",4142,3046
"ENSG00000049246",3197,7036
"ENSG00000116288",7971,6590
"ENSG00000142599",4243,2120
"ENSG00000074800",7847,4070
"ENSG00000171608",5518,6466
"ENSG00000171603",2087,2065
"ENSG00000178585",478,2147
"ENSG00000162441",3878,774
"ENSG00000130939",3794,4139
"ENSG00000054523",5765,6382
"ENSG00000142657",7536,6337
"ENSG00000160049",4215,4500
"ENSG00000120948",5752,2432
"ENSG00000277726",2852,2509
"ENSG00000171824",4085,3930
"ENSG00000198793",3824,3431
"ENSG00000120942",2508,3523
"ENSG00000177674",3894,3473
"ENSG00000177000",4911,2396
"ENSG00000116685",1015,3143
"ENSG00000116688",7131,8184
"ENSG00000116691",359,5150
"ENSG00000028137",6370,7409
"ENSG00000048707",6335,5763
"ENSG00000162496",7164,6433
"ENSG00000116731",6153,1816
"ENSG00000142634",5049,2024
"ENSG00000132906",1818,6496
"ENSG00000116138",6294,1666
"ENSG00000197312",4518,2513
"ENSG00000233954",6560,4853
"ENSG00000065526",6012,4025
"ENSG00000037637",4826,5217
"ENSG00000055070",5578,2635
"ENSG00000187144",2610,927
"ENSG00000157191",6057,3768
"ENSG00000215908",2958,2497
"ENSG00000236698",1099,720
"ENSG00000117118",2899,1075
"ENSG00000179051",3828,224
"ENSG00000127481",6849,1093
"ENSG00000127463",2724,6640
"ENSG00000053372",465,1037
"ENSG00000077549",7744,2829
"ENSG00000173436",4851,842
"ENSG00000270136",1950,458
"ENSG00000158828",731,1096
"ENSG00000117242",2151,455
"ENSG00000244038",3598,7170
"ENSG00000127483",7147,295
"ENSG00000075151",7527,4158
"ENSG00000117298",6234,6024
"ENSG00000090686",5967,4573
"ENSG00000070831",8040,2681
"ENSG00000184677",3616,3423
"ENSG00000004487",1165,4937
"ENSG00000169641",3307,6042
"ENSG00000125944",6899,391
"ENSG00000117318",75,7353
"ENSG00000142676",7842,3891
"ENSG00000011007",4722,4169
"ENSG00000057757",1483,1964
"ENSG00000011009",2004,1203
"ENSG00000117305",3005,2961
"ENSG00000189266",6015,4590
"ENSG00000188529",7048,574
"ENSG00000001461",6797,1003
"ENSG00000117602",6740,4996
"ENSG00000133226",7083,2133
"ENSG00000169504",7608,5765
"ENSG00000020633",5462,3072
"ENSG00000117614",6737,388
"ENSG00000117616",7302,2400
"ENSG00000183726",8012,6747
"ENSG00000204178",1352,1753
"ENSG00000157978",7487,7532
"ENSG00000162430",1307,5980
"ENSG00000255054",2078,5041
"ENSG00000272478",3211,5122
"ENSG00000117640",7678,6505
"ENSG00000127423",4641,4358
"ENSG00000182749",2461,3985
"ENSG00000117632",3972,3229
"ENSG00000158006",1256,6259
"ENSG00000175087",838,3573
"ENSG00000142669",8198,7450
"ENSG00000158062",8158,7166
"ENSG00000169442",7943,6796
"ENSG00000117682",1882,4839
"ENSG00000198830",6858,1365
"ENSG00000117676",3339,4733
"ENSG00000117713",7047,111
"ENSG00000090273",1585,2710
"ENSG00000090020",1698,5231
"ENSG00000225159",317,3559
"ENSG00000142784",3387,2884
"ENSG00000186501",1417,1765
"ENSG00000158195",7372,210
"ENSG00000000938",6722,6247
"ENSG00000126709",2017,3934
"ENSG00000009780",4862,1622
"ENSG00000117758",1366,5973
"ENSG00000130775",4630,7388
"ENSG00000117748",4073,7512
"ENSG00000158161",1902,4617
"ENSG00000228589",774,5085
"ENSG00000169403",6061,2825
"ENSG00000126698",6367,1366
"ENSG00000130770",6536,485
"ENSG00000204138",4979,2306
"ENSG00000242125",4446,238
"ENSG00000180098",2805,3682
"ENSG00000120656",1714,4658
"ENSG00000162419",3481,6442
"ENSG00000198492",6095,1796
"ENSG00000159023",7620,956
"ENSG00000253304",2999,1744
"ENSG00000116350",5818,2107
"ENSG00000162511",7962,5739
"ENSG00000134644",5766,3627
"ENSG00000060688",4172,3868
"ENSG00000121766",7564,6861
"ENSG00000162517",4778,2126
"ENSG00000184007",7992,3980
"ENSG00000121774",4854,1717
"ENSG00000121775",3565,3172
"ENSG00000025800",6530,630
"ENSG00000084652",5289,2259
"ENSG00000160055",980,2721
"ENSG00000084623",4525,5278
"ENSG00000116478",5824,5588
"ENSG00000160058",6968,4530
"ENSG00000176261",4469,520
"ENSG00000162521",7539,2405
"ENSG00000162520",5745,16
"ENSG00000134684",4679,968
"ENSG00000116497",5176,4521
"ENSG00000004455",3147,558
"ENSG00000163866",4422,234
"ENSG00000243749",2169,5527
"ENSG00000271741",4272,3779
"ENSG00000163867",5035,4869
"ENSG00000116560",6942,5067
"ENSG00000229994",2119,2059
"ENSG00000146463",5330,3551
"ENSG00000142687",4694,4721
"ENSG00000126067",4951,315
"ENSG00000134698",4235,5404
"ENSG00000092847",6571,3162
"ENSG00000126070",6652,7729
"ENSG00000054116",784,1231
"ENSG00000054118",7432,3895
"ENSG00000196182",6903,5912
"ENSG00000181817",2860,746
"ENSG00000116898",1144,819
"ENSG00000119535",6783,8137
