"Gene","mean","sd"
"ENSG00000227232",2153,5949
"ENSG00000279457",3249,7050.5
"ENSG00000225972",11647,11875
"ENSG00000225630",12394,11338.5
"ENSG00000278791",7982,11639
"ENSG00000237973",12400.5,11600
"ENSG00000229344",5999,11614
"ENSG00000240409",6689,11378
"ENSG00000248527",12411.5,11411
"ENSG00000198744",11528,11423
"ENSG00000228327",4274,7888
"ENSG00000228794",5091.5,7789.5
"ENSG00000187634",4138,10670
"ENSG00000188976",10014,2842
"ENSG00000187608",3503,9609
"ENSG00000188157",11085,10671
"ENSG00000131591",2216,5250.5
"ENSG00000078808",11253.5,3089
"ENSG00000176022",2507,5633
"ENSG00000160087",6305.5,1648
"ENSG00000131584",6991.5,9260
"ENSG00000169972",648,3919
"ENSG00000127054",10475,3047.5
"ENSG00000224051",3246,6440.5
"ENSG00000107404",8697,3667
"ENSG00000162576",9217,11089
"ENSG00000175756",7346,5330.5
"ENSG00000221978",11731,9420
"ENSG00000224870",2955,2300
"ENSG00000242485",8795.5,4561.5
"ENSG00000179403",11409,10989.5
"ENSG00000160072",5298,8795
"ENSG00000197785",4281.5,4740
"ENSG00000160075",10754.5,2113
"ENSG00000272106",1612,3066
"ENSG00000197530",7450,7920
"ENSG00000248333",7990,3518
"ENSG00000189339",11059,8127.5
"ENSG00000008128",7364,9124.5
"ENSG00000227775",566,8686.5
"ENSG00000268575",7512,8878
"ENSG00000215790",351.5,5747.5
"ENSG00000008130",9689,2358
"ENSG00000078369",12097,3129.5
"ENSG00000162585",7611.5,6732
"ENSG00000157933",10226,8094.5
"ENSG00000157916",11406.5,2772.5
"ENSG00000157911",9872,7601.5
"ENSG00000157881",3286,210.5
"ENSG00000238164",2120,7724.5
"ENSG00000157873",10658,8342.5
"ENSG00000157870",5291,6833.5
"ENSG00000130762",3058,10388
"ENSG00000162591",8341,11361
"ENSG00000158109",8270,2234
"ENSG00000116213",3269,1269
"ENSG00000227372",7173,5161.5
"ENSG00000130764",8266.5,397
"ENSG00000116198",6391.5,1699
"ENSG00000198912",4365,4052.5
"ENSG00000131697",2210,3296
"ENSG00000069424",1659,9820
"ENSG00000116251",12134,2883
"ENSG00000158286",4826,10165
"ENSG00000116237",9621,4838
"ENSG00000158292",1105.5,11032
"ENSG00000097021",2365,8041.5
"ENSG00000171680",1910,8986
"ENSG00000162408",3390,1081
"ENSG00000204859",4793,6636
"ENSG00000162413",9204,10021
"ENSG00000116273",6343.5,5500
"ENSG00000041988",5718.5,2352
"ENSG00000007923",7490.5,997
"ENSG00000171735",6647,3266.5
"ENSG00000049245",10149.5,2134
"ENSG00000049246",7711.5,11083
"ENSG00000049247",741,9477
