"Gene","mean","sd"
"ENSG00000227232",4918,8057
"ENSG00000279457",5834,8608
"ENSG00000225972",12184,12566
"ENSG00000225630",12738,11531
"ENSG00000278791",8235,12681
"ENSG00000237973",12749,12116
"ENSG00000229344",1602,11950
"ENSG00000240409",1745,12297
"ENSG00000248527",12735,11997
"ENSG00000198744",10044,11463
"ENSG00000228327",5974,10620
"ENSG00000228794",2619,5989
"ENSG00000187634",880,4273
"ENSG00000188976",9635,2541
"ENSG00000187961",3737,8308
"ENSG00000187608",65,11569
"ENSG00000188157",12219,11048
"ENSG00000131591",4415,7486
"ENSG00000078808",11555,5588
"ENSG00000176022",2351,5193
"ENSG00000160087",7375,878
"ENSG00000131584",11492,9118
"ENSG00000169972",2903,5231
"ENSG00000127054",11441,6527
"ENSG00000224051",7923,8133
"ENSG00000107404",10860,5486
"ENSG00000162576",10895,11735
"ENSG00000175756",8576,5061
"ENSG00000221978",12486,9270
"ENSG00000224870",3486,1071
"ENSG00000242485",8065,1858
"ENSG00000179403",11045,10914
"ENSG00000160072",7337,9459
"ENSG00000197785",5885,4966
"ENSG00000160075",11008,2696
"ENSG00000272106",1594,1588
"ENSG00000197530",9182,10177
"ENSG00000248333",9572,2465
"ENSG00000189339",11362,9755
"ENSG00000008128",9006,8838
"ENSG00000227775",1820,9704
"ENSG00000268575",8903,8633
"ENSG00000215790",1842,8196
"ENSG00000008130",10354,2709
"ENSG00000078369",12363,1942
"ENSG00000162585",6848,2821
"ENSG00000157933",11217,1642
"ENSG00000157916",11619,1701
"ENSG00000157911",8597,2551
"ENSG00000157881",4501,1452
"ENSG00000238164",4561,9246
"ENSG00000157873",11513,9503
"ENSG00000157870",3652,5591
"ENSG00000130762",8291,9597
"ENSG00000162591",11091,12050
"ENSG00000158109",9709,3313
"ENSG00000116213",5518,2220
"ENSG00000227372",8016,8193
"ENSG00000130764",8791,736
"ENSG00000116198",6612,2586
"ENSG00000169598",871,5818
"ENSG00000198912",4511,6225
"ENSG00000131697",3032,4949
"ENSG00000069424",3872,11713
"ENSG00000116251",12264,5051
"ENSG00000158286",7063,11441
"ENSG00000116237",9713,6946
"ENSG00000158292",690,10534
"ENSG00000097021",1624,9481
"ENSG00000215788",3478,10244
"ENSG00000171680",6802,10134
"ENSG00000162408",4053,1816
"ENSG00000204859",5099,5695
"ENSG00000162413",10955,7302
"ENSG00000116273",5079,4491
"ENSG00000041988",6461,1569
"ENSG00000007923",8542,214
"ENSG00000171735",5082,1636
"ENSG00000049245",9811,6808
"ENSG00000049246",5709,12491
"ENSG00000049247",36,11656
"ENSG00000116288",11032,5938
"ENSG00000116285",11615,12336
"ENSG00000142599",12119,5538
"ENSG00000074800",12694,10712
"ENSG00000180758",5400,10385
"ENSG00000049239",12060,9999
"ENSG00000171621",5626,10412
"ENSG00000171612",1128,8723
"ENSG00000188807",2692,3480
"ENSG00000171608",4987,8442
"ENSG00000171603",12436,7711
"ENSG00000178585",10048,10448
"ENSG00000162441",2337,3124
"ENSG00000173614",1399,2991
"ENSG00000162444",817,7993
"ENSG00000130939",9676,3616
"ENSG00000054523",11234,6504
"ENSG00000142657",11679,12313
"ENSG00000160049",6622,1243
"ENSG00000142655",4261,159
"ENSG00000272078",8878,9924
"ENSG00000130940",11459,9595
"ENSG00000120948",12026,266
"ENSG00000271895",894,8840
"ENSG00000277726",9758,631
"ENSG00000116649",6793,8359
"ENSG00000226849",3014,1631
"ENSG00000171824",10127,278
"ENSG00000198793",10124,2473
"ENSG00000120942",3670,2359
"ENSG00000132879",6965,9501
"ENSG00000116663",1072,4933
"ENSG00000116670",2472,6263
"ENSG00000177674",6524,10966
"ENSG00000177000",6130,8091
"ENSG00000011021",6779,5138
"ENSG00000116685",9714,3889
"ENSG00000083444",10461,9191
"ENSG00000116688",11099,6853
"ENSG00000116691",2785,3486
"ENSG00000028137",4993,11123
"ENSG00000048707",11385,4893
"ENSG00000162496",9551,9720
"ENSG00000162493",2691,10015
"ENSG00000116731",10276,1765
"ENSG00000189337",7279,7920
"ENSG00000171729",2665,10838
"ENSG00000142634",7909,7143
"ENSG00000132906",2657,6885
"ENSG00000116138",5675,2307
"ENSG00000235084",1752,3750
"ENSG00000215695",2318,5547
"ENSG00000197312",10518,5988
"ENSG00000116786",10678,8697
"ENSG00000162458",10238,8650
"ENSG00000233954",5130,8183
"ENSG00000178715",3955,12403
"ENSG00000065526",11511,4957
"ENSG00000116809",6745,1530
"ENSG00000173641",5222,12701
"ENSG00000142627",10152,11360
"ENSG00000142632",6810,10497
"ENSG00000037637",6566,1725
"ENSG00000055070",10784,2879
"ENSG00000187144",4693,1906
