"Gene","mean","sd"
"ENSG00000227232",2413.5,6719.5
"ENSG00000279457",3801,8148.5
"ENSG00000225972",11965.5,11438
"ENSG00000225630",12119,11517.5
"ENSG00000278791",9909,11964
"ENSG00000237973",12145,10749
"ENSG00000229344",4544.5,11938.5
"ENSG00000248527",12130,10596
"ENSG00000198744",10875.5,11503
"ENSG00000228794",1674,452
"ENSG00000187634",1187,5701
"ENSG00000188976",9651,6067
"ENSG00000188157",10896,10839.5
"ENSG00000078808",11110.5,6329.5
"ENSG00000176022",2618.5,7741
"ENSG00000160087",7291,4219
"ENSG00000131584",10539.5,10900
"ENSG00000169972",1372,7891.5
"ENSG00000127054",10428.5,4423
"ENSG00000224051",5294,10490
"ENSG00000107404",9622,8105
"ENSG00000162576",10584,11847
"ENSG00000175756",7688,8426
"ENSG00000221978",10796.5,11002.5
"ENSG00000224870",2331,1440
"ENSG00000242485",8118,648
"ENSG00000179403",6864,10795
"ENSG00000160072",4661,10606
"ENSG00000197785",3340.5,9097.5
"ENSG00000160075",10588,1931
"ENSG00000272106",691,5263.5
"ENSG00000197530",8305.5,10411
"ENSG00000248333",8887,2405
"ENSG00000189339",9052,8947.5
"ENSG00000008128",6623.5,8564
"ENSG00000227775",244,8181
"ENSG00000268575",6538,8295
"ENSG00000215790",227,6386
"ENSG00000008130",8749,5491
"ENSG00000078369",11864.5,334
"ENSG00000162585",6388,6639
"ENSG00000157933",11246.5,8779
"ENSG00000157916",10840,94
"ENSG00000157911",7808.5,2635.5
"ENSG00000157881",2348,3286
"ENSG00000157873",8495,10891.5
"ENSG00000157870",3285,5931
"ENSG00000130762",1673,9912.5
"ENSG00000162591",10566,11203
"ENSG00000158109",9947,5124
"ENSG00000116213",2745,3462.5
"ENSG00000227372",6331,2618.5
"ENSG00000130764",8572,3410
"ENSG00000116198",3623,3110
"ENSG00000198912",3759,4369
"ENSG00000131697",3377,9663
"ENSG00000069424",4002,9911
"ENSG00000116251",11868.5,3348
"ENSG00000116237",9205,3317.5
"ENSG00000158292",6639,11006
"ENSG00000097021",4162.5,9956
"ENSG00000215788",6462,11719
"ENSG00000171680",10574.5,11511
"ENSG00000162408",4747,4408
"ENSG00000204859",3486.5,4591
"ENSG00000162413",10805,10768
"ENSG00000116273",5734,5819.5
"ENSG00000041988",5476,3912.5
"ENSG00000007923",7921,1456
"ENSG00000171735",4075,258
"ENSG00000049245",10950,1453
"ENSG00000049246",8735.5,11620.5
"ENSG00000049247",784,10982
"ENSG00000116288",10515,3610
"ENSG00000116285",9159.5,11006
"ENSG00000142599",11208,8831
"ENSG00000074800",12051,9686
"ENSG00000180758",6986.5,9422.5
"ENSG00000049239",11464,7372.5
"ENSG00000171621",6189,9577
"ENSG00000188807",1620,4618
"ENSG00000171608",2939.5,3155
"ENSG00000171603",11752.5,8997
"ENSG00000178585",11712,11191
"ENSG00000162441",3384,2012
"ENSG00000173614",366,5534
"ENSG00000162444",2734.5,9364
"ENSG00000130939",9662,3671.5
"ENSG00000054523",9626,3673.5
"ENSG00000142657",9871.5,10102
"ENSG00000160049",6491,2911.5
"ENSG00000142655",3790,5373
"ENSG00000272078",7828,10726
"ENSG00000130940",10596,10511
"ENSG00000120948",11083.5,1880
"ENSG00000277726",8600.5,1793.5
"ENSG00000116649",6531,10214
"ENSG00000226849",2779,1859
"ENSG00000171824",9771.5,820
"ENSG00000198793",8809.5,4185
"ENSG00000120942",4860,11095
"ENSG00000132879",6283,7968.5
"ENSG00000116663",685,3513.5
"ENSG00000116670",2741,5071
"ENSG00000177674",5390.5,9825
"ENSG00000215910",1192,6040
"ENSG00000177000",8431,7617
"ENSG00000011021",5195,3809.5
"ENSG00000116685",9012,7555.5
"ENSG00000083444",10123,9966
"ENSG00000116688",11366,2516
"ENSG00000116691",3093,6325
"ENSG00000028137",6781,10487.5
"ENSG00000048707",11379,7550.5
"ENSG00000162496",9519,8819
"ENSG00000162493",5398,9360
"ENSG00000116731",9182,1568
"ENSG00000189337",8290,3875.5
"ENSG00000175147",830.5,6861
"ENSG00000171729",526.5,3488.5
"ENSG00000142634",8367.5,8682
"ENSG00000132906",713,5040
"ENSG00000116138",1902.5,3369
"ENSG00000235084",1969,6133
"ENSG00000215695",1080,6645.5
"ENSG00000197312",9169.5,5175.5
"ENSG00000116786",10836,7976
"ENSG00000162458",6480,9500.5
"ENSG00000233954",6510.5,5595
"ENSG00000178715",5340,11976
"ENSG00000065526",10750.5,5527.5
"ENSG00000116809",4571.5,4999
"ENSG00000173641",1777.5,11622
"ENSG00000142627",8481,10821
"ENSG00000142632",8013,10154
"ENSG00000037637",7301,4151
"ENSG00000055070",11079,5292
"ENSG00000187144",5758,1043.5
"ENSG00000157191",8637.5,2351.5
"ENSG00000219481",4209,10076
"ENSG00000215908",4730,10531
