"Gene","mean","sd"
"ENSG00000227232",5413,8270
"ENSG00000279457",6978,8463
"ENSG00000225972",11548,12491
"ENSG00000225630",12564,11499
"ENSG00000278791",8600,12559
"ENSG00000237973",12602,12530
"ENSG00000229344",1576,12225
"ENSG00000240409",1319,12017
"ENSG00000248527",12583,12099
"ENSG00000198744",9236,12034
"ENSG00000228327",9708,11695
"ENSG00000228794",3020,3725
"ENSG00000187634",7339,11399
"ENSG00000188976",10030,3393
"ENSG00000187961",4509,7162
"ENSG00000187608",5255,11888
"ENSG00000188157",6991,11233
"ENSG00000131591",4508,7837
"ENSG00000078808",11375,3007
"ENSG00000176022",4544,7664
"ENSG00000160087",8242,2629
"ENSG00000131584",10312,7590
"ENSG00000169972",1541,2634
"ENSG00000127054",11190,4126
"ENSG00000224051",5327,5367
"ENSG00000107404",8186,5106
"ENSG00000162576",10174,11355
"ENSG00000175756",8596,8211
"ENSG00000221978",12299,7728
"ENSG00000224870",4894,1268
"ENSG00000242485",8412,3404
"ENSG00000179403",2502,11454
"ENSG00000160072",8116,7911
"ENSG00000197785",6052,8057
"ENSG00000160075",11058,1769
"ENSG00000272106",1007,2302
"ENSG00000197530",9840,10270
"ENSG00000248333",10711,4396
"ENSG00000189339",11241,9400
"ENSG00000008128",11025,10696
"ENSG00000227775",1905,10285
"ENSG00000268575",10753,10374
"ENSG00000215790",1403,8825
"ENSG00000008130",11991,5996
"ENSG00000078369",12161,933
"ENSG00000162585",8276,6889
"ENSG00000157933",10627,5989
"ENSG00000157916",11487,475
"ENSG00000157911",8710,3537
"ENSG00000157881",5709,523
"ENSG00000238164",7275,7331
"ENSG00000157873",12269,6597
"ENSG00000157870",6382,6468
"ENSG00000162591",6856,11429
"ENSG00000158109",8214,4149
"ENSG00000116213",7393,459
"ENSG00000227372",7759,5525
"ENSG00000130764",8585,970
"ENSG00000116198",4467,4649
"ENSG00000169598",2596,3384
"ENSG00000198912",6334,7613
"ENSG00000131697",2905,2975
"ENSG00000069424",11859,11364
"ENSG00000116251",11887,5797
"ENSG00000158286",726,9998
"ENSG00000116237",6450,5207
"ENSG00000158292",2764,11702
"ENSG00000097021",3999,9970
"ENSG00000215788",10451,11483
"ENSG00000171680",11569,11489
"ENSG00000162408",8057,2645
"ENSG00000204859",7698,5355
"ENSG00000162413",8316,5760
"ENSG00000116273",3175,2392
"ENSG00000041988",8345,4962
"ENSG00000007923",9610,1377
"ENSG00000171735",6545,5622
"ENSG00000049245",9399,2968
"ENSG00000049246",2776,11584
"ENSG00000116288",10864,6406
"ENSG00000116285",2384,11707
"ENSG00000142599",11952,4904
"ENSG00000074800",12515,11073
"ENSG00000180758",673,3543
"ENSG00000049239",10752,7111
"ENSG00000171621",445,6496
"ENSG00000188807",2564,2434
"ENSG00000171608",11875,9033
"ENSG00000171603",10786,984
"ENSG00000178585",2389,4273
"ENSG00000162441",1038,851
"ENSG00000173614",1106,2639
"ENSG00000162444",5683,12027
"ENSG00000130939",7758,452
"ENSG00000054523",7961,7813
"ENSG00000142657",11682,12334
"ENSG00000160049",5165,680
"ENSG00000142655",3199,473
"ENSG00000272078",284,3010
"ENSG00000130940",1642,4233
"ENSG00000120948",11684,1474
"ENSG00000271895",2656,9642
"ENSG00000277726",9076,1912
"ENSG00000116649",8855,11544
"ENSG00000226849",4080,2893
"ENSG00000171824",10056,1649
"ENSG00000198793",9360,3093
"ENSG00000120942",3228,3060
"ENSG00000132879",7109,8309
"ENSG00000116663",2785,10107
"ENSG00000116670",3978,6398
"ENSG00000177674",9532,11512
"ENSG00000215910",3120,7240
"ENSG00000177000",10348,7713
"ENSG00000011021",7555,3475
"ENSG00000116685",9249,3451
"ENSG00000083444",9199,10204
"ENSG00000116688",10874,4658
"ENSG00000116691",8000,9419
"ENSG00000028137",12181,8891
"ENSG00000048707",9754,6851
"ENSG00000162496",5253,10227
"ENSG00000116731",8679,5713
"ENSG00000189337",12123,11463
"ENSG00000171729",1215,5296
"ENSG00000142634",12163,10037
"ENSG00000132906",2508,4317
"ENSG00000116138",4186,2185
"ENSG00000235084",1663,5965
"ENSG00000215695",63,6374
"ENSG00000197312",7666,3029
"ENSG00000116786",11232,2344
"ENSG00000162458",8392,11553
"ENSG00000233954",4267,9066
"ENSG00000178715",3553,12164
"ENSG00000065526",10791,7349
"ENSG00000116809",8144,4090
"ENSG00000173641",398,11682
"ENSG00000142627",3971,11792
"ENSG00000142632",1795,8399
"ENSG00000037637",5749,310
"ENSG00000055070",11078,1338
"ENSG00000187144",5598,687
"ENSG00000157191",10908,2965
"ENSG00000080947",1727,7495
"ENSG00000219481",4047,10127
"ENSG00000215908",9101,10261
"ENSG00000236698",1036,6257
"ENSG00000058453",8550,7653
"ENSG00000159363",9403,9908
"ENSG00000117118",8426,7291
"ENSG00000227751",2792,4093
"ENSG00000179051",11178,2593
"ENSG00000074964",6589,9447
"ENSG00000159423",2780,7643
"ENSG00000255275",514,4769
"ENSG00000169991",4033,4439
"ENSG00000272084",5152,6443
"ENSG00000127481",12001,7127
"ENSG00000127463",7019,703
"ENSG00000053372",5349,8951
"ENSG00000053371",5081,5242
"ENSG00000040487",3185,2858
"ENSG00000077549",12032,6630
"ENSG00000226396",1764,10562
"ENSG00000173436",6152,5061
"ENSG00000270136",7186,10976
"ENSG00000158747",5044,12291
"ENSG00000162542",5228,4486
"ENSG00000169914",4061,3908
"ENSG00000162545",2603,11365
"ENSG00000090432",5584,3416
"ENSG00000158828",9744,7487
"ENSG00000117242",10377,5182
"ENSG00000244038",12022,8093
"ENSG00000127483",11853,10286
"ENSG00000075151",9554,5868
"ENSG00000117298",11845,6446
"ENSG00000142794",237,9187
"ENSG00000162551",11261,12486
"ENSG00000090686",10279,4744
"ENSG00000187942",11065,11738
"ENSG00000142798",12170,11722
"ENSG00000218510",3550,5086
"ENSG00000070831",11633,4656
"ENSG00000184677",10828,10082
"ENSG00000173372",12548,12513
"ENSG00000159189",12547,12566
"ENSG00000173369",12582,12564
"ENSG00000133216",1023,9589
"ENSG00000004487",9238,197
"ENSG00000169641",7130,7191
"ENSG00000261326",3247,10762
"ENSG00000125944",10989,5459
"ENSG00000125945",4122,10047
"ENSG00000204219",1072,9176
"ENSG00000088280",1560,8114
"ENSG00000117318",7464,11510
"ENSG00000142676",12525,8072
"ENSG00000011007",8199,267
"ENSG00000236810",1526,422
"ENSG00000057757",7517,775
"ENSG00000011009",8518,5774
"ENSG00000117308",5342,8183
"ENSG00000117305",5802,3954
"ENSG00000179163",8832,11777
"ENSG00000189266",9663,4062
"ENSG00000188529",10822,5500
"ENSG00000001461",3380,2716
"ENSG00000117602",3951,8137
"ENSG00000133226",11281,4463
"ENSG00000169504",9607,10928
"ENSG00000020633",10013,10449
"ENSG00000117614",8055,1776
"ENSG00000117616",11874,10240
"ENSG00000183726",9579,4086
"ENSG00000238084",664,4996
"ENSG00000204178",4897,4659
"ENSG00000157978",11048,9692
"ENSG00000117643",6926,9588
"ENSG00000162430",10949,8751
"ENSG00000228172",2743,5728
"ENSG00000255054",1922,4188
"ENSG00000272478",853,572
"ENSG00000117640",9376,1661
"ENSG00000127423",1434,484
"ENSG00000182749",4572,8519
"ENSG00000117632",8715,11797
"ENSG00000158006",2873,231
"ENSG00000175087",868,2517
"ENSG00000142684",1685,8550
"ENSG00000236782",1673,8468
"ENSG00000130695",3018,5351
"ENSG00000142669",12189,10971
"ENSG00000158062",11878,9864
"ENSG00000169442",11713,11718
"ENSG00000117682",5595,3324
"ENSG00000198830",11543,9845
"ENSG00000117676",11371,9151
"ENSG00000117713",11558,3843
"ENSG00000060642",1767,2719
"ENSG00000204160",10695,10051
"ENSG00000142751",6328,24
"ENSG00000198746",3003,991
"ENSG00000090273",9897,5096
"ENSG00000253368",103,9232
"ENSG00000090020",7982,3131
"ENSG00000225159",1686,8204
"ENSG00000142784",9984,1483
"ENSG00000186501",7596,3405
"ENSG00000142765",10633,11064
"ENSG00000142733",8617,10979
"ENSG00000158195",11798,6581
"ENSG00000126705",9769,9943
"ENSG00000000938",12209,11979
"ENSG00000126709",8591,12260
"ENSG00000009780",2295,921
"ENSG00000117758",8807,6200
"ENSG00000117751",6215,1347
"ENSG00000130775",12207,11729
"ENSG00000117748",8120,5192
"ENSG00000158156",3058,3690
"ENSG00000158161",5792,343
"ENSG00000228589",6058,10251
"ENSG00000169403",8261,11921
"ENSG00000126698",9467,1460
"ENSG00000130770",8268,7285
"ENSG00000130766",2673,6702
"ENSG00000130772",2565,6403
"ENSG00000204138",7325,5450
