"Gene","mean","sd"
"ENSG00000227232",2729,2635.5
"ENSG00000279457",3445,3012
"ENSG00000225972",11153.5,11060
"ENSG00000225630",11738,9297
"ENSG00000278791",5085.5,11700.5
"ENSG00000237973",11810,9230.5
"ENSG00000229344",1579,11605
"ENSG00000248527",11756,10695.5
"ENSG00000198744",9910.5,11329
"ENSG00000228327",2362,8041.5
"ENSG00000228794",3465,7011.5
"ENSG00000187634",1289,6210.5
"ENSG00000188976",9290,2339
"ENSG00000187608",4429.5,11234
"ENSG00000188157",10101,9797
"ENSG00000131591",2875.5,5486
"ENSG00000078808",11164,720
"ENSG00000176022",1090,3332
"ENSG00000160087",8367,1351
"ENSG00000131584",9914,5871.5
"ENSG00000169972",1613.5,1829.5
"ENSG00000127054",10636,260.5
"ENSG00000224051",6532,8744
"ENSG00000107404",10096,4574.5
"ENSG00000162576",8062,10601
"ENSG00000175756",10051,5443
"ENSG00000221978",11038,7027
"ENSG00000224870",2693,3211
"ENSG00000242485",9863.5,3212
"ENSG00000179403",9478,10399.5
"ENSG00000160072",8505,7656
"ENSG00000197785",6262,5668
"ENSG00000160075",10784,385
"ENSG00000197530",7296,6776
"ENSG00000248333",8579,5073.5
"ENSG00000189339",8587.5,7931.5
"ENSG00000008128",7950,8617
"ENSG00000227775",333.5,8183
"ENSG00000268575",7699,8318
"ENSG00000215790",374,6604
"ENSG00000008130",9222,4433
"ENSG00000078369",11549,74
"ENSG00000162585",8139,2819.5
"ENSG00000157933",10112.5,9774.5
"ENSG00000157916",10979.5,1978
"ENSG00000157911",7572,830.5
"ENSG00000157881",4510,140
"ENSG00000238164",3995,10518
"ENSG00000157873",10163,7945.5
"ENSG00000157870",7123,8549
"ENSG00000130762",4960,11209
"ENSG00000162591",2537.5,7792
"ENSG00000158109",10088,227
"ENSG00000116213",4654.5,3243.5
"ENSG00000227372",3947,7648.5
"ENSG00000130764",9107,898
"ENSG00000116198",6121.5,2531
"ENSG00000198912",4565,4993.5
"ENSG00000131697",1473,3378
"ENSG00000069424",890,10244.5
"ENSG00000116251",11539,2440
"ENSG00000116237",9329,3674
"ENSG00000158292",3107.5,11184
"ENSG00000097021",6462,10428.5
"ENSG00000171680",1973.5,7920.5
"ENSG00000162408",6159,2263
"ENSG00000204859",2818,1538
"ENSG00000162413",8628,9865
"ENSG00000116273",4146,7633
"ENSG00000041988",6954.5,983
"ENSG00000007923",8744.5,4100
"ENSG00000171735",7157,5559.5
"ENSG00000049245",10075,1542
"ENSG00000049246",6031,11203
"ENSG00000116288",11200.5,2074.5
"ENSG00000116285",11402,10807
"ENSG00000142599",11137,6978
"ENSG00000074800",11698,4827
"ENSG00000180758",1516,2880
"ENSG00000049239",10007,7881
"ENSG00000171621",6577,11016
"ENSG00000171612",614.5,7478.5
"ENSG00000188807",2316.5,4384
"ENSG00000171608",585,10163
"ENSG00000171603",10692.5,6961
"ENSG00000178585",5031,5982
"ENSG00000162441",3758,3689
