"Gene","mean","sd"
"ENSG00000227232",4466,6088
"ENSG00000279457",5841,6688
"ENSG00000225972",9819,12418
"ENSG00000225630",12436,11568
"ENSG00000278791",3592,12463
"ENSG00000237973",12443,12391
"ENSG00000229344",1441,12433
"ENSG00000240409",788,12315
"ENSG00000248527",12456,11949
"ENSG00000198744",9328,11965
"ENSG00000228327",9838,11405
"ENSG00000228794",5304,1055
"ENSG00000187634",5909,5233
"ENSG00000188976",10609,1107
"ENSG00000187961",5253,6805
"ENSG00000187608",538,10832
"ENSG00000188157",10845,9711
"ENSG00000131591",4207,11200
"ENSG00000078808",11277,2970
"ENSG00000176022",611,4187
"ENSG00000160087",9951,9400
"ENSG00000131584",8333,10027
"ENSG00000169972",1488,5218
"ENSG00000127054",11669,1142
"ENSG00000224051",9027,11962
"ENSG00000107404",10888,6459
"ENSG00000162576",7682,11115
"ENSG00000175756",10880,11641
"ENSG00000221978",11970,9651
"ENSG00000224870",1966,1003
"ENSG00000242485",5912,477
"ENSG00000179403",11185,12345
"ENSG00000160072",8040,7966
"ENSG00000197785",5839,3924
"ENSG00000160075",9996,527
"ENSG00000272106",920,1939
"ENSG00000197530",11206,9076
"ENSG00000248333",10941,2051
"ENSG00000189339",8559,10292
"ENSG00000008128",10547,7834
"ENSG00000227775",497,9662
"ENSG00000268575",10010,7425
"ENSG00000215790",325,8340
"ENSG00000008130",10116,1770
"ENSG00000078369",12112,4608
"ENSG00000162585",8888,8968
"ENSG00000157933",10638,7822
"ENSG00000157916",11284,9
"ENSG00000157911",7545,657
"ENSG00000157881",5020,1875
"ENSG00000238164",5012,11492
"ENSG00000157873",12009,12299
"ENSG00000157870",3553,2882
"ENSG00000130762",3580,10835
"ENSG00000162591",7625,12120
"ENSG00000158109",8254,3177
"ENSG00000116213",5226,1160
"ENSG00000227372",9636,10486
"ENSG00000130764",7985,5491
"ENSG00000116198",6378,8052
"ENSG00000169598",100,3896
"ENSG00000198912",4354,1187
"ENSG00000131697",6877,4288
"ENSG00000069424",2141,5461
"ENSG00000116251",11624,8679
"ENSG00000158286",408,10327
"ENSG00000116237",5518,6253
"ENSG00000158292",2002,6258
"ENSG00000097021",7867,10515
"ENSG00000215788",3252,10781
"ENSG00000171680",2577,8468
"ENSG00000162408",3402,2659
"ENSG00000204859",7251,3503
"ENSG00000162413",11100,5727
"ENSG00000116273",11173,3804
"ENSG00000041988",6441,2045
"ENSG00000007923",7158,156
"ENSG00000171735",6312,1255
"ENSG00000049245",10307,5765
"ENSG00000049246",9102,7819
"ENSG00000049247",891,5567
"ENSG00000116288",11507,4686
"ENSG00000116285",11967,10252
"ENSG00000142599",11891,415
"ENSG00000074800",12395,2781
"ENSG00000180758",1940,8271
"ENSG00000049239",11493,10573
"ENSG00000171621",9011,10798
"ENSG00000171612",3436,6614
"ENSG00000188807",2881,3562
"ENSG00000171608",3980,5053
"ENSG00000171603",10872,8638
"ENSG00000178585",6210,3698
"ENSG00000162441",5506,8513
"ENSG00000173614",765,967
"ENSG00000130939",7928,5774
"ENSG00000054523",11192,940
"ENSG00000142657",11632,6547
"ENSG00000160049",5867,2068
"ENSG00000142655",4228,1113
"ENSG00000272078",599,3166
"ENSG00000130940",2586,5139
"ENSG00000120948",11477,2507
"ENSG00000271895",112,8295
"ENSG00000277726",8655,1375
"ENSG00000116649",7308,7405
"ENSG00000226849",3257,1661
"ENSG00000171824",9770,859
"ENSG00000198793",10928,5198
"ENSG00000120942",4169,3787
"ENSG00000132879",6869,4530
"ENSG00000116663",886,10870
"ENSG00000116670",8781,9462
"ENSG00000177674",4338,6562
"ENSG00000215910",2899,12040
"ENSG00000177000",7405,4658
"ENSG00000011021",10657,5596
"ENSG00000116685",8239,5183
"ENSG00000083444",9954,11309
"ENSG00000116688",10350,1800
"ENSG00000116691",7222,4932
"ENSG00000028137",9096,11425
"ENSG00000048707",10500,1692
"ENSG00000162496",7808,10370
"ENSG00000162493",3245,10586
"ENSG00000116731",8742,2128
"ENSG00000189337",4267,9913
"ENSG00000171729",2488,8848
"ENSG00000142634",11530,5027
"ENSG00000132906",6992,3455
"ENSG00000116138",3977,147
"ENSG00000235084",1249,745
"ENSG00000215695",1565,1061
"ENSG00000197312",6412,1747
"ENSG00000116786",10858,7581
"ENSG00000162458",9767,12058
"ENSG00000233954",4150,7391
"ENSG00000178715",2547,11960
"ENSG00000065526",11062,5247
"ENSG00000116809",7356,4061
"ENSG00000173641",6561,12029
"ENSG00000142627",2404,9384
"ENSG00000142632",1553,7364
"ENSG00000037637",7117,237
"ENSG00000055070",10286,1054
"ENSG00000187144",4840,8279
"ENSG00000157191",9350,884
"ENSG00000080947",990,8117
"ENSG00000219481",6179,8561
"ENSG00000215908",7493,8237
"ENSG00000236698",3235,9279
"ENSG00000058453",5827,8239
"ENSG00000159363",3989,5777
"ENSG00000117118",7711,2662
"ENSG00000227751",48,2276
"ENSG00000179051",5937,2856
"ENSG00000074964",4268,7707
"ENSG00000159423",1665,7679
"ENSG00000169991",2246,7355
"ENSG00000272084",6426,6433
"ENSG00000127481",12356,9409
"ENSG00000127463",9364,4440
"ENSG00000053372",3316,959
"ENSG00000053371",5840,5321
"ENSG00000040487",2872,6603
"ENSG00000077549",11982,8078
"ENSG00000226396",751,6836
"ENSG00000173436",5913,126
"ENSG00000270136",11903,11434
"ENSG00000158747",12052,12250
"ENSG00000162542",1369,9178
"ENSG00000169914",7923,1250
"ENSG00000188257",11106,12446
"ENSG00000162545",5337,11598
"ENSG00000090432",4844,1339
"ENSG00000158828",11227,10298
"ENSG00000117242",10773,9267
"ENSG00000244038",11838,2717
"ENSG00000127483",11694,8719
"ENSG00000075151",11863,9605
"ENSG00000117298",11832,10490
"ENSG00000142794",3603,10979
"ENSG00000162551",3178,7261
"ENSG00000090686",9225,918
"ENSG00000187942",8939,10608
"ENSG00000142798",12033,11545
"ENSG00000218510",1293,510
"ENSG00000070831",10714,8177
"ENSG00000184677",7770,2688
"ENSG00000173372",922,12265
"ENSG00000159189",757,12309
"ENSG00000173369",2170,12377
"ENSG00000133216",1342,7783
"ENSG00000004487",11681,4237
"ENSG00000169641",8853,10215
"ENSG00000261326",1469,7864
"ENSG00000125944",10831,6321
"ENSG00000125945",4220,2297
"ENSG00000204219",769,11033
"ENSG00000088280",8292,3752
"ENSG00000117318",1675,11762
"ENSG00000142676",12300,4991
"ENSG00000011007",8910,226
"ENSG00000236810",2032,120
"ENSG00000057757",8749,1016
"ENSG00000011009",3656,2105
"ENSG00000117308",798,4290
"ENSG00000117305",6225,8516
"ENSG00000179163",4498,6084
"ENSG00000189266",9360,7289
"ENSG00000188529",10190,3636
"ENSG00000001460",7038,11961
"ENSG00000001461",2403,9551
"ENSG00000117602",779,5138
"ENSG00000133226",12041,2136
"ENSG00000169504",11912,9318
"ENSG00000020633",562,6795
"ENSG00000117614",8005,681
"ENSG00000117616",10332,9308
"ENSG00000183726",7196,6772
"ENSG00000204178",6842,6110
"ENSG00000157978",2725,8314
"ENSG00000117643",3782,11464
"ENSG00000162430",8534,7421
"ENSG00000228172",1121,1141
"ENSG00000255054",1929,4182
