"Gene","mean","sd"
"ENSG00000227232",4296,7295
"ENSG00000279457",6233,9330
"ENSG00000225972",11101,12227
"ENSG00000225630",12532,11788.5
"ENSG00000278791",8099,11766
"ENSG00000237973",12551.5,11327
"ENSG00000229344",8251.5,11694
"ENSG00000240409",1493,12085.5
"ENSG00000248527",12548,11679
"ENSG00000198744",12265,11475
"ENSG00000228327",4912,8169
"ENSG00000228794",1899,2187
"ENSG00000187634",2385,10389
"ENSG00000188976",9239.5,1607
"ENSG00000187608",2602,12121
"ENSG00000188157",12164,9211
"ENSG00000131591",1285.5,8097
"ENSG00000078808",11663.5,4243
"ENSG00000176022",4113.5,7288
"ENSG00000160087",7835.5,3068.5
"ENSG00000131584",6943,9784.5
"ENSG00000169972",1477,4506.5
"ENSG00000127054",11396,4967.5
"ENSG00000224051",5201,8312
"ENSG00000107404",10026,5858
"ENSG00000162576",10828,10063
"ENSG00000175756",8927.5,9446.5
"ENSG00000221978",10700.5,10180.5
"ENSG00000224870",5051,4161.5
"ENSG00000242485",8945,6580
"ENSG00000179403",10247,11902
"ENSG00000160072",5004.5,9743
"ENSG00000197785",4629.5,7439
"ENSG00000160075",11768,3149.5
"ENSG00000272106",5420.5,6523
"ENSG00000197530",10146.5,9888
"ENSG00000248333",9185,2243
"ENSG00000189339",10310,9060.5
"ENSG00000008128",7984,7729.5
"ENSG00000227775",1897,10342
"ENSG00000268575",8019,6995
"ENSG00000215790",953.5,8171.5
"ENSG00000008130",9114.5,3820.5
"ENSG00000078369",12168,1411
"ENSG00000162585",10564,8069
"ENSG00000157933",10535.5,7533
"ENSG00000157916",11653,290
"ENSG00000157911",9256,1202.5
"ENSG00000157881",4921,775
"ENSG00000238164",1389,10586.5
"ENSG00000157873",9082,11310
"ENSG00000157870",4412,7779
"ENSG00000130762",6938,7707
"ENSG00000162591",1041,11792
"ENSG00000158109",9707,1618
"ENSG00000116213",4934,4646
"ENSG00000227372",8105.5,5324
"ENSG00000130764",9435.5,496
"ENSG00000116198",6140.5,2650
"ENSG00000169598",1479.5,7591.5
"ENSG00000198912",5141,3856
"ENSG00000131697",7029,6891
"ENSG00000069424",1028.5,11772
"ENSG00000116251",12317,5036
"ENSG00000158286",5131,10539
"ENSG00000116237",10101.5,4644
"ENSG00000097021",225,9683
"ENSG00000171680",1784,9019
"ENSG00000162408",3708.5,3282
"ENSG00000204859",6331,4597.5
"ENSG00000162413",9896,10627
"ENSG00000116273",5058,9731.5
"ENSG00000041988",8177.5,4515
"ENSG00000007923",8417,138
"ENSG00000171735",6746,3842
"ENSG00000049245",10657,968.5
"ENSG00000049246",8467,12320
"ENSG00000049247",524,11940.5
"ENSG00000116288",11754,8931.5
"ENSG00000116285",10594,12486
"ENSG00000142599",11743,7121
"ENSG00000074800",12413,9275.5
"ENSG00000180758",2713,8491
"ENSG00000049239",10831,6354.5
"ENSG00000171621",5589,11754
"ENSG00000171612",1227,8194.5
"ENSG00000188807",1876,1266
"ENSG00000171608",3473,11462.5
"ENSG00000171603",11803,3863.5
"ENSG00000178585",7997,6381.5
"ENSG00000162441",3032,2172
"ENSG00000173614",3537,2886
