"Gene","mean","sd"
"ENSG00000227232",2486,3621
"ENSG00000279457",4138,5023
"ENSG00000225972",11646,10875
"ENSG00000225630",12522,9549
"ENSG00000278791",11410,11027
"ENSG00000237973",12713,8488
"ENSG00000229344",8705,7734
"ENSG00000240409",97,6573
"ENSG00000248527",12630,8958
"ENSG00000198744",12118,8120
"ENSG00000228327",1782,9040
"ENSG00000228794",1751,8206
"ENSG00000187634",3750,10977
"ENSG00000188976",9733,2454
"ENSG00000187961",17,8619
"ENSG00000187608",2277,10705
"ENSG00000188157",12243,11736
"ENSG00000131591",1230,7302
"ENSG00000078808",11746,2838
"ENSG00000176022",5688,4573
"ENSG00000160087",7602,2002
"ENSG00000131584",4333,10063
"ENSG00000169972",777,1423
"ENSG00000127054",11246,4846
"ENSG00000224051",5261,2798
"ENSG00000107404",9567,6721
"ENSG00000162576",10532,11908
"ENSG00000175756",9013,7571
"ENSG00000221978",10348,10855
"ENSG00000224870",3909,2879
"ENSG00000242485",9191,4725
"ENSG00000179403",10059,10373
"ENSG00000160072",2857,9332
"ENSG00000197785",5241,7042
"ENSG00000160075",11356,3024
"ENSG00000272106",2697,6053
"ENSG00000197530",8213,5511
"ENSG00000248333",8123,2250
"ENSG00000189339",10472,4378
"ENSG00000008128",5509,2519
"ENSG00000227775",215,3590
"ENSG00000268575",5661,1798
"ENSG00000215790",406,1954
"ENSG00000008130",9066,2662
"ENSG00000078369",12363,4971
"ENSG00000162585",8312,5470
"ENSG00000157933",10662,10365
"ENSG00000157916",11333,601
"ENSG00000157911",9865,3662
"ENSG00000157881",3689,607
"ENSG00000238164",1379,6858
"ENSG00000157873",9565,9909
"ENSG00000157870",7611,10728
"ENSG00000130762",644,11777
"ENSG00000162591",3734,10790
"ENSG00000158109",10916,8605
"ENSG00000116213",2748,612
"ENSG00000227372",7745,2399
"ENSG00000130764",9909,2962
"ENSG00000116198",5403,750
"ENSG00000169598",562,3108
"ENSG00000198912",4395,1542
"ENSG00000131697",4232,9441
"ENSG00000069424",3937,7955
"ENSG00000116251",12602,6611
"ENSG00000158286",847,10980
"ENSG00000116237",10267,6222
"ENSG00000158292",3146,10382
"ENSG00000097021",2074,6737
"ENSG00000215788",424,10510
"ENSG00000171680",3631,6418
"ENSG00000162408",4966,1809
"ENSG00000204859",4069,4525
"ENSG00000162413",6615,10054
"ENSG00000116273",6539,8782
"ENSG00000041988",7053,1940
"ENSG00000007923",7978,4439
"ENSG00000171735",5269,5458
"ENSG00000049245",11193,7752
"ENSG00000049246",6931,11203
"ENSG00000049247",303,10050
"ENSG00000116288",12006,4743
"ENSG00000116285",10626,10694
"ENSG00000142599",12287,8800
"ENSG00000074800",12536,8523
"ENSG00000180758",1088,7623
"ENSG00000049239",11868,6934
"ENSG00000171621",6294,12108
"ENSG00000171612",324,4105
"ENSG00000188807",2989,1689
"ENSG00000171608",3160,7124
"ENSG00000171603",12446,5853
"ENSG00000178585",7150,6861
"ENSG00000162441",4056,3599
"ENSG00000173614",1828,2084
"ENSG00000162444",1755,11092
"ENSG00000130939",10038,4502
"ENSG00000054523",9478,7706
"ENSG00000142657",9010,9757
"ENSG00000160049",8196,283
"ENSG00000142655",5332,3877
"ENSG00000272078",1413,7740
"ENSG00000130940",5024,9237
"ENSG00000120948",11690,752
"ENSG00000271895",359,7114
"ENSG00000277726",8530,1618
"ENSG00000116649",6950,7670
"ENSG00000226849",1792,679
"ENSG00000171824",9175,109
"ENSG00000198793",8453,4587
"ENSG00000120942",4837,123
"ENSG00000132879",5708,6817
"ENSG00000116663",1626,8174
"ENSG00000116670",3995,5028
"ENSG00000177674",7242,10719
"ENSG00000215910",317,5032
"ENSG00000177000",6229,7024
"ENSG00000011021",4484,6303
"ENSG00000116685",9679,3315
"ENSG00000083444",11708,9654
"ENSG00000116688",10938,6298
"ENSG00000116691",3774,3466
"ENSG00000028137",8979,10491
"ENSG00000048707",9936,3447
"ENSG00000162496",10495,11699
"ENSG00000162493",2755,11459
"ENSG00000116731",8386,5700
"ENSG00000189337",6395,11409
"ENSG00000171729",1432,10059
"ENSG00000142634",8980,7906
"ENSG00000132906",4600,7132
"ENSG00000116138",4551,2542
"ENSG00000235084",1695,1858
"ENSG00000215695",67,4681
"ENSG00000197312",6247,5532
"ENSG00000116786",9988,3063
"ENSG00000162458",9236,11683
"ENSG00000233954",3829,1696
"ENSG00000178715",3366,11339
"ENSG00000065526",10910,6767
"ENSG00000116809",5484,1770
