tissue,ptwas_category,number_of_genes_tissue,number_of_genes_topbottom,category_count,total_count,upper_count,lower_count,upper_or,lower_or,phyper_upper,phyper_lower,phyper_upper_bh_adj,phyper_lower_bh_adj
blood,Cardiometabolic,6647,333,5326,1355,54,73,0.788624135280554,1.08190327613105,0.971441399117562,0.215112742480125,0.999999919631852,0.580590273138377
blood,Blood,6647,333,12207,3159,165,162,1.04709418837675,1.02702702702703,0.207394427999579,0.31630099175848,0.850289071910054,0.674033242288115
blood,Cancer,6647,333,516,114,6,5,1.05555555555556,0.871559633027523,0.345690016394103,0.510932312555054,0.999999919631852,0.778239896300644
blood,Immune,6647,333,4016,1051,60,47,1.15035317860747,0.889442231075697,0.11450515316992,0.784721275660409,0.664773831133919,0.869403427710094
blood,Psychiatric_neurologic,6647,333,7386,1831,69,104,0.744040862656073,1.14418066010423,0.997915398620613,0.0553508232144569,0.999999919631852,0.314949624723584
blood,Allergy,6647,333,1569,428,33,16,1.5873417721519,0.737864077669903,0.00461353695129578,0.873482086560347,0.0789427433888388,0.940032666003705
blood,Anthropometric,6647,333,10677,2598,102,150,0.776442307692308,1.16421568627451,0.999380254476528,0.0098973378372274,0.999999919631852,0.117245386687155
blood,Aging,6647,333,122,27,4,1,3.30434782608696,0.730769230769231,0.00993648447837054,0.39507733511665,0.127518217472422,0.713313478005157
blood,Endocrine system disease,6647,333,1642,473,34,27,1.47152619589977,1.15022421524664,0.0120203287310819,0.200171436973586,0.142163523879675,0.579576674120114
blood,Skeletal system disease,6647,333,203,54,4,3,1.52,1.11764705882353,0.132015397184571,0.28500693335982,0.664773831133919,0.649412086023623
blood,Morphology,6647,333,1236,284,10,15,0.693430656934307,1.05947955390335,0.851254990872535,0.349422665394445,0.999999919631852,0.689885775265955
breast,Cardiometabolic,12713,636,5326,2510,126,126,1.00419463087248,1.00419463087248,0.458456487072901,0.458456487072901,0.999999919631852,0.755011159144263
breast,Blood,12713,636,12207,5636,238,298,0.837717673212301,1.06069689022106,0.999828412029736,0.0878830812376068,0.999999919631852,0.420356964225465
breast,Cancer,12713,636,516,242,15,9,1.25550660792952,0.733905579399142,0.155735049065166,0.776102641160342,0.675683693477811,0.869403427710094
breast,Immune,12713,636,4016,1874,95,93,1.01461495222035,0.9921392476137,0.415953011312275,0.506669095326799,0.999999919631852,0.778239896300644
breast,Psychiatric_neurologic,12713,636,7386,3333,136,203,0.808257741632781,1.23226837060703,0.997797466434337,0.000421546600012473,0.999999919631852,0.0129836352803842
breast,Allergy,12713,636,1569,753,47,40,1.26487252124646,1.06591865357644,0.0487813624960965,0.306822673236887,0.441901754376404,0.674033242288115
breast,Anthropometric,12713,636,10677,4780,224,279,0.934152765583846,1.17773828038214,0.89076795777487,0.000385968148865221,0.999999919631852,0.0129836352803842
breast,Aging,12713,636,122,54,3,2,1.11764705882353,0.730769230769231,0.284303004904524,0.511498537585194,0.939186166645883,0.778239896300644
breast,Endocrine system disease,12713,636,1642,795,52,45,1.32974427994616,1.14,0.0192058904684906,0.16734590609055,0.197180475476504,0.515425390758893
breast,Skeletal system disease,12713,636,203,103,7,5,1.38541666666667,0.969387755102041,0.143651519440006,0.41156900261382,0.664773831133919,0.713313478005157
breast,Morphology,12713,636,1236,555,31,34,1.12404580152672,1.23992322456814,0.224822358399952,0.0929931993495887,0.850289071910054,0.421204491171667
colon,Cardiometabolic,10405,521,5326,2231,98,100,0.872948898265354,0.891600187705303,0.927580372954177,0.891218157899086,0.999999919631852,0.946535147010064
colon,Blood,10405,521,12207,5015,217,252,0.859316381825761,1.00524879277766,0.998782352588239,0.450114652255493,0.999999919631852,0.753452787471152
colon,Cancer,10405,521,516,211,11,12,1.045,1.14572864321608,0.367005364521855,0.259269496863313,0.999999919631852,0.633769881221431
colon,Immune,10405,521,4016,1665,93,77,1.12404580152672,0.921284634760705,0.108254828712394,0.762271729268387,0.664773831133919,0.869403427710094
colon,Psychiatric_neurologic,10405,521,7386,2971,113,164,0.751224632610217,1.11008193801211,0.999837029820525,0.0596887601768257,0.999999919631852,0.31696789887004
colon,Allergy,10405,521,1569,658,45,35,1.39477977161501,1.06741573033708,0.0129239567163341,0.312026341950907,0.142163523879675,0.674033242288115
colon,Anthropometric,10405,521,10677,4217,211,232,1.00074887668497,1.10614805520703,0.486327417492058,0.025709089853325,0.999999919631852,0.197959991870602
colon,Aging,10405,521,122,52,3,1,1.16326530612245,0.372549019607843,0.2622656492776,0.741999174469871,0.897531333083341,0.869403427710094
colon,Endocrine system disease,10405,521,1642,717,61,31,1.76676829268293,0.858600583090379,1.36377912558147e-05,0.780015233774609,0.000350036642232577,0.869403427710094
colon,Skeletal system disease,10405,521,203,89,7,5,1.6219512195122,1.13095238095238,0.0769118535889698,0.286753388633807,0.570208485624099,0.649412086023623
colon,Morphology,10405,521,1236,483,24,23,0.993464052287582,0.95,0.461621135550269,0.546786319667161,0.999999919631852,0.778239896300644
fat,Cardiometabolic,11884,595,5326,2358,122,128,1.03667262969589,1.09058295964126,0.317104777784244,0.135786361730471,0.999999919631852,0.515425390758893
