"id","group","tissue","datetime","raw_counts_genes","raw_counts_individuals","raw_metadata_individuals","raw_metadata_features","filtered_counts_genes","filtered_counts_individuals","filtered_metadata_individuals","filtered_metadata_features","to_ignore_manually_curated","to_ignore_redundant_features","to_ignore_large_factors","final_features_removed","replicate_col"
"BRAIN","GTEx","neuron",2022-05-23 18:10:07,63856,2931,2931,54,14074,2931,2931,6,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smcenter;gtex.smtsd;gtex.smubrid",""
"SKIN","GTEx","skin",2022-05-23 18:10:26,63856,1940,1420,53,14316,1420,1420,7,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smcenter;gtex.smtsd;gtex.smubrid",""
"ESOPHAGUS","GTEx","esophagus",2022-05-23 18:10:37,63856,1577,625,52,13822,625,625,6,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smcenter;gtex.smnabtcht",""
"BLOOD_VESSEL","GTEx","blood_vessel",2022-05-23 18:10:54,63856,1398,1398,53,13559,1398,1398,7,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smubrid;gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smcenter;gtex.smtsd;gtex.smnabtcht",""
"ADIPOSE_TISSUE","GTEx","fat",2022-05-23 18:11:11,63856,1293,1293,53,14103,1293,1293,7,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","sample_id;gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smcenter;gtex.smtsd;gtex.smubrid",""
"BLOOD","GTEx","blood",2022-05-23 18:11:23,63856,1048,1048,51,11479,1048,1048,4,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smnabtcht;gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smtsisch;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smcenter",""
"HEART","GTEx","heart",2022-05-23 18:11:37,63856,942,942,53,12456,942,942,6,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smcenter;gtex.smtsd;gtex.smubrid",""
"MUSCLE","GTEx","muscle",2022-05-23 18:11:49,63856,881,881,52,11270,881,881,5,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smcenter",""
"COLON","GTEx","colon",2022-05-23 18:11:58,63856,822,822,52,14565,822,822,6,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smtsd;gtex.smubrid",""
"THYROID","GTEx","thyroid",2022-05-23 18:12:07,63856,706,706,51,14977,706,706,5,"NA;alias;Alias;Broker.name;broker.name;Description;Title;ENA.checklist;ENA.FIRST.PUBLIC;ENA.LAST.UPDATE;isolate;INSDC.center.alias;sample_id;INSDC.center.name;INSDC.first.public;INSDC.last.update;INSDC.status;Sample.Name;SRA.accession;title;gtex.smrin;rownames;tcga.xml_month_of_form_completion;tcga.xml_year_of_form_completion;tcga.xml_year_of_initial_pathologic_diagnosis;tcga.xml_initial_pathologic_diagnosis_method;tcga.cgc_case_year_of_diagnosis;tcga.gdc_metadata_files.file_size.analysis;tcga.xml_breast_carcinoma_surgical_procedure_name;tcga.xml_day_of_form_completion;tcga.cgc_sample_shortest_dimension;tcga.xml_stage_event_system_version;tcga.gdc_cases.samples.portions.analytes.concentration;tcga.cgc_case_histological_diagnosis;tcga.gdc_cases.samples.portions.analytes.aliquots.concentration","sample_id;gtex.smmpunrt;gtex.smmppdun","gtex.run_acc;gtex.subjid;gtex.sampid;gtex.smpthnts;gtex.smtsisch;gtex.smtspax;gtex.smnabtch;gtex.smnabtchd;gtex.smgebtch;gtex.smgebtchd;gtex.sme2mprt;gtex.smchmprs;gtex.smntrart;gtex.smmaprt;gtex.smexncrt;gtex.smgnsdtc;gtex.sme1mmrt;gtex.smsflgth;gtex.smmppd;gtex.smnterrt;gtex.smrrnanm;gtex.smrdttl;gtex.smvqcfl;gtex.smtrscpt;gtex.smmppdpr;gtex.smntrnrt;gtex.smexpeff;gtex.sme2mmrt;gtex.sme2anti;gtex.smaltalg;gtex.sme2snse;gtex.smmflgth;gtex.sme1anti;gtex.smspltrd;gtex.smbsmmrt;gtex.sme1snse;gtex.sme1pcts;gtex.smrrnart;gtex.sme1mprt;gtex.sme2pcts","gtex.sex;gtex.age;gtex.dthhrdy;gtex.smatsscr;gtex.smcenter",""
