GeneID	chr	start	end	labelCoord	FayWu_H	Fst	FuLi_D	FuLi_F	iHS	Tajima_D	label	stat	pops	source
AURKAIP1	chr1	1292163	1313595	chr1:1292163-1313595	-2.483	0.253	-3.182	-2.613	2.842	2.627	Fst:CEU2CHB:0.253	Fst	CEU2CHB	PopHumanScan
PRDM16	chr1	3121765	3166685	chr1:3121765-3166685	-3.63	0.115	-2.28	-1.863	3.56	1.191	iHS:FIN:3.56,GBR:3.426	iHS	FIN,GBR	PopHumanScan
nonCoding26	chr1	4092100	4102100	chr1:4092100-4102100	-5.739	0.241	-2.282	2.315	1.911	-2.309	Fst:CEU2YRI:0.241	Fst	CEU2YRI	PopHumanScan
ACOT7	chr1	6430570	6499187	chr1:6430570-6499187	-3.093	0.116	-2.851	-3.059	3.638	-2.167	iHS:PJL:3.638	iHS	PJL	PopHumanScan
VPS13D	chr1	12315944	12335944	chr1:12315944-12335944	-1.497	0.055	-6.667	-5.841	2.17	-2.42	FuLi_D:GBR:-6.667,FuLi_F:GBR:-5.841	FuLi_D,FuLi_F	GBR	PopHumanScan
VPS13D	chr1	12352531	12372531	chr1:12352531-12372531	-1.271	0.032	-7.306	-6.423	2.303	-2.394	FuLi_D:GBR:-7.306,FuLi_F:CEU:-5.922,GBR:-6.423	FuLi_D,FuLi_F	GBR,CEU	PopHumanScan
nonCoding240	chr1	12861992	12871992	chr1:12861992-12871992	-1.275	0.035	-8.799	-6.496	3.777	-2.318	FuLi_D:ACB:-8.799,ASW:-7.658,BEB:2.188,CHS:2.438,ITU:2.317,JPT:2.576,KHV:2.483,FuLi_F:ACB:-6.496,ASW:-6.306,iHS:CHS:3.644,JPT:3.672,KHV:3.777	FuLi_D,FuLi_F,iHS	ACB,ASW,BEB,CHS,ITU,JPT,KHV	PopHumanScan
KAZN	chr1	14418659	14428659	chr1:14418659-14428659	-3.444	0.093	-8.326	-6.729	1.808	-2.473	FuLi_D:CHS:-8.326,JPT:-7.669,FuLi_F:CHS:-6.729,JPT:-6.309	FuLi_D,FuLi_F	CHS,JPT	PopHumanScan
MUL1	chr1	20822948	20842948	chr1:20822948-20842948	-5.027	0.027	-4.701	-4.162	1.472	-2.12	FayWu_H:ACB:-5,YRI:-5.027	FayWu_H	ACB,YRI	PopHumanScan
NBPF3	chr1	21793892	21803892	chr1:21793892-21803892	-3.172	0.079	-3.23	-2.832	3.516	2.052	iHS:FIN:3.516,GBR:3.394,IBS:3.065,Alpha:CHB:0.893	iHS	FIN,GBR,IBS,CHB	PopHumanScan
nonCoding428	chr1	25011952	25021952	chr1:25011952-25021952	-3.585	0.087	2.089	2.07	1.299	1.285	FuLi_D:LWK:2.089	FuLi_D	LWK	PopHumanScan
nonCoding441	chr1	25435426	25445426	chr1:25435426-25445426	-7.027	0.083	-3.004	-3.187	1.421	-2.207	FayWu_H:TSI:-7.027	FayWu_H	TSI	PopHumanScan
RSRP1,SYF2	chr1	25551206	25571206	chr1:25551206-25571206	-3.54	0.055	-6.859	-5.929	1.775	-2.669	FuLi_D:GIH:-6.859,FuLi_F:GIH:-5.929,Tajima_D:TSI:-2.669	FuLi_D,FuLi_F,Tajima_D	GIH,TSI	PopHumanScan
nonCoding448	chr1	25839351	25849351	chr1:25839351-25849351	2.733	0.148	-8.551	-6.391	1.205	2.156	FuLi_D:CEU:-7.585,TSI:-8.551,FuLi_F:TSI:-6.391	FuLi_D,FuLi_F	CEU,TSI	PopHumanScan
LDLRAP1	chr1	25873993	25883993	chr1:25873993-25883993	3.168	0.146	-7.433	-6.419	1.919	-2.272	FuLi_D:STU:-7.433,FuLi_F:STU:-6.419	FuLi_D,FuLi_F	STU	PopHumanScan
ARID1A,nonCoding466	chr1	27002641	27046749	chr1:27002641-27046749	-2.162	0.028	-5.559	-5.208	1.64	-2.435	Tajima_D:ACB:-2.409,GWD:-2.422,YRI:-2.435,XPEHH:CEU2CHB:2.08	Tajima_D,XPEHH	ACB,GWD,YRI,CEU2CHB	PopHumanScan
ARID1A	chr1	27056749	27066749	chr1:27056749-27066749	0.503	0.018	-6.173	-5.338	2.927	-2.432	FuLi_F:ACB:-5.338,Tajima_D:ACB:-2.432	FuLi_F,Tajima_D	ACB	PopHumanScan
ARID1A,PIGV	chr1	27076749	27116749	chr1:27076749-27116749	-3.192	0.031	-5.867	-5.166	2.818	-2.584	FuLi_F:ASW:-5.166,Tajima_D:ACB:-2.506,ASW:-2.584,ESN:-2.361,YRI:-2.408	FuLi_F,Tajima_D	ASW,ACB,ESN,YRI	PopHumanScan
GPN2,GPATCH3	chr1	27210512	27220512	chr1:27210512-27220512	-4.696	0.023	-6.432	-5.798	2.025	-2.504	FuLi_F:JPT:-5.798	FuLi_F	JPT	PopHumanScan
NUDC	chr1	27241692	27272847	chr1:27241692-27272847	-4.683	0.06	-6.617	-5.886	2.544	-2.648	Tajima_D:CDX:-2.648	Tajima_D	CDX	PopHumanScan
WDTC1	chr1	27623350	27633350	chr1:27623350-27633350	-0.861	0.02	-6.435	-5.864	1.189	-2.497	FuLi_F:CDX:-5.864	FuLi_F	CDX	PopHumanScan
nonCoding473,nonCoding474	chr1	28016645	28036645	chr1:28016645-28036645	-5.309	0.133	-5.789	-5.294	1.538	-2.649	FuLi_D:FIN:-5.789,FuLi_F:FIN:-5.294,Tajima_D:FIN:-2.649	FuLi_D,FuLi_F,Tajima_D	FIN	PopHumanScan
TAF12,RAB42	chr1	28919249	28929249	chr1:28919249-28929249	-1.447	0.023	-5.053	-4.395	1.375	-2.379	Tajima_D:MSL:-2.379	Tajima_D	MSL	PopHumanScan
EPB41	chr1	29261995	29291995	chr1:29261995-29291995	-1.642	0.1	-4.645	-3.487	3.509	0.931	iHS:GWD:3.509	iHS	GWD	PopHumanScan
nonCoding553	chr1	30686240	30736240	chr1:30686240-30736240	-2.698	0.074	-1.685	3.57	3.457	5.479	iHS:TSI:3.457	iHS	TSI	PopHumanScan
nonCoding597	chr1	31628427	31638427	chr1:31628427-31638427	-8.002	0.114	-3.424	-3.062	2.081	2.627	FayWu_H:BEB:-6.86,STU:-8.002	FayWu_H	BEB,STU	PopHumanScan
ADGRB2	chr1	32208968	32240122	chr1:32208968-32240122	-3.347	0.031	-6.852	-5.864	1.481	-2.479	FuLi_F:CEU:-5.864	FuLi_F	CEU	PopHumanScan
KHDRBS1	chr1	32504168	32514168	chr1:32504168-32514168	-1.61	0.049	-7.489	-6.576	1.274	-2.585	FuLi_D:GIH:-7.489,FuLi_F:GIH:-6.576,Tajima_D:GIH:-2.585	FuLi_D,FuLi_F,Tajima_D	GIH	PopHumanScan
KPNA6	chr1	32607010	32617010	chr1:32607010-32617010	-1.37	0.024	-7.037	-6.139	2.085	-2.396	FuLi_D:ITU:-7.037,FuLi_F:ITU:-6.139	FuLi_D,FuLi_F	ITU	PopHumanScan
ZBTB8A,AL033529.1	chr1	33005634	33015634	chr1:33005634-33015634	-7.456	0.052	-2.505	-2.68	0.838	-2.293	FayWu_H:ITU:-7.101,PJL:-7.097,STU:-7.456	FayWu_H	ITU,PJL,STU	PopHumanScan
SYNC,RBBP4	chr1	33124784	33164875	chr1:33124784-33164875	-4.103	0.079	-6.217	-5.312	3.814	-2.465	iHS:ITU:3.814,PJL:3.553	iHS	ITU,PJL	PopHumanScan
CSMD2	chr1	34117129	34127129	chr1:34117129-34127129	-0.922	0.015	-7.394	-6.531	1.479	-2.567	FuLi_D:TSI:-7.394,FuLi_F:TSI:-6.531	FuLi_D,FuLi_F	TSI	PopHumanScan
ZMYM6,AC114490.2	chr1	35458734	35478734	chr1:35458734-35478734	-3.305	0.124	-3.85	-3.698	2.991	-2.327	XPEHH:CEU2YRI:2.439	XPEHH	CEU2YRI	PopHumanScan
SFPQ	chr1	35640204	35650204	chr1:35640204-35650204	-3.772	0.157	-6.052	-5.569	2.925	-2.548	FuLi_F:GBR:-5.569,XPEHH:CEU2YRI:2.564	FuLi_F,XPEHH	GBR,CEU2YRI	PopHumanScan
ZMYM4	chr1	35780450	35886246	chr1:35780450-35886246	-2.587	0.07	-5.655	-4.727	3.965	-2.285	iHS:BEB:3.965	iHS	BEB	PopHumanScan
nonCoding678	chr1	36107860	36144518	chr1:36107860-36144518	-2.433	0.105	-6.532	-5.831	2.184	-2.541	FuLi_D:GBR:-6.532,FuLi_F:GBR:-5.831	FuLi_D,FuLi_F	GBR	PopHumanScan
GRIK3	chr1	37279490	37319490	chr1:37279490-37319490	-7.974	0.066	-4.427	-4.205	3.36	-2.479	FayWu_H:JPT:-7.974,iHS:CHS:3.36	FayWu_H,iHS	JPT,CHS	PopHumanScan
nonCoding711	chr1	37567723	37577723	chr1:37567723-37577723	-3.305	0.247	-1.869	2.517	1.057	2.507	Fst:CEU2CHB:0.247	Fst	CEU2CHB	PopHumanScan
GNL2,DNALI1	chr1	38023752	38053752	chr1:38023752-38053752	-2.839	0.056	-7.443	-5.948	1.212	-2.101	FuLi_D:ACB:-7.443,FuLi_F:ACB:-5.948	FuLi_D,FuLi_F	ACB	PopHumanScan
MTF1	chr1	38309564	38331992	chr1:38309564-38331992	-0.771	0.039	-5.053	-4.097	3.331	-1.705	iHS:JPT:3.331	iHS	JPT	PopHumanScan
nonCoding781	chr1	39004500	39014500	chr1:39004500-39014500	-4.686	0.05	-5.192	-4.624	1.156	-2.369	FayWu_H:MSL:-4.686	FayWu_H	MSL	PopHumanScan
MACF1	chr1	39789146	39799146	chr1:39789146-39799146	-1.528	0.041	-4.47	-4.162	3.036	-2.097	iHS:CDX:3.036	iHS	CDX	PopHumanScan
EXO5	chr1	40964012	40984012	chr1:40964012-40984012	-1.383	0.048	-3.281	-2.349	3.166	-1.22	iHS:ITU:3.166	iHS	ITU	PopHumanScan
SCMH1,SLFNL1	chr1	41486070	41528807	chr1:41486070-41528807	-1.271	0.074	-5.334	-4.708	2.52	-2.258	FuLi_D:MSL:-5.334,FuLi_F:MSL:-4.708	FuLi_D,FuLi_F	MSL	PopHumanScan
SCMH1	chr1	41604504	41694089	chr1:41604504-41694089	-2.039	0.072	-4.745	-4.257	3.504	-2.283	iHS:GBR:3.447,ITU:3.233,JPT:3.504	iHS	GBR,ITU,JPT	PopHumanScan
HIVEP3	chr1	42158655	42168655	chr1:42158655-42168655	-3.224	0.027	-7.986	-6.755	1.542	-2.439	FuLi_D:BEB:-7.986,FuLi_F:BEB:-6.755	FuLi_D,FuLi_F	BEB	PopHumanScan
FOXJ3	chr1	42703160	42763518	chr1:42703160-42763518	-1.65	0.045	-4.533	-3.557	4.723	1.47	iHS:ESN:3.585,PJL:4.723,YRI:3.765	iHS	ESN,PJL,YRI	PopHumanScan
NASP	chr1	46053505	46073505	chr1:46053505-46073505	-4.613	0.019	-7.734	-4.723	0.949	-1.942	FuLi_D:ESN:-5.632,KHV:-7.734,FuLi_F:ESN:-4.723	FuLi_D,FuLi_F	ESN,KHV	PopHumanScan
nonCoding901	chr1	46790361	46800361	chr1:46790361-46800361	-7.12	0.025	-5.45	-4.88	0.94	-2.557	FayWu_H:ASW:-4.777,CHB:-7.12,ESN:-5.164,LWK:-4.838,MSL:-5.265	FayWu_H	ASW,CHB,ESN,LWK,MSL	PopHumanScan
FAAH	chr1	46866891	46886891	chr1:46866891-46886891	-6.503	0.044	-3.365	-3.051	1.283	-1.816	FayWu_H:ACB:-5.124,GWD:-6.503,MSL:-6.378,YRI:-5.91	FayWu_H	ACB,GWD,MSL,YRI	PopHumanScan
CYP4Z1	chr1	47523250	47570252	chr1:47523250-47570252	-3.537	0.289	-4.71	-3.976	3.25	2.916	Fst:CEU2CHB:0.289	Fst	CEU2CHB	PopHumanScan
AGBL4	chr1	50209131	50395936	chr1:50209131-50395936	-2.174	0.073	-5.578	-4.814	4.242	-2.014	iHS:CHS:3.632,LWK:3.933,MSL:4.242	iHS	CHS,LWK,MSL	PopHumanScan
