"","alpha.symbol","Fishers.exact.test.P.value","MKT.table.Polymorphism1","MKT.table.Polymorphism2","MKT.table.Divergence1","MKT.table.Divergence2","Divergence.metrics.Ka","Divergence.metrics.Ks","Divergence.metrics.omega","Divergence.metrics.omegaA","Divergence.metrics.omegaD","gene"
"ENSG00000000457.13_3","0.90625","0.105769230769231","4","3","1","8","0.00554400554400554","0.00301204819277108","1.84060984060984","1.66805266805267","0.172557172557173","ENSG00000000457.13_3"
"ENSG00000000460.16_4","-1.8","0.619909502262444","2","4","7","5","0.00300480769230769","0.02","0.150240384615385","-0.270432692307692","0.420673076923077","ENSG00000000460.16_4"
"ENSG00000000938.12_3","0","1","2","1","4","2","0.00195121951219512","0.0160642570281124","0.121463414634146","0","0.121463414634146","ENSG00000000938.12_3"
"ENSG00000000971.15_3","-0.166666666666667","1","2","5","14","30","0.0121951219512195","0.0285714285714286","0.426829268292683","-0.0711382113821139","0.497967479674797","ENSG00000000971.15_3"
"ENSG00000001461.16_3","-1.5","0.575757575757576","2","2","5","2","0.00253807106598985","0.0251256281407035","0.101015228426396","-0.151522842639594","0.25253807106599","ENSG00000001461.16_3"
"ENSG00000006555.10_3","-0.333333333333333","1","3","1","4","1","0.000958772770853308","0.0129032258064516","0.0743048897411313","-0.0247682965803771","0.0990731863215085","ENSG00000006555.10_3"
"ENSG00000007341.18_3","-0.25","1","1","5","1","4","0.00353669319186561","0.00392156862745098","0.901856763925729","-0.225464190981432","1.12732095490716","ENSG00000007341.18_3"
"ENSG00000007908.15_4","-3","0.564879564879565","1","4","4","4","0.00330305532617671","0.0148698884758364","0.222130470685384","-0.666391412056152","0.888521882741536","ENSG00000007908.15_4"
"ENSG00000007923.15_3","-7","0.265734265734266","3","4","6","1","0.000936329588014981","0.0231660231660232","0.04041822721598","-0.28292759051186","0.32334581772784","ENSG00000007923.15_3"
"ENSG00000007933.12_3","-6","0.377777777777778","1","7","1","1","0.000946073793755913","0.00448430493273543","0.210974456007569","-1.26584673604541","1.47682119205298","ENSG00000007933.12_3"
"ENSG00000007968.6_3","-7","0.464285714285714","1","4","2","1","0.00120336943441637","0.00854700854700855","0.140794223826715","-0.985559566787004","1.12635379061372","ENSG00000007968.6_3"
"ENSG00000008118.9_3","-1","1","2","1","4","1","0.00108342361863489","0.0188679245283019","0.057421451787649","-0.057421451787649","0.114842903575298","ENSG00000008118.9_3"
"ENSG00000008130.15_3","1","0.043956043956044","5","0","4","6","0.00522193211488251","0.0126984126984127","0.411227154046997","0.411227154046997","0","ENSG00000008130.15_3"
